CH1,CH2
113,155
68,150
54,75
85,71
243,203
317,155
365,136
356,128
213,70
129,15
59,11
151,12
136,31
147,124
145,163
122,56
158,69
296,125
489,34
659,131
747,144
386,130
216,70
208,148
29,56
45,20
107,106
90,111
87,82
40,105
52,166
100,167
56,102
83,16
103,110
164,161
40,267
50,155
97,15
140,47
135,71
225,87
211,106
162,124
191,11
149,42
51,94
32,97
80,41
34,11
23,14
100,34
297,77
139,72
76,64
137,68
28,27
27,16
54,32
1,41
24,18
77,29
105,31
109,49
104,81
121,61
142,162
27,63
48,28
41,11
37,8
41,54
25,16
27,104
36,204
25,125
113,57
131,62
29,170
51,238
110,28
58,76
9,79
64,101
24,147
43,144
43,78
23,33
26,121
46,128
39,220
23,328
36,290
20,259
48,155
123,18
147,56
85,92
128,49
203,142
81,163
47,33
132,107
82,169
182,54
157,16
120,12
128,77
105,196
7,189
49,103
164,139
62,231
80,210
117,136
124,74
176,459
300,528
39,215
280,78
74,182
89,210
118,18
127,125
26,126
46,182
23,56
33,87
155,103
105,19
181,56
321,103
339,82
279,21
41,14
277,8
171,14
128,25
120,64
320,32
256,23
282,33
343,33
280,56
209,50
77,63
149,36
208,26
111,13
45,61
70,104
43,153
16,31
29,68
160,90
232,114
35,66
101,47
145,116
212,54
188,36
138,18
101,130
114,47
29,14
10,58
139,85
25,66
72,19
82,103
31,81
140,105
151,66
23,147
41,160
48,72
335,54
286,50
29,119
96,162
72,204
254,181
255,57
102,59
53,93
22,16
26,79
212,149
267,215
98,80
5,365
34,315
61,251
105,113
141,24
80,94
117,30
44,40
242,72
162,15
64,59
0,84
27,57
35,82
38,64
31,87
25,31
172,11
313,91
211,133
29,208
51,58
85,12
272,98
210,237
129,115
25,61
144,62
383,74
256,53
90,153
40,51
198,87
274,72
394,146
125,111
24,82
27,20
23,47
0,38
47,19
45,13
41,45
63,16
123,125
0,155
25,78
49,28
57,38
166,57
122,65
118,21
110,37
35,19
113,16
205,163
6,69
80,15
201,18
261,18
329,71
28,69
65,18
137,69
232,120
247,175
387,43
265,133
171,113
190,30
28,151
138,220
40,88
137,65
311,121
579,136
338,59
18,38
44,83
44,65
115,33
27,50
63,14
33,92
38,161
54,142
47,111
67,48
42,16
63,119
23,49
28,35
49,13
104,20
148,112
188,115
251,48
156,196
52,99
32,41
263,67
366,18
168,48
324,47
437,156
545,98
607,16
326,183
31,283
165,202
159,230
37,186
35,15
54,73
49,143
24,160
48,147
31,147
23,233
29,364
47,292
73,126
124,33
130,24
161,115
191,85
95,57
25,13
30,23
47,16
174,11
297,81
130,55
24,15
29,21
26,85
45,136
35,108
51,81
66,128
129,127
160,90
85,132
122,136
34,35
34,250
31,273
27,125
50,24
66,49
256,115
198,140
60,110
168,30
16,25
57,13
51,13
68,34
97,69
108,15
188,161
39,49
68,24
255,14
225,31
72,20
98,13
58,78
217,108
69,74
41,28
36,9
24,22
53,25
76,36
114,54
99,151
147,238
53,170
23,34
72,282
31,391
85,339
107,124
92,13
78,13
129,14
37,25
93,18
44,23
27,21
65,74
46,122
55,192
142,209
37,161
131,18
131,67
106,158
259,179
37,29
123,26
192,45
225,73
33,32
46,14
31,12
31,12
131,44
66,81
127,40
130,57
175,11
68,55
31,125
45,198
69,262
44,188
114,43
72,140
48,33
20,36
35,95
146,157
181,67
30,42
98,203
158,259
127,256
43,411
163,190
51,55
49,64
72,74
89,49
59,16
67,13
81,20
124,36
28,24
28,52
27,82
24,47
37,15
9,73
105,127
182,145
161,122
28,103
78,164
313,96
218,12
65,93
220,222
140,139
68,92
145,77
115,16
37,14
99,71
124,105
66,145
83,22
38,14
42,11
171,105
82,162
101,48
87,21
75,24
23,37
80,25
47,23
27,67
125,270
99,402
33,132
17,62
30,16
112,82
113,88
90,85
250,99
160,60
68,35
115,74
513,33
399,57
172,16
107,26
41,21
244,61
147,54
89,68
74,71
46,63
51,46
85,14
172,46
26,17
32,12
28,15
162,27
152,58
121,59
0,48
40,27
45,95
25,157
29,73
33,39
235,15
375,16
264,18
110,58
42,15
191,6
301,128
183,40
39,58
32,66
182,38
209,83
71,110
45,84
23,58
45,32
41,80
47,75
27,12
34,56
34,60
56,14
35,18
30,61
47,148
101,124
44,35
67,115
132,15
128,12
187,15
302,94
82,19
116,107
34,280
146,161
347,153
85,39
30,58
27,171
89,162
77,18
144,177
166,115
75,29
25,11
71,36
71,158
28,128
69,68
45,187
24,23
54,142
49,164
26,116
77,53
189,115
43,196
34,330
54,210
53,126
247,80
171,54
177,91
105,15
290,111
18,160
113,237
199,292
83,145
68,23
52,8
43,122
125,207
38,282
139,63
69,45
13,28
104,58
29,58
51,43
74,21
63,48
95,70
41,51
126,27
200,101
40,85
33,41
51,213
188,315
192,51
26,82
196,119
166,161
94,182
79,76
106,86
53,46
19,15
52,21
107,96
120,141
89,65
46,43
40,160
38,181
205,125
202,66
175,66
83,108
22,268
39,368
124,239
175,23
31,57
47,43
92,54
33,124
20,61
174,51
22,10
113,20
93,18
98,56
169,91
105,55
27,70
44,25
33,33
30,87
38,63
31,43
50,51
24,79
21,58
28,85
55,120
77,109
159,33
131,67
93,51
22,137
71,135
65,29
23,11
37,19
31,19
41,11
