CH1,CH2
702,82
388,14
129,21
95,13
164,13
152,13
58,36
48,27
115,65
154,8
97,40
42,33
33,22
59,30
169,10
298,66
28,27
163,29
63,43
239,47
91,73
45,43
56,79
43,138
45,172
32,80
141,59
137,23
54,28
25,10
52,46
29,42
245,56
55,45
30,16
165,13
139,15
116,62
75,14
279,59
432,36
40,13
108,11
216,19
502,15
543,10
383,48
42,73
54,18
70,52
26,20
38,12
215,54
240,50
152,23
75,55
46,95
126,131
88,64
41,29
75,20
422,45
428,94
420,85
193,21
306,56
42,22
513,15
712,15
661,64
173,15
162,34
44,80
88,107
192,77
41,32
151,81
126,17
191,23
152,157
50,96
149,39
88,39
83,24
28,16
265,11
41,12
248,24
49,19
51,20
31,13
95,56
37,15
65,20
51,60
135,29
32,21
23,20
37,34
79,44
28,14
38,17
44,13
52,47
62,55
52,46
26,13
69,14
375,78
194,61
292,13
62,29
86,50
259,21
116,19
161,17
367,24
139,24
233,21
457,13
287,45
41,28
81,38
197,17
200,29
157,17
87,55
138,57
107,71
81,57
150,12
43,60
118,122
52,62
480,71
154,37
239,22
166,24
423,30
48,15
113,105
110,41
31,46
28,90
24,142
83,38
31,117
57,18
134,57
73,87
32,127
55,99
154,48
75,24
224,34
56,15
63,90
141,24
78,17
97,82
415,113
127,109
48,20
71,91
133,91
313,142
42,122
70,95
78,147
32,189
42,89
43,18
30,74
143,23
138,21
60,17
179,38
116,45
37,15
36,68
25,65
46,43
193,21
362,26
1023,106
85,143
756,43
739,19
992,65
31,12
100,89
118,19
39,114
110,23
98,86
163,37
173,31
130,23
266,52
80,72
45,38
122,22
97,12
100,14
82,12
122,58
36,57
142,13
36,17
45,12
146,22
109,12
89,18
177,35
227,21
128,30
34,30
40,49
71,44
149,26
45,58
130,31
26,48
207,22
773,27
383,56
90,61
287,21
421,35
346,71
26,88
120,110
52,22
129,13
316,20
262,66
165,20
64,32
45,45
78,11
47,62
27,21
38,30
31,22
31,52
29,16
48,115
135,25
116,75
150,50
41,112
29,153
179,68
179,43
111,52
68,19
243,12
141,63
153,86
313,34
48,188
118,117
38,23
81,26
103,25
56,11
