CH1,CH2
20,8
20,12
20,11
28,6
24,11
24,11
25,10
35,7
23,9
28,9
26,10
39,10
25,13
22,14
20,11
35,12
18,12
21,10
23,12
39,7
25,10
22,11
24,11
31,10
22,11
22,11
24,10
39,9
25,12
27,14
26,14
37,7
31,13
21,12
20,11
38,8
20,11
23,11
24,10
42,14
22,14
23,15
26,10
46,10
23,12
25,10
23,11
37,9
27,10
22,9
24,9
37,7
23,14
24,15
25,12
45,11
19,12
20,9
19,10
17,10
10,11
21,11
24,11
32,9
24,15
28,13
27,15
48,8
26,12
24,14
25,10
37,10
19,12
19,11
22,10
29,16
23,10
26,13
27,10
25,8
23,14
18,10
34,10
19,10
23,12
23,14
26,12
27,9
25,11
29,10
30,15
23,7
19,12
22,10
20,9
18,9
22,9
21,10
21,10
23,8
22,11
24,11
23,9
23,8
22,12
25,12
25,10
27,8
24,11
27,12
25,15
25,9
23,15
25,12
24,12
19,13
20,13
21,13
19,16
19,8
22,11
21,10
22,12
23,10
22,11
28,10
29,9
28,9
26,12
23,13
23,14
19,13
21,12
21,11
24,11
24,11
20,9
25,9
19,11
19,12
21,10
22,9
22,11
24,13
22,12
25,12
28,12
28,10
36,10
31,14
22,13
20,10
20,11
21,11
21,12
22,10
22,11
22,12
23,14
25,13
20,10
25,10
22,11
22,11
25,13
25,9
25,11
24,12
25,12
23,14
23,16
25,13
20,15
23,9
22,9
20,10
20,12
20,11
39,10
22,15
20,10
24,9
25,13
27,12
25,9
25,9
24,9
28,11
28,15
20,13
17,16
17,18
23,13
24,12
27,12
25,14
21,10
17,11
18,10
21,16
21,11
22,12
24,14
23,15
25,12
27,14
27,12
29,18
25,14
20,14
19,12
21,15
20,13
19,11
22,13
22,15
23,13
25,13
25,10
26,17
22,14
22,13
22,12
22,18
25,8
25,9
25,13
26,25
27,15
23,12
25,10
23,17
22,12
18,10
15,12
18,18
16,13
19,10
22,11
24,20
25,18
35,13
26,12
22,20
20,10
18,10
21,10
22,24
24,15
23,12
23,12
23,27
22,13
24,14
