CH1,CH2
"32
","16
"
"40
","107
"
"27
","10
"
"54
","149
"
"42
","197
"
"87
","368
"
"31
","250
"
"51
","81
"
"31
","378
"
"31
","294
"
"34
","85
"
"62
","35
"
"59
","17
"
"32
","205
"
"41
","186
"
"70
","107
"
"70
","35
"
"44
","112
"
"33
","82
"
"42
","6
"
"47
","0
"
"32
","17
"
"26
","187
"
"44
","0
"
"38
","139
"
"44
","241
"
"32
","6
"
"92
","92
"
"128
","131
"
"55
","166
"
"38
","203
"
"47
","140
"
"31
","80
"
"86
","82
"
"73
","88
"
"25
","59
"
"29
","55
"
"27
","24
"
"43
","105
"
"65
","217
"
"54
","120
"
"88
","147
"
"60
","214
"
"46
","87
"
"65
","175
"
"28
","168
"
"32
","309
"
"40
","86
"
"34
","99
"
"27
","68
"
"40
","71
"
"36
","11
"
"39
","58
"
"32
","0
"
"40
","101
"
"33
","162
"
"47
","75
"
"26
","126
"
"82
","76
"
"37
","196
"
"62
","79
"
"75
","73
"
"31
","336
"
"47
","181
"
"53
","7
"
"55
","290
"
"37
","269
"
"55
","2
"
"36
","10
"
"43
","44
"
"44
","42
"
"37
","119
"
"24
","90
"
"49
","76
"
"32
","168
"
"40
","102
"
"28
","181
"
"32
","132
"
"31
","42
"
"37
","102
"
"30
","250
"
"24
","37
"
"26
","190
"
"43
","21
"
"111
","108
"
"63
","0
"
"66
","81
"
"34
","20
"
"48
","43
"
"53
","479
"
"88
","203
"
"44
","48
"
"116
","423
"
"115
","177
"
"57
","273
"
"66
","128
"
"41
","69
"
"31
","412
"
"31
","411
"
"27
","88
"
"59
","47
"
"68
","6
"
"53
","42
"
"31
","99
"
"62
","108
"
"39
","0
"
"53
","0
"
"33
","0
"
"107
","27
"
"114
","12
"
"32
","5
"
"32
","0
"
"55
","24
"
"102
","27
"
"100
","53
"
"52
","24
"
"18
","158
"
"34
","55
"
"51
","0
"
"36
","4
"
"98
","174
"
"97
","70
"
"32
","78
"
"37
","115
"
"61
","45
"
"31
","157
"
"38
","20
"
"76
","242
"
"39
","112
"
"25
","164
"
"34
","92
"
"35
","37
"
"50
","0
"
"29
","154
"
"38
","81
"
"38
","53
"
"31
","191
"
"51
","150
"
"47
","2
"
"34
","223
"
"26
","158
"
"104
","122
"
"85
","139
"
"33
","220
"
"103
","658
"
"93
","445
"
"37
","97
"
"56
","0
"
"49
","42
"
"38
","90
"
"48
","162
"
"72
","205
"
"34
","65
"
"26
","34
"
"46
","0
"
"104
","8
"
"72
","183
"
"36
","66
"
"30
","84
"
"15
","163
"
"47
","28
"
"56
","20
"
"52
","63
"
"117
","24
"
"95
","60
"
"54
","14
"
"41
","29
"
"33
","24
"
"32
","38
"
"28
","153
"
"40
","310
"
"17
","100
"
