CH1,CH2
"140
","10
"
"48
","8
"
"68
","11
"
"88
","21
"
"49
","0
"
"57
","3
"
"53
","18
"
"22
","14
"
"77
","0
"
"48
","7
"
"48
","6
"
"14
","0
"
"54
","43
"
"45
","3
"
"65
","46
"
"13
","13
"
"41
","48
"
"49
","6
"
"59
","9
"
"224
","33
"
"73
","9
"
"99
","23
"
"44
","0
"
"168
","0
"
"130
","2
"
"49
","10
"
"75
","9
"
"142
","0
"
"79
","0
"
"49
","0
"
"127
","1
"
"12
","32
"
"80
","4
"
"51
","0
"
"51
","8
"
"53
","21
"
"65
","14
"
"175
","0
"
"47
","49
"
"39
","31
"
"76
","31
"
"58
","23
"
"42
","41
"
"159
","101
"
"50
","31
"
"113
","1
"
"46
","0
"
"93
","63
"
"163
","48
"
"47
","1
"
"120
","1
"
"35
","0
"
"47
","18
"
"95
","0
"
"67
","41
"
"121
","12
"
"145
","0
"
"46
","6
"
"51
","35
"
"51
","52
"
"52
","0
"
"49
","23
"
"52
","0
"
"181
","41
"
"138
","0
"
"152
","0
"
"63
","16
"
"102
","29
"
"85
","0
"
"252
","0
"
"150
","55
"
"302
","51
"
"225
","0
"
"96
","37
"
"57
","18
"
"68
","4
"
"59
","0
"
"106
","0
"
"70
","13
"
"62
","40
"
"46
","38
"
"56
","51
"
"135
","38
"
"103
","87
"
"82
","70
"
"53
","24
"
"49
","15
"
"26
","6
"
"122
","0
"
"49
","50
"
"60
","2
"
"50
","8
"
"115
","0
"
"46
","29
"
"137
","17
"
"110
","51
"
"49
","9
"
"87
","0
"
"101
","15
"
"90
","43
"
"52
","0
"
"60
","22
"
"69
","19
"
"91
","0
"
"61
","25
"
"66
","25
"
"82
","21
"
"54
","15
"
"80
","1
"
"162
","26
"
"121
","53
"
"25
","46
"
"81
","37
"
"100
","59
"
"48
","0
"
"151
","57
"
"54
","19
"
"82
","0
"
"65
","0
"
"35
","34
"
"44
","9
"
"126
","0
"
"156
","31
"
"126
","0
"
"116
","0
"
"48
","30
"
"40
","31
"
"35
","0
"
"72
","0
"
"42
","3
"
"157
","48
"
"68
","6
"
"135
","69
"
"114
","0
"
"317
","0
"
"83
","45
"
"73
","14
"
"148
","15
"
"111
","15
"
"124
","6
"
"68
","61
"
"55
","39
"
"46
","7
"
"70
","30
"
"132
","25
"
"111
","23
"
"53
","15
"
"56
","0
"
"160
","0
"
"55
","1
"
"119
","19
"
"148
","41
"
"50
","28
"
"49
","36
"
"82
","0
"
"92
","0
"
"43
","24
"
"85
","35
"
"65
","0
"
"131
","21
"
"99
","4
"
"53
","16
"
"55
","38
"
"255
","20
"
"150
","23
"
"126
","21
"
"89
","56
"
"103
","32
"
"48
","5
"
"89
","16
"
"71
","0
"
"54
","2
"
"70
","29
"
"48
","66
"
"84
","62
"
"119
","9
"
"78
","19
"
"45
","15
"
"212
","91
"
"105
","12
"
"126
","0
"
"56
","0
"
"56
","0
"
"94
","32
"
"80
","0
"
"207
","0
"
"172
","71
"
"181
","2
"
"76
","47
"
"155
","0
"
"494
","24
"
"188
","0
"
"164
","12
"
"52
","51
"
"97
","0
"
"85
","39
"
"44
","0
"
"46
","49
"
"58
","36
"
"60
","28
"
"80
","83
"
"76
","20
"
"47
","24
"
"82
","8
"
"148
","48
"
"94
","33
"
"62
","12
"
"67
","20
"
"48
","4
"
"74
","0
"
"73
","68
"
"184
","47
"
"113
","46
"
"77
","25
"
"58
","0
"
"92
","4
"
"82
","25
"
"145
","0
"
"43
","4
"
"71
","32
"
"80
","8
"
"45
","0
"
"64
","43
"
"93
","0
"
"45
","37
"
"67
","62
"
"90
","0
"
"91
","0
"
"71
","2
"
"180
","0
"
"52
","0
"
"75
","32
"
"46
","0
"
"60
","5
"
"108
","34
"
"124
","0
"
"56
","9
"
"54
","0
"
"73
","52
"
"113
","13
"
"56
","0
"
"52
","7
"
"151
","41
"
"137
","0
"
"51
","0
"
"39
","23
"
"194
","61
"
"172
","0
"
"150
","26
"
"104
","0
"
"277
","25
"
"216
","21
"
"114
","0
"
"58
","56
"
"365
","19
"
"504
","11
"
"297
","10
"
"50
","0
"
"79
","29
"
"75
","54
"
"46
","0
"
"130
","48
"
"175
","23
"
"138
","82
"
"85
","44
"
"77
","0
"
"79
","0
"
"173
","45
"
"106
","0
"
"80
","54
"
"69
","22
"
"82
","2
"
"232
","89
"
"121
","17
"
"104
","32
"
"57
","0
"
"207
","74
"
"81
","12
"
"171
","18
"
"78
","10
"
"42
","24
"
"121
","0
"
"47
","0
"
"62
","0
"
"44
","10
"
"70
","20
"
"82
","12
"
"57
","0
"
"308
","45
"
"86
","19
"
"46
","8
"
"174
","0
"
"149
","56
"
"223
","0
"
