CH1,CH2
30,56
56,37
48,47
32,42
45,192
194,360
235,306
233,316
187,345
343,639
309,587
244,385
130,170
130,46
150,83
142,41
143,200
135,286
104,315
42,185
68,61
112,15
147,262
330,348
383,396
506,607
437,523
51,330
66,267
36,224
34,234
45,235
39,284
66,187
32,66
151,331
261,429
283,569
324,626
273,424
199,282
219,248
175,168
115,144
57,270
59,181
80,83
153,170
265,426
342,488
491,724
382,736
142,468
58,276
165,107
213,50
141,48
165,38
44,190
40,356
223,368
389,317
480,539
462,513
335,458
211,252
225,257
44,78
31,86
39,80
45,94
30,78
88,333
235,347
269,293
374,680
520,584
440,412
312,303
221,287
108,96
130,57
110,72
136,80
115,191
229,185
215,207
218,491
423,535
347,489
154,268
61,305
32,202
37,43
72,49
86,52
70,17
98,94
123,150
94,211
184,457
342,405
327,372
214,293
112,257
95,264
169,207
214,72
44,39
71,57
45,261
83,249
76,356
304,621
250,572
291,459
277,341
210,313
258,240
67,28
38,201
163,133
182,243
24,331
157,438
243,625
400,445
296,355
105,260
192,275
177,286
138,185
184,78
67,53
144,132
61,178
87,315
238,513
492,507
296,388
118,138
109,217
72,263
31,208
121,126
208,38
216,32
377,477
177,481
134,501
260,758
242,587
72,257
34,271
56,110
109,41
223,188
79,304
39,290
144,510
320,439
260,468
198,717
252,537
178,259
51,83
34,125
38,56
41,32
65,26
42,40
53,141
123,543
220,394
169,322
272,662
415,564
376,386
229,434
114,364
34,230
33,131
40,106
110,234
70,270
116,344
404,463
438,809
487,755
294,564
43,329
51,317
54,222
146,22
90,160
93,263
64,244
46,293
44,276
97,337
235,609
308,508
312,408
137,265
105,113
36,86
39,26
53,27
66,15
95,45
83,339
113,435
173,416
434,527
345,411
267,331
136,265
142,181
101,179
28,68
40,28
152,35
198,235
325,292
329,429
426,836
549,759
464,509
141,394
69,294
41,214
42,92
34,29
101,22
75,110
179,480
203,394
179,313
392,600
227,491
288,478
246,408
260,262
261,83
132,45
54,58
43,153
144,324
241,266
237,252
353,439
385,358
301,415
201,523
313,534
327,418
150,266
70,85
46,21
211,278
481,434
161,473
36,801
145,676
74,500
125,342
135,231
39,271
217,133
389,174
644,150
416,232
86,536
29,443
81,558
351,699
295,652
300,335
211,140
210,50
184,105
163,41
133,30
73,38
43,113
92,105
156,199
252,514
279,532
194,316
76,235
80,299
46,191
71,230
97,218
33,36
41,33
88,286
173,296
179,323
290,409
390,387
351,344
226,224
144,137
63,250
64,259
46,69
91,23
172,191
144,279
85,356
189,551
287,496
355,555
188,310
47,232
54,248
45,151
73,32
63,33
62,35
93,303
169,329
65,266
187,585
365,601
367,440
253,300
167,324
263,229
208,246
251,149
144,101
120,189
49,285
365,492
809,909
620,743
444,514
195,284
99,148
68,74
80,77
111,146
32,170
80,251
224,316
197,280
153,375
347,394
339,234
222,145
225,309
125,225
51,197
37,213
39,58
63,19
141,266
207,295
166,386
209,585
258,476
107,256
95,102
91,111
77,190
86,170
66,99
24,57
32,15
189,203
291,176
250,278
386,625
368,595
223,324
76,301
96,373
79,425
42,234
34,77
88,16
141,238
200,373
299,537
274,774
299,648
268,445
234,133
198,126
115,118
86,189
63,172
52,151
118,70
308,243
363,352
332,556
466,629
402,353
257,179
62,106
42,123
115,127
111,198
48,44
40,41
130,224
82,254
28,297
80,618
161,575
94,499
62,367
28,333
71,165
31,28
158,38
383,18
389,160
40,444
54,385
50,348
143,668
265,667
187,375
61,272
89,224
87,165
184,20
154,51
90,70
69,98
62,295
73,266
75,323
199,624
313,539
249,356
97,216
41,164
51,68
107,23
132,24
139,24
32,14
113,168
153,173
155,403
286,628
303,437
279,317
164,394
123,239
82,152
52,187
31,83
39,19
92,206
88,226
59,177
133,500
292,536
231,521
131,487
150,331
127,218
229,122
108,68
86,25
38,57
205,245
240,176
272,329
477,559
409,652
304,432
239,333
248,328
194,211
140,234
54,152
94,38
204,321
252,489
280,462
373,622
268,516
176,412
147,498
82,361
39,223
56,75
38,48
53,65
91,32
38,274
112,323
163,531
377,807
289,685
286,336
268,159
106,69
80,26
105,71
142,159
74,24
69,203
103,179
94,234
177,525
464,550
459,416
515,227
302,168
139,197
119,119
53,19
45,57
62,183
190,382
246,411
264,627
450,660
407,453
304,222
273,83
214,37
170,26
72,21
62,55
27,114
81,49
177,151
263,257
208,559
183,569
110,541
90,290
99,254
112,250
32,121
57,35
48,35
259,33
227,283
58,382
39,500
249,755
351,551
341,207
205,77
227,72
215,174
136,105
97,64
91,71
39,72
122,235
99,221
151,353
394,638
280,455
177,337
30,362
51,125
42,257
35,210
52,78
99,172
31,336
38,465
80,476
28,471
193,536
163,473
142,257
71,218
147,101
146,22
96,20
44,44
36,49
30,189
115,301
113,322
155,580
348,515
223,329
69,161
43,168
59,138
64,195
48,113
35,19
49,72
112,19
174,144
204,211
318,693
421,647
324,378
201,297
156,306
106,266
37,191
45,109
33,21
94,182
261,373
212,407
154,608
190,483
238,380
198,97
131,53
62,28
79,77
77,124
60,185
32,314
160,213
105,40
29,39
35,445
205,612
251,609
187,614
81,581
62,515
35,324
146,258
101,43
39,15
120,192
144,319
213,463
335,714
351,593
324,382
262,292
211,157
127,9
57,16
46,56
47,135
118,63
297,282
276,438
275,581
356,614
270,547
130,345
168,272
147,302
148,255
126,172
35,15
57,162
158,356
139,412
187,634
309,712
310,597
251,280
197,295
228,251
89,165
71,109
53,32
102,28
200,297
197,250
162,404
372,735
313,679
311,408
183,322
199,273
86,207
92,112
101,94
43,63
52,224
30,326
29,307
91,505
393,643
317,627
167,318
96,285
133,219
306,182
289,108
114,4
124,196
52,385
111,411
191,528
406,639
444,569
411,430
272,297
243,173
165,67
107,87
36,42
47,106
127,305
234,299
238,304
355,569
366,493
263,266
125,212
175,143
109,139
34,127
77,95
80,55
32,41
193,141
257,418
317,767
452,787
439,603
232,451
135,406
49,180
51,80
55,159
34,172
43,106
269,441
368,420
321,348
326,449
293,493
191,303
104,204
144,98
105,105
78,51
65,34
30,103
111,277
234,396
212,446
254,647
302,409
295,216
176,101
160,141
160,213
120,264
122,129
118,26
50,123
189,365
120,465
192,606
268,418
281,394
215,280
319,275
293,257
95,144
117,25
34,136
118,367
127,296
227,483
300,791
458,618
397,491
251,86
234,27
158,124
85,85
46,201
120,0
125,164
195,416
224,387
241,404
393,604
257,470
189,343
131,410
81,282
72,196
41,171
55,53
55,77
50,345
202,425
210,527
281,781
488,630
472,494
434,276
321,201
157,206
188,79
53,30
266,116
161,285
383,285
514,162
462,494
516,664
325,657
175,322
92,217
39,176
61,136
111,84
148,25
143,64
204,323
164,307
130,287
380,582
231,601
167,457
133,337
220,281
226,189
92,86
33,23
30,33
81,235
139,286
133,322
202,652
397,588
383,512
216,359
217,380
174,161
98,38
105,41
39,165
32,284
102,300
170,369
245,635
454,702
434,516
309,274
253,298
213,259
249,34
209,145
81,178
49,238
273,251
197,207
192,370
513,681
441,645
333,455
235,282
199,95
89,31
65,27
90,37
39,62
155,244
303,272
310,315
254,623
285,627
363,488
316,283
179,196
108,131
103,133
25,127
59,31
60,18
140,221
113,218
117,405
286,617
209,478
115,241
61,299
59,195
57,307
36,399
36,276
24,36
149,201
301,260
277,262
348,603
385,683
361,527
162,427
34,323
69,221
79,124
50,94
188,55
203,164
212,219
214,329
143,530
270,520
225,569
154,422
213,353
96,256
33,169
104,199
129,81
134,160
284,384
229,377
219,669
157,811
152,700
128,480
116,260
105,165
55,66
49,83
33,36
42,115
88,355
154,405
188,472
253,808
342,713
195,454
65,195
76,90
52,28
63,80
128,54
155,184
166,183
58,143
269,46
270,30
132,275
312,322
224,371
143,429
126,485
182,390
152,191
95,49
54,10
31,230
62,310
48,384
136,670
321,649
242,525
150,238
139,246
99,131
158,56
246,109
122,33
75,11
59,232
160,298
199,294
418,632
366,567
266,396
214,343
235,252
232,220
99,250
19,86
71,26
105,219
135,238
83,275
161,704
328,718
195,582
244,397
350,370
319,404
123,264
63,33
46,16
97,112
244,392
227,446
263,623
391,638
