CH1,CH2
44,467
46,449
103,30
132,217
221,273
164,250
313,469
225,338
136,157
77,120
136,116
81,242
58,78
331,381
45,234
61,327
599,512
462,232
104,107
85,84
74,112
73,120
165,30
105,182
151,202
236,356
351,452
304,357
109,392
72,174
113,65
69,45
121,86
200,298
169,418
338,738
415,439
272,45
125,73
107,264
46,360
34,30
16,148
230,28
353,66
426,441
304,947
203,838
173,227
110,85
81,72
47,36
201,183
281,352
144,456
298,633
317,408
175,38
49,228
97,114
50,107
54,81
202,115
216,205
206,355
349,503
261,291
87,173
100,168
44,67
53,59
38,214
156,478
192,405
223,620
402,494
367,279
103,124
23,104
103,45
94,96
60,68
98,241
135,37
505,436
614,241
506,233
172,384
40,239
43,50
24,135
149,112
294,286
321,286
417,506
552,264
270,80
139,30
30,273
55,252
131,96
218,286
308,313
281,361
505,564
242,307
75,70
55,81
34,30
47,32
42,38
265,144
320,141
44,518
283,769
328,435
157,226
41,32
53,210
78,57
36,134
214,111
276,336
361,785
378,424
91,61
133,68
121,276
57,192
53,34
16,143
212,358
254,459
388,704
318,402
110,41
182,58
180,186
39,148
57,91
49,68
166,210
334,325
439,706
297,745
218,229
215,93
70,60
52,41
129,151
151,219
180,110
233,517
426,517
171,369
111,217
87,164
61,166
46,68
51,186
174,259
175,183
167,464
361,330
270,270
162,313
54,281
38,124
58,50
83,85
81,313
350,402
529,695
458,529
161,272
284,101
70,102
54,92
120,44
115,315
274,328
235,149
471,285
388,354
227,264
77,264
23,138
66,29
88,22
183,335
180,376
315,465
437,471
407,463
179,456
101,418
55,220
57,168
142,542
164,1023
251,845
341,352
472,168
402,165
125,139
59,85
40,60
95,72
158,111
260,249
245,255
363,492
348,361
205,331
45,396
95,371
65,238
74,29
18,301
198,613
223,465
393,537
380,408
162,161
162,81
101,29
63,143
63,196
189,218
335,149
208,11
435,314
317,420
121,334
25,285
54,123
50,63
48,26
220,317
226,280
207,435
389,504
286,400
105,244
49,157
39,132
49,165
104,17
244,400
179,557
183,824
336,650
266,376
155,181
38,168
61,88
45,80
38,408
226,390
190,188
450,544
485,357
258,189
214,246
44,308
46,89
100,30
123,325
187,476
194,386
461,603
436,442
263,141
144,100
42,48
201,31
158,141
180,318
238,277
192,234
377,266
245,155
96,228
160,234
43,180
56,461
27,452
241,343
236,598
209,968
367,667
252,245
147,88
198,33
57,41
36,164
67,57
225,298
209,429
394,810
268,534
166,180
189,106
104,61
35,39
39,42
27,129
158,251
176,373
438,681
338,401
255,149
117,91
63,37
69,43
51,42
88,198
152,217
208,315
370,492
299,298
94,58
150,20
60,53
45,92
104,25
237,203
258,204
159,352
444,529
314,423
136,421
64,292
51,94
79,72
51,47
157,441
183,515
322,661
443,342
243,103
90,116
98,89
59,39
73,56
147,36
233,43
279,129
398,659
434,610
223,173
167,129
42,52
56,23
84,183
167,232
232,36
154,88
436,396
354,337
89,85
