CH1,CH2
156,78
278,99
280,31
256,72
257,80
428,213
447,143
389,93
349,19
177,47
159,55
125,44
75,47
89,30
47,32
47,40
58,26
71,26
82,20
120,82
255,105
274,58
250,66
263,88
502,163
358,76
263,25
124,31
113,34
91,53
41,28
48,31
82,31
121,20
220,115
230,69
275,56
399,176
433,103
321,33
136,45
152,44
77,62
49,27
34,23
48,42
121,22
153,116
278,66
251,77
288,224
478,103
318,43
160,21
110,28
70,33
71,32
40,26
57,33
105,30
136,107
284,85
215,77
246,235
433,138
362,70
225,38
109,49
78,40
90,24
36,29
46,23
72,55
118,74
260,95
254,58
261,89
441,157
423,77
290,25
134,25
110,50
57,36
54,22
23,37
75,36
92,20
162,108
293,42
288,30
286,240
444,131
360,59
209,29
144,16
98,51
76,28
42,27
39,29
89,30
70,136
264,92
266,64
254,128
460,148
366,98
242,17
125,44
86,38
59,26
39,19
29,18
86,30
124,34
205,117
283,62
280,41
373,186
445,97
338,48
193,38
144,43
43,56
69,28
33,35
47,17
93,23
124,94
277,85
242,72
262,190
445,140
344,73
262,32
110,38
79,23
67,23
34,21
34,31
44,15
127,57
245,105
262,77
269,81
430,167
416,101
309,29
164,48
126,49
81,18
39,36
34,29
51,30
85,18
203,103
324,60
258,54
316,202
430,98
332,44
135,31
108,35
80,19
63,29
44,22
47,18
61,3
118,69
275,96
251,73
264,89
459,145
400,101
307,41
150,47
126,35
88,44
22,44
43,31
47,23
90,28
204,110
289,96
287,72
332,195
419,91
331,35
173,34
154,23
72,27
48,27
33,24
48,28
96,27
87,92
284,96
246,73
267,114
491,151
360,100
286,39
144,46
96,37
70,46
41,18
52,32
61,26
100,39
256,107
273,61
297,72
392,157
410,73
323,35
149,24
97,43
66,30
55,29
35,22
53,28
95,36
121,71
286,74
243,69
264,179
462,167
379,62
262,47
161,50
89,42
72,29
38,29
50,15
62,21
108,33
250,107
262,69
261,98
455,155
392,76
310,36
143,29
113,37
71,51
56,33
40,31
58,21
92,20
142,119
247,41
266,67
269,236
452,121
363,98
173,28
148,58
98,40
69,25
34,26
44,26
108,21
99,76
254,88
260,64
268,96
485,162
375,86
288,30
119,28
110,34
58,63
46,32
52,30
79,26
112,12
208,114
235,64
271,54
363,193
456,104
325,54
176,20
147,43
90,56
46,27
40,19
37,31
127,24
143,107
276,67
246,66
274,221
460,102
342,45
175,34
115,31
79,27
50,20
22,38
58,38
106,40
121,99
289,77
232,39
270,174
459,174
373,88
270,25
167,25
113,32
108,26
39,22
41,21
76,26
124,103
251,88
246,73
256,129
465,133
404,78
237,36
120,38
78,26
51,28
34,42
43,34
81,23
121,20
189,114
273,58
255,32
404,187
430,89
305,52
185,37
138,21
56,53
56,37
33,19
47,22
107,18
127,144
276,59
253,56
265,205
442,81
331,48
201,21
105,39
94,21
69,33
42,22
23,21
99,16
116,48
264,100
258,73
264,81
437,162
411,104
290,32
149,47
109,27
43,53
47,34
41,15
59,26
103,40
238,133
264,52
253,71
394,156
395,76
313,49
191,31
113,35
51,42
55,28
32,32
54,14
70,23
150,103
295,58
265,64
273,256
407,125
376,70
236,28
149,45
97,37
47,13
52,32
40,21
78,21
91,55
236,104
280,65
251,89
443,163
384,83
285,15
170,40
106,41
45,43
43,30
39,37
57,30
62,15
166,118
301,51
272,56
300,236
464,94
368,71
223,32
154,37
94,44
69,28
48,40
47,32
77,18
93,63
259,100
263,104
253,140
442,132
350,66
239,19
119,63
88,32
50,26
43,23
44,22
70,20
128,0
182,120
287,58
274,59
375,196
460,79
299,60
210,41
144,42
75,41
68,30
57,15
50,29
108,22
137,108
279,81
252,94
308,221
439,98
340,64
219,25
113,35
123,28
60,24
41,24
44,26
96,17
121,44
224,97
255,80
265,93
469,156
410,100
260,47
158,47
125,30
89,45
39,25
37,14
80,33
90,27
204,112
279,63
260,83
377,192
402,85
319,38
167,28
122,30
71,39
58,21
47,24
42,29
99,26
127,81
271,48
253,85
263,150
473,159
386,83
291,13
161,61
109,26
89,28
41,23
38,24
89,46
94,37
223,108
269,59
256,68
391,194
406,71
313,39
154,26
116,37
57,36
65,36
43,44
59,31
98,29
148,96
283,51
214,70
253,211
448,138
367,78
244,42
109,60
103,49
85,37
36,31
32,22
74,24
129,88
251,94
267,61
248,88
443,176
424,77
274,28
139,28
109,33
51,35
53,18
42,26
71,30
110,23
192,120
290,54
232,53
346,210
453,114
338,45
198,30
110,32
83,52
67,26
40,19
39,25
99,25
154,111
275,79
246,54
248,203
434,106
371,64
204,27
111,45
87,16
76,23
43,28
15,37
95,18
124,50
264,95
264,65
301,44
460,141
418,94
336,39
174,34
143,19
83,55
61,39
36,28
54,29
81,23
168,145
271,59
242,65
266,212
426,85
336,66
200,24
96,34
85,23
68,25
44,25
47,38
83,24
122,59
245,102
255,65
263,122
437,168
409,98
295,38
136,45
122,43
42,37
43,31
33,27
53,31
91,23
218,106
321,48
255,67
323,193
415,87
346,31
204,30
108,32
74,23
50,23
37,26
52,55
58,33
127,65
283,88
260,76
266,146
465,119
390,84
292,29
156,49
107,26
79,16
42,31
43,32
56,26
95,40
212,111
245,88
252,69
387,159
419,73
305,31
160,51
123,43
51,43
54,29
41,31
53,31
135,2
147,118
296,63
262,69
258,228
421,102
364,75
240,32
140,37
111,39
81,25
28,37
40,31
79,19
104,91
253,88
258,91
254,106
456,134
368,77
250,27
127,49
96,40
52,38
39,22
43,22
60,26
99,29
135,119
287,45
277,49
333,211
448,118
302,54
200,41
149,28
86,41
53,35
44,15
42,30
98,27
112,118
283,78
248,67
298,206
446,102
332,45
210,27
114,46
116,36
56,22
49,16
57,16
97,19
116,76
233,103
249,71
239,146
461,158
383,75
232,40
145,49
86,37
74,29
40,24
49,31
82,37
97,20
187,105
270,55
254,72
349,202
405,69
325,29
166,31
109,33
69,38
76,31
42,30
58,27
93,30
125,105
307,38
262,72
264,212
449,143
369,92
239,19
149,56
107,34
81,26
43,38
42,24
112,29
100,82
257,85
247,70
258,116
454,175
370,60
252,37
118,30
84,29
55,36
49,29
34,34
70,20
112,24
203,101
274,18
275,60
395,178
447,90
342,46
192,19
99,32
95,54
65,30
44,21
44,23
95,49
142,114
261,78
245,55
264,167
437,96
392,65
232,26
111,33
96,26
60,31
41,16
37,36
81,17
116,29
248,105
259,56
235,60
414,172
449,101
339,34
159,33
104,40
82,67
61,33
35,22
47,27
76,20
190,107
267,58
247,60
274,208
432,88
353,65
196,26
106,29
75,25
67,16
44,38
18,39
102,22
130,100
291,83
242,75
301,131
460,174
386,78
267,28
150,44
98,13
48,33
43,33
35,28
57,29
102,48
224,133
272,49
255,60
410,163
395,61
302,37
152,27
