CH1,CH2
"4
","159
"
"11
","177
"
"1
","69
"
"2
","212
"
"0
","389
"
"5
","555
"
"0
","611
"
"11
","361
"
"57
","202
"
"62
","83
"
"5
","166
"
"35
","176
"
"88
","175
"
"94
","96
"
"128
","35
"
"173
","308
"
"192
","478
"
"184
","302
"
"151
","271
"
"54
","192
"
"14
","155
"
"18
","123
"
"51
","66
"
"65
","31
"
"90
","401
"
"133
","826
"
"124
","477
"
"15
","465
"
"33
","93
"
"82
","171
"
"19
","339
"
"6
","174
"
"29
","66
"
"14
","236
"
"11
","43
"
"42
","184
"
"0
","70
"
"65
","170
"
"27
","194
"
"59
","291
"
"44
","757
"
"49
","454
"
"47
","235
"
"13
","430
"
"50
","314
"
"110
","42
"
"46
","183
"
"1
","164
"
"2
","51
"
"61
","206
"
"90
","79
"
"23
","127
"
"61
","49
"
"115
","295
"
"82
","426
"
"11
","273
"
"94
","198
"
"236
","199
"
"128
","81
"
"58
","233
"
"77
","539
"
"154
","88
"
"150
","167
"
"10
","40
"
"141
","557
"
"197
","462
"
"156
","718
"
"145
","674
"
"243
","410
"
"140
","668
"
"28
","296
"
"10
","264
"
"45
","340
"
"54
","446
"
"104
","378
"
"151
","207
"
"78
","180
"
"46
","154
"
"6
","79
"
"3
","317
"
"7
","57
"
"67
","398
"
"114
","73
"
"118
","165
"
"35
","329
"
"137
","130
"
"90
","413
"
"45
","475
"
"1
","203
"
"16
","39
"
"48
","173
"
"91
","243
"
"103
","155
"
"51
","576
"
"158
","782
"
"87
","73
"
"14
","956
"
"63
","1023
"
"45
","1023
"
"4
","1023
"
"11
","207
"
"17
","854
"
"229
","707
"
"332
","588
"
"113
","450
"
"11
","390
"
"145
","450
"
"4
","150
"
"132
","388
"
"256
","720
"
"218
","487
"
"51
","25
"
"0
","31
"
"18
","220
"
"99
","515
"
"95
","335
"
"87
","100
"
"71
","21
"
"31
","191
"
"78
","858
"
"131
","640
"
"106
","459
"
"17
","253
"
"98
","41
"
"61
","124
"
"20
","114
"
"52
","89
"
"154
","157
"
"133
","268
"
"69
","175
"
"18
","190
"
"30
","189
"
"126
","87
"
"107
","160
"
"2
","121
"
"30
","53
"
"44
","440
"
"105
","978
"
"219
","356
"
"147
","28
"
"11
","37
"
"171
","230
"
"240
","818
"
"129
","553
"
"9
","286
"
"45
","236
"
"75
","80
"
"28
","24
"
"10
","396
"
"2
","612
"
"21
","300
"
"14
","360
"
"17
","164
"
"7
","21
"
"25
","87
"
"10
","90
"
"114
","118
"
"71
","157
"
"24
","302
"
"17
","323
"
"186
","334
"
"284
","219
"
"138
","47
"
"5
","63
"
"35
","141
"
"16
","119
"
"62
","350
"
"205
","359
"
"278
","371
"
"239
","431
"
"271
","522
"
"103
","167
"
"49
","274
"
"125
","79
"
"18
","256
"
"95
","305
"
"147
","161
"
"87
","110
"
"73
","57
"
"25
","333
"
"48
","152
"
"27
","169
"
"39
","91
"
"121
","182
"
"200
","223
"
"144
","35
"
"31
","211
"
"67
","152
"
"48
","82
"
"14
","341
"
"15
","493
"
"88
","355
"
"45
","66
"
"14
","314
"
"90
","426
"
"100
","335
"
"6
","108
"
"5
","225
"
"7
","132
"
"12
","56
"
"102
","379
"
"128
","87
"
"49
","119
"
"9
","324
"
"181
","361
"
"195
","38
"
"71
","146
"
"45
","171
"
"107
","296
"
"116
","132
"
"12
","197
"
"23
","160
"
"62
","215
"
"57
","79
"
"31
","215
"
"34
","111
"
"65
","507
"
"56
","206
"
"25
","59
"
"0
","177
"
"36
","191
"
"72
","153
"
"122
","350
"
"53
","241
"
"25
","240
"
"19
","251
"
"35
","418
"
"142
","453
"
"200
","183
"
"117
","132
"
"6
","82
"
"16
","189
"
"7
","317
"
"0
","342
"
"42
","78
"
"9
","278
"
"6
","230
"
"147
","26
"
"240
","326
"
"97
","781
"
"14
","753
"
"90
","615
"
"97
","247
"
"108
","67
"
"18
","785
"
"259
","836
"
"263
","836
"
"161
","1023
"
"9
","680
"
"38
","48
"
"68
","179
"
"15
","101
"
"36
","243
"
"22
","238
"
"18
","284
"
"28
","480
"
"26
","101
"
"17
","122
"
"5
","213
"
"13
","456
"
"101
","278
"
"97
","33
"
"30
","133
"
"18
","52
"
"7
","61
"
"83
","131
"
"141
","203
"
"145
","119
"
"75
","249
"
"2
","608
"
"29
","765
"
"53
","474
"
"14
","43
"
"123
","61
"
"237
","222
"
"130
","340
"
"82
","538
"
"9
","477
"
"128
","272
"
"355
","120
"
"283
","88
"
"272
","81
"
"224
","139
"
"53
","270
"
"48
","56
"
"32
","128
"
"70
","388
"
"151
","584
"
"142
","399
"
"22
","158
"
"99
","772
"
"218
","495
"
"12
","185
"
"129
","125
"
"172
","397
"
"195
","125
"
"35
","374
"
"107
","517
"
"210
","413
"
"127
","233
"
"40
","443
"
"120
","432
"
"15
","58
"
"57
","31
"
"162
","132
"
"127
","51
"
"11
","186
"
"62
","73
"
"8
","233
"
"103
","46
"
"10
","113
"
"24
","235
"
"15
","180
"
"0
","505
"
"13
","602
"
"71
","109
"
"100
","66
"
"158
","105
"
"37
","251
"
"64
","461
"
"37
","439
"
"23
","305
"
"142
","747
"
"172
","437
"
"137
","181
"
"31
","292
"
"59
","671
"
"11
","430
"
"17
","269
"
"39
","78
"
"46
","86
"
"46
","331
"
"90
","399
"
"112
","21
"
"78
","67
"
"27
","38
"
"95
","368
"
"71
","252
"
"41
","388
"
"190
","262
"
"22
","59
"
"45
","30
"
"26
","126
"
"11
","34
"
"2
","21
"
"47
","17
"
"12
","51
"
"26
","101
"
"39
","199
"
"74
","117
"
"92
","167
"
"121
","451
"
"83
","302
"
"46
","272
"
"115
","75
"
"61
","133
"
"33
","14
"
"6
","155
"
"24
","339
"
"97
","520
"
"56
","409
"
"2
","332
"
"95
","126
"
"78
","322
"
"51
","301
"
"13
","28
"
"52
","30
"
"82
","36
"
"114
","339
"
"169
","169
"
"40
","154
"
"105
","629
"
"59
","936
"
"106
","723
"
"99
","307
"
"58
","320
"
"34
","298
"
"10
","237
"
"14
","208
"
"175
","218
"
"152
","553
"
"87
","555
"
"112
","139
"
"163
","162
"
"150
","239
"
"6
","147
"
"12
","125
"
"4
","110
"
"14
","126
"
"10
","23
"
"2
","19
"
"15
","96
"
"60
","120
"
"63
","186
"
"18
","397
"
"23
","234
"
"26
","168
"
"3
","39
"
"18
","382
"
"7
","342
"
"42
","165
"
"59
","77
"
"0
","267
"
"4
","349
"
"2
","87
"
"5
","50
"
"115
","262
"
"96
","151
"
"120
","606
"
"171
","568
"
"154
","639
"
"227
","994
"
"68
","642
"
"12
","45
"
"111
","443
"
"281
","570
"
"203
","1023
"
"215
","986
"
"5
","800
"
"68
","563
"
"78
","183
"
"79
","222
"
"4
","86
"
"41
","161
"
"48
","378
"
"30
","493
"
"22
","194
"
"15
","111
"
"10
","130
"
"58
","247
"
"59
","481
"
"90
","576
"
"7
","720
"
"5
","843
"
"5
","251
"
"49
","153
"
"144
","333
"
"151
","623
"
"33
","378
"
"44
","268
"
"5
","182
"
"31
","41
"
"1
","41
"
"28
","171
"
"5
","40
"
"30
","58
"
"62
","49
"
"85
","224
"
"52
","288
"
"82
","150
"
"182
","286
"
"198
","62
"
"206
","194
"
"185
","178
"
"22
","217
"
"8
","244
"
"132
","506
"
"121
","67
"
"21
","499
"
"127
","575
"
"226
","355
"
"319
","415
"
"238
","80
"
"177
","64
"
"8
","330
"
"21
","284
"
"80
","240
"
"20
","276
"
"49
","208
"
"22
","46
"
"48
","99
"
"54
","321
"
"112
","592
"
"219
","729
"
"181
","412
"
"195
","224
"
"145
","391
"
"94
","111
"
"61
","126
"
"151
","43
"
"51
","276
"
"41
","310
"
"178
","44
"
"169
","332
"
"104
","566
"
"66
","365
"
"17
","68
"
"35
","108
"
"44
","303
"
"8
","234
"
"17
","400
"
"12
","326
"
"61
","267
"
"71
","524
"
"37
","275
"
"73
","40
"
"30
","174
"
"79
","331
"
"27
","55
"
"18
","33
"
"67
","130
"
"90
","534
"
"53
","198
"
"8
","192
"
"54
","227
"
"87
","264
"
"110
","87
"
"108
","19
"
"46
","125
"
"48
","150
"
"167
","320
"
"110
","417
"
"43
","359
"
"29
","212
"
"65
","179
"
"78
","132
"
"74
","121
"
"47
","77
"
"6
","324
"
"89
","474
"
"129
","140
"
"40
","185
"
"131
","108
"
"34
","197
"
"6
","443
"
"80
","280
"
"96
","92
"
"103
","455
"
"23
","1023
"
"76
","596
"
"6
","241
"
"20
","28
"
"78
","136
"
"35
","191
"
"5
","302
"
"8
","512
"
"32
","363
"
"44
","73
"
"33
","43
"
"5
","70
"
"30
","363
"
"28
","427
"
"56
","125
"
"142
","106
"
"192
","36
"
"128
","34
"
"150
","59
"
"105
","277
"
"12
","307
"
"93
","248
"
"150
","39
"
"53
","51
"
"23
","131
"
"75
","330
"
"36
","445
"
"2
","543
"
"23
","150
"
"6
","326
"
"95
","533
"
"80
","415
"
"3
","312
"
"35
","468
"
"37
","241
"
"105
","362
"
"178
","268
"
"81
","303
"
"81
","783
"
"212
","618
"
"194
","431
"
"182
","251
"
"83
","35
"
"58
","55
"
"18
","103
"
"62
","227
"
"77
","104
"
"37
","245
"
"28
","199
"
"39
","218
"
"60
","254
"
"104
","257
"
"109
","40
"
"62
","277
"
"4
","285
"
"19
","96
"
"7
","318
"
"4
","285
"
"2
","88
"
"16
","29
"
"29
","33
"
"23
","342
"
"30
","566
"
"110
","455
"
"160
","269
"
"140
","213
"
"60
","246
"
"21
","261
"
"160
","28
"
"80
","341
"
"53
","151
"
"153
","655
"
"108
","343
"
"62
","414
"
"33
","382
"
"16
","275
"
"97
","41
"
"138
","136
"
"221
","334
"
"39
","317
"
"12
","299
"
"10
","448
"
"23
","219
"
"23
","106
"
"94
","122
"
"185
","31
"
"169
","107
"
"109
","264
"
"34
","361
"
"6
","181
"
"31
","120
"
"136
","250
"
"142
","439
"
"10
","212
"
"108
","672
"
"144
","594
"
"102
","716
"
"94
","232
"
"25
","168
"
"76
","175
"
"63
","262
"
"116
","252
"
"67
","101
"
"24
","298
"
"40
","46
"
"49
","70
"
"135
","117
"
"62
","56
"
"20
","176
"
"38
","261
"
"94
","59
"
"207
","642
"
"68
","899
"
"56
","590
"
"36
","119
"
"9
","160
"
"14
","234
"
"3
","299
"
"2
","320
"
"11
","181
"
"7
","357
"
"61
","533
"
"46
","243
"
"3
","108
"
"15
","34
"
"53
","132
"
"38
","168
"
"34
","364
"
"5
","192
"
"31
","145
"
"12
","398
"
"11
","408
"
"4
","282
"
"47
","41
"
"45
","150
"
"50
","54
"
"37
","345
"
"1
","111
"
"38
","193
"
"10
","393
"
"133
","545
"
"11
","623
"
"63
","123
"
"108
","722
"
"21
","900
"
"4
","198
"
"17
","343
"
"131
","404
"
"184
","295
"
"214
","145
"
"117
","87
"
"6
","146
"
"4
","330
"
"52
","277
"
"123
","175
"
"110
","144
"
"35
","135
"
"9
","97
"
"49
","206
"
"66
","89
"
"7
","22
"
"35
","97
"
"46
","138
"
"2
","12
"
"5
","142
"
"30
","126
"
"51
","340
"
"107
","176
"
"129
","90
"
"126
","77
"
"40
","267
"
"66
","199
"
"97
","272
"
"33
","314
"
"31
","399
"
"56
","218
"
"16
","79
"
"53
","61
"
"163
","170
"
"160
","170
"
"16
","282
"
"86
","633
"
"97
","404
"
"9
","133
"
"127
","128
"
"44
","37
"
"15
","319
"
"47
","70
"
"123
","102
"
"85
","107
"
"45
","594
"
"71
","826
"
"198
","474
"
"168
","306
"
"67
","572
"
"5
","409
"
"47
","299
"
"72
","152
"
"85
","98
"
"38
","248
"
"9
","369
"
"17
","502
"
"48
","513
"
"72
","397
"
"57
","209
"
"14
","214
"
"3
","668
"
"0
","680
"
"5
","413
"
"16
","106
"
"6
","20
"
"35
","37
"
"46
","55
"
"29
","72
"
"20
","152
"
"43
","192
"
"40
","112
"
"12
","32
"
"36
","125
"
"79
","188
"
"5
","272
"
"30
","252
"
"0
","104
"
"6
","51
"
"46
","181
"
"77
","236
"
"3
","120
"
"11
","174
"
"1
","315
"
"31
","60
"
"51
","296
"
"93
","511
"
"79
","285
"
"8
","444
"
"29
","498
"
"94
","184
"
"62
","544
"
"19
","268
"
"12
","59
"
"9
","316
"
"36
","401
"
"44
","470
"
"50
","86
"
"94
","191
"
"157
","301
"
"75
","367
"
"26
","328
"
"24
","241
"
"3
","188
"
"24
","64
"
"21
","69
"
"23
","117
"
"17
","242
"
