CH1,CH2
"4
","110
"
"1
","101
"
"0
","93
"
"0
","83
"
"0
","80
"
"1
","56
"
"5
","71
"
"0
","61
"
"0
","48
"
"0
","28
"
"0
","12
"
"0
","20
"
"0
","31
"
"0
","50
"
"0
","70
"
"5
","119
"
"0
","135
"
"0
","139
"
"2
","163
"
"5
","146
"
"8
","147
"
"4
","137
"
"2
","132
"
"0
","111
"
"0
","118
"
"0
","95
"
"0
","91
"
"0
","82
"
"0
","71
"
"0
","56
"
"0
","34
"
"1
","15
"
"0
","7
"
"0
","39
"
"0
","50
"
"0
","97
"
"0
","132
"
"0
","148
"
"8
","136
"
"10
","123
"
"5
","102
"
"0
","98
"
"1
","86
"
"0
","77
"
"0
","72
"
"4
","41
"
"0
","42
"
"3
","15
"
"0
","18
"
"0
","40
"
"0
","71
"
"3
","103
"
"3
","161
"
"1
","150
"
"6
","142
"
"4
","133
"
"5
","133
"
"0
","109
"
"0
","116
"
"0
","89
"
"0
","75
"
"0
","64
"
"0
","39
"
"0
","16
"
"0
","32
"
"0
","39
"
"0
","67
"
"0
","106
"
"0
","140
"
"3
","141
"
"8
","131
"
"13
","121
"
"4
","106
"
"0
","96
"
"0
","87
"
"0
","79
"
"0
","70
"
"0
","37
"
"8
","35
"
"0
","14
"
"0
","31
"
"0
","49
"
"0
","78
"
"0
","117
"
"5
","150
"
"1
","149
"
"5
","144
"
"6
","134
"
"0
","116
"
"0
","109
"
"3
","112
"
"0
","79
"
"0
","70
"
"0
","58
"
"0
","31
"
"0
","11
"
"0
","32
"
"0
","31
"
"0
","94
"
"0
","128
"
"0
","144
"
"8
","144
"
"9
","130
"
"6
","94
"
"5
","103
"
"0
","87
"
"0
","85
"
"2
","72
"
"0
","61
"
"0
","44
"
"12
","12
"
"0
","19
"
"0
","34
"
"0
","55
"
"0
","93
"
"0
","132
"
"0
","141
"
"4
","147
"
"4
","140
"
"4
","124
"
"0
","108
"
"0
","101
"
"0
","78
"
"0
","79
"
"0
","73
"
"0
","44
"
"0
","20
"
"0
","15
"
"0
","37
"
"0
","45
"
"0
","100
"
"0
","135
"
"1
","138
"
"10
","136
"
"6
","124
"
"0
","118
"
"3
","99
"
"0
","89
"
"0
","76
"
"0
","67
"
"0
","56
"
"0
","39
"
"4
","21
"
"0
","22
"
"0
","44
"
"0
","64
"
"0
","108
"
"0
","139
"
"2
","154
"
"0
","149
"
"4
","131
"
"1
","121
"
"0
","104
"
"0
","93
"
"0
","87
"
"0
","93
"
"0
","59
"
"0
","35
"
"0
","12
"
"0
","16
"
"0
","43
"
"0
","72
"
"0
","87
"
"0
","140
"
"4
","146
"
"8
","135
"
"7
","122
"
"0
","103
"
"3
","71
"
"0
","89
"
"0
","69
"
"0
","71
"
"0
","55
"
"0
","30
"
"0
","13
"
"0
","44
"
"0
","43
"
"0
","73
"
"0
","111
"
"0
","147
"
"2
","154
"
"6
","151
"
"3
","131
"
"1
","117
"
"0
","106
"
"0
","91
"
"0
","88
"
"0
","75
"
"0
","80
"
"0
","33
"
"0
","13
"
"0
","20
"
"0
","47
"
"0
","71
"
"0
","122
"
"6
","141
"
"2
","146
"
"6
","136
"
"3
","123
"
"4
","103
"
"0
","93
"
"5
","70
"
"0
","75
"
"0
","68
"
"0
","45
"
"0
","20
"
"0
","20
"
"0
","41
"
"2
","64
"
"0
","89
"
"0
","128
"
"0
","149
"
"4
","132
"
"16
","131
"
"9
","108
"
"0
","104
"
"0
","103
"
"0
","88
"
"0
","79
"
"0
","71
"
"7
","57
"
"3
","28
"
"0
","12
"
"0
","27
"
"0
","52
"
"0
","84
"
"0
","117
"
"9
","136
"
"13
","135
"
"8
","125
"
"3
","112
"
"1
","98
"
"0
","84
"
"3
","55
"
"4
","72
"
"1
","61
"
"0
","47
"
"0
","18
"
"0
","16
"
"0
","34
"
"0
","79
"
"2
","93
"
"0
","130
"
"0
","146
"
"4
","145
"
"3
","137
"
"2
","140
"
"1
","106
"
"0
","98
"
"0
","89
"
"0
","76
"
"0
","67
"
"0
","54
"
"0
","42
"
"0
","15
"
"0
","36
"
"0
","56
"
"0
","91
"
"0
","121
"
"0
","143
"
"8
","140
"
"3
","128
"
"1
","117
"
"4
","102
"
"0
","88
"
"0
","79
"
"7
","46
"
"0
","61
"
"0
","41
"
"3
","15
"
"0
","20
"
"0
","40
"
"0
","59
"
"13
","114
"
"2
","136
"
"0
","156
"
"8
","141
"
"2
","133
"
"3
","131
"
"0
","106
"
"0
","88
"
"0
","85
"
"0
","71
"
"0
","63
"
"0
","36
"
"0
","27
"
"0
","20
"
"0
","43
"
"0
","65
"
"0
","107
"
"0
","137
"
"3
","145
"
"13
","135
"
"6
","122
"
"2
","106
"
"0
","95
"
"0
","86
"
"0
","70
"
"2
","43
"
"2
","53
"
"0
","34
"
"0
","12
"
"0
","39
"
"0
","46
"
"0
","83
"
"3
","146
"
"0
","150
"
"0
","155
"
"2
","143
"
"0
","126
"
"0
","95
"
"0
","103
"
"0
","80
"
"0
","82
"
"0
","73
"
"0
","64
"
"1
","42
"
"3
","15
"
"0
","7
"
"0
","38
"
"0
","69
"
"0
","115
"
"0
","145
"
"4
","145
"
"9
","154
"
"8
","123
"
"2
","111
"
"0
","97
"
"0
","86
"
"0
","59
"
"0
","60
"
"4
","27
"
"1
","30
"
"5
","13
"
"0
","35
"
"0
","47
"
"0
","74
"
"0
","111
"
"0
","167
"
"2
","154
"
"6
","143
"
"3
","128
"
"1
","111
"
"0
","101
"
"0
","112
"
"0
","77
"
"0
","65
"
"0
","48
"
"1
","33
"
"0
","13
"
"0
","55
"
"0
","49
"
"0
","88
"
"0
","116
"
"0
","142
"
"7
","143
"
"5
","124
"
"13
","109
"
"1
","103
"
"0
","87
"
"0
","82
"
"0
","74
"
"0
","60
"
"0
","29
"
"8
","15
"
"0
","18
"
"0
","38
"
"0
","56
"
"0
","93
"
"0
","132
"
"9
","148
"
"5
","147
"
"5
","139
"
"3
","124
"
"0
","110
"
"0
","100
"
"9
","110
"
"0
","74
"
"0
","65
"
"0
","41
"
"0
","16
"
"0
","19
"
"0
","42
"
"0
","43
"
"1
","104
"
"0
","138
"
"3
","130
"
"8
","136
"
"6
","120
"
"7
","91
"
"2
","103
"
"1
","90
"
"0
","81
"
"0
","75
"
"0
","60
"
"0
","37
"
"9
","19
"
"0
","22
"
"0
","43
"
"0
","72
"
"1
","110
"
"0
","146
"
"0
","157
"
"5
","146
"
"3
","130
"
"1
","121
"
"0
","105
"
"0
","94
"
"0
","97
"
"0
","71
"
"0
","61
"
"0
","42
"
"0
","15
"
"0
","15
"
"0
","44
"
"0
","74
"
"0
","107
"
"0
","140
"
"2
","140
"
"7
","135
"
"7
","119
"
"0
","107
"
"3
","101
"
"0
","84
"
"0
","74
"
"0
","67
"
"0
","49
"
"0
","24
"
"0
","32
"
"2
","33
"
"0
","49
"
"0
","78
"
"0
","117
"
"0
","146
"
"0
","145
"
"7
","141
"
"4
","130
"
"0
","114
"
"0
","102
"
"0
","86
"
"0
","80
"
"3
","89
"
"0
","50
"
"1
","33
"
"0
","13
"
"0
","30
"
"0
","52
"
"0
","87
"
"1
","100
"
"0
","143
"
"7
","143
"
"6
","117
"
"3
","111
"
"3
","96
"
"6
","81
"
"0
","80
"
"0
","71
"
"0
","58
"
"0
","42
"
"0
","21
"
"0
","16
"
"1
","56
"
"0
","53
"
"0
","90
"
"0
","122
"
"0
","147
"
"0
","149
"
"4
","132
"
"3
","126
"
"0
","109
"
"0
","104
"
"0
","89
"
"0
","75
"
"0
","66
"
"0
","69
"
"1
","31
"
"0
","14
"
"0
","31
"
"0
","51
"
"0
","88
"
"0
","107
"
"6
","146
"
"9
","142
"
"7
","125
"
"5
","114
"
"1
","101
"
"0
","88
"
"4
","70
"
"0
","74
"
"0
","64
"
"0
","44
"
"0
","19
"
"0
","18
"
"0
","37
"
"0
","61
"
"0
","97
"
"0
","133
"
"1
","150
"
"3
","151
"
"4
","142
"
"1
","150
"
"1
","104
"
"0
","93
"
"0
","80
"
"0
","70
"
"0
","61
"
"0
","44
"
"0
","32
"
"0
","14
"
"0
","35
"
"0
","57
"
"0
","95
"
"0
","118
"
"1
","122
"
"10
","138
"
"6
","126
"
"1
","113
"
"0
","102
"
"0
","84
"
"0
","58
"
"4
","63
"
"0
","44
"
"0
","34
"
"1
","13
"
"0
","21
"
"0
","46
"
"0
","76
"
"2
","87
"
"0
","124
"
"0
","147
"
"5
","141
"
"4
","135
"
"1
","98
"
"0
","110
"
"0
","97
"
"0
","90
"
"1
","77
"
"0
","63
"
"0
","48
"
"1
","36
"
"0
","15
"
"0
","37
"
"0
","54
"
"0
","91
"
"0
","122
"
"3
","140
"
"18
","119
"
"9
","125
"
"5
","112
"
"0
","99
"
"0
","88
"
"0
","81
"
"0
","47
"
"0
","63
"
"0
","38
"
"0
","15
"
"0
","20
"
"0
","40
"
"0
","59
"
"4
","126
"
"0
","138
"
"1
","151
"
"7
","145
"
"1
","135
"
"5
","120
"
"9
","124
"
"0
","91
"
"0
","84
"
"0
","74
"
"0
","70
"
"0
","41
"
"0
","14
"
"0
","6
"
"0
","41
"
"0
","54
"
"2
","98
"
"0
","128
"
"1
","148
"
"8
","138
"
"7
","121
"
"7
","105
"
"1
","96
"
"0
","80
"
"0
","77
"
"1
","68
"
"4
","39
"
"0
","48
"
"0
","16
"
"0
","17
"
"0
","39
"
"0
","58
"
"0
","100
"
"1
","157
"
"2
","144
"
"9
","136
"
"4
","131
"
"2
","120
"
"0
","109
"
"0
","113
"
"0
","80
"
"0
","73
"
"0
","62
"
"0
","37
"
"0
","15
"
"0
","18
"
"0
","28
"
"0
","63
"
"0
","107
"
"0
","139
"
"1
","128
"
"10
","133
"
"14
","115
"
"5
","99
"
"0
","94
"
"0
","85
"
"0
","64
"
"0
","63
"
"0
","45
"
"5
","31
"
"0
","13
"
"0
","30
"
"0
","45
"
"0
","72
"
"0
","109
"
"10
","165
"
"2
","142
"
"5
","140
"
"5
","129
"
"0
","115
"
"0
","107
"
"3
","120
"
"0
","89
"
"0
","71
"
"0
","33
"
"4
","18
"
"0
","21
"
"0
","40
"
"0
","37
"
"2
","100
"
"0
","127
"
"0
","145
"
"5
","137
"
"5
","129
"
"9
","89
"
"1
","102
"
"0
","88
"
"0
","76
"
"1
","67
"
"0
","55
"
"0
","40
"
"6
","15
"
"0
","20
"
"0
","43
"
"0
","61
"
"2
","97
"
"0
","138
"
"0
","144
"
"6
","145
"
"7
","132
"
"5
","124
"
"0
","109
"
"0
","102
"
"0
","78
"
"0
","77
"
"0
","74
"
"0
","46
"
"1
","18
"
"0
","15
"
"0
","37
"
"0
","47
"
"0
","101
"
"0
","134
"
"0
","145
"
"8
","133
"
"7
","124
"
"2
","132
"
"5
","103
"
"0
","87
"
"0
","81
"
"0
","68
"
"0
","51
"
"0
","30
"
"5
","24
"
"0
","26
"
"0
","46
"
"0
","72
"
"0
","111
"
"0
","147
"
"0
","162
"
"5
","146
"
"1
","132
"
"0
","125
"
"0
","105
"
"0
","94
"
"0
","97
"
"0
","90
"
"0
","53
"
"0
","29
"
"0
","12
"
"0
","16
"
"0
","47
"
"0
","72
"
"0
","90
"
"0
","136
"
"2
","141
"
"7
","133
"
"5
","122
"
"0
","103
"
"3
","71
"
"1
","84
"
"0
","76
"
"0
","60
"
"0
","48
"
"0
","25
"
"1
","15
"
"1
","49
"
"0
","49
"
"0
","73
"
"0
","110
"
"0
","137
"
"3
","149
"
"6
","137
"
"4
","131
"
"0
","116
"
"0
","108
"
"0
","91
"
"0
","89
"
"0
","75
"
"0
","76
"
"0
","31
"
"0
","13
"
"0
","19
"
"0
","45
"
"0
","79
"
"0
","135
"
"2
","142
"
"0
","144
"
"4
","130
"
"6
","114
"
"5
","102
"
"0
","98
"
"9
","78
"
"0
","68
"
"0
","65
"
"0
","51
"
"0
","24
"
"0
","15
"
"0
","37
"
"0
","53
"
"0
","81
"
"0
","122
"
"0
","143
"
"2
","146
"
"5
","137
"
"0
","136
"
"0
","110
"
"0
","98
"
"0
","90
"
"0
","78
"
"0
","64
"
"0
","66
"
"0
","28
"
"0
","13
"
"0
","28
"
"0
","44
"
"0
","81
"
"0
","111
"
"2
","113
"
"9
","138
"
"9
","130
"
"6
","116
"
"7
","99
"
"0
","91
"
"0
","113
"
"1
","89
"
"0
","71
"
"0
","49
"
"0
","25
"
"0
","16
"
"0
","37
"
"0
","75
"
"2
","86
"
"0
","121
"
"0
","146
"
"1
","149
"
"7
","135
"
"4
","99
"
"0
","114
"
"0
","99
"
"0
","89
"
"0
","83
"
"0
","67
"
"0
","55
"
"0
","47
"
"0
","14
"
"0
","16
"
"0
","48
"
"0
","76
"
"0
","110
"
"0
","138
"
"12
","135
"
"6
","127
"
"5
","117
"
"4
","102
"
"0
","93
"
"0
","89
"
"4
","58
"
"4
","68
"
"0
","49
"
"3
","18
"
"0
","19
"
"0
","37
"
"0
","54
"
"4
","117
"
"0
","143
"
"0
","147
"
"4
","149
"
"5
","139
"
"5
","121
"
"7
","128
"
"0
","104
"
"0
","82
"
"0
","69
"
"0
","64
"
"0
","53
"
"0
","24
"
"0
","12
"
"0
","35
"
"0
","58
"
"0
","97
"
"0
","127
"
"0
","146
"
"7
","130
"
"9
","123
"
"4
","110
"
"0
","101
"
"0
","89
"
"0
","82
"
"0
","91
"
"0
","57
"
"0
","37
"
"0
","13
"
"0
","24
"
"0
","46
"
"0
","66
"
