CH1,CH2
49,0
100,0
121,0
49,0
0,0
9,0
16,0
16,0
1,0
9,0
64,0
169,0
289,0
441,0
529,0
576,0
529,0
400,0
256,0
100,0
25,0
0,0
36,0
100,0
196,0
256,0
256,0
225,0
169,0
100,0
49,0
16,0
0,0
1,0
9,0
9,0
16,0
9,0
4,0
0,0
0,0
0,0
0,0
0,0
4,0
25,0
64,0
121,0
169,0
256,0
289,0
289,0
256,0
225,0
121,0
49,0
4,0
1,0
49,0
100,0
196,0
225,0
225,0
196,0
121,0
49,0
1,0
9,0
81,0
196,0
324,0
484,0
529,0
576,0
529,0
400,0
256,0
121,0
25,0
0,0
9,0
49,0
81,0
100,0
121,0
100,0
81,0
64,0
16,0
4,0
0,0
1,0
9,0
16,0
36,0
36,0
36,0
49,0
49,0
49,0
64,0
81,0
100,0
100,0
121,0
121,0
121,0
121,0
100,0
64,0
25,0
4,0
0,0
16,0
49,0
100,0
144,0
169,0
169,0
121,0
81,0
25,0
0,0
9,0
64,0
144,0
289,0
400,0
484,0
529,0
529,0
441,0
324,0
225,0
100,0
49,0
4,0
1,0
25,0
49,0
81,0
121,0
100,0
100,0
64,0
36,0
16,0
1,0
1,0
9,0
16,0
25,0
36,0
36,0
49,0
49,0
36,0
36,0
49,0
64,0
49,0
49,0
49,0
36,0
36,0
16,0
4,0
0,0
1,0
16,0
36,0
81,0
100,0
144,0
121,0
121,0
81,0
36,0
4,0
1,0
36,0
100,0
196,0
324,0
400,0
529,0
484,0
441,0
324,0
256,0
144,0
64,0
16,0
0,0
9,0
36,0
64,0
100,0
100,0
81,0
49,0
16,0
1,0
1,0
16,0
49,0
100,0
121,0
169,0
169,0
144,0
100,0
64,0
49,0
25,0
16,0
4,0
1,0
0,0
0,0
0,0
1,0
1,0
4,0
9,0
9,0
16,0
16,0
25,0
25,0
25,0
16,0
9,0
1,0
0,0
9,0
36,0
81,0
144,0
225,0
289,0
324,0
400,0
361,0
324,0
256,0
169,0
81,0
25,0
0,0
25,0
81,0
144,0
196,0
196,0
196,0
196,0
121,0
64,0
25,0
1,0
4,0
36,0
81,0
144,0
196,0
225,0
256,0
256,0
225,0
196,0
144,0
81,0
36,0
9,0
1,0
0,0
9,0
16,0
25,0
36,0
36,0
36,0
36,0
36,0
36,0
16,0
4,0
0,0
1,0
9,0
36,0
49,0
81,0
121,0
144,0
196,0
196,0
196,0
169,0
169,0
169,0
121,0
81,0
36,0
4,0
0,0
4,0
16,0
36,0
64,0
81,0
81,0
64,0
36,0
16,0
1,0
1,0
16,0
49,0
100,0
144,0
196,0
225,0
256,0
225,0
196,0
144,0
100,0
36,0
9,0
0,0
4,0
16,0
25,0
49,0
49,0
49,0
49,0
36,0
25,0
16,0
9,0
1,0
0,0
4,0
16,0
49,0
81,0
100,0
144,0
169,0
169,0
196,0
196,0
169,0
144,0
121,0
81,0
36,0
9,0
0,0
4,0
16,0
36,0
64,0
81,0
100,0
81,0
81,0
64,0
25,0
4,0
0,0
9,0
36,0
64,0
121,0
169,0
225,0
256,0
289,0
256,0
225,0
169,0
100,0
64,0
16,0
4,0
1,0
4,0
16,0
25,0
36,0
36,0
25,0
25,0
16,0
9,0
4,0
0,0
1,0
9,0
25,0
64,0
100,0
144,0
169,0
196,0
196,0
169,0
144,0
100,0
64,0
36,0
9,0
4,0
0,0
4,0
16,0
36,0
64,0
81,0
100,0
121,0
121,0
81,0
49,0
9,0
0,0
16,0
64,0
121,0
196,0
225,0
289,0
289,0
324,0
256,0
225,0
144,0
100,0
49,0
25,0
4,0
0,0
4,0
9,0
25,0
36,0
25,0
25,0
25,0
16,0
9,0
0,0
1,0
16,0
49,0
64,0
100,0
121,0
144,0
144,0
144,0
144,0
121,0
81,0
49,0
25,0
4,0
0,0
1,0
9,0
25,0
36,0
36,0
49,0
64,0
81,0
64,0
64,0
36,0
25,0
9,0
0,0
4,0
25,0
49,0
81,0
121,0
169,0
196,0
225,0
225,0
196,0
144,0
100,0
64,0
16,0
1,0
1,0
9,0
25,0
49,0
64,0
64,0
64,0
36,0
25,0
16,0
4,0
0,0
9,0
36,0
64,0
121,0
169,0
196,0
225,0
225,0
256,0
225,0
169,0
144,0
100,0
64,0
25,0
4,0
0,0
9,0
16,0
36,0
49,0
64,0
64,0
64,0
49,0
25,0
16,0
1,0
0,0
4,0
16,0
36,0
64,0
121,0
144,0
169,0
196,0
196,0
169,0
121,0
81,0
49,0
25,0
4,0
0,0
1,0
9,0
25,0
25,0
36,0
36,0
25,0
16,0
9,0
0,0
1,0
16,0
36,0
64,0
81,0
100,0
144,0
169,0
196,0
196,0
169,0
144,0
121,0
81,0
36,0
9,0
0,0
1,0
9,0
25,0
36,0
64,0
81,0
81,0
64,0
64,0
49,0
16,0
4,0
0,0
4,0
25,0
49,0
100,0
144,0
196,0
225,0
256,0
256,0
225,0
196,0
121,0
64,0
25,0
9,0
0,0
4,0
9,0
25,0
49,0
49,0
64,0
49,0
36,0
25,0
9,0
1,0
0,0
9,0
25,0
49,0
100,0
144,0
169,0
196,0
225,0
196,0
144,0
121,0
81,0
49,0
9,0
1,0
1,0
16,0
36,0
64,0
64,0
81,0
64,0
64,0
64,0
36,0
16,0
4,0
0,0
9,0
36,0
64,0
100,0
144,0
169,0
225,0
225,0
196,0
169,0
144,0
121,0
81,0
49,0
16,0
4,0
0,0
4,0
9,0
25,0
36,0
36,0
36,0
49,0
25,0
16,0
1,0
0,0
4,0
25,0
49,0
81,0
121,0
121,0
169,0
196,0
196,0
169,0
144,0
100,0
49,0
25,0
4,0
0,0
9,0
25,0
36,0
49,0
64,0
64,0
49,0
49,0
25,0
9,0
0,0
4,0
25,0
49,0
100,0
121,0
169,0
196,0
196,0
196,0
196,0
169,0
121,0
81,0
49,0
16,0
1,0
0,0
4,0
25,0
36,0
36,0
49,0
49,0
36,0
25,0
16,0
9,0
0,0
1,0
9,0
16,0
36,0
81,0
100,0
144,0
169,0
196,0
196,0
196,0
144,0
100,0
49,0
25,0
4,0
0,0
9,0
25,0
36,0
64,0
64,0
64,0
49,0
36,0
25,0
9,0
1,0
1,0
16,0
36,0
64,0
100,0
144,0
196,0
196,0
225,0
196,0
169,0
169,0
100,0
64,0
36,0
4,0
0,0
4,0
16,0
36,0
49,0
64,0
81,0
81,0
81,0
49,0
25,0
9,0
0,0
1,0
16,0
36,0
64,0
121,0
169,0
169,0
225,0
225,0
169,0
144,0
100,0
64,0
25,0
4,0
0,0
1,0
9,0
25,0
49,0
49,0
64,0
64,0
49,0
25,0
9,0
1,0
0,0
9,0
36,0
64,0
100,0
144,0
196,0
225,0
225,0
225,0
169,0
144,0
100,0
64,0
36,0
16,0
1,0
0,0
4,0
16,0
36,0
36,0
49,0
49,0
36,0
25,0
16,0
4,0
0,0
1,0
16,0
36,0
64,0
81,0
121,0
169,0
169,0
169,0
144,0
121,0
81,0
49,0
25,0
4,0
0,0
4,0
16,0
36,0
64,0
81,0
64,0
64,0
49,0
36,0
25,0
1,0
0,0
9,0
36,0
64,0
121,0
169,0
225,0
256,0
289,0
289,0
289,0
225,0
196,0
121,0
81,0
25,0
4,0
0,0
4,0
25,0
49,0
64,0
81,0
64,0
49,0
36,0
16,0
9,0
0,0
1,0
9,0
36,0
64,0
121,0
121,0
144,0
169,0
169,0
169,0
144,0
121,0
64,0
25,0
9,0
0,0
4,0
16,0
25,0
49,0
64,0
81,0
100,0
81,0
64,0
49,0
16,0
4,0
0,0
9,0
49,0
81,0
121,0
169,0
196,0
225,0
225,0
196,0
169,0
121,0
81,0
49,0
25,0
1,0
1,0
9,0
25,0
49,0
64,0
81,0
81,0
64,0
36,0
25,0
4,0
0,0
4,0
25,0
64,0
100,0
144,0
169,0
196,0
225,0
225,0
225,0
196,0
144,0
100,0
49,0
25,0
4,0
0,0
4,0
25,0
49,0
49,0
49,0
64,0
49,0
36,0
25,0
4,0
0,0
4,0
16,0
36,0
81,0
100,0
144,0
196,0
196,0
196,0
169,0
