CH1,CH2
2809,0
4294939396,0
29945,0
4294937348,0
2064,0
4294936729,0
15129,0
5929,0
1936,0
324,0
1,0
289,0
841,0
1521,0
2116,0
2809,0
3721,0
4489,0
5329,0
6400,0
7396,0
8464,0
9216,0
9604,0
9604,0
9025,0
7921,0
6724,0
5184,0
3600,0
2401,0
1369,0
625,0
225,0
36,0
0,0
9,0
16,0
9,0
0,0
16,0
121,0
256,0
400,0
484,0
484,0
441,0
256,0
81,0
1,0
36,0
225,0
529,0
841,0
1024,0
1156,0
1024,0
784,0
400,0
144,0
9,0
25,0
144,0
289,0
400,0
441,0
324,0
196,0
64,0
1,0
36,0
169,0
400,0
625,0
841,0
841,0
729,0
484,0
225,0
49,0
1,0
81,0
225,0
400,0
484,0
441,0
324,0
196,0
49,0
0,0
49,0
196,0
400,0
625,0
784,0
784,0
625,0
441,0
225,0
100,0
9,0
9,0
81,0
196,0
289,0
256,0
196,0
81,0
9,0
4,0
81,0
196,0
324,0
441,0
576,0
529,0
441,0
256,0
100,0
9,0
16,0
100,0
225,0
361,0
400,0
361,0
256,0
121,0
25,0
0,0
36,0
121,0
256,0
361,0
400,0
400,0
289,0
169,0
64,0
4,0
4,0
36,0
100,0
169,0
196,0
144,0
100,0
36,0
4,0
9,0
49,0
121,0
196,0
256,0
289,0
256,0
169,0
81,0
16,0
0,0
4,0
25,0
49,0
64,0
64,0
36,0
9,0
0,0
4,0
36,0
64,0
121,0
169,0
196,0
169,0
144,0
100,0
49,0
9,0
0,0
4,0
16,0
25,0
25,0
16,0
4,0
1,0
0,0
4,0
25,0
64,0
100,0
121,0
144,0
100,0
81,0
49,0
25,0
9,0
1,0
1,0
4,0
4,0
4,0
1,0
0,0
4,0
16,0
36,0
49,0
64,0
81,0
81,0
81,0
64,0
36,0
16,0
4,0
0,0
0,0
1,0
4,0
0,0
0,0
4,0
25,0
36,0
36,0
49,0
49,0
36,0
25,0
16,0
16,0
9,0
4,0
1,0
0,0
0,0
0,0
0,0
0,0
4,0
9,0
25,0
49,0
64,0
49,0
49,0
49,0
25,0
9,0
0,0
0,0
1,0
9,0
9,0
9,0
4,0
1,0
0,0
1,0
9,0
25,0
49,0
64,0
64,0
64,0
36,0
25,0
9,0
4,0
0,0
1,0
4,0
16,0
25,0
25,0
16,0
1,0
0,0
9,0
36,0
64,0
100,0
144,0
121,0
121,0
100,0
64,0
25,0
4,0
0,0
4,0
25,0
36,0
36,0
36,0
25,0
9,0
1,0
4,0
16,0
49,0
100,0
121,0
144,0
144,0
121,0
81,0
36,0
9,0
0,0
1,0
4,0
16,0
16,0
4,0
0,0
1,0
9,0
36,0
81,0
121,0
169,0
169,0
169,0
144,0
81,0
49,0
16,0
1,0
1,0
16,0
36,0
49,0
36,0
36,0
9,0
0,0
9,0
36,0
81,0
121,0
169,0
196,0
169,0
144,0
100,0
49,0
25,0
1,0
1,0
25,0
49,0
64,0
81,0
64,0
25,0
9,0
0,0
4,0
16,0
49,0
81,0
100,0
121,0
100,0
81,0
49,0
16,0
0,0
1,0
9,0
25,0
36,0
25,0
9,0
1,0
1,0
16,0
36,0
81,0
100,0
100,0
100,0
100,0
81,0
49,0
16,0
4,0
0,0
1,0
16,0
36,0
49,0
36,0
25,0
9,0
0,0
4,0
25,0
64,0
100,0
144,0
144,0
121,0
100,0
81,0
36,0
9,0
0,0
0,0
4,0
9,0
9,0
4,0
1,0
0,0
0,0
4,0
16,0
16,0
25,0
36,0
36,0
36,0
49,0
25,0
25,0
16,0
9,0
9,0
4,0
4,0
9,0
9,0
16,0
25,0
25,0
49,0
64,0
81,0
100,0
81,0
81,0
49,0
36,0
16,0
4,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
4,0
16,0
25,0
36,0
36,0
49,0
49,0
36,0
25,0
16,0
9,0
4,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
4,0
9,0
9,0
16,0
9,0
9,0
16,0
9,0
9,0
4,0
4,0
4,0
4,0
1,0
0,0
1,0
0,0
0,0
1,0
4,0
9,0
16,0
25,0
16,0
25,0
16,0
16,0
16,0
4,0
1,0
1,0
0,0
0,0
1,0
1,0
4,0
4,0
1,0
0,0
4,0
9,0
25,0
25,0
25,0
25,0
25,0
16,0
16,0
9,0
4,0
1,0
1,0
1,0
0,0
0,0
1,0
4,0
9,0
9,0
25,0
36,0
25,0
36,0
36,0
36,0
36,0
25,0
25,0
16,0
9,0
4,0
4,0
1,0
1,0
1,0
1,0
4,0
9,0
16,0
25,0
36,0
36,0
49,0
64,0
49,0
49,0
36,0
16,0
9,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
9,0
16,0
25,0
49,0
49,0
49,0
36,0
25,0
25,0
16,0
16,0
4,0
0,0
1,0
9,0
9,0
4,0
1,0
0,0
4,0
16,0
25,0
36,0
49,0
36,0
36,0
36,0
16,0
16,0
9,0
4,0
1,0
0,0
0,0
1,0
4,0
1,0
1,0
0,0
1,0
4,0
16,0
16,0
16,0
25,0
16,0
9,0
4,0
1,0
1,0
0,0
1,0
4,0
1,0
1,0
0,0
1,0
9,0
16,0
25,0
49,0
64,0
64,0
64,0
64,0
81,0
64,0
49,0
36,0
25,0
16,0
9,0
4,0
1,0
0,0
0,0
1,0
4,0
9,0
25,0
16,0
25,0
36,0
16,0
16,0
16,0
4,0
4,0
4,0
1,0
4,0
1,0
1,0
0,0
1,0
4,0
9,0
16,0
36,0
36,0
36,0
64,0
49,0
49,0
36,0
25,0
16,0
9,0
4,0
4,0
4,0
1,0
0,0
0,0
0,0
0,0
4,0
4,0
16,0
36,0
36,0
49,0
49,0
64,0
49,0
49,0
49,0
25,0
16,0
4,0
0,0
0,0
1,0
4,0
1,0
1,0
0,0
1,0
9,0
9,0
25,0
16,0
25,0
16,0
9,0
16,0
4,0
1,0
0,0
1,0
4,0
9,0
16,0
9,0
4,0
0,0
0,0
4,0
16,0
25,0
36,0
36,0
36,0
36,0
25,0
16,0
9,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
4,0
16,0
36,0
36,0
49,0
64,0
49,0
36,0
36,0
25,0
16,0
9,0
1,0
0,0
0,0
0,0
