CH1,CH2
76,182
57,69
59,64
53,118
63,114
66,54
76,34
72,224
69,412
74,339
45,44
73,114
80,128
66,126
63,59
57,29
66,25
89,65
81,174
80,153
90,34
87,88
88,129
88,111
79,102
72,75
74,21
73,59
68,40
60,62
62,26
54,30
72,48
84,37
75,37
72,28
71,46
68,63
75,27
78,34
70,53
65,138
63,130
62,116
72,89
68,98
68,133
59,113
60,150
65,122
56,26
70,31
75,61
81,27
84,39
65,30
57,47
58,35
61,74
71,157
83,185
79,37
78,27
71,28
74,175
80,268
67,191
69,115
77,108
66,42
71,122
82,194
65,133
64,45
58,74
67,31
65,48
78,48
72,50
70,76
68,107
72,31
70,56
79,111
69,166
65,59
71,31
69,29
69,35
42,61
60,79
62,31
63,29
74,35
75,33
62,34
65,87
84,38
68,29
86,78
88,26
84,47
65,31
63,30
65,41
76,28
71,41
68,59
63,37
63,33
65,49
75,47
72,66
55,79
62,81
59,32
58,38
75,27
85,83
87,120
85,49
76,54
72,144
62,143
59,32
52,30
55,37
65,99
86,144
91,69
87,107
63,82
62,112
75,29
66,160
48,254
44,165
56,88
68,55
72,54
60,109
77,78
63,52
78,29
83,26
86,39
71,60
80,43
59,40
69,35
61,26
65,104
80,116
67,111
68,37
59,226
67,135
66,43
75,83
94,23
82,29
75,70
63,48
71,32
73,39
107,32
66,37
60,28
76,26
68,29
70,31
86,114
60,67
61,34
61,27
59,34
76,31
86,69
71,38
66,25
67,27
71,34
65,46
74,46
72,32
65,64
63,30
65,29
66,40
78,25
72,26
62,34
61,30
81,29
72,28
78,36
67,28
67,39
67,32
67,44
71,38
85,32
73,63
68,33
64,32
80,70
90,42
91,22
61,39
64,46
63,60
58,37
84,31
93,20
79,34
69,78
66,57
64,53
74,28
77,7
77,25
65,26
73,99
71,113
79,31
67,90
57,22
65,88
68,96
70,144
81,112
89,57
80,118
66,122
80,27
71,56
60,177
44,169
56,64
71,58
67,75
70,151
71,42
68,36
78,174
74,136
70,58
68,31
62,49
59,107
65,207
76,221
73,146
79,53
62,21
61,25
60,27
62,47
62,36
80,31
66,40
62,36
61,28
60,32
62,30
78,25
69,38
66,64
73,103
87,102
77,38
71,123
67,157
76,47
82,30
73,28
72,32
66,71
62,53
60,75
85,83
75,87
70,119
72,65
71,70
67,65
74,44
77,28
69,75
75,161
69,122
60,69
64,28
59,26
61,29
77,44
65,44
80,157
71,126
61,55
71,26
79,56
78,213
65,193
77,75
73,128
67,34
45,38
61,28
70,45
68,83
67,82
64,72
71,143
69,136
77,97
72,27
81,131
79,319
72,121
68,68
73,32
76,25
68,33
68,72
64,32
65,39
71,29
67,41
72,82
82,155
60,261
70,41
76,98
73,55
75,42
57,38
65,62
68,54
72,33
66,80
71,66
87,77
76,154
78,120
66,156
67,126
68,58
91,135
79,202
69,125
58,132
65,136
62,91
67,47
67,26
70,38
66,34
67,33
76,32
84,29
73,66
74,54
67,46
63,32
58,69
64,67
64,124
64,161
63,228
69,160
72,88
74,112
71,49
67,26
63,36
70,47
89,33
71,42
69,25
66,85
71,80
65,19
63,34
61,36
65,26
64,35
67,29
77,57
68,134
62,90
68,49
82,119
83,156
90,79
67,37
60,59
66,196
73,171
61,30
63,35
79,55
82,124
73,46
59,81
81,46
66,103
65,153
59,103
78,51
80,52
76,79
77,35
62,37
53,100
56,66
58,39
59,48
66,211
66,305
95,264
76,40
79,202
66,154
70,95
52,47
68,22
73,35
66,94
68,68
71,85
75,48
73,67
67,123
77,113
68,32
61,94
64,32
61,38
68,95
63,100
76,26
72,115
67,160
64,93
56,26
82,69
66,24
81,32
74,192
70,278
76,51
70,83
69,29
61,62
61,29
86,27
76,28
71,121
58,139
66,50
84,32
72,35
61,27
56,65
72,50
69,24
79,29
69,148
69,56
53,72
54,93
67,77
82,78
80,56
75,57
76,34
64,32
72,34
69,56
69,85
71,41
71,32
65,30
74,47
69,26
69,65
69,79
72,36
60,28
61,27
67,128
64,132
62,54
51,25
66,54
71,235
70,248
88,172
98,29
77,30
63,49
70,163
62,244
68,280
67,53
64,80
64,145
67,128
82,75
85,38
68,52
60,63
62,33
74,28
65,62
70,81
63,59
76,30
68,134
61,85
53,32
63,23
58,28
67,37
60,25
71,49
72,108
73,132
88,131
66,31
69,31
64,56
70,45
74,61
71,41
63,59
61,35
66,60
75,67
75,149
66,59
81,31
79,107
84,130
74,115
51,52
53,36
66,27
70,28
77,35
79,40
76,55
58,27
62,69
78,117
