CH1,CH2
119,23
76,26
109,47
164,66
107,56
296,53
489,17
109,137
99,139
160,95
509,102
539,27
326,66
177,57
155,99
139,92
383,75
100,26
98,22
291,25
403,37
309,44
187,51
196,47
86,34
103,24
138,22
141,51
113,47
113,71
115,62
374,68
130,54
212,109
67,25
79,25
83,27
83,21
105,37
114,30
63,25
187,31
127,67
81,27
169,38
187,30
149,43
63,21
72,25
71,43
79,40
76,54
103,42
70,22
83,45
64,58
30,49
115,33
126,37
114,25
72,28
167,25
81,21
153,31
180,25
73,29
353,56
205,24
144,29
208,22
120,28
109,28
181,48
100,25
79,32
127,63
131,25
74,25
10,43
99,21
83,22
69,43
63,55
76,86
89,81
80,27
88,24
111,57
121,38
99,41
77,32
72,50
78,41
102,24
122,26
164,7
247,45
147,55
84,26
112,34
257,42
53,47
94,25
76,46
64,33
110,30
76,31
25,22
351,35
419,24
283,22
100,21
224,7
158,61
116,43
145,47
136,27
68,55
132,54
148,22
302,57
156,25
203,16
88,24
73,27
212,23
136,24
80,23
91,37
64,26
119,46
124,48
71,35
65,27
107,29
199,48
72,56
71,25
64,32
97,42
128,20
197,21
153,29
158,40
104,90
205,48
38,27
164,30
272,25
83,27
69,26
68,58
171,72
183,34
138,30
196,37
100,31
284,24
134,27
418,21
95,45
270,35
189,30
163,31
79,56
267,31
139,22
268,25
424,28
301,26
80,51
119,39
241,29
151,23
284,29
324,43
296,76
223,23
72,85
129,88
132,39
156,30
137,74
136,41
107,46
75,23
83,22
155,22
63,41
84,59
129,18
90,29
102,46
109,58
159,18
117,27
83,23
116,23
133,23
88,23
89,60
61,7
84,22
82,26
106,23
107,25
89,32
103,88
69,86
71,59
84,22
91,24
91,36
128,23
67,29
66,28
77,26
88,24
123,24
178,23
135,58
65,61
122,31
75,25
70,15
72,60
71,49
75,43
89,49
92,80
81,47
55,39
101,22
108,79
63,71
75,37
72,30
96,22
123,57
123,126
83,38
100,24
43,27
105,29
84,21
121,22
282,37
342,29
137,29
123,26
80,36
167,51
56,47
159,33
237,22
100,25
91,31
111,31
145,45
126,24
112,22
64,22
76,24
75,29
102,37
322,49
128,27
95,26
195,75
86,48
165,23
83,26
84,21
148,23
207,31
167,7
95,21
308,25
298,22
112,32
203,24
145,38
278,24
83,36
185,44
419,34
376,10
88,64
179,51
165,25
95,24
237,26
100,62
320,126
406,160
298,24
98,98
428,141
427,89
104,97
67,45
92,26
67,23
51,40
77,49
67,73
88,26
79,28
112,63
4,28
69,24
124,23
125,23
106,28
97,15
40,40
82,48
89,34
94,24
71,25
87,34
183,24
119,22
119,24
106,23
65,30
73,47
76,26
72,33
120,62
114,35
71,28
2,11
90,25
130,32
171,32
95,29
72,22
106,33
126,23
98,23
100,28
76,22
88,24
111,59
84,31
71,52
80,53
94,46
85,16
109,50
88,36
68,25
97,25
136,79
163,118
93,142
53,28
76,68
97,45
67,21
30,31
84,30
77,28
76,26
152,60
178,19
326,109
97,46
248,22
140,56
59,52
82,25
123,22
111,24
127,59
173,69
87,91
312,32
123,97
98,54
126,48
141,52
67,6
100,29
79,38
113,25
158,30
114,27
115,29
90,27
78,73
77,65
109,36
127,14
57,28
72,39
157,23
272,30
320,25
306,69
263,68
76,53
76,23
60,24
80,26
36,25
348,37
438,23
273,33
123,57
101,39
102,60
139,110
239,34
153,72
60,57
3,45
94,45
84,32
92,32
148,21
151,30
304,46
137,35
244,33
323,48
169,24
53,41
77,81
97,23
114,30
300,68
472,33
325,33
295,25
563,56
306,23
145,46
209,43
270,29
118,82
164,94
241,56
90,11
94,23
88,22
224,37
182,89
248,30
249,119
555,110
97,63
392,59
232,46
291,177
143,144
88,65
163,35
69,24
99,22
120,27
95,22
71,28
95,33
87,43
121,27
201,27
125,27
85,22
102,24
67,35
97,34
114,71
132,26
175,37
101,21
122,64
192,54
113,22
85,23
46,20
125,35
95,28
82,36
83,27
133,21
101,47
113,50
18,55
95,26
95,24
78,23
72,21
67,21
45,30
67,85
146,63
197,24
126,21
81,47
4,29
74,26
78,39
69,40
74,27
83,25
81,37
97,23
95,25
92,37
78,61
85,43
57,29
84,60
81,73
79,64
88,52
80,64
166,59
169,31
120,25
141,34
176,26
176,50
340,23
374,27
115,32
119,83
144,71
197,89
89,65
69,23
91,33
118,26
175,68
276,52
83,61
344,71
185,67
93,33
54,41
147,24
101,28
139,27
93,28
120,9
106,26
347,63
234,40
67,70
173,59
192,33
215,70
327,33
175,29
160,38
264,46
108,24
353,32
211,30
68,19
265,26
131,82
319,59
72,68
75,68
87,29
448,110
231,22
402,28
499,44
107,37
161,19
135,65
112,45
127,33
163,53
414,30
102,21
232,116
292,85
440,40
128,90
281,112
78,26
114,52
146,27
85,30
136,94
3,60
90,36
69,26
122,51
99,110
137,61
246,25
166,41
118,58
106,32
74,23
111,51
292,22
146,26
126,31
80,82
144,25
61,36
83,35
136,47
98,24
111,79
136,72
97,65
230,24
145,34
97,41
77,34
87,35
75,28
73,24
104,31
113,21
66,27
64,57
84,29
79,26
90,35
64,28
83,59
84,29
88,37
74,26
96,32
90,30
69,26
149,51
176,46
134,50
69,22
101,35
96,58
226,27
194,23
67,38
86,36
136,26
319,32
121,21
144,28
128,31
166,28
248,10
64,90
203,46
169,27
111,38
179,28
117,28
125,29
80,37
302,46
419,52
173,49
153,57
132,146
93,65
129,39
97,26
313,112
641,113
409,88
190,28
314,73
440,63
360,41
84,30
174,33
136,48
364,66
106,36
68,29
151,25
122,27
92,23
201,77
159,118
87,47
182,34
196,26
136,50
186,32
270,53
313,21
348,32
160,55
215,30
81,126
154,170
237,156
405,93
216,30
69,156
93,123
161,28
242,105
208,18
166,138
354,25
124,71
134,26
504,83
201,62
63,71
81,41
193,27
68,69
150,37
96,46
125,25
120,22
238,25
219,59
146,41
286,46
341,24
201,25
76,26
121,34
111,74
127,25
80,39
108,40
64,41
76,26
92,24
116,60
124,66
81,34
68,13
73,71
70,101
73,64
81,28
88,26
110,46
76,30
65,20
79,25
93,24
121,46
165,59
121,35
71,32
73,33
80,31
71,83
0,73
93,29
72,40
186,49
92,25
135,64
309,39
317,32
88,54
153,25
66,21
128,9
104,23
113,25
108,36
82,42
125,51
101,23
95,23
202,37
133,51
144,28
84,10
231,28
227,22
82,28
67,25
311,60
107,47
149,26
384,29
136,47
179,26
351,68
236,33
75,67
71,51
402,54
523,84
114,54
215,98
273,79
203,24
144,28
189,9
268,22
144,29
111,59
81,24
193,23
118,57
190,141
275,140
172,36
260,47
125,76
179,38
72,41
292,87
108,30
79,39
31,55
98,64
76,28
261,35
85,55
243,70
114,63
148,29
172,39
63,35
167,104
501,109
142,21
83,64
160,58
361,25
136,51
80,31
125,26
128,24
94,68
88,101
97,50
190,29
177,43
121,77
70,89
85,88
88,40
50,25
110,63
95,45
98,38
70,24
80,55
85,34
120,34
153,43
129,30
28,39
96,34
86,46
68,69
65,60
91,50
89,35
75,31
69,29
100,81
92,34
87,48
105,24
112,21
103,37
78,43
138,71
74,25
88,27
137,33
101,35
60,30
80,24
114,39
110,26
71,24
78,24
145,22
409,36
328,22
120,23
888,24
345,31
127,49
109,37
86,26
63,23
201,25
405,27
375,33
185,22
317,23
153,54
159,104
279,32
122,24
113,27
167,70
426,145
179,93
111,67
378,22
549,97
196,66
270,54
123,89
132,33
73,47
192,34
250,94
261,63
76,24
81,23
135,26
151,46
208,37
298,64
152,71
182,28
217,73
614,57
274,26
208,37
244,121
211,127
257,59
152,53
151,62
115,75
70,65
134,52
532,92
559,139
397,81
80,54
129,74
832,30
437,135
338,47
220,46
87,110
453,35
320,69
323,38
345,26
157,26
109,24
202,27
84,58
40,66
70,26
150,34
69,27
119,56
86,23
66,60
61,39
94,27
75,30
73,33
94,64
102,44
125,25
77,22
77,22
81,24
153,59
111,26
64,25
67,28
73,26
93,23
80,16
77,25
100,27
77,27
63,30
66,26
63,43
87,35
73,31
69,49
73,59
81,49
80,55
82,25
104,32
163,49
140,38
62,40
31,25
109,36
79,23
