CH1,CH2
97,29
88,32
97,30
90,30
88,30
90,29
95,39
78,31
87,32
82,29
81,27
84,32
93,30
98,29
87,32
91,33
72,30
81,32
91,29
95,33
84,29
87,36
94,29
89,29
86,31
93,27
91,33
95,31
89,29
89,28
88,40
88,28
97,32
97,32
91,29
93,30
92,38
83,32
95,32
85,31
89,27
87,28
83,45
74,34
94,32
89,31
89,31
86,28
84,45
72,32
92,32
89,30
87,31
85,28
85,52
90,31
98,33
94,31
91,30
91,28
90,45
85,34
93,30
93,30
90,28
89,28
87,27
77,33
82,29
88,31
83,27
84,32
84,28
68,30
85,33
88,31
86,29
85,30
85,27
99,31
90,33
91,30
94,31
90,28
88,27
83,30
86,32
89,29
87,29
88,28
87,28
83,29
83,32
91,28
87,28
84,28
86,33
84,37
89,31
88,31
87,28
86,28
86,30
85,33
89,30
87,31
86,28
85,28
86,29
83,40
89,31
85,30
85,29
85,28
85,30
88,42
89,31
87,28
88,29
87,27
86,31
92,27
93,32
82,28
86,31
86,27
83,32
115,29
89,28
92,28
89,32
99,29
95,29
88,35
92,29
84,32
84,31
96,30
96,27
90,38
83,29
84,32
80,31
97,35
96,28
83,36
88,30
84,33
84,31
96,31
96,29
108,33
81,30
89,28
87,27
88,28
88,33
85,31
79,30
89,27
86,29
81,29
85,36
86,45
90,29
91,29
85,28
85,31
84,34
90,30
97,27
95,28
91,28
88,32
90,32
100,42
87,28
84,28
93,27
94,32
85,30
88,32
83,28
78,28
95,35
93,32
88,29
83,40
82,27
82,27
94,33
94,30
88,30
88,35
85,30
80,27
94,33
92,31
87,30
92,31
91,31
82,28
95,33
95,31
89,29
97,35
84,28
82,29
96,32
94,35
89,29
99,31
86,29
83,31
97,31
94,31
89,29
111,32
91,31
98,29
94,27
90,28
91,32
95,29
80,30
92,29
90,28
84,27
89,37
97,28
90,31
95,30
92,27
89,28
89,33
102,42
82,27
84,33
84,32
98,29
95,29
95,28
87,28
88,32
86,28
99,30
85,27
94,28
89,27
81,33
83,33
98,29
93,27
93,35
83,32
82,33
85,32
96,29
93,28
99,31
85,32
83,32
83,31
99,27
95,29
105,42
93,29
89,29
96,29
92,42
93,29
87,37
90,33
92,30
92,29
91,29
86,28
100,39
86,27
84,28
84,32
86,31
97,29
84,39
78,27
83,30
85,32
80,32
97,34
87,35
84,28
86,30
88,32
85,31
102,28
89,33
84,30
97,32
94,29
89,29
89,28
81,33
78,30
80,31
89,30
85,28
78,29
82,30
78,28
89,31
89,33
86,28
86,29
87,39
93,32
95,31
91,34
95,30
91,28
95,34
96,32
96,32
91,30
88,29
88,28
92,34
88,30
94,31
90,30
87,29
89,28
96,32
92,28
95,31
89,29
89,32
89,29
99,32
82,35
92,31
86,30
86,30
85,28
108,33
86,28
86,28
84,30
86,32
85,31
95,36
81,28
87,27
85,30
81,32
84,35
101,34
84,31
88,31
98,28
92,27
90,27
86,42
83,30
89,33
84,30
91,29
90,28
87,41
82,31
82,29
94,27
89,27
82,27
90,40
85,28
91,29
95,30
90,28
88,28
98,39
96,29
96,29
96,29
92,28
89,27
104,36
82,30
87,27
87,28
86,27
97,32
