CH1,CH2
108,373
67,100
150,211
342,277
427,63
454,135
197,222
54,110
24,52
34,42
95,81
140,227
208,279
220,232
169,69
66,135
30,214
54,199
170,79
207,201
170,424
168,207
197,13
40,24
228,112
344,15
163,60
361,30
561,22
323,144
122,36
333,32
443,25
689,22
110,27
387,46
174,74
60,26
95,39
191,27
163,96
22,97
30,17
243,131
211,161
195,185
104,147
296,35
211,162
178,90
55,54
4,28
42,12
72,97
195,86
73,13
221,54
104,117
158,194
194,70
27,104
382,275
239,221
46,229
92,210
46,209
179,146
582,152
242,273
422,66
564,14
69,56
118,101
462,152
195,77
64,131
62,298
211,382
47,56
28,144
110,86
366,84
751,157
78,54
187,20
50,50
78,154
234,23
142,142
56,332
157,344
244,127
95,347
83,56
118,104
121,17
453,99
95,111
57,108
331,23
35,198
30,268
66,371
118,427
406,137
41,382
266,647
426,399
43,315
263,115
149,225
55,251
27,277
36,143
76,283
54,365
211,203
54,62
207,10
214,81
90,21
26,110
77,57
188,32
149,38
116,40
23,13
26,105
340,200
302,217
66,337
229,254
285,146
507,219
355,200
75,169
173,101
555,59
461,14
165,20
173,86
81,139
29,218
59,236
166,257
139,131
340,71
430,368
63,412
411,192
580,24
374,113
84,181
492,59
406,96
542,65
173,19
374,30
1023,15
470,11
81,17
121,17
298,59
268,27
134,33
39,67
109,98
43,88
93,65
209,85
48,45
107,51
56,142
42,168
136,129
97,44
126,122
314,23
42,107
125,17
49,174
410,470
446,528
12,449
67,49
88,425
99,591
190,305
321,232
110,586
111,398
54,62
79,300
203,877
209,1005
197,245
200,105
98,160
140,229
81,182
38,31
61,185
35,499
93,332
95,28
89,307
68,435
225,93
126,43
68,224
53,549
33,413
28,127
69,24
37,196
5,451
104,767
112,362
31,140
34,40
79,86
63,224
50,327
38,147
24,11
79,78
222,246
313,179
188,21
56,102
104,268
27,297
343,408
369,293
200,160
179,10
190,340
347,708
435,504
50,302
299,102
317,46
40,120
69,140
67,177
43,164
31,103
19,70
33,20
53,267
24,226
70,31
40,20
30,14
29,67
169,15
285,15
241,51
177,45
77,63
56,64
109,112
384,116
51,47
177,132
87,56
245,19
92,14
20,21
216,17
196,11
120,113
37,172
61,197
324,188
407,210
110,49
172,290
100,217
190,159
260,11
205,60
64,38
302,83
155,94
39,65
249,126
102,125
110,15
195,30
52,163
28,326
72,437
134,421
55,423
52,225
42,363
39,73
30,36
43,81
41,317
122,271
172,166
30,63
41,83
122,300
316,483
153,268
67,195
51,21
130,19
161,11
134,85
71,421
33,613
157,358
262,194
43,26
123,249
27,623
62,592
41,53
39,132
47,257
117,529
23,451
142,112
105,371
226,186
345,27
207,45
39,67
35,82
92,13
48,21
117,54
238,91
321,119
329,38
335,101
448,67
63,117
227,301
496,176
567,29
339,205
29,277
49,248
68,26
185,177
187,194
195,62
96,125
176,112
