CH1,CH2
"121
","89
"
"117
","342
"
"208
","443
"
"235
","306
"
"238
","121
"
"288
","119
"
"254
","447
"
"154
","639
"
"43
","624
"
"100
","410
"
"105
","302
"
"59
","173
"
"13
","71
"
"63
","24
"
"198
","160
"
"174
","115
"
"25
","89
"
"17
","102
"
"27
","198
"
"101
","147
"
"73
","36
"
"57
","30
"
"52
","146
"
"83
","144
"
"128
","144
"
"238
","30
"
"197
","163
"
"95
","102
"
"39
","38
"
"144
","108
"
"219
","108
"
"174
","86
"
"70
","145
"
"23
","301
"
"4
","270
"
"17
","210
"
"70
","44
"
"36
","91
"
"9
","83
"
"74
","173
"
"167
","92
"
"180
","41
"
"179
","66
"
"12
","33
"
"35
","203
"
"83
","413
"
"184
","312
"
"92
","420
"
"88
","441
"
"132
","261
"
"87
","22
"
"52
","24
"
"19
","128
"
"13
","56
"
"54
","119
"
"90
","316
"
"19
","493
"
"16
","471
"
"11
","379
"
"14
","491
"
"8
","261
"
"0
","102
"
"5
","220
"
"20
","385
"
"42
","133
"
"26
","59
"
"13
","224
"
"17
","526
"
"11
","479
"
"37
","319
"
"16
","104
"
"48
","241
"
"154
","187
"
"139
","33
"
"50
","130
"
"39
","26
"
"64
","106
"
"92
","114
"
"0
","218
"
"1
","145
"
"42
","170
"
"12
","439
"
"31
","390
"
"37
","195
"
"48
","69
"
"20
","120
"
"60
","98
"
"150
","179
"
"160
","270
"
"103
","54
"
"26
","82
"
"10
","123
"
"147
","62
"
"213
","54
"
"79
","20
"
"10
","17
"
"14
","77
"
"5
","167
"
"3
","134
"
"84
","67
"
"138
","115
"
"42
","148
"
"19
","121
"
"13
","61
"
"33
","78
"
"47
","103
"
"13
","230
"
"53
","202
"
"94
","55
"
"93
","119
"
"76
","284
"
"146
","126
"
"41
","37
"
"160
","157
"
"79
","524
"
"204
","586
"
"268
","455
"
"247
","398
"
"109
","52
"
"122
","141
"
"1
","58
"
"20
","108
"
"2
","154
"
"26
","19
"
"4
","57
"
"10
","109
"
"92
","20
"
"156
","53
"
"160
","160
"
"118
","271
"
"55
","343
"
"74
","189
"
"42
","52
"
"2
","82
"
"31
","43
"
"32
","71
"
