CH1,CH2
425,856
429,854
434,852
433,849
430,844
430,840
432,835
434,829
434,822
433,814
432,806
431,797
429,789
427,782
424,776
416,769
404,762
392,755
387,748
385,744
381,743
372,744
365,745
360,745
350,743
339,738
333,732
332,724
331,717
328,709
322,701
315,694
307,688
295,683
282,679
271,676
264,674
261,674
261,672
267,670
277,668
285,665
291,661
296,657
303,652
309,644
311,636
308,627
305,618
302,611
299,606
295,604
289,603
285,601
281,599
279,596
278,594
277,593
278,594
281,596
280,598
270,597
256,596
242,593
229,590
220,585
217,578
222,571
228,563
235,556
238,550
239,546
240,543
241,541
244,541
247,541
251,542
256,543
260,544
262,544
264,543
265,542
267,540
269,536
271,531
274,525
275,520
275,514
276,508
278,503
279,499
277,496
272,494
266,494
261,495
262,498
269,501
279,504
289,507
296,509
302,511
304,511
305,508
304,504
304,498
304,494
306,490
307,485
309,481
311,477
314,474
318,471
320,469
322,469
323,469
324,469
327,472
331,477
336,480
344,481
353,481
360,481
361,480
351,478
339,473
331,468
327,464
323,460
321,458
326,454
337,446
357,439
379,436
395,436
397,437
387,442
374,451
363,458
355,463
349,465
344,464
340,461
338,459
340,456
344,452
350,447
357,443
364,439
374,436
384,433
395,431
405,429
412,429
416,431
417,433
416,437
415,440
414,443
414,445
414,447
415,447
418,445
422,443
430,440
437,436
442,432
444,428
442,425
440,424
441,423
444,422
445,422
443,423
436,426
430,430
427,434
428,438
427,441
426,443
424,444
420,443
414,442
410,440
406,436
406,433
409,430
415,428
424,427
434,427
444,427
453,428
461,430
467,433
472,437
476,441
478,445
479,448
480,451
482,452
484,452
486,451
490,449
492,446
494,441
496,436
498,431
500,426
502,423
502,421
502,421
501,423
500,425
500,427
500,431
500,434
500,437
501,440
501,442
501,443
501,443
500,442
500,440
500,437
501,433
502,428
503,422
504,417
504,414
506,412
508,412
509,413
510,416
510,420
509,426
509,431
510,434
510,437
511,437
511,437
511,436
510,434
509,430
508,426
507,422
507,418
508,414
509,413
509,415
508,416
507,416
505,414
503,412
502,412
502,415
504,421
506,428
507,434
505,438
499,439
493,438
488,435
487,432
491,429
498,425
506,421
514,418
519,416
521,414
520,415
516,416
511,418
507,422
503,425
502,429
504,432
507,435
511,435
516,433
519,429
521,426
521,425
519,423
517,421
517,419
518,417
520,414
522,413
524,412
525,413
528,415
531,419
532,424
533,429
532,433
530,436
527,438
524,439
522,439
521,438
520,436
523,434
526,430
527,427
529,424
530,421
531,419
533,418
535,418
536,420
538,422
541,426
543,430
542,434
538,437
534,439
