CH1,CH2
935,564
961,561
977,558
980,555
971,553
953,550
928,547
900,543
870,538
839,533
809,527
781,518
755,508
730,499
708,493
689,490
671,488
655,486
637,482
618,477
594,467
562,458
528,452
494,454
459,464
430,481
419,500
431,520
460,536
496,545
534,546
568,541
594,534
612,528
622,525
625,522
623,520
613,516
593,511
563,505
530,501
498,499
474,495
461,491
457,488
455,491
446,499
428,507
408,513
393,518
389,523
381,527
350,529
298,528
248,526
229,523
255,520
332,517
437,517
539,517
623,517
690,517
743,517
777,517
793,515
793,512
782,510
763,509
737,510
706,513
665,517
606,520
527,521
435,520
349,519
282,518
234,518
223,517
244,514
284,508
336,501
394,496
459,494
533,492
600,489
650,486
680,485
694,486
698,491
697,498
694,505
690,511
684,513
676,513
666,511
653,508
632,506
597,504
546,501
479,497
389,492
313,487
253,480
205,471
167,464
159,462
230,464
361,469
509,476
631,488
723,503
779,518
808,533
818,543
815,549
803,551
784,550
762,548
738,545
713,542
681,538
637,534
578,531
512,528
457,524
430,518
432,512
462,506
509,498
553,489
587,477
606,463
610,451
602,447
587,454
569,468
556,486
553,502
560,515
573,527
581,537
580,544
571,548
558,549
548,548
545,546
547,543
545,537
537,530
522,521
493,512
442,503
374,493
303,484
250,480
235,481
257,485
296,486
334,487
366,488
404,491
458,494
526,497
592,501
641,506
672,513
691,520
699,525
700,526
696,525
689,521
677,512
660,499
637,485
606,470
566,459
510,454
427,456
342,463
276,476
223,495
182,515
149,531
160,541
226,542
329,539
445,532
551,527
641,526
712,526
761,528
789,528
800,527
800,525
789,521
766,515
731,511
692,510
651,510
611,509
574,504
542,493
510,483
477,479
447,482
429,487
426,493
441,499
472,504
513,508
554,510
589,513
611,519
622,527
621,534
609,537
589,535
554,528
486,519
392,510
314,501
254,489
206,476
168,462
136,448
112,440
103,437
141,437
246,440
402,446
545,457
659,475
751,496
823,515
873,530
894,541
885,548
850,552
792,554
721,552
652,547
600,542
574,539
574,535
593,527
614,517
621,505
611,494
593,488
575,487
568,490
576,496
596,501
620,503
640,503
653,507
657,515
651,524
637,530
619,536
601,541
587,546
577,551
570,554
564,554
550,548
520,537
471,522
416,508
372,499
351,494
358,494
382,500
401,509
407,519
398,527
380,532
354,536
321,535
276,529
223,520
181,509
148,501
121,498
137,502
235,509
393,517
538,526
655,533
745,536
801,535
832,529
848,517
857,504
857,492
849,487
831,485
807,485
780,486
753,486
724,488
692,493
657,499
620,507
577,516
531,523
485,525
432,524
369,519
300,514
243,513
197,516
160,524
134,533
164,541
268,546
411,550
550,551
661,551
738,547
790,543
823,535
842,524
848,514
843,508
828,507
804,506
778,507
749,512
720,519
693,527
662,531
621,532
567,530
507,531
451,531
413,526
407,517
435,509
482,509
529,514
564,519
587,524
600,526
605,526
607,527
607,528
604,529
597,531
589,534
583,540
580,546
583,549
587,548
590,541
579,531
533,521
448,510
359,497
289,485
234,479
190,480
173,488
195,497
246,507
316,518
398,529
490,539
590,548
682,554
751,558
793,559
812,560
814,561
802,561
780,558
750,551
723,542
704,528
689,517
674,510
659,506
647,505
636,505
628,508
618,510
600,514
573,518
544,522
520,525
508,527
507,527
511,526
508,521
488,515
451,508
409,501
384,498
386,499
414,505
452,515
489,525
518,533
530,539
530,542
528,543
529,544
537,544
554,543
584,541
620,537
649,534
669,530
681,527
686,524
685,522
678,521
664,520
643,518
609,513
554,504
484,494
416,488
368,488
350,493
374,499
430,506
499,509
562,509
608,506
638,503
653,503
657,506
654,512
647,519
640,522
634,521
630,516
624,508
618,498
611,488
600,478
582,472
549,467
491,462
401,454
322,448
261,447
211,449
172,453
140,465
114,487
127,514
230,538
396,554
540,563
656,566
748,563
821,558
879,552
926,544
956,537
964,532
952,529
927,526
895,520
862,510
827,503
794,502
762,507
730,514
696,522
657,528
617,530
580,529
555,526
542,522
538,517
538,510
544,502
553,494
562,488
571,486
576,486
577,488
575,491
572,495
570,499
569,500
569,499
572,497
579,495
589,492
598,487
606,480
611,477
610,480
605,489
596,499
585,509
574,516
563,519
542,518
515,514
479,508
429,502
374,494
324,487
297,481
294,479
317,479
369,480
445,483
526,486
598,486
651,485
681,484
689,486
679,489
660,491
640,493
626,496
622,503
621,507
613,509
593,512
557,513
499,510
416,502
333,492
269,484
219,479
178,479
178,482
252,485
371,488
491,489
587,488
663,489
730,492
784,495
820,494
838,491
840,490
830,495
809,504
784,514
757,523
732,529
709,534
689,537
670,540
646,542
615,540
573,535
518,529
457,518
404,501
362,480
331,462
317,448
320,440
343,439
389,446
456,459
529,475
593,490
641,503
673,513
692,519
701,518
703,512
700,507
692,507
681,513
670,520
659,527
648,531
638,535
628,536
618,534
608,531
602,526
599,518
594,511
577,506
550,502
520,496
496,492
480,489
476,489
482,492
499,497
519,502
535,506
541,510
531,512
501,511
458,508
414,504
378,500
364,495
377,490
412,483
457,475
501,470
540,470
575,476
605,485
629,495
648,504
662,509
669,511
670,509
658,504
627,498
578,491
519,486
454,484
392,485
346,486
317,487
296,487
267,490
220,494
179,499
146,502
123,503
150,505
238,509
371,514
515,516
637,514
733,513
799,516
828,519
822,521
790,522
744,522
692,521
645,519
616,518
609,517
623,514
645,507
664,496
672,482
664,470
644,468
622,475
607,485
602,494
604,499
611,502
619,503
626,503
630,503
630,505
626,510
616,516
602,519
588,518
576,515
567,511
560,506
552,502
543,496
536,488
536,479
544,475
548,477
544,481
533,487
520,493
507,500
488,507
463,508
447,505
446,502
457,502
479,502
509,504
532,510
537,518
519,524
486,525
446,521
403,516
371,511
362,505
379,497
417,488
469,483
527,483
578,487
617,496
642,507
656,519
661,528
660,533
653,535
640,535
623,534
607,531
592,530
577,531
561,530
541,526
516,520
493,516
479,516
474,518
480,517
498,513
526,505
555,494
576,485
581,479
565,474
517,470
431,469
345,471
279,476
227,481
201,487
209,492
253,498
318,505
395,512
470,519
539,524
598,528
639,530
659,532
664,532
656,529
643,527
633,523
628,518
626,511
622,501
612,489
598,477
576,465
532,458
472,455
410,458
362,468
337,483
346,498
389,510
453,518
521,522
577,522
617,519
643,512
657,505
663,498
664,496
660,499
653,503
642,508
625,510
601,508
573,507
544,507
514,508
486,508
470,507
465,506
465,507
463,509
464,505
472,492
488,472
510,455
536,451
559,458
577,470
586,481
590,487
589,493
585,501
581,512
577,520
573,525
569,524
564,521
556,516
546,511
534,505
518,497
497,490
470,486
435,486
397,486
360,488
333,492
325,501
333,512
357,521
393,525
437,524
485,520
532,513
568,504
584,495
575,488
544,485
506,489
473,495
454,501
455,503
477,499
506,492
532,483
549,477
560,475
571,479
586,487
602,497
617,505
622,510
612,514
595,516
581,518
574,518
573,516
576,512
573,506
557,498
522,487
443,475
354,463
285,456
230,456
186,461
152,470
167,477
274,481
424,482
563,482
673,483
749,485
793,487
815,488
820,487
814,486
800,486
782,487
761,488
739,490
716,491
693,491
672,489
654,487
638,483
623,477
607,471
587,468
560,466
524,464
475,461
416,458
359,455
317,453
298,452
304,455
334,462
379,471
432,480
488,487
544,492
591,493
626,491
648,489
659,487
660,484
654,478
645,471
633,465
618,462
592,465
546,469
484,469
424,464
380,455
358,446
361,441
380,442
403,448
428,456
463,469
507,487
555,508
595,526
624,538
640,544
646,546
645,544
639,541
633,537
625,532
617,526
611,515
603,495
587,475
559,462
519,456
468,457
414,466
358,475
289,482
235,488
191,493
155,500
126,508
103,516
130,521
266,523
433,523
570,523
679,525
766,527
835,532
881,535
901,535
902,528
888,515
864,500
835,486
803,472
767,462
731,457
696,456
665,457
640,460
618,465
596,472
575,478
556,481
538,484
522,490
507,499
491,510
471,520
454,526
444,529
447,530
463,528
489,526
517,523
541,520
558,517
569,515
574,511
571,506
558,501
539,497
517,495
497,496
472,497
440,497
406,497
376,498
360,496
361,494
378,492
409,491
446,486
480,478
502,469
512,462
510,457
502,456
497,460
498,468
505,477
522,488
538,499
547,509
548,515
547,518
546,520
548,523
553,528
562,533
572,536
578,537
573,535
558,532
538,526
515,516
493,504
475,494
460,488
443,487
420,489
392,494
364,497
