CH1,CH2
511,492
511,495
510,499
511,502
510,506
510,509
510,513
510,515
510,517
510,517
510,517
510,516
510,514
511,510
512,507
512,503
513,500
513,498
513,497
514,497
515,497
515,499
515,500
515,503
515,506
514,509
514,511
514,514
514,517
514,518
513,517
512,516
512,513
512,510
512,507
511,504
511,501
511,500
511,499
511,499
512,499
512,501
512,504
512,507
512,512
511,515
511,517
511,518
511,518
511,518
511,516
510,512
510,509
510,506
510,503
510,500
510,497
510,496
511,496
511,497
512,500
512,504
512,507
512,511
512,514
511,517
511,519
511,521
511,521
512,520
512,519
513,516
513,513
514,509
514,506
514,503
514,502
514,501
514,501
514,502
514,504
514,507
514,510
514,513
514,516
514,519
515,521
515,522
515,521
515,520
515,518
515,515
515,512
515,509
516,506
517,505
518,504
518,502
518,503
518,503
517,505
517,508
517,511
517,515
517,517
516,518
516,518
515,518
514,517
514,517
514,516
513,514
513,511
513,508
513,505
513,503
513,500
513,500
513,501
513,504
513,507
512,511
512,515
511,518
510,520
509,521
508,522
507,522
507,521
507,518
507,515
506,512
507,508
507,506
508,503
508,502
508,501
509,500
509,502
509,504
508,508
508,512
508,516
508,519
508,521
508,521
508,522
508,521
508,519
508,517
508,514
508,511
509,508
509,505
509,503
509,502
509,502
508,502
508,505
507,507
507,511
506,514
505,517
505,521
504,522
504,523
503,524
503,523
504,522
504,520
505,517
507,513
508,510
508,507
509,504
509,503
510,502
510,503
509,505
509,507
509,509
509,512
509,514
509,516
509,517
508,518
508,518
508,516
508,514
509,512
509,509
510,505
509,502
509,500
509,499
508,501
508,503
507,505
507,509
507,513
507,517
508,519
509,522
510,523
510,523
510,523
510,522
509,520
509,517
509,513
509,509
509,506
509,503
509,502
510,501
510,501
510,500
511,502
511,504
511,508
511,512
511,516
509,518
508,520
508,521
508,522
509,521
510,519
510,515
510,511
510,507
510,503
510,500
510,499
510,498
510,499
510,501
509,503
509,506
508,508
507,510
505,513
504,515
503,517
503,518
502,517
502,516
502,514
502,511
502,508
502,505
503,501
503,499
503,498
502,499
503,500
502,502
502,505
502,509
501,512
501,516
501,518
500,520
500,521
500,520
499,519
500,517
500,514
500,510
500,507
501,504
502,502
502,501
502,501
502,501
501,503
500,505
500,508
499,512
498,515
497,519
496,521
496,522
495,521
495,520
496,518
496,515
496,510
497,506
498,502
499,499
500,499
500,499
499,500
499,500
499,502
498,504
499,508
499,511
498,514
498,516
499,517
499,518
500,517
500,515
500,512
501,508
501,505
501,502
502,499
502,496
502,495
502,495
502,495
502,496
502,498
502,501
503,505
503,509
502,513
502,517
502,519
502,520
502,519
503,518
503,515
504,512
504,508
505,505
505,501
505,500
505,499
505,499
504,500
504,503
505,506
505,510
505,514
506,517
506,520
505,522
505,524
505,524
505,523
505,520
505,516
506,512
506,508
506,504
506,502
506,500
506,499
506,499
506,500
506,501
506,504
506,507
507,509
507,512
507,514
507,517
507,519
507,519
507,517
507,515
507,511
507,507
506,503
506,500
506,499
506,498
506,498
505,499
505,500
504,502
504,505
504,508
503,512
503,514
502,516
502,516
502,515
501,513
501,510
501,507
501,505
502,502
503,500
503,499
504,498
505,498
506,499
506,500
507,502
506,505
506,508
506,510
506,512
506,514
506,516
505,516
505,516
505,515
505,513
505,510
506,507
507,504
507,501
508,498
508,498
509,498
510,499
511,500
511,502
512,505
513,508
514,511
515,513
516,515
517,517
518,518
518,517
519,515
520,513
520,510
520,507
520,503
519,501
519,499
518,498
517,498
516,500
515,503
513,508
511,512
510,516
509,520
508,522
508,524
509,524
509,524
508,522
509,519
509,516
509,511
510,507
511,504
511,502
510,501
510,500
509,501
509,502
509,503
508,506
508,511
507,515
506,518
506,520
505,521
506,522
507,521
507,521
508,520
507,519
507,516
507,513
507,511
507,509
507,507
507,506
507,507
508,508
507,511
507,515
507,519
507,522
507,524
508,525
508,523
508,521
508,519
507,517
507,516
507,513
507,511
508,508
508,506
509,505
510,504
511,505
511,506
511,508
510,511
510,515
509,518
508,521
507,523
507,525
506,525
505,525
505,523
505,519
506,516
507,512
508,508
508,504
508,501
508,500
508,499
509,500
509,503
509,506
509,509
509,513
508,516
508,519
507,521
506,522
505,522
505,522
505,519
506,516
506,513
507,509
508,505
509,502
509,501
510,501
510,501
509,502
509,503
509,505
508,508
508,512
508,515
507,518
507,520
506,521
506,521
506,519
506,517
506,513
506,509
507,505
507,502
507,501
508,500
507,501
507,502
505,504
504,507
502,510
502,513
502,515
502,517
503,519
504,520
505,522
506,521
506,518
507,515
508,511
509,507
509,503
509,500
509,499
509,498
508,499
509,502
508,504
508,506
508,509
508,512
509,514
509,516
509,518
509,518
509,518
509,516
