CH1,CH2
"10
","208
"
"13
","91
"
"2
","37
"
"12
","116
"
"24
","101
"
"25
","169
"
"44
","233
"
"44
","187
"
"28
","76
"
"12
","25
"
"20
","62
"
"27
","274
"
"36
","286
"
"5
","27
"
"32
","94
"
"11
","117
"
"16
","306
"
"11
","205
"
"2
","329
"
"12
","478
"
"6
","219
"
"1
","113
"
"10
","114
"
"2
","23
"
"22
","52
"
"35
","354
"
"2
","400
"
"5
","337
"
"11
","89
"
"7
","138
"
"0
","53
"
"4
","91
"
"6
","19
"
"1
","93
"
"15
","163
"
"47
","37
"
"1
","54
"
"7
","102
"
"33
","32
"
"34
","100
"
"26
","152
"
"3
","103
"
"34
","120
"
"8
","18
"
"2
","270
"
"7
","573
"
"80
","118
"
"7
","62
"
"3
","24
"
"84
","40
"
"15
","51
"
"9
","100
"
"40
","18
"
"4
","23
"
"11
","140
"
"4
","249
"
"21
","247
"
"62
","150
"
"42
","67
"
"50
","105
"
"0
","99
"
"13
","32
"
"1
","175
"
"34
","249
"
"25
","111
"
"79
","53
"
"16
","145
"
"20
","265
"
"27
","431
"
"7
","259
"
"12
","55
"
"21
","72
"
"11
","43
"
"25
","226
"
"15
","182
"
"14
","401
"
"1
","271
"
"3
","95
"
"12
","22
"
"10
","141
"
"2
","66
"
"5
","63
"
"16
","62
"
"5
","169
"
"7
","324
"
"21
","277
"
"5
","53
"
"13
","24
"
"28
","55
"
"2
","29
"
"3
","28
"
"2
","94
"
"1
","135
"
"2
","47
"
"9
","244
"
"17
","371
"
"25
","173
"
"21
","120
"
"42
","48
"
"88
","191
"
"105
","231
"
"19
","214
"
"107
","190
"
"69
","35
"
"48
","27
"
"64
","91
"
"31
","129
"
"11
","144
"
"21
","21
"
"9
","17
"
"14
","45
"
"18
","73
"
"6
","97
"
"15
","136
"
"16
","191
"
"2
","211
"
"16
","175
"
"16
","19
"
"62
","43
"
"90
","73
"
"2
","240
"
"23
","103
"
"14
","208
"
"8
","295
"
"34
","213
"
"32
","188
"
"43
","49
"
"18
","107
"
"3
","93
"
"18
","49
"
"9
","76
"
"14
","22
"
"3
","148
"
"2
","218
"
"6
","97
"
"32
","162
"
"47
","114
"
"16
","23
"
"0
","114
"
"3
","41
"
"3
","44
"
"2
","54
"
"21
","152
"
"13
","39
"
"35
","19
"
"11
","200
"
"19
","123
"
"14
","91
"
"27
","142
"
"11
","22
"
"1
","22
"
"4
","86
"
"33
","49
"
"5
","324
"
"34
","427
"
"2
","28
"
"8
","117
"
"5
","67
"
"31
","32
"
"33
","52
"
"25
","47
"
"24
","186
"
"7
","210
"
"57
","36
"
"29
","95
"
"16
","66
"
"14
","116
"
"11
","267
"
"5
","21
"
"2
","125
"
"8
","50
"
"15
","29
"
"6
","59
"
"19
","492
"
"60
","289
"
"18
","219
"
"20
","136
"
"43
","210
"
"2
","236
"
"12
","45
"
"31
","147
"
"15
","346
"
"12
","467
"
"22
","478
"
"37
","449
"
"4
","149
"
"7
","94
"
"0
","45
"
"9
","235
"
"5
","135
"
"19
","54
"
"27
","247
"
"44
","24
"
"3
","19
"
"18
","45
"
"7
","192
"
"12
","180
"
"3
","108
"
"9
","51
"
"7
","66
"
"52
","52
"
"5
","256
"
"1
","188
"
"5
","77
"
"11
","43
"
"34
","173
"
"10
","307
"
"34
","86
"
"44
","32
"
"15
","104
"
"26
","32
"
"50
","195
"
"29
","415
"
"24
","310
"
"9
","239
"
"14
","111
"
"33
","115
"
"10
","125
"
"6
","151
"
"10
","178
"
"1
","202
"
"1
","120
"
"14
","92
"
"23
","86
"
"18
","56
"
"61
","112
"
"17
","57
"
"22
","30
"
"1
","25
"
"2
","46
"
"5
","22
"
"23
","200
"
"29
","222
"
"10
","179
"
"2
","168
"
"22
","270
"
"17
","147
"
"39
","160
"
"40
","153
"
"10
","51
"
"53
","155
"
"42
","160
"
"21
","70
"
"54
","168
"
"4
","201
"
"27
","181
"
"47
","171
"
"11
","46
"
"1
","96
"
"7
","208
"
"29
","274
"
"85
","289
"
"37
","210
"
"30
","144
"
"45
","47
"
"0
","46
"
"37
","86
"
"36
","27
"
"54
","42
"
"7
","40
"
"13
","32
"
"7
","246
"
"37
","243
"
"19
","184
"
"4
","130
"
"6
","47
"
"1
","55
"
"9
","78
"
"1
","138
"
"2
","194
"
"6
","69
"
"56
","60
"
"77
","93
"
"10
","29
"
"8
","20
"
"3
","25
"
"14
","60
"
"5
","173
"
"1
","208
"
"44
","182
"
"39
","249
"
"6
","347
"
"40
","159
"
"15
","218
"
"21
","93
"
"20
","96
"
