CH1,CH2
150,117
61,308
120,292
213,86
136,12
105,70
70,114
47,62
52,91
116,285
88,243
38,53
25,23
63,61
110,111
201,89
217,172
67,252
48,82
50,175
66,206
112,166
178,142
90,146
181,380
184,682
91,120
92,445
382,769
524,446
282,165
74,320
55,239
62,225
31,131
154,218
279,590
202,463
276,139
38,12
67,25
348,18
127,31
485,96
308,149
454,134
197,187
69,200
169,237
50,198
24,47
80,101
94,265
55,157
37,114
42,312
25,190
37,103
59,43
73,91
117,272
94,361
5,283
44,189
104,371
321,188
157,34
51,72
123,91
104,63
160,97
267,29
44,19
89,64
98,78
144,89
43,52
65,16
193,20
37,26
29,14
45,10
245,12
488,76
296,12
30,15
34,73
116,14
295,90
106,51
24,87
107,64
208,18
186,104
48,71
172,49
26,14
119,163
245,49
73,24
48,90
106,195
199,36
302,39
271,118
96,67
91,124
47,72
33,170
30,44
98,19
144,19
145,152
204,107
93,116
31,155
83,185
20,122
194,413
133,301
305,31
386,159
266,252
42,318
240,297
302,102
183,564
8,625
104,234
45,342
50,513
75,579
128,584
395,554
335,350
57,1023
463,956
221,648
264,390
133,116
83,17
81,58
64,131
71,248
80,278
23,256
54,81
119,96
5,36
100,73
335,27
230,30
58,191
28,367
54,295
34,186
36,153
130,33
252,230
190,532
86,479
33,246
65,61
234,14
130,8
30,26
28,17
78,19
31,31
58,16
84,30
55,18
49,35
95,95
223,32
258,82
95,125
33,170
32,41
174,31
216,17
25,39
255,70
262,187
126,21
38,158
124,103
35,30
58,125
75,40
40,143
36,31
73,118
139,65
57,34
166,21
472,65
252,217
0,189
129,54
365,74
321,115
102,126
19,186
50,345
162,218
248,127
282,265
63,112
193,177
332,265
36,76
51,92
41,21
12,18
58,23
70,13
156,15
146,22
80,54
34,139
94,229
30,364
118,423
155,181
134,98
164,573
301,211
122,187
59,175
165,133
211,45
222,14
310,22
58,138
346,122
591,25
160,24
27,106
87,133
5,75
33,15
38,106
39,193
30,110
30,104
82,207
69,243
54,134
35,22
48,190
31,151
30,53
47,171
91,94
