CH1,CH2
47,14
49,13
30,14
110,33
165,19
86,18
50,38
40,51
24,69
56,45
64,22
98,11
131,26
264,17
281,28
246,19
309,37
395,21
349,46
109,96
188,100
295,115
204,135
347,66
449,35
218,10
90,16
152,28
154,15
168,15
42,18
91,32
55,28
59,42
47,18
59,49
53,47
64,17
35,106
33,25
30,102
26,80
22,77
1,115
30,49
27,11
57,17
55,16
44,31
116,17
68,32
53,20
250,41
313,137
77,67
56,23
35,30
218,37
115,69
47,44
155,14
56,78
155,104
75,25
269,38
412,34
171,28
171,51
43,19
49,19
28,13
46,62
36,59
37,51
27,14
31,22
32,15
57,46
39,23
49,19
73,14
38,20
28,14
133,20
155,91
75,57
49,24
38,16
158,12
319,17
331,14
451,23
357,14
242,32
38,9
291,28
600,59
684,20
584,32
494,101
110,144
24,125
47,54
26,57
58,34
57,137
57,181
66,78
79,15
81,88
43,180
73,185
43,96
38,50
31,53
37,35
27,13
34,39
28,32
35,21
73,15
115,47
205,67
227,51
60,21
54,23
142,15
235,19
50,8
20,33
36,42
131,15
185,32
251,56
384,33
314,32
210,65
43,17
51,25
42,38
100,43
43,17
28,45
30,62
29,45
54,61
49,52
35,23
38,15
78,18
55,22
62,28
102,66
153,36
168,45
352,99
260,96
55,52
207,21
243,76
459,202
411,228
106,90
29,24
23,15
46,42
63,35
87,15
60,16
84,55
74,35
53,15
45,15
46,12
37,19
42,14
32,14
31,14
32,26
29,48
25,77
11,46
32,36
30,42
36,79
31,69
27,97
0,36
31,12
33,61
25,79
58,38
57,18
71,35
31,15
35,136
33,179
32,111
57,56
56,35
172,27
321,24
298,22
74,25
35,24
150,35
58,60
349,38
352,12
243,12
31,15
89,45
29,50
96,18
51,42
29,12
57,29
49,43
37,67
46,78
69,77
123,58
85,13
50,17
46,45
56,74
29,68
27,56
46,83
61,108
63,96
75,35
74,22
46,27
135,17
145,21
76,16
39,37
74,14
77,28
29,46
80,61
210,122
214,150
672,57
554,150
53,172
418,70
349,21
641,32
565,104
381,101
45,54
57,38
70,67
70,24
27,25
28,11
41,29
53,47
154,64
81,105
28,59
211,39
176,20
51,12
25,59
88,44
96,22
109,23
137,47
184,36
196,47
143,54
77,60
31,45
35,32
50,13
60,79
25,60
32,56
43,63
65,56
61,60
54,123
62,42
27,16
40,48
82,24
129,22
126,111
36,169
166,222
264,38
59,17
30,15
23,21
37,19
47,14
43,14
41,12
68,17
43,14
29,14
37,15
39,56
39,73
40,96
36,27
42,17
46,19
41,30
51,12
60,73
55,58
35,14
33,33
26,98
24,92
20,13
17,46
31,75
65,32
171,15
174,17
68,15
94,14
100,13
53,50
35,75
93,131
169,143
211,84
49,58
68,40
100,14
150,32
200,19
259,14
57,20
172,60
81,17
100,22
401,17
322,15
163,21
29,17
40,38
68,20
56,35
61,23
47,26
25,32
23,25
17,11
41,13
81,24
36,27
102,30
51,43
69,29
144,33
63,28
51,22
31,63
61,97
167,30
45,25
161,89
54,146
252,105
112,31
135,24
130,49
45,36
47,20
20,70
0,41
52,48
131,85
110,76
31,30
49,61
163,152
201,65
266,53
247,86
160,24
54,23
417,14
379,26
64,12
76,25
151,51
145,23
34,40
102,40
251,22
135,44
40,70
212,30
119,28
17,50
43,51
84,189
96,148
88,104
48,80
30,118
27,59
44,6
5,12
23,28
38,47
26,49
31,39
29,56
36,15
43,23
30,28
25,43
28,25
42,35
19,17
59,15
80,13
130,18
238,64
382,79
161,50
142,15
311,22
180,34
107,78
84,141
144,179
66,180
32,79
57,15
44,12
17,18
25,28
31,13
57,15
44,25
65,19
49,27
41,14
42,38
35,52
29,42
35,19
31,12
30,14
34,13
47,19
60,32
99,83
139,90
116,96
48,97
57,31
56,100
2,103
40,22
36,29
258,69
324,28
168,15
2,12
37,25
27,24
50,32
44,37
32,33
41,31
44,21
36,23
200,23
146,21
68,35
135,48
270,13
221,50
78,87
33,111
0,110
32,65
100,98
96,76
46,50
74,34
111,29
239,14
234,14
354,79
313,151
98,78
235,92
209,16
270,92
45,91
32,107
22,71
141,71
463,234
479,207
257,133
6,37
39,37
36,14
102,15
81,16
92,36
96,46
59,26
46,36
39,31
33,14
28,17
20,41
34,33
37,38
33,36
37,30
54,13
149,18
226,15
227,16
117,16
184,19
45,23
132,18
45,30
267,15
96,26
162,61
75,45
62,25
50,36
270,75
358,24
279,237
277,240
65,95
59,53
38,31
30,31
29,96
47,92
39,85
54,32
36,60
48,68
46,86
47,79
68,35
27,17
40,25
49,30
36,37
60,14
98,17
70,17
27,39
68,68
33,125
48,88
25,44
34,81
