CH1,CH2
"0
","79
"
"0
","69
"
"0
","62
"
"0
","57
"
"0
","50
"
"0
","31
"
"0
","28
"
"0
","10
"
"0
","24
"
"0
","38
"
"0
","44
"
"2
","77
"
"0
","98
"
"0
","115
"
"0
","122
"
"2
","106
"
"13
","113
"
"4
","108
"
"1
","89
"
"0
","86
"
"0
","72
"
"0
","74
"
"0
","71
"
"0
","64
"
"3
","45
"
"1
","53
"
"0
","47
"
"0
","28
"
"2
","15
"
"0
","13
"
"0
","24
"
"0
","43
"
"0
","64
"
"12
","106
"
"0
","130
"
"0
","129
"
"3
","121
"
"0
","109
"
"0
","101
"
"0
","106
"
"0
","79
"
"0
","68
"
"0
","62
"
"0
","50
"
"0
","26
"
"0
","21
"
"0
","24
"
"0
","39
"
"0
","72
"
"0
","101
"
"0
","116
"
"2
","119
"
"10
","94
"
"3
","102
"
"0
","87
"
"0
","80
"
"0
","71
"
"0
","61
"
"0
","40
"
"2
","26
"
"0
","22
"
"0
","14
"
"0
","28
"
"0
","49
"
"0
","73
"
"0
","112
"
"1
","125
"
"0
","131
"
"0
","126
"
"1
","113
"
"0
","96
"
"0
","82
"
"0
","82
"
"0
","68
"
"0
","67
"
"0
","51
"
"0
","30
"
"1
","11
"
"0
","29
"
"0
","41
"
"0
","59
"
"3
","92
"
"0
","116
"
"0
","121
"
"4
","106
"
"6
","82
"
"2
","92
"
"0
","84
"
"0
","74
"
"0
","63
"
"0
","59
"
"0
","51
"
"8
","14
"
"4
","11
"
"0
","21
"
"0
","34
"
"0
","51
"
"6
","92
"
"0
","122
"
"0
","135
"
"1
","131
"
"0
","120
"
"0
","106
"
"0
","96
"
"0
","85
"
"0
","88
"
"0
","65
"
"0
","56
"
"0
","43
"
"1
","17
"
"0
","12
"
"0
","29
"
"0
","32
"
"1
","79
"
"0
","109
"
"0
","123
"
"0
","118
"
"3
","105
"
"4
","80
"
"4
","83
"
"0
","78
"
"0
","69
"
"0
","61
"
"0
","46
"
"0
","37
"
"3
","9
"
"2
","12
"
"0
","27
"
"0
","52
"
"0
","73
"
"0
","106
"
"0
","130
"
"0
","148
"
"2
","123
"
"0
","110
"
"0
","95
"
"0
","87
"
"0
","74
"
"0
","85
"
"0
","59
"
"0
","49
"
"0
","27
"
"0
","11
"
"0
","20
"
"0
","38
"
"5
","43
"
"3
","96
"
"0
","119
"
"0
","126
"
"1
","111
"
"0
","103
"
"0
","90
"
"4
","69
"
"0
","71
"
"0
","63
"
"0
","56
"
"0
","47
"
"0
","19
"
"2
","20
"
"0
","24
"
"0
","43
"
"0
","58
"
"7
","99
"
"1
","121
"
"0
","137
"
"0
","147
"
"1
","118
"
"0
","105
"
"0
","90
"
"0
","79
"
"0
","69
"
"0
","68
"
"0
","55
"
"0
","38
"
"2
","15
"
"0
","13
"
"0
","30
"
"0
","49
"
"4
","73
"
"0
","110
"
"0
","126
"
"1
","117
"
"0
","108
"
"0
","94
"
"0
","80
"
"2
","60
"
"0
","59
"
"0
","59
"
"0
","50
"
"0
","37
"
"4
","14
"
"0
","24
"
"0
","32
"
"0
","53
"
"1
","85
"
"0
","115
"
"0
","148
"
"1
","134
"
"5
","138
"
