CH1,CH2
41,216
43,84
30,13
21,47
67,94
81,138
86,118
42,30
78,55
48,140
40,114
29,44
31,16
30,19
26,20
3,11
30,78
15,55
22,28
23,41
28,29
31,37
32,24
38,40
81,24
53,14
39,70
39,20
40,18
54,121
59,256
28,106
24,300
28,165
24,13
26,59
22,22
28,62
14,16
21,60
26,23
29,133
31,20
23,131
30,68
21,27
22,42
27,94
27,179
23,38
25,26
30,24
31,87
48,107
42,17
47,39
81,29
63,16
48,130
85,124
39,17
21,15
115,11
106,9
30,38
2,86
53,106
65,197
33,140
53,18
39,60
27,92
34,94
47,63
44,35
31,11
27,56
10,15
32,23
28,54
30,45
36,36
32,20
52,42
81,72
65,18
65,29
53,89
22,84
30,65
48,43
39,105
22,145
32,123
66,243
112,270
71,225
24,134
28,28
23,34
26,34
33,29
28,24
30,120
33,204
35,47
37,24
25,29
22,107
22,222
22,121
37,85
40,97
44,160
59,129
46,108
31,60
21,117
31,21
41,32
42,70
47,109
35,47
14,14
26,22
22,29
26,24
26,118
24,117
27,43
19,46
20,16
21,12
16,31
28,50
57,13
46,28
35,31
37,66
40,15
38,24
42,15
33,19
29,61
30,17
35,50
31,126
52,138
36,39
50,82
29,94
62,17
89,11
45,38
49,23
42,16
27,31
42,80
48,117
37,247
31,304
50,179
80,186
117,501
0,811
29,543
28,170
47,63
43,33
46,124
54,109
33,75
40,30
35,15
41,88
85,48
37,46
27,39
22,69
26,136
24,77
0,15
82,22
80,49
77,28
49,20
27,20
21,45
21,73
27,82
28,13
29,21
30,11
33,28
27,71
32,15
31,80
36,104
40,215
68,158
44,150
34,69
23,133
23,347
22,266
30,150
27,20
18,14
29,66
23,57
45,29
25,59
26,79
27,96
24,27
26,34
42,35
22,12
20,54
26,17
21,123
30,17
61,150
41,180
33,38
33,48
32,178
30,320
22,66
26,470
30,269
27,20
29,71
30,131
34,100
29,49
25,75
40,23
48,60
54,26
34,40
34,27
30,11
31,12
23,11
43,20
42,12
38,47
32,50
34,12
44,14
44,50
45,27
23,23
30,14
44,12
47,18
45,142
29,156
28,31
26,122
44,72
36,17
15,11
24,27
32,68
49,58
23,39
40,59
45,43
24,103
33,84
26,33
41,16
64,8
5,29
38,19
28,45
28,11
46,42
51,62
62,87
28,77
31,145
20,108
47,178
39,216
34,18
24,135
27,366
21,312
23,143
44,190
32,38
21,157
24,198
23,170
23,39
6,227
28,296
23,196
12,69
24,31
27,65
34,59
23,26
52,31
23,12
33,51
38,162
63,105
58,45
37,13
29,132
27,166
27,17
25,23
32,45
40,45
37,95
38,91
48,36
28,35
26,157
21,22
20,54
39,30
9,52
22,15
26,39
53,19
72,70
28,74
40,31
24,33
26,35
25,30
29,29
32,31
48,17
43,38
36,42
34,38
22,62
21,62
47,67
29,12
24,45
26,254
27,194
22,32
15,91
22,107
26,145
28,195
23,228
30,289
18,327
25,82
27,395
26,110
22,237
21,339
28,174
28,128
26,51
38,14
44,39
90,51
63,66
51,29
48,19
44,16
41,29
49,16
29,32
73,30
47,57
27,31
28,24
30,34
26,16
20,159
41,21
13,73
27,118
21,196
24,114
18,167
48,41
21,44
49,6
30,15
37,46
64,51
36,78
22,114
38,71
25,11
56,16
23,34
26,31
27,100
35,73
27,29
29,187
29,31
20,12
31,29
51,84
31,86
30,128
20,36
34,13
20,64
24,35
20,14
13,47
19,48
29,46
35,64
27,53
29,15
33,69
25,74
35,149
36,184
26,189
21,120
24,177
42,147
43,12
44,32
27,160
25,108
22,13
25,20
26,88
26,64
21,111
49,87
44,38
39,29
18,36
19,23
28,77
27,124
33,60
28,129
25,125
27,145
26,72
35,316
38,321
37,211
56,23
29,32
29,55
32,16
35,19
25,11
32,44
28,58
20,132
23,156
37,115
25,60
16,23
21,48
28,29
24,111
29,63
26,97
70,258
25,28
22,65
47,167
26,339
39,213
67,52
75,18
73,94
65,105
41,126
41,139
21,94
29,111
41,106
58,110
68,294
26,285
32,17
55,80
39,126
29,66
38,52
63,156
45,65
26,42
27,66
29,106
21,114
23,22
27,45
29,28
38,146
37,143
63,171
42,85
43,11
43,43
33,91
35,123
52,20
29,80
32,33
35,17
34,34
33,11
35,58
26,76
30,17
28,39
35,12
79,37
99,96
89,74
45,39
25,11
20,13
21,79
20,80
33,59
33,54
30,70
25,124
27,66
49,61
47,13
55,133
58,90
50,47
43,22
33,29
31,78
27,46
29,32
26,53
25,38
28,56
22,17
25,19
23,66
56,48
98,40
67,42
13,28
24,51
29,76
28,120
95,76
25,83
35,58
40,96
29,18
40,196
40,225
29,126
26,127
36,84
52,14
31,60
48,104
43,75
33,47
35,24
35,15
29,62
21,68
38,41
30,12
20,10
21,50
79,61
79,22
37,14
25,23
22,45
21,59
21,34
0,40
32,69
28,84
43,199
53,92
78,321
104,154
40,19
32,53
27,24
27,13
27,132
9,263
51,144
37,18
20,46
30,85
44,117
43,121
28,140
89,75
70,81
59,38
17,35
34,11
22,30
26,55
34,25
35,20
44,72
35,68
29,24
40,21
33,16
41,31
60,63
34,14
25,31
22,39
19,45
26,56
20,117
23,237
28,103
29,121
23,17
21,43
10,130
35,168
52,75
41,51
22,78
35,232
23,207
30,46
26,82
25,119
32,53
37,67
23,25
28,20
31,67
30,115
34,229
40,36
27,86
35,102
27,48
23,20
20,81
0,40
20,235
23,155
22,35
26,50
26,15
0,39
21,12
29,98
40,173
33,107
19,118
15,28
22,13
29,172
37,175
27,51
35,54
31,174
31,86
35,11
31,19
31,67
52,196
29,93
24,11
33,33
28,75
27,38
64,30
42,33
48,93
48,85
38,84
24,52
6,43
64,39
82,18
64,119
54,99
48,114
0,80
24,45
26,47
29,11
29,13
22,53
0,115
16,130
24,147
19,15
34,132
33,181
48,96
34,33
31,28
21,58
40,57
65,63
79,61
24,82
37,22
38,63
51,76
35,88
0,27
58,23
74,22
37,20
32,39
23,64
12,245
23,337
28,109
23,54
27,36
40,204
55,495
45,283
40,304
42,183
49,139
68,41
20,47
22,42
25,98
26,44
26,31
21,16
29,45
20,77
30,48
29,60
43,32
7,35
54,16
29,116
27,101
31,33
38,101
66,66
34,102
35,185
25,21
20,23
42,30
33,75
32,24
36,31
27,71
24,26
23,44
34,23
28,55
25,20
22,199
26,47
45,68
47,29
23,66
22,173
32,120
49,11
3,56
24,13
34,13
29,93
24,276
26,181
31,110
32,103
34,64
32,15
33,33
26,31
16,25
33,18
45,52
46,66
34,67
33,50
0,19
25,18
29,12
41,43
30,32
39,25
24,53
112,17
113,32
51,11
28,62
19,48
15,13
37,26
31,44
30,42
37,81
26,41
0,118
26,34
31,61
34,87
44,17
42,142
59,103
31,28
21,11
27,9
21,67
26,30
43,17
35,15
39,23
23,18
28,65
27,32
11,55
29,51
52,96
104,106
52,157
81,79
28,34
27,95
43,228
29,204
30,96
46,111
34,77
53,41
50,141
37,83
28,15
34,34
39,55
44,18
27,85
21,155
28,137
15,47
27,83
31,129
20,66
43,20
48,46
80,45
63,49
26,38
21,44
27,32
23,13
8,21
25,39
25,70
25,253
21,115
24,147
27,190
30,71
40,87
30,39
33,126
60,175
31,182
30,339
25,182
32,204
26,81
38,36
32,49
31,46
31,116
22,144
28,124
20,13
32,38
45,17
14,12
23,68
53,130
23,176
20,193
25,176
27,24
30,379
21,308
24,82
35,34
46,71
33,76
35,54
55,53
35,37
36,95
34,16
20,92
27,94
14,16
21,11
24,17
33,65
28,62
29,64
25,67
31,15
38,75
24,63
20,112
33,19
28,103
26,199
22,50
28,144
24,57
50,168
43,183
46,41
46,26
41,88
32,97
42,138
32,110
28,58
25,30
25,71
35,36
38,34
39,144
54,144
51,104
29,16
23,91
6,137
68,135
59,41
44,19
80,12
90,47
45,33
23,86
33,51
33,112
24,83
83,88
49,159
29,47
31,53
45,28
59,67
85,16
48,149
30,29
24,16
24,22
25,66
16,28
28,29
25,26
23,46
28,78
24,45
29,132
23,30
30,14
82,22
55,31
25,109
22,121
23,16
29,45
33,40
50,34
49,34
83,14
66,12
67,9
62,13
45,59
25,29
