CH1,CH2
38,41
121,87
29,46
83,22
55,19
51,12
51,16
131,32
26,30
53,16
52,11
36,36
26,33
38,53
39,29
34,109
406,75
261,69
34,16
168,29
296,17
193,24
133,17
67,49
57,43
71,20
30,13
27,18
55,15
308,13
174,42
66,36
44,73
245,18
31,205
97,56
148,13
79,40
148,105
53,75
35,19
26,59
22,74
29,53
35,111
39,89
38,58
81,297
29,123
58,23
38,44
29,41
30,97
26,83
42,29
128,21
96,15
102,18
29,24
23,113
35,131
70,19
62,70
22,28
27,26
23,80
32,53
31,18
24,93
18,78
45,20
203,34
94,32
85,16
49,16
133,37
29,19
30,12
42,109
85,141
142,52
47,13
58,33
220,25
101,59
217,77
157,17
194,44
124,106
102,21
166,55
170,25
525,76
90,35
51,72
80,94
65,31
44,19
33,58
50,53
42,20
41,29
28,50
32,33
52,10
27,16
26,68
17,88
43,49
78,34
109,38
159,79
175,66
115,13
23,20
67,55
269,121
319,110
164,95
113,45
48,35
49,94
33,134
16,71
60,31
24,78
25,21
31,44
56,66
28,60
101,15
88,16
264,105
164,164
94,56
252,37
152,58
115,39
187,71
383,77
610,27
331,57
134,45
76,15
29,18
28,121
54,89
52,93
69,29
42,34
27,20
112,75
56,53
35,18
45,19
79,24
59,20
17,55
32,54
83,50
55,15
24,51
88,200
36,137
57,98
40,72
77,16
53,24
44,79
46,57
136,61
144,63
184,93
26,82
56,57
194,40
92,44
41,36
33,20
57,22
84,17
26,12
62,22
89,28
25,57
80,104
126,70
114,32
120,22
294,109
133,62
61,175
115,202
24,92
96,35
90,34
85,15
217,75
151,33
99,29
34,44
31,48
27,48
31,48
58,17
112,37
62,40
25,45
31,30
27,21
29,28
55,54
66,49
49,35
52,53
21,37
41,50
37,74
23,52
42,111
29,48
26,50
39,73
39,106
67,135
50,23
26,17
0,68
29,68
36,98
38,34
53,19
245,48
140,61
49,96
0,75
185,25
47,40
68,63
26,90
41,45
115,17
191,157
101,69
43,40
33,57
253,22
186,29
74,24
94,27
131,38
95,54
34,28
75,36
47,73
62,25
29,69
34,49
28,21
8,61
102,65
61,36
48,130
259,15
106,18
95,34
189,35
156,85
49,16
87,16
40,84
59,126
61,51
39,16
84,14
156,17
133,13
188,26
300,64
146,89
112,30
60,58
155,20
94,25
68,51
37,55
25,54
81,41
72,23
12,81
105,16
31,25
48,17
47,96
279,48
180,55
152,34
38,17
417,13
170,44
126,62
147,134
117,93
30,13
91,14
38,16
36,14
158,25
120,35
30,18
34,57
92,43
129,21
24,28
161,15
19,37
272,74
260,15
203,85
21,65
51,27
97,37
44,72
32,20
64,78
38,66
39,116
116,29
68,107
45,139
56,90
12,113
18,118
23,64
30,15
29,27
52,14
24,16
42,33
11,50
34,15
33,27
108,57
70,65
55,71
38,82
34,101
50,17
84,106
38,92
26,137
12,140
28,96
33,22
41,15
139,22
41,80
44,70
51,28
109,18
50,19
41,36
195,20
195,108
36,38
41,18
74,19
68,45
49,50
54,39
234,49
237,25
31,17
184,51
95,32
172,71
65,49
99,34
232,60
10,58
110,63
114,23
45,14
44,20
44,33
151,65
217,57
30,13
128,21
49,32
66,13
100,57
22,31
71,13
32,58
