CH1,CH2
19,16
23,10
26,11
34,6
27,12
25,14
20,12
19,7
16,11
19,10
19,10
13,6
21,9
22,10
21,11
11,6
18,12
22,13
19,10
28,8
20,11
22,9
22,9
32,5
23,12
23,14
21,15
18,7
18,11
19,11
18,10
9,5
13,11
13,14
21,11
14,10
23,11
22,12
25,14
27,6
24,11
24,9
22,9
34,12
22,15
19,16
19,14
30,8
21,12
21,15
21,15
8,6
20,10
17,10
25,8
40,13
19,10
25,15
19,15
33,12
23,11
25,15
27,15
39,7
22,14
18,12
18,8
18,9
18,11
18,10
19,11
16,8
22,13
21,14
23,12
13,13
14,11
28,10
31,12
30,12
26,13
24,13
25,9
40,9
23,13
20,11
24,9
16,8
16,10
16,10
18,10
12,6
20,10
19,10
22,12
25,8
21,14
23,12
24,12
29,8
23,12
22,13
23,13
31,6
21,18
19,11
20,13
18,6
23,9
21,13
23,9
13,7
18,11
18,10
22,10
29,5
23,11
23,10
23,10
26,9
21,16
32,11
31,12
27,5
18,12
17,10
19,11
21,6
18,11
20,12
21,14
12,5
21,11
23,9
20,9
27,7
19,12
21,9
23,10
35,6
24,16
24,11
24,13
27,8
23,11
21,12
18,11
21,8
17,12
18,10
18,11
24,6
24,9
23,10
27,8
17,6
28,11
21,10
21,8
33,5
21,9
23,13
21,17
30,12
29,13
28,10
21,11
32,6
23,20
20,12
16,9
16,15
17,9
18,11
22,11
31,7
20,12
22,12
29,12
34,13
27,11
21,15
20,18
30,7
17,13
18,11
19,10
25,8
16,10
22,11
22,10
26,14
24,11
20,11
19,11
33,10
23,9
23,10
24,8
36,9
22,14
23,15
23,15
28,7
18,10
17,10
18,12
30,6
11,12
17,11
17,11
31,13
24,11
23,12
27,11
36,10
21,9
23,10
22,13
35,9
23,16
20,17
20,15
31,6
21,16
21,18
21,13
34,9
21,10
17,8
17,8
35,13
21,10
19,15
22,14
39,8
23,11
25,12
26,11
42,9
21,10
18,9
17,11
35,13
22,11
19,16
20,15
27,8
16,13
21,14
17,11
19,10
18,12
22,14
22,12
35,10
25,10
25,11
25,9
30,9
24,16
24,12
20,10
36,8
16,13
19,10
20,11
32,8
19,16
22,13
37,11
24,9
21,14
24,13
24,11
22,9
22,10
21,9
24,9
21,8
24,14
20,10
22,11
22,9
16,10
22,9
18,10
16,7
18,11
17,10
19,10
20,9
24,13
22,14
22,12
29,8
31,15
29,10
28,12
24,7
17,13
18,11
19,12
18,8
19,14
22,10
23,10
21,8
23,11
20,11
20,8
18,12
19,12
21,11
21,10
21,10
20,9
25,11
25,16
23,9
18,10
19,8
20,14
16,15
17,12
18,10
20,10
19,11
22,9
22,9
24,12
23,9
20,11
20,10
23,10
24,10
24,11
22,13
21,18
19,11
22,13
22,13
24,14
22,13
18,10
16,10
16,14
18,16
19,10
19,12
19,13
21,11
24,12
21,11
25,14
26,12
24,9
23,10
20,14
19,10
21,13
19,11
19,11
19,12
23,12
21,9
21,10
20,12
21,10
20,11
18,12
22,13
20,10
22,9
24,10
24,12
26,12
25,17
23,14
17,15
18,11
17,12
19,9
15,15
16,11
19,13
19,10
22,15
25,12
22,11
26,10
20,17
21,14
23,12
23,12
23,15
24,20
21,16
20,11
21,16
17,11
23,9
20,10
18,17
19,12
16,10
18,10
21,17
25,11
21,11
25,13
24,22
21,11
27,12
23,12
24,24
21,9
18,10
19,12
19,25
19,16
21,10
21,13
22,19
17,14
15,12
16,12
20,22
21,10
22,9
23,11
24,20
25,13
26,11
25,12
25,32
23,22
19,13
16,10
18,22
21,12
18,10
18,12
19,25
22,15
22,13
21,12
24,30
20,14
21,14
28,12
26,19
23,12
19,11
22,9
23,22
20,12
22,11
21,11
23,9
16,9
17,9
16,10
16,22
19,13
17,10
19,11
18,18
16,13
19,15
24,11
38,11
32,13
25,8
26,16
22,28
18,11
19,9
19,9
19,16
18,9
22,11
22,9
23,15
24,12
18,12
18,12
19,13
19,12
19,11
20,11
22,11
25,11
24,11
26,16
23,14
23,13
16,10
18,16
16,13
21,11
19,10
19,10
21,9
16,10
23,13
21,11
22,10
24,22
19,13
21,9
22,13
22,11
24,11
27,13
25,11
21,14
23,14
22,12
21,9
19,14
18,10
19,9
19,10
35,11
19,11
21,10
22,12
23,12
24,16
27,14
24,10
29,9
24,16
21,12
20,9
23,11
19,12
20,12
20,12
18,11
22,15
20,10
17,9
21,10
18,12
21,12
23,11
22,9
22,12
24,10
24,13
23,16
26,17
19,14
17,10
20,11
16,11
14,8
18,10
19,10
19,15
21,9
21,12
25,23
24,15
21,8
20,10
29,12
23,10
23,11
23,10
23,17
23,18
21,16
21,11
24,11
21,14
16,13
17,16
16,15
19,17
18,10
21,9
26,11
23,11
21,14
23,12
21,10
25,10
22,13
24,9
28,8
20,11
18,13
19,12
22,11
21,12
22,16
23,10
15,16
13,12
14,12
21,10
23,10
22,9
21,8
27,14
30,11
25,13
24,9
28,13
27,13
19,14
18,12
19,13
28,15
18,12
18,11
19,11
8,12
22,12
25,9
23,11
28,12
20,12
19,10
21,9
30,11
21,12
23,12
22,13
33,16
21,15
23,10
23,10
20,8
16,12
18,14
18,9
9,10
21,11
18,12
22,10
23,12
21,15
29,14
29,11
25,11
22,10
23,10
23,12
20,15
