CH1,CH2
"52
","53
"
"53
","114
"
"47
","46
"
"26
","221
"
"48
","23
"
"71
","108
"
"61
","22
"
"12
","31
"
"102
","49
"
"56
","33
"
"68
","238
"
"153
","57
"
"55
","100
"
"47
","62
"
"47
","39
"
"27
","79
"
"51
","64
"
"56
","39
"
"54
","49
"
"25
","30
"
"48
","3
"
"45
","5
"
"51
","41
"
"56
","167
"
"39
","304
"
"54
","98
"
"45
","237
"
"83
","374
"
"128
","109
"
"71
","26
"
"51
","35
"
"23
","100
"
"119
","208
"
"114
","86
"
"97
","100
"
"52
","28
"
"63
","65
"
"94
","172
"
"195
","84
"
"170
","172
"
"50
","334
"
"51
","280
"
"79
","347
"
"122
","149
"
"42
","269
"
"47
","241
"
"53
","9
"
"38
","280
"
"46
","189
"
"48
","164
"
"49
","22
"
"52
","230
"
"104
","233
"
"81
","285
"
"62
","368
"
"101
","195
"
"117
","347
"
"70
","222
"
"45
","84
"
"8
","190
"
"54
","251
"
"82
","220
"
"69
","149
"
"102
","63
"
"48
","147
"
"65
","188
"
"54
","255
"
"40
","341
"
"60
","42
"
"29
","215
"
"66
","243
"
"21
","119
"
"45
","32
"
"45
","34
"
"54
","122
"
"30
","78
"
"49
","177
"
"55
","4
"
"84
","59
"
"108
","248
"
"48
","96
"
"54
","17
"
"52
","75
"
"61
","135
"
"57
","18
"
"64
","229
"
"56
","63
"
"58
","178
"
"57
","111
"
"62
","8
"
"101
","125
"
"33
","87
"
"47
","14
"
"43
","32
"
"51
","108
"
"29
","350
"
"90
","94
"
"85
","111
"
"64
","347
"
"93
","244
"
"42
","64
"
"53
","0
"
"60
","112
"
"38
","173
"
"49
","127
"
"47
","143
"
"61
","182
"
"52
","44
"
"51
","155
"
"112
","189
"
"109
","91
"
"7
","31
"
"83
","181
"
"101
","125
"
"48
","7
"
"54
","2
"
"61
","0
"
"58
","39
"
"52
","72
"
"26
","54
"
"85
","115
"
"60
","153
"
"49
","18
"
"59
","5
"
"60
","59
"
"81
","10
"
"55
","205
"
"58
","69
"
"69
","114
"
"62
","177
"
"55
","12
"
"19
","43
"
"48
","165
"
"50
","402
"
"49
","128
"
"10
","12
"
"53
","191
"
"55
","449
"
"58
","114
"
"65
","270
"
"44
","32
"
"57
","287
"
"57
","147
"
"103
","94
"
"59
","28
"
"64
","90
"
"50
","0
"
"16
","84
"
"46
","173
"
"45
","79
"
"48
","155
"
"10
","9
"
"51
","116
"
"94
","7
"
"56
","175
"
"26
","61
"
"58
","15
"
"49
","2
"
"63
","211
"
"51
","160
"
"62
","121
"
"88
","45
"
"79
","60
"
"12
","96
"
"44
","66
"
"46
","54
"
"64
","70
"
"13
","103
"
"56
","53
"
"75
","355
"
"72
","7
"
"121
","232
"
"66
","120
"
"42
","91
"
"41
","224
"
"43
","102
"
"62
","52
"
"44
","423
"
"47
","10
"
"60
","127
"
"56
","49
"
"53
","138
"
"53
","200
"
"43
","12
"
"46
","123
"
"60
","143
"
"46
","91
"
"81
","97
"
"59
","27
"
"48
","28
"
"49
","53
"
"19
","62
"
"62
","5
"
"57
","184
"
"50
","33
"
"22
","217
"
"51
","216
"
"48
","74
"
"68
","223
"
"40
","126
"
"47
","248
"
"46
","194
"
"61
","362
"
"87
","344
"
"71
","178
"
"57
","14
"
"56
","201
"
"75
","331
"
"41
","155
"
"51
","36
"
"59
","197
"
"40
","212
"
"58
","67
"
"47
","25
"
"47
","78
"
"16
","163
"
"49
","142
"
"60
","176
"
"60
","102
"
"62
","108
"
"45
","222
"
"48
","23
"
"43
","62
"
"23
","21
"
"99
","0
"
"73
","92
"
"48
","2
"
"31
","0
"
"83
","83
"
"105
","9
"
"53
","44
"
"99
","100
"
"249
","5
"
"146
","215
"
"100
","97
"
"118
","165
"
"72
","142
"
"79
","45
"
"57
","101
"
"34
","43
"
"53
","90
"
"53
","42
"
"41
","7
"
"55
","62
"
"52
","96
"
"48
","41
"
"41
","33
"
"29
","6
"
"47
","123
"
"46
","187
"
"83
","245
"
"59
","355
"
"56
","43
"
"77
","117
"
"74
","77
"
"48
","33
"
"51
","4
"
"66
","27
"
"44
","98
"
"35
","152
"
"57
","128
"
"55
","41
"
"56
","5
"
"21
","288
"
"44
","26
"
"58
","9
"
"56
","92
"
"102
","23
"
"63
","30
"
"58
","36
"
"70
","24
"
"44
","41
"
"81
","12
"
"48
","101
"
"49
","32
"
"57
","78
"
"51
","162
"
"53
","372
"
"50
","18
"
"36
","72
"
"83
","59
"
"109
","169
"
"46
","122
"
"88
","145
"
"80
","30
"
"99
","41
"
"82
","9
"
"63
","27
"
"51
","0
"
"50
","80
"
"38
","94
"
"26
","74
"
"46
","159
"
"42
","185
"
"49
","3
"
"41
","85
"
"46
","8
"
"49
","29
"
"61
","232
"
"98
","162
"
"62
","166
"
"55
","124
"
"54
","40
"
"68
","188
"
"65
","15
"
"65
","352
"
"49
","166
"
"79
","35
"
"56
","144
"
"54
","115
"
"52
","172
"
"94
","57
"
"48
","19
"
"48
","107
"
"53
","16
"
"78
","173
"
"68
","11
"
"44
","0
"
"59
","94
"
"42
","284
"
"50
","241
"
"69
","219
"
"52
","60
"
"95
","138
"
"49
","239
"
"50
","252
"
"102
","111
"
"108
","59
"
"49
","127
"
"53
","191
"
"47
","138
"
"70
","163
"
"51
","75
"
"49
","157
"
"50
","359
"
"82
","199
"
"61
","76
"
"87
","632
"
"74
","282
"
"59
","9
"
"80
","112
"
"75
","53
"
"56
","209
"
"112
","331
"
"87
","14
"
"89
","116
"
"73
","24
"
"87
","87
"
"108
","275
"
"117
","279
"
"68
","106
"
"77
","109
"
"43
","30
"
"74
","154
"
"50
","188
"
"71
","72
"
"56
","87
"
"50
","25
"
"52
","24
"
"66
","18
"
"50
","43
"
"42
","197
"
"43
","173
"
"63
","188
"
"47
","31
"
"50
","80
"
"67
","101
"
"106
","0
"
"74
","80
"
"61
","32
"
"88
","49
"
"69
","27
"
"44
","201
"
"86
","265
"
"119
","139
"
"87
","22
"
"39
","215
"
"46
","65
"
"78
","119
"
"85
","71
"
"57
","242
"
"108
","11
"
"91
","111
"
"97
","55
"
"48
","126
"
"49
","14
"
"125
","176
"
"97
","162
"
"76
","19
"
"55
","37
"
"63
","220
"
"107
","223
"
"52
","143
"
"65
","252
"
"57
","44
"
"132
","47
"
"60
","17
"
"76
","1
"
"60
","0
"
"80
","66
"
"45
","0
"
"48
","307
"
"49
","502
"
"104
","148
"
"84
","166
"
"89
","380
"
"64
","298
"
"48
","64
"
"42
","161
"
"45
","302
"
"66
","99
"
"93
","94
"
"66
","98
"
"73
","368
"
"58
","66
"
"142
","164
"
"51
","106
"
"67
","415
"
"68
","236
"
"77
","75
"
"35
","165
"
"41
","0
"
"46
","283
"
"109
","168
"
"46
","77
"
"65
","45
"
"49
","44
"
"67
","149
"
"59
","348
"
