CH1,CH2
"50
","20
"
"48
","19
"
"129
","22
"
"311
","169
"
"199
","24
"
"115
","0
"
"96
","37
"
"105
","76
"
"91
","27
"
"57
","17
"
"271
","17
"
"43
","8
"
"178
","82
"
"56
","118
"
"167
","72
"
"120
","3
"
"218
","63
"
"68
","38
"
"223
","7
"
"317
","44
"
"75
","0
"
"116
","102
"
"301
","77
"
"374
","45
"
"158
","0
"
"87
","19
"
"51
","4
"
"196
","9
"
"63
","36
"
"51
","13
"
"214
","3
"
"9
","2
"
"258
","49
"
"371
","50
"
"53
","24
"
"75
","66
"
"106
","58
"
"228
","76
"
"46
","0
"
"238
","3
"
"50
","31
"
"153
","18
"
"85
","52
"
"137
","0
"
"330
","6
"
"212
","11
"
"96
","17
"
"61
","6
"
"195
","0
"
"238
","83
"
"195
","95
"
"135
","69
"
"298
","97
"
"237
","92
"
"187
","76
"
"155
","4
"
"655
","246
"
"69
","138
"
"388
","224
"
"97
","105
"
"102
","123
"
"128
","29
"
"81
","38
"
"160
","57
"
"115
","27
"
"51
","0
"
"163
","45
"
"81
","74
"
"210
","77
"
"152
","109
"
"95
","80
"
"134
","22
"
"84
","204
"
"196
","121
"
"86
","130
"
"151
","0
"
"122
","63
"
"125
","35
"
"177
","76
"
"435
","5
"
"469
","22
"
"216
","2
"
"82
","0
"
"85
","1
"
"166
","0
"
"311
","28
"
"280
","43
"
"13
","12
"
"164
","18
"
"296
","13
"
"179
","45
"
"8
","0
"
"36
","12
"
"35
","0
"
"256
","32
"
"95
","95
"
"315
","83
"
"85
","46
"
"100
","12
"
"52
","0
"
"64
","0
"
"163
","0
"
"357
","103
"
"530
","161
"
"934
","141
"
"89
","1
"
"318
","0
"
"145
","45
"
"108
","70
"
"223
","41
"
"230
","15
"
"54
","0
"
"56
","6
"
"281
","14
"
"334
","21
"
"380
","63
"
"84
","83
"
"72
","30
"
"61
","0
"
"25
","73
"
"88
","47
"
"100
","23
"
"82
","90
"
"175
","65
"
"53
","10
"
"197
","68
"
"168
","27
"
"121
","0
"
"103
","0
"
"97
","28
"
"81
","50
"
"120
","0
"
"135
","96
"
"52
","51
"
"95
","100
"
"441
","133
"
"316
","66
"
"77
","0
"
"89
","0
"
"159
","2
"
"293
","76
"
"84
","0
"
"94
","29
"
"153
","1
"
"98
","61
"
"56
","70
"
"251
","57
"
"233
","23
"
"99
","1
"
"110
","1
"
"115
","21
"
"35
","86
"
"49
","95
"
"96
","22
"
"219
","34
"
"71
","13
"
"58
","0
"
"81
","0
"
"180
","101
"
"119
","0
"
"216
","79
"
"169
","52
"
"66
","1
"
"158
","35
"
"250
","35
"
"255
","15
"
"128
","8
"
"70
","45
"
"43
","0
"
"108
","28
"
"80
","14
"
"69
","0
"
"46
","58
"
"85
","8
"
"94
","25
"
"84
","6
"
"51
","30
"
"50
","0
"
"74
","4
"
"130
","13
"
"38
","40
"
"28
","0
"
"155
","51
"
"221
","18
"
"274
","13
"
"291
","38
"
"100
","139
"
"125
","97
"
"56
","19
"
"65
","43
"
"60
","0
"
"252
","63
"
"102
","16
"
"90
","15
"
"232
","0
"
"138
","110
"
"293
","119
"
"95
","6
"
"330
","222
"
"313
","97
"
"41
","9
"
"48
","55
"
"164
","84
"
"17
","20
"
"41
","6
"
"42
","9
"
"48
","10
"
"122
","9
"
"88
","0
"
"99
","8
"
"99
","24
"
"77
","24
"
"87
","18
"
"79
","22
"
"46
","23
"
"61
","0
"
"86
","37
"
"47
","47
"
"105
","22
"
"34
","8
"
"118
","5
"
"50
","17
"
"50
","21
"
"132
","86
"
"70
","68
"
"94
","0
"
"66
","15
"
"125
","63
"
"415
","53
"
"61
","50
"
"45
","31
"
"127
","5
"
"101
","4
"
"159
","31
"
"73
","55
"
"23
","54
"
"98
","0
"
"41
","38
"
"42
","39
"
"58
","31
"
"64
","51
"
"86
","13
"
"81
","56
"
"61
","0
"
"49
","11
"
"65
","0
"
"129
","12
"
"183
","35
"
"63
","0
"
"131
","23
"
"50
","0
"
"72
","31
"
"101
","31
"
"105
","27
"
"207
","60
"
"52
","9
"
"98
","44
"
"339
","65
"
"275
","57
"
"255
","3
"
"90
","6
"
"68
","0
"
"61
","45
"
"119
","96
"
"186
","7
"
"46
","67
"
"53
","83
"
"56
","2
"
"56
","28
"
"53
","78
"
"129
","53
"
"55
","0
"
"74
","5
"
"146
","14
"
"89
","0
"
"42
","0
"
"151
","27
"
"220
","13
"
"63
","2
"
"209
","80
"
"329
","0
"
"233
","0
"
"59
","53
"
"229
","74
"
"170
","78
"
"176
","0
"
"118
","29
"
"43
","0
"
"84
","32
"
"51
","8
"
"186
","19
"
"142
","32
"
"54
","17
"
"105
","2
"
"95
","2
"
"40
","25
"
"46
","3
"
"363
","74
"
"79
","71
"
"287
","22
"
"344
","117
"
"153
","79
"
"155
","47
"
"186
","27
"
"326
","141
"
"346
","187
"
"202
","43
"
"101
","34
"
"73
","3
"
"50
","15
"
"55
","14
"
"62
","0
"
"24
","62
"
"277
","97
"
"357
","155
"
"327
","116
"
"88
","142
"
"497
","342
"
"245
","87
"
"94
","47
"
"71
","53
"
"149
","81
"
"76
","1
"
"60
","42
"
"43
","0
"
"217
","129
"
"59
","0
"
"206
","13
"
"279
","74
"
"227
","63
"
"61
","72
"
"103
","60
"
"110
","15
"
"65
","63
"
"44
","100
"
"151
","60
"
"60
","4
"
"79
","18
"
"57
","12
"
"118
","9
"
"104
","15
"
"185
","0
"
"104
","0
"
"88
","66
"
"73
","0
"
"67
","0
"
"83
","5
"
"65
","4
"
"108
","23
"
"49
","42
"
"209
","1
"
"270
","7
"
"214
","0
"
"71
","72
"
"78
","12
"
"323
","101
"
"75
","38
"
"219
","27
"
"65
","39
"
"313
","0
"
"75
","16
"
"100
","119
"
"523
","153
"
"167
","47
"
"184
","92
"
"501
","221
"
"379
","107
"
"126
","44
"
"111
","38
"
"78
","80
"
"46
","35
"
"108
","5
"
"81
","48
"
"88
","0
"
"72
","59
"
"140
","63
"
"139
","37
"
"44
","27
"
"55
","34
"
"93
","0
"
"53
","22
"
"78
","128
"
"187
","0
"
"285
","0
"
"99
","3
"
"235
","21
"
"283
","70
"
"251
","16
"
"64
","0
"
"294
","54
"
"322
","107
"
"105
","51
"
"365
","94
"
"185
","19
"
"95
","11
"
"61
","85
"
"70
","21
"
"236
","4
"
"135
","0
"
"158
","42
"
"43
","0
"
"140
","36
"
"78
","14
"
"104
","17
"
"44
","77
"
"94
","0
"
"55
","51
"
"74
","17
"
"62
","7
"
"121
","15
"
"117
","66
"
"111
","0
"
"116
","35
"
"335
","64
"
"121
","9
"
"184
","0
"
"163
","38
"
"167
","47
"
"46
","2
"
"151
","44
"
"200
","0
"
"151
","12
"
"107
","33
"
"187
","77
"
"229
","44
"
"49
","0
"
"238
","83
"
"163
","67
"
"247
","76
"
"263
","10
"
"85
","11
"
"46
","36
"
"52
","49
"
"153
","26
"
"86
","4
"
"49
","0
"
"48
","4
"
"39
","23
"
"69
","3
"
"69
","5
"
"351
","67
"
"473
","37
"
"439
","63
"
"290
","54
"
"191
","2
"
"398
","158
"
"278
","77
"
"120
","8
"
"149
","5
"
"190
","42
"
"289
","45
"
"123
","50
"
"283
","37
"
"62
","32
"
"133
","53
"
"316
","64
"
"233
","72
"
"238
","158
"
"451
","47
"
"58
","36
"
"253
","116
"
"195
","111
"
"232
","9
"
"120
","0
"
"573
","11
"
"75
","106
"
"303
","92
"
"116
","73
"
"78
","27
"
"212
","10
"
"487
","123
"
"58
","3
"
"45
","74
"
"148
","49
"
"116
","0
"
"138
","1
"
"94
","12
"
"57
","0
"
"94
","11
"
"64
","101
"
"81
","33
"
"329
","14
"
"100
","16
"
"230
","105
"
"220
","85
"
"482
","0
"
"132
","72
"
"347
","21
"
"151
","53
"
"86
","38
"
"75
","127
"
"47
","64
"
"199
","72
"
"55
","49
"
"252
","106
"
"220
","93
"
"146
","38
"
"51
","47
"
"212
","28
"
"226
","45
"
"121
","107
"
"156
","53
"
"506
","95
"
"178
","62
"
"80
","149
"
"172
","43
"
"127
","0
"
"741
","78
"
"80
","8
"
"50
","8
"
"71
","45
"
"167
","27
"
"146
","4
"
"129
","64
"
"50
","1
"
"72
","28
"
"80
","28
"
"101
","14
"
"138
","8
"
"90
","16
"
"39
","21
"
"118
","3
"
"93
","67
"
"227
","20
"
"191
","109
"
"57
","1
"
"161
","60
"
"292
","107
"
"535
","116
"
"77
","13
"
"340
","73
"
"201
","11
"
"263
","117
"
"571
","44
"
"665
","82
"
"54
","0
"
"105
","27
"
"147
","70
"
"84
","63
"
"282
","64
"
"141
","8
"
"44
","0
"
"64
","0
"
"154
","16
"
"111
","48
"
"273
","88
"
"251
","0
"
"72
","31
"
"397
","149
"
"486
","0
"
"145
","60
"
"325
","163
"
"364
","141
"
"124
","5
"
"42
","71
"
"148
","1
"
"349
","33
"
"128
","112
"
"58
","27
"
"127
","0
"
"127
","0
"
"55
","49
"
