CH1,CH2
"38
","0
"
"39
","0
"
"38
","0
"
"42
","0
"
"36
","0
"
"39
","0
"
"41
","0
"
"48
","0
"
"40
","0
"
"38
","0
"
"36
","0
"
"48
","0
"
"34
","0
"
"34
","0
"
"35
","0
"
"46
","0
"
"38
","0
"
"39
","0
"
"39
","0
"
"46
","1
"
"41
","0
"
"35
","0
"
"35
","0
"
"48
","0
"
"34
","0
"
"36
","0
"
"37
","0
"
"48
","0
"
"35
","0
"
"39
","0
"
"40
","0
"
"51
","0
"
"35
","0
"
"36
","0
"
"34
","0
"
"51
","0
"
"34
","0
"
"35
","0
"
"35
","0
"
"52
","0
"
"35
","2
"
"38
","0
"
"33
","4
"
"47
","0
"
"42
","16
"
"38
","2
"
"36
","0
"
"61
","0
"
"36
","2
"
"36
","2
"
"37
","0
"
"52
","0
"
"39
","0
"
"39
","0
"
"40
","0
"
"52
","0
"
"34
","0
"
"34
","0
"
"39
","0
"
"58
","0
"
"35
","0
"
"36
","0
"
"35
","0
"
"61
","0
"
"39
","0
"
"40
","0
"
"44
","0
"
"60
","0
"
"35
","0
"
"34
","0
"
"34
","0
"
"71
","0
"
"38
","3
"
"35
","4
"
"38
","0
"
"59
","0
"
"40
","0
"
"40
","0
"
"41
","0
"
"67
","0
"
"34
","0
"
"34
","0
"
"34
","0
"
"69
","0
"
"34
","0
"
"36
","0
"
"33
","2
"
"61
","0
"
"40
","0
"
"44
","0
"
"42
","0
"
"68
","0
"
"31
","0
"
"32
","0
"
"34
","0
"
"71
","6
"
"34
","0
"
"35
","0
"
"38
","0
"
"77
","0
"
"40
","0
"
"41
","0
"
"42
","0
"
"84
","0
"
"38
","0
"
"35
","2
"
"35
","0
"
"68
","0
"
"34
","0
"
"36
","9
"
"38
","0
"
"78
","0
"
"36
","8
"
"41
","1
"
"38
","0
"
"84
","0
"
"35
","0
"
"35
","0
"
"35
","0
"
"67
","0
"
"40
","0
"
"39
","0
"
"38
","0
"
"48
","0
"
"39
","0
"
"41
","0
"
"40
","0
"
"37
","0
"
"38
","0
"
"34
","0
"
"31
","0
"
"33
","0
"
"35
","0
"
"37
","0
"
"38
","0
"
"47
","0
"
"39
","0
"
"39
","2
"
"34
","0
"
"34
","0
"
"32
","0
"
"34
","0
"
"37
","0
"
"36
","0
"
"37
","0
"
"38
","0
"
"39
","0
"
"39
","0
"
"39
","0
"
"38
","0
"
"34
","0
"
"34
","0
"
"36
","0
"
"35
","2
"
"35
","0
"
"35
","0
"
"39
","0
"
"38
","0
"
"39
","5
"
"40
","0
"
"34
","0
"
"38
","0
"
"34
","0
"
"34
","0
"
"35
","0
"
"35
","0
"
"37
","0
"
"36
","0
"
"41
","0
"
"39
","6
"
"41
","0
"
"41
","0
"
"36
","0
"
"35
","0
"
"32
","0
"
"30
","0
"
"33
","0
"
"34
","0
"
