CH1,CH2
457,623
345,487
251,336
116,160
76,100
107,85
125,144
178,157
77,193
91,158
83,156
90,121
122,222
173,447
184,410
217,473
244,708
502,788
469,630
397,445
277,156
187,76
129,101
93,186
36,138
84,171
110,110
114,222
225,268
261,231
418,578
372,476
299,338
180,216
134,177
119,133
59,115
89,206
94,146
101,131
291,358
254,386
415,738
448,633
381,637
178,507
167,355
139,295
70,295
76,281
100,125
188,757
268,1023
329,960
456,680
377,516
268,251
141,200
87,149
76,140
51,76
74,100
89,147
134,291
234,312
294,328
237,673
449,637
381,475
284,224
217,189
97,285
50,290
75,227
68,92
118,163
240,482
220,454
273,710
423,722
276,553
211,245
127,89
95,112
94,178
82,95
148,132
89,111
94,147
83,190
139,386
266,861
408,566
326,336
206,59
183,84
117,233
100,311
84,312
113,133
151,315
240,503
275,630
322,896
500,730
331,623
116,369
131,178
122,57
70,64
52,134
75,266
102,278
193,517
149,422
320,623
491,592
409,378
260,103
147,160
137,356
150,257
71,121
87,111
136,178
128,204
185,234
257,464
503,693
415,636
336,527
202,414
104,365
55,129
65,98
92,89
177,116
168,258
198,273
208,330
522,760
426,636
351,432
195,198
132,45
111,103
59,209
72,140
117,167
239,176
327,82
221,94
356,432
373,412
282,285
115,251
143,266
106,256
79,175
113,242
79,114
111,385
274,523
223,446
359,761
439,595
366,412
173,269
158,173
159,141
81,117
80,108
75,110
124,259
202,277
206,383
262,752
391,694
305,502
144,161
121,53
83,38
39,106
63,109
114,145
116,100
277,122
229,164
218,508
397,732
348,739
222,374
78,293
55,181
81,81
106,76
83,162
75,120
256,125
343,80
232,90
404,539
405,731
402,567
222,305
127,230
84,193
66,78
67,104
118,141
111,298
344,368
294,453
396,852
475,724
341,672
192,408
168,187
62,35
38,130
51,134
104,126
82,172
229,343
192,428
251,691
397,730
385,535
200,272
115,214
59,36
67,106
42,127
104,130
104,125
311,300
216,173
261,99
371,220
306,393
251,533
164,544
122,359
141,92
27,103
84,122
86,117
214,189
270,376
288,457
358,895
396,749
326,317
189,49
196,39
59,43
64,37
73,110
70,100
127,206
323,376
319,416
321,598
423,667
366,383
224,64
163,45
91,40
107,105
46,68
74,117
122,140
149,320
278,255
239,277
491,643
455,702
368,429
139,242
70,247
41,205
90,83
119,123
110,154
104,466
244,322
242,329
255,629
335,605
292,320
247,205
213,224
79,347
43,266
58,159
111,101
86,201
217,252
121,270
191,572
387,742
370,679
158,418
112,304
54,185
72,124
86,226
79,244
90,259
151,109
196,224
192,86
413,619
316,760
249,657
118,482
96,271
106,187
93,135
90,144
88,100
123,223
213,327
191,431
407,816
428,658
315,461
144,168
135,49
80,22
64,56
64,116
84,150
118,103
212,111
191,157
226,512
460,739
373,631
237,533
132,345
106,286
99,131
66,91
72,88
66,125
124,185
220,250
228,369
453,587
355,522
308,356
147,422
96,393
68,384
52,142
74,104
96,172
138,445
282,455
253,586
358,883
397,797
332,412
168,82
185,97
78,50
70,171
79,239
101,94
84,151
188,612
226,550
278,590
454,724
388,687
305,406
173,337
141,177
123,43
91,125
144,112
99,184
152,530
205,401
223,467
478,708
420,494
348,276
198,156
168,91
125,64
68,106
78,117
96,141
125,246
243,139
156,235
325,516
342,555
273,321
123,297
110,384
83,652
61,656
73,331
79,118
95,456
111,575
125,684
179,920
352,932
327,583
233,370
223,280
158,315
65,170
96,93
88,88
89,160
211,659
274,585
229,728
469,930
343,708
234,268
103,45
85,205
69,176
57,131
94,137
99,104
167,392
152,64
216,101
254,485
410,688
310,502
195,304
180,163
142,43
50,54
67,123
78,106
83,99
222,316
214,226
286,394
423,564
433,653
269,468
92,354
91,122
89,130
46,111
80,117
85,156
113,407
256,444
281,373
448,791
452,667
368,440
209,310
86,211
107,56
85,188
61,231
98,166
104,168
271,270
191,136
321,462
408,411
324,521
170,356
155,289
67,144
55,98
77,255
86,303
88,142
212,402
293,528
276,651
438,874
450,527
278,189
199,120
142,44
75,56
59,58
78,115
145,111
137,98
295,74
216,247
234,770
353,892
345,491
207,126
154,97
84,102
49,64
84,149
118,154
89,104
142,216
223,236
203,507
494,713
415,527
334,356
184,295
137,286
79,195
75,181
103,99
127,301
193,323
232,370
214,428
473,645
434,430
268,221
120,139
101,97
98,89
60,105
84,98
98,111
144,276
248,285
270,340
344,603
475,703
352,607
253,447
210,268
153,214
81,81
103,103
102,157
84,532
307,588
318,305
392,525
516,499
445,352
172,226
161,276
79,413
64,314
87,181
123,114
96,270
270,318
220,476
278,860
415,809
375,519
220,361
218,247
137,241
83,115
98,139
93,445
96,359
269,263
221,106
265,334
382,565
317,378
182,296
143,360
98,218
95,53
52,170
82,222
93,414
111,256
272,80
265,208
444,190
408,202
270,344
128,321
173,310
108,218
84,176
64,265
94,116
118,120
249,274
225,391
328,781
438,612
375,610
287,381
250,122
94,37
45,72
99,115
158,159
88,223
215,326
211,390
253,603
404,712
359,491
170,119
186,164
149,174
140,175
79,156
85,120
90,114
210,406
244,497
319,650
437,588
412,420
289,151
154,212
97,99
90,112
63,120
86,115
91,165
166,329
311,404
287,406
416,678
457,492
407,249
223,158
159,144
159,201
80,143
73,91
107,109
201,339
227,237
254,129
304,320
434,358
239,104
162,87
142,221
95,534
53,613
76,387
84,108
123,180
237,247
258,99
172,527
366,739
370,626
214,310
176,198
137,139
91,123
93,149
88,109
82,104
180,500
185,352
155,471
372,678
397,656
304,345
185,227
174,71
144,120
59,126
99,166
107,183
244,382
331,304
301,292
483,554
338,399
287,204
147,132
85,131
114,196
112,151
97,150
83,101
142,165
273,336
286,563
592,1023
533,954
300,522
185,173
118,40
71,99
54,119
81,118
109,205
105,388
290,454
246,417
449,828
451,704
426,587
218,495
192,355
185,51
66,236
66,411
108,588
173,653
197,571
229,376
374,496
470,216
384,152
250,152
142,142
147,111
56,71
88,100
95,173
152,282
321,420
321,353
342,771
501,790
398,801
