CH1,CH2
234,497
268,304
65,312
360,368
432,332
533,251
444,72
178,264
83,409
962,675
954,648
688,318
478,357
72,290
52,76
203,21
192,204
48,183
91,185
305,569
375,587
264,422
190,268
325,342
309,333
212,210
165,34
110,45
137,393
212,817
404,836
493,355
306,34
176,44
149,175
164,36
449,291
465,189
55,368
417,247
278,53
149,309
299,288
292,236
116,99
165,56
367,336
385,235
519,612
306,445
62,150
42,204
79,45
149,57
178,139
84,50
26,23
100,203
496,831
627,801
282,590
89,450
37,251
295,695
216,139
85,247
91,276
73,346
250,623
179,333
93,85
335,73
334,79
46,26
248,26
42,197
177,356
307,603
103,775
82,361
31,160
223,55
262,292
115,116
45,19
262,142
303,115
124,373
153,348
94,84
112,144
106,444
355,860
139,612
112,125
455,400
485,618
530,818
331,665
120,380
103,243
384,499
567,284
624,168
525,351
241,299
440,470
1023,668
1023,704
862,450
444,257
209,179
181,24
41,32
181,414
351,901
317,1023
577,1023
554,1014
407,885
262,133
94,956
59,1023
62,740
41,689
91,345
208,440
602,690
388,368
196,145
107,51
49,87
82,74
212,69
340,270
225,631
384,1011
415,1007
213,705
241,524
195,36
191,94
89,231
34,763
117,677
168,522
496,687
449,582
248,385
205,222
210,86
66,33
72,133
101,321
32,385
282,429
629,928
762,602
414,66
326,23
257,156
172,41
501,18
904,362
489,217
177,627
186,797
85,604
59,351
177,146
50,44
159,397
239,396
291,457
447,242
544,574
361,469
534,471
564,179
417,63
54,43
56,158
46,564
135,965
77,670
172,428
189,227
44,95
128,281
127,39
131,85
162,120
316,59
53,210
159,415
222,741
347,915
234,639
307,624
124,578
146,255
335,305
177,534
127,226
37,243
240,1023
281,1016
166,677
80,418
34,131
64,28
30,30
128,388
217,449
289,712
408,681
72,389
39,457
208,280
230,259
361,87
357,154
195,137
100,478
366,1023
519,777
335,404
221,453
47,211
97,36
192,150
816,27
349,220
274,453
754,803
786,614
495,293
30,153
44,152
262,57
81,22
64,234
113,230
86,242
362,429
386,301
241,255
116,165
41,125
106,103
46,155
134,78
141,142
162,420
308,737
320,683
119,435
70,353
202,70
241,32
305,83
33,14
33,24
54,239
274,354
575,242
567,618
272,871
128,850
37,759
82,399
87,104
372,423
473,931
359,953
280,598
354,191
129,195
249,78
312,86
222,150
56,176
35,320
291,641
248,460
87,181
53,172
357,279
256,126
52,63
215,627
305,839
328,955
428,958
264,554
111,42
269,536
136,735
149,602
112,313
279,471
383,365
354,400
387,354
205,84
58,16
50,105
122,85
204,167
248,198
370,242
56,180
48,469
192,548
33,266
151,64
204,172
54,194
57,102
112,43
203,269
296,308
474,678
456,602
199,320
127,172
56,147
242,59
278,62
290,377
410,436
303,354
460,721
415,665
144,165
208,169
37,242
126,233
107,39
251,615
87,661
246,556
360,600
246,442
35,345
269,254
309,339
42,28
62,83
199,402
105,588
201,521
281,338
179,219
109,298
189,240
123,196
156,206
183,82
42,137
32,247
153,814
167,672
128,505
240,516
233,281
212,57
117,133
228,341
320,367
349,394
463,625
67,433
83,360
35,358
153,368
77,281
106,96
100,218
134,315
310,488
352,778
117,561
194,166
204,46
159,17
121,16
35,24
132,194
78,106
55,290
276,714
328,691
271,366
215,249
224,49
83,63
437,202
369,415
257,218
287,524
338,433
163,319
105,276
54,149
142,38
209,96
248,76
415,233
438,100
367,402
249,340
43,154
239,27
250,59
47,304
61,230
84,51
164,243
186,440
276,746
204,514
325,119
114,31
49,136
82,26
60,42
221,137
345,516
309,490
527,839
403,444
160,70
83,106
91,21
117,33
30,46
224,326
193,249
185,500
416,590
352,347
179,201
43,185
32,122
35,143
77,71
175,225
290,470
466,786
449,737
569,467
244,395
255,258
233,156
192,82
34,61
754,319
588,323
478,754
437,574
188,383
57,274
135,110
106,67
163,25
42,117
121,162
111,273
289,726
394,554
228,241
199,156
175,169
115,156
59,54
100,208
104,247
159,360
233,510
62,316
50,43
38,114
32,134
40,100
43,84
260,67
108,192
252,161
312,215
126,259
183,320
55,197
155,82
108,65
148,86
295,236
244,163
364,524
301,644
