CH1,CH2
102,21
246,58
227,211
404,612
318,522
243,297
164,252
117,306
31,101
51,86
53,64
177,270
194,496
357,855
308,610
231,533
213,432
89,32
63,168
37,270
68,404
259,239
313,250
472,529
276,530
172,88
104,93
43,26
49,49
122,85
198,238
138,198
256,518
389,350
351,145
177,141
66,51
60,85
127,128
196,146
193,182
228,85
395,270
392,234
195,248
85,451
45,327
82,188
44,154
50,29
274,262
207,280
405,677
338,542
222,97
123,50
96,219
35,379
59,238
129,152
227,531
232,506
439,652
437,497
85,73
26,110
278,75
76,27
256,45
177,225
75,260
75,360
409,428
470,147
268,137
167,76
80,20
85,96
100,23
208,137
174,133
294,567
411,558
258,365
111,273
77,218
46,75
34,153
74,310
197,535
208,509
388,367
425,136
244,42
125,63
59,23
39,28
120,132
167,213
315,117
233,17
459,308
444,495
217,414
171,36
50,209
135,235
153,192
244,235
271,46
288,124
398,371
313,355
136,58
128,59
63,40
32,74
116,193
210,144
244,118
245,187
461,622
323,690
112,500
19,275
39,142
48,26
70,266
207,624
224,511
380,584
360,356
358,185
96,70
39,32
122,78
71,92
40,14
250,38
271,61
376,389
361,504
177,392
108,308
31,178
42,91
76,23
140,240
281,317
214,332
346,594
280,530
148,240
30,126
47,65
54,95
39,30
250,253
245,459
136,710
332,578
259,396
57,245
41,208
51,180
43,50
60,481
172,786
202,527
238,456
370,187
284,42
185,87
63,57
39,78
49,77
70,17
291,365
265,414
375,726
324,642
240,203
192,98
128,166
35,74
46,109
53,363
162,480
192,387
441,581
409,397
184,32
151,13
120,30
46,185
58,156
31,90
206,315
230,406
465,808
277,549
280,357
236,235
101,123
141,100
48,225
158,1023
316,657
393,391
465,79
318,41
112,45
46,140
65,96
67,123
124,15
245,311
273,380
361,663
401,501
237,245
186,165
103,181
44,138
72,26
71,52
237,308
223,362
416,628
278,438
183,187
127,105
118,61
57,45
60,64
145,54
195,262
277,493
450,851
241,619
140,295
220,242
187,26
59,342
82,609
177,705
245,525
229,391
553,198
420,201
201,134
140,197
63,452
54,171
110,159
262,490
242,377
301,571
440,510
319,415
150,298
126,147
38,155
46,100
105,269
261,435
260,447
349,566
332,753
165,483
114,85
104,36
172,153
55,105
136,270
346,384
251,251
355,607
313,565
126,366
90,252
109,165
70,44
42,72
122,259
270,271
280,306
398,494
301,364
180,127
119,129
50,131
70,65
141,107
177,350
260,407
272,512
436,620
367,501
222,327
218,41
126,181
72,210
137,290
352,589
277,472
349,495
386,227
246,28
139,35
55,53
66,35
125,253
63,440
152,33
205,413
429,702
380,643
216,426
205,529
191,343
77,90
87,225
47,442
183,484
265,424
453,552
413,277
