CH1,CH2
256,350
475,493
429,453
361,404
291,270
160,212
127,154
119,111
94,80
41,45
51,14
55,29
64,50
89,80
95,151
259,303
280,302
260,288
305,330
476,491
411,471
353,376
224,204
104,156
137,105
48,52
34,37
68,32
115,67
150,260
300,289
266,302
349,539
440,487
337,271
162,199
112,145
75,103
37,45
37,33
65,75
84,92
246,289
284,277
261,296
508,491
384,404
254,219
116,176
91,105
99,56
36,37
47,34
88,87
88,122
291,258
268,268
268,437
455,518
408,406
283,179
145,164
105,119
55,44
39,22
47,57
106,59
164,282
279,291
260,300
365,505
412,455
295,302
137,164
98,160
64,121
45,47
49,37
77,65
119,124
273,296
242,266
273,390
468,519
416,415
266,244
111,176
120,114
52,40
35,30
48,36
77,113
135,292
281,282
267,292
319,521
403,501
298,293
141,171
104,148
59,76
56,49
45,37
70,61
125,95
256,289
279,306
219,317
483,506
427,439
299,254
152,155
115,112
72,64
34,30
47,37
75,84
59,210
271,294
256,300
260,489
418,488
395,388
206,184
103,150
66,103
36,45
71,29
65,55
124,49
160,290
281,285
257,260
391,522
424,494
333,286
164,187
117,123
94,95
53,48
39,28
66,73
98,89
184,339
277,285
249,310
464,477
381,397
312,236
111,179
84,107
64,58
47,43
46,12
77,95
100,144
300,303
269,288
268,421
434,525
396,403
234,211
151,155
96,94
36,62
39,43
45,30
95,79
100,254
236,332
253,290
266,546
410,468
329,325
202,177
115,147
46,123
34,50
40,31
64,17
104,79
196,313
288,279
272,298
471,463
410,450
310,263
169,182
102,120
86,43
32,56
46,44
65,81
92,142
284,307
298,300
255,398
437,462
390,369
240,202
147,153
86,92
53,39
38,36
54,28
101,57
96,192
299,305
269,292
275,553
440,452
371,372
205,212
134,150
73,142
43,20
39,41
61,58
92,62
158,292
278,289
291,310
378,506
410,447
295,280
118,175
130,135
51,63
41,35
44,20
79,77
114,92
222,302
287,286
271,329
482,513
416,380
282,254
159,186
119,102
65,40
42,21
63,44
86,76
101,252
304,306
260,294
314,547
404,478
324,327
163,174
119,126
76,109
37,40
40,25
67,46
124,84
196,274
290,285
274,302
471,490
418,440
291,271
153,188
109,109
86,63
30,50
42,35
84,77
80,139
265,298
260,284
263,402
470,482
371,369
