CH1,CH2
"21
","85
"
"11
","289
"
"8
","323
"
"41
","192
"
"4
","136
"
"4
","161
"
"36
","79
"
"0
","49
"
"51
","136
"
"0
","153
"
"22
","63
"
"43
","261
"
"1
","396
"
"3
","384
"
"37
","213
"
"102
","40
"
"56
","88
"
"79
","166
"
"102
","112
"
"98
","97
"
"8
","130
"
"19
","36
"
"61
","274
"
"84
","304
"
"85
","205
"
"105
","599
"
"38
","329
"
"21
","226
"
"17
","44
"
"5
","19
"
"4
","116
"
"81
","291
"
"96
","421
"
"150
","294
"
"146
","207
"
"65
","238
"
"83
","171
"
"81
","122
"
"28
","409
"
"3
","290
"
"6
","214
"
"7
","174
"
"92
","256
"
"111
","168
"
"93
","71
"
"39
","69
"
"15
","148
"
"26
","240
"
"157
","53
"
"68
","332
"
"3
","492
"
"84
","238
"
"108
","259
"
"66
","34
"
"93
","311
"
"56
","23
"
"0
","274
"
"14
","134
"
"2
","23
"
"9
","20
"
"18
","132
"
"45
","128
"
"133
","76
"
"104
","130
"
"44
","46
"
"1
","124
"
"23
","100
"
"26
","10
"
"51
","145
"
"33
","152
"
"61
","111
"
"21
","427
"
"90
","458
"
"135
","366
"
"14
","64
"
"13
","215
"
"2
","190
"
"29
","353
"
"58
","90
"
"7
","28
"
"36
","142
"
"4
","188
"
"90
","45
"
"194
","57
"
"267
","279
"
"172
","374
"
"69
","250
"
"117
","243
"
"37
","520
"
"71
","438
"
"18
","320
"
"49
","70
"
"38
","53
"
"13
","48
"
"19
","26
"
"15
","72
"
"127
","154
"
"50
","195
"
"69
","147
"
"8
","31
"
"102
","111
"
"70
","626
"
"28
","287
"
"52
","207
"
"12
","133
"
"32
","296
"
"46
","88
"
"145
","115
"
"24
","28
"
"117
","359
"
"39
","52
"
"59
","232
"
"12
","432
"
"0
","427
"
"10
","109
"
"101
","277
"
"61
","213
"
"3
","135
"
"17
","174
"
"17
","103
"
"26
","49
"
"51
","59
"
"5
","199
"
"9
","31
"
"5
","173
"
"2
","127
"
"8
","99
"
"11
","144
"
"41
","74
"
"54
","262
"
"129
","282
"
"13
","331
"
"42
","416
"
"43
","262
"
"46
","339
"
"31
","58
"
"133
","428
"
"197
","136
"
"60
","544
"
"55
","620
"
"143
","156
"
"77
","145
"
"9
","36
"
"132
","44
"
"32
","398
"
"221
","140
"
"170
","231
"
"31
","351
"
"18
","115
"
"127
","123
"
"86
","208
"
"22
","45
"
"70
","406
"
"116
","32
"
"41
","38
"
"41
","43
"
"21
","44
"
"111
","81
"
"92
","419
"
"114
","279
"
"55
","36
"
"36
","211
"
"127
","924
"
"215
","107
"
"97
","544
"
"33
","280
"
"122
","180
"
"34
","321
"
"89
","236
"
"33
","30
"
"29
","21
"
"34
","94
"
"30
","681
"
"47
","355
"
"25
","70
"
"95
","231
"
"165
","837
"
"37
","370
"
"28
","276
"
"135
","139
"
"82
","115
"
"76
","30
"
"57
","28
"
"15
","77
"
"102
","68
"
"140
","22
"
"109
","167
"
"13
","227
"
"27
","298
"
"47
","247
"
"67
","135
"
"19
","192
"
"6
","281
"
"22
","69
"
"9
","362
"
"17
","240
"
"29
","78
"
"62
","347
"
"8
","196
"
"67
","149
"
"73
","36
"
"8
","401
"
"49
","493
"
"55
","377
"
"19
","54
"
"25
","423
"
"71
","451
"
"125
","297
"
"23
","83
"
"85
","47
"
"24
","159
"
"31
","261
"
"8
","69
"
"7
","224
"
"68
","161
"
"65
","30
"
"76
","97
"
"74
","192
"
"38
","211
"
"47
","529
"
"4
","123
"
"8
","151
"
"85
","48
"
"148
","138
"
"130
","301
"
"40
","131
"
"10
","211
"
"6
","176
"
"8
","197
"
"180
","238
"
"79
","190
"
"0
","111
"
"12
","61
"
"41
","265
"
"32
","36
"
"115
","245
"
"193
","213
"
"106
","118
"
"89
","248
"
"21
","204
"
"8
","49
"
"23
","208
"
"42
","164
"
"9
","169
"
"140
","35
"
"151
","22
"
"66
","202
"
"133
","307
"
"73
","546
"
"62
","704
"
"15
","260
"
"107
","77
"
"109
","328
"
"112
","198
"
"46
","60
"
"34
","342
"
"114
","510
"
"153
","436
"
"98
","245
"
"26
","310
"
"141
","61
"
"207
","34
"
"44
","90
"
"58
","52
"
"38
","261
"
"26
","506
"
"40
","347
"
"60
","539
"
"75
","291
"
"0
","202
"
"81
","110
"
"93
","60
"
"3
","93
"
"26
","53
"
"0
","151
"
"23
","66
"
"14
","49
"
"6
","67
"
"82
","93
"
"192
","33
"
"99
","397
"
"30
","118
"
"47
","114
"
"26
","342
"
"42
","102
"
"79
","158
"
"44
","422
"
"59
","656
"
"172
","730
"
"170
","276
"
"122
","362
"
"120
","403
"
"49
","195
"
"91
","105
"
"35
","168
"
"17
","337
"
"11
","221
"
"4
","426
"
"4
","319
"
"3
","134
"
"2
","140
"
"22
","98
"
"19
","75
"
"54
","128
"
"136
","103
"
"173
","25
"
"129
","72
"
"79
","137
"
"78
","195
"
"34
","67
"
"44
","295
"
"0
","317
"
"55
","531
"
"150
","45
"
"95
","451
"
"55
","405
"
"8
","214
"
"25
","589
"
"26
","587
"
"7
","269
"
"23
","87
"
"8
","76
"
"6
","181
"
"31
","33
"
"4
","146
"
"7
","25
"
"6
","275
"
"12
","676
"
"13
","591
"
"101
","27
"
"184
","52
"
"190
","99
"
"189
","60
"
"72
","255
"
"5
","356
"
"87
","239
"
"295
","145
"
"171
","21
"
"88
","34
"
"177
","139
"
"84
","82
"
"16
","379
"
"48
","93
"
"18
","247
"
"29
","566
"
"13
","390
"
"92
","111
"
"23
","41
"
"45
","65
"
"120
","60
"
"42
","218
"
"62
","197
"
"1
","196
"
"139
","177
"
"5
","137
"
"11
","99
"
"60
","328
"
"77
","102
"
"13
","26
"
"2
","364
"
"6
","137
"
"11
","314
"
"76
","154
"
"58
","175
"
"25
","375
"
"26
","48
"
"31
","46
"
"57
","251
"
"51
","286
"
"0
","325
"
"11
","32
"
"36
","101
"
"14
","28
"
"45
","307
"
"69
","487
"
"131
","513
"
"12
","229
"
"162
","78
"
"106
","396
"
"17
","489
"
"49
","154
"
"81
","282
"
"76
","450
"
"119
","613
"
"73
","220
"
"21
","494
"
"67
","737
"
"31
","311
"
"64
","100
"
"28
","491
"
"53
","269
"
"23
","179
"
"62
","56
"
"32
","108
"
"14
","416
"
"95
","458
"
"90
","100
"
"2
","120
"
"37
","72
"
"28
","46
"
"27
","290
"
"7
","273
"
"7
","197
"
"5
","264
"
"14
","155
"
"76
","127
"
"137
","48
"
"51
","229
"
"102
","264
"
"137
","199
"
"17
","193
"
"13
","159
"
"23
","316
"
"14
","483
"
"111
","475
"
"228
","54
"
"150
","82
"
"72
","66
"
"100
","97
"
"106
","219
"
"83
","93
"
"99
","225
"
"46
","159
"
"78
","90
"
"12
","69
"
"46
","70
"
"71
","156
"
"51
","116
"
"122
","78
"
"76
","81
"
"69
","44
"
"27
","86
"
"84
","607
"
"205
","362
"
"183
","34
"
"37
","47
"
"5
","360
"
"74
","742
"
"98
","409
"
"235
","98
"
"168
","203
"
"88
","65
"
"48
","263
"
"4
","458
"
"26
","727
"
"4
","219
"
"54
","136
"
"2
","216
"
"47
","165
"
"10
","205
"
"62
","18
"
"86
","234
"
"121
","289
"
"8
","150
"
"22
","23
"
"9
","62
"
"8
","142
"
"28
","24
"
"48
","79
"
"0
","60
"
"8
","57
"
"40
","20
"
"80
","97
"
"51
","143
"
"35
","388
"
"30
","479
"
"30
","629
"
"3
","335
"
"121
","215
"
"215
","640
"
"52
","391
"
"8
","493
"
"37
","294
"
"17
","60
"
"3
","95
"
"12
","21
"
"20
","176
"
"48
","237
"
"16
","142
"
"17
","234
"
"11
","619
"
"41
","341
"
"23
","54
"
"11
","78
"
"13
","127
"
"27
","119
"
"0
","20
"
"72
","236
"
"96
","31
"
"85
","279
"
"123
","238
"
"83
","309
"
"52
","436
"
"4
","538
"
"39
","70
"
"127
","108
"
"142
","322
"
"212
","236
"
"58
","66
"
"36
","204
"
"122
","57
"
"104
","109
"
"123
","80
"
"3
","240
"
"102
","91
"
"9
","252
"
"78
","128
"
"169
","37
"
"125
","245
"
"47
","208
"
"25
","176
"
"128
","102
"
"158
","111
"
"36
","29
"
"9
","83
"
"53
","310
"
"126
","374
"
"117
","153
"
"19
","171
"
"39
","327
"
"79
","407
"
"81
","173
"
"2
","34
"
"16
","21
"
"32
","34
"
"39
","62
"
"3
","28
"
"10
","24
"
"38
","45
"
"26
","116
"
"23
","105
"
"18
","514
"
"30
","133
"
"79
","128
"
"67
","278
"
"45
","65
"
"3
","135
"
"39
","259
"
"19
","211
"
"58
","140
"
"89
","210
"
"87
","257
"
"140
","333
"
"88
","30
"
"8
","64
"
"14
","208
"
"93
","60
"
"62
","75
"
"4
","330
"
"132
","327
"
"37
","365
"
"6
","175
"
"43
","130
"
"16
","37
"
"26
","70
"
"29
","300
"
"64
","31
"
"58
","104
"
"63
","85
"
"119
","241
"
"46
","37
"
"114
","57
"
"73
","242
"
"66
","354
"
"227
","516
"
"295
","417
"
"229
","35
"
"124
","63
"
"16
","352
"
"18
","352
"
"64
","188
"
"374
","169
"
"492
","44
"
"262
","237
"
"35
","25
"
"99
","207
"
"42
","358
"
"66
","157
"
"30
","89
"
"69
","21
"
"4
","108
"
"5
","220
"
"55
","157
"
"27
","198
"
"23
","230
"
"2
","116
"
"33
","105
"
"61
","139
"
"20
","247
"
"128
","99
"
"77
","176
"
"106
","522
"
"41
","112
"
"71
","161
"
"106
","129
"
"24
","43
"
"31
","132
"
"31
","107
"
"95
","89
"
"65
","104
"
"19
","105
"
"3
","553
"
"24
","23
"
"59
","317
"
"50
","375
"
"55
","86
"
"15
","107
"
"81
","474
"
"176
","974
"
"125
","213
"
"25
","179
"
"131
","59
"
"27
","615
"
"11
","258
"
"19
","100
"
"66
","287
"
"62
","457
"
"11
","330
"
"16
","225
"
"25
","284
"
"56
","49
"
"19
","52
"
"10
","258
"
"30
","486
"
"133
","161
"
"105
","103
"
"68
","514
"
"31
","190
"
"69
","70
"
"10
","51
"
"28
","42
"
"6
","158
"
"36
","194
"
"103
","127
"
"61
","66
"
"7
","97
"
"25
","117
"
"18
","461
"
"79
","327
"
"137
","39
"
"79
","189
"
"136
","175
"
"69
","173
"
"45
","231
"
"0
","302
"
"23
","150
"
"17
","84
"
"77
","224
"
"0
","251
"
"75
","682
"
"167
","183
"
"195
","53
"
"151
","188
"
"77
","101
"
"14
","316
"
"40
","429
"
"37
","33
"
"77
","73
"
"47
","20
"
"98
","478
"
"47
","344
"
"44
","551
"
"68
","239
"
"103
","179
"
"59
","192
"
"3
","381
"
"125
","89
"
"321
","91
"
"240
","89
"
"65
","182
"
"13
","341
"
"174
","29
"
"290
","154
"
"230
","160
"
"130
","56
"
"194
","168
"
"149
","352
"
"6
","211
"
"25
","56
"
"18
","78
"
"0
","119
"
"70
","285
"
"82
","195
"
"109
","113
"
"103
","34
"
"36
","270
"
"2
","270
"
"36
","397
"
"145
","945
"
"99
","166
"
"41
","58
"
"71
","86
"
"34
","370
"
"2
","312
"
"119
","142
"
"114
","87
"
"91
","77
"
"32
","440
"
"5
","385
"
"87
","337
"
"0
","208
"
"57
","318
"
"21
","273
"
"9
","303
"
"18
","125
"
"7
","177
"
"40
","609
"
"131
","704
"
"0
","178
"
"36
","306
"
"6
","511
"
"53
","132
"
"15
","315
"
"14
","258
"
"81
","199
"
"31
","82
"
"54
","50
"
"85
","170
"
"68
","139
"
"94
","31
"
"54
","36
"
"174
","45
"
"146
","156
"
"25
","105
"
"73
","186
"
"197
","234
"
"216
","355
"
"82
","93
"
"1
","15
"
"5
","63
"
"8
","144
"
"63
","314
"
"12
","211
"
"7
","20
"
"12
","162
"
"86
","220
"
"137
","552
"
"4
","763
"
"118
","391
"
"203
","175
"
"348
","85
"
"127
","33
"
"102
","213
"
"38
","225
"
"22
","112
"
"256
","261
"
"240
","352
"
"448
","202
"
"141
","124
"
"104
","61
"
"16
","19
"
"2
","52
"
"6
","310
"
"71
","87
"
"124
","190
"
"12
","215
"
"104
","280
"
"167
","40
"
"102
","342
"
"54
","442
"
"141
","200
"
"83
","273
"
"47
","115
"
"1
","154
"
"0
","83
"
"134
","43
"
"16
","488
"
"31
","498
"
"24
","258
"
"55
","220
"
"16
","85
"
"0
","349
"
"38
","58
"
"5
","210
"
"23
","244
"
"37
","507
"
"0
","30
"
"23
","268
"
"4
","185
"
"10
","193
"
"75
","141
"
"55
","32
"
"19
","191
"
"74
","33
"
"10
","46
"
"27
","509
"
"6
","454
"
"60
","221
"
"55
","81
"
"75
","179
"
"12
","25
"
"43
","38
"
"92
","33
"
"113
","129
"
"31
","515
"
"6
","254
"
"34
","32
"
"6
","20
"
"7
","88
"
"9
","385
"
"38
","243
"
"53
","36
"
"14
","214
"
"86
","377
"
"115
","246
"
"99
","34
"
"59
","268
"
"62
","621
"
"104
","367
"
"19
","92
"
"24
","85
"
"0
","128
"
"19
","155
"
"138
","171
"
"10
","96
"
"42
","58
"
"68
","105
"
"82
","253
"
"98
","78
"
"8
","144
"
"36
","380
"
"167
","110
"
"12
","51
"
"13
","23
"
"1
","60
"
"70
","52
"
"194
","400
"
"195
","382
"
"283
","264
"
"184
","344
"
"73
","796
"
"75
","303
"
"316
","227
"
"88
","163
"
"136
","410
"
"79
","212
"
"177
","204
"
"187
","314
"
"166
","287
"
"117
","528
"
"50
","17
"
"49
","306
"
"31
","229
"
"46
","295
"
"0
","254
"
"27
","82
"
"32
","157
"
"68
","267
"
"70
","214
"
"60
","243
"
"25
","467
"
"30
","253
"
"78
","79
"
"11
","42
"
"4
","49
"
"4
","102
"
"60
","219
"
"41
","321
"
"23
","64
"
"71
","142
"
"143
","233
"
"62
","322
"
"4
","387
"
"70
","377
"
"11
","229
"
"21
","53
"
"46
","99
"
"112
","64
"
"93
","196
"
"91
","495
"
"4
","336
"
"14
","482
"
"70
","123
"
"86
","168
"
"119
","111
"
"54
","221
"
"17
","272
"
"143
","261
"
"113
","29
"
"91
","154
"
"7
","308
"
"15
","204
"
"25
","68
"
"88
","274
"
"71
","456
"
"8
","107
"
"1
","103
"
"85
","28
"
"2
","356
"
"11
","267
"
"61
","374
"
"146
","139
"
"178
","93
"
"32
","220
"
"6
","213
"
"28
","200
"
"54
","317
"
"32
","99
"
"10
","37
"
"1
","60
"
"3
","85
"
"19
","93
"
"66
","279
"
"29
","398
"
"169
","456
"
"179
","175
"
"21
","63
"
"168
","22
"
"155
","59
"
"77
","122
"
"44
","387
"
"34
","322
"
"124
","303
"
