CH1,CH2
"4
","423
"
"182
","242
"
"235
","267
"
"28
","110
"
"51
","43
"
"191
","102
"
"104
","9
"
"172
","96
"
"311
","173
"
"98
","32
"
"160
","45
"
"185
","12
"
"335
","37
"
"453
","117
"
"341
","34
"
"230
","162
"
"477
","116
"
"267
","84
"
"29
","92
"
"336
","102
"
"618
","39
"
"284
","25
"
"85
","120
"
"110
","84
"
"102
","54
"
"177
","44
"
"321
","119
"
"283
","256
"
"255
","83
"
"151
","57
"
"679
","30
"
"323
","72
"
"55
","88
"
"424
","27
"
"122
","31
"
"109
","29
"
"49
","44
"
"99
","132
"
"649
","346
"
"24
","404
"
"245
","333
"
"108
","113
"
"68
","214
"
"11
","236
"
"357
","206
"
"536
","192
"
"291
","189
"
"225
","15
"
"186
","114
"
"483
","18
"
"12
","54
"
"311
","181
"
"276
","276
"
"216
","316
"
"7
","57
"
"167
","173
"
"107
","147
"
"166
","217
"
"43
","356
"
"6
","301
"
"17
","225
"
"0
","212
"
"101
","57
"
"25
","97
"
"2
","142
"
"294
","97
"
"116
","206
"
"80
","42
"
"537
","67
"
"122
","168
"
"301
","63
"
"354
","76
"
"393
","80
"
"169
","201
"
"56
","187
"
"61
","18
"
"151
","198
"
"147
","25
"
"11
","55
"
"98
","306
"
"102
","137
"
"222
","47
"
"102
","265
"
"91
","252
"
"179
","147
"
"22
","125
"
"381
","383
"
"259
","309
"
"103
","122
"
"38
","110
"
"10
","74
"
"703
","84
"
"285
","35
"
"218
","13
"
"414
","8
"
"430
","26
"
"144
","41
"
"277
","145
"
"245
","188
"
"49
","152
"
"153
","160
"
"271
","121
"
"174
","24
"
"75
","37
"
"101
","61
"
"147
","252
"
"146
","314
"
"59
","324
"
"77
","223
"
"48
","12
"
"92
","13
"
"39
","35
"
"8
","89
"
"0
","204
"
"296
","188
"
"399
","215
"
"383
","279
"
"925
","89
"
"44
","132
"
"65
","156
"
"91
","125
"
"146
","12
"
"363
","146
"
"46
","284
"
"104
","312
"
"38
","277
"
"88
","208
"
"106
","288
"
"22
","192
"
"21
","12
"
"409
","57
"
"298
","30
"
"39
","88
"
"361
","251
"
"43
","321
"
"79
","447
"
"109
","325
"
"10
","190
"
"39
","140
"
"91
","44
"
"58
","104
"
"128
","26
"
"10
","89
"
"55
","110
"
"43
","150
"
"29
","165
"
"41
","252
"
"122
","169
"
"573
","277
"
"167
","235
"
"214
","88
"
"144
","31
"
"111
","52
"
"88
","268
"
"46
","503
"
"210
","550
"
"48
","236
"
"109
","76
"
"20
","45
"
"395
","10
"
"179
","313
"
"120
","321
"
"160
","26
"
"25
","270
"
"0
","149
"
"30
","285
"
"19
","314
"
