CH1,CH2
"4
","48
"
"0
","214
"
"76
","340
"
"121
","352
"
"143
","263
"
"50
","174
"
"77
","165
"
"171
","120
"
"168
","97
"
"176
","202
"
"126
","165
"
"66
","230
"
"43
","183
"
"6
","93
"
"5
","31
"
"31
","24
"
"73
","79
"
"109
","165
"
"108
","295
"
"105
","329
"
"23
","41
"
"11
","203
"
"39
","138
"
"19
","43
"
"23
","54
"
"61
","329
"
"11
","521
"
"76
","194
"
"126
","253
"
"133
","572
"
"58
","399
"
"90
","490
"
"181
","399
"
"109
","114
"
"19
","75
"
"121
","1023
"
"389
","1023
"
"275
","352
"
"59
","47
"
"18
","134
"
"82
","211
"
"44
","158
"
"10
","235
"
"10
","245
"
"21
","206
"
"54
","254
"
"29
","172
"
"7
","46
"
"6
","19
"
"4
","37
"
"4
","40
"
"4
","59
"
"21
","22
"
"42
","260
"
"8
","424
"
"67
","338
"
"95
","117
"
"57
","169
"
"50
","58
"
"90
","257
"
"92
","535
"
"125
","428
"
"82
","98
"
"20
","234
"
"38
","80
"
"76
","75
"
"27
","421
"
"3
","713
"
"15
","522
"
"37
","201
"
"83
","698
"
"153
","62
"
"46
","482
"
"5
","110
"
"9
","283
"
"4
","753
"
"1
","1023
"
"126
","804
"
"181
","282
"
"79
","1001
"
"11
","520
"
"13
","108
"
"65
","53
"
"129
","123
"
"113
","173
"
"16
","154
"
"25
","105
"
"27
","272
"
"5
","468
"
"19
","773
"
"17
","648
"
"7
","119
"
"3
","392
"
"14
","175
"
"54
","47
"
"63
","177
"
"9
","187
"
"14
","213
"
"0
","57
"
"7
","35
"
"4
","108
"
"32
","640
"
"97
","795
"
"142
","111
"
"10
","884
"
"124
","1023
"
"135
","692
"
"9
","421
"
"64
","295
"
"65
","217
"
"74
","149
"
"17
","155
"
"35
","141
"
"49
","227
"
"8
","373
"
"19
","435
"
"15
","284
"
"43
","140
"
"6
","276
"
"31
","92
"
"52
","236
"
"15
","391
"
"61
","391
"
"82
","443
"
"84
","93
"
"88
","31
"
"7
","333
"
"42
","156
"
"19
","163
"
"44
","381
"
"26
","46
"
"34
","271
"
"117
","221
"
"162
","175
"
"144
","296
"
"50
","335
"
"64
","54
"
"92
","39
"
"118
","266
"
"68
","43
"
"40
","292
"
"7
","37
"
"26
","517
"
"5
","653
"
"59
","568
"
"10
","437
"
"57
","162
"
"27
","30
"
"40
","55
"
"20
","245
"
"18
","415
"
"6
","816
"
"0
","630
"
"27
","277
"
"26
","289
"
"54
","500
"
"30
","51
"
"68
","64
"
"94
","109
"
"107
","37
"
"98
","50
"
"36
","174
"
"15
","107
"
"36
","532
"
"79
","154
"
"63
","105
"
"27
","177
"
"117
","117
"
"46
","283
"
"35
","586
"
"70
","53
"
"81
","169
"
"117
","521
"
"169
","515
"
"136
","875
"
"5
","527
"
"54
","48
"
"64
","74
"
"21
","89
"
"92
","115
"
"126
","343
"
"2
","96
"
"7
","113
"
"112
","172
"
"174
","67
"
"179
","511
"
"147
","394
"
"58
","246
"
"2
","398
"
"12
","972
"
"136
","638
"
"115
","163
"
"50
","120
"
"15
","362
"
"65
","132
"
"37
","148
"
"86
","27
"
"243
","36
"
"320
","218
"
"347
","123
"
"176
","163
"
"13
","271
"
"66
","119
"
"67
","39
"
"208
","184
"
"297
","443
"
"411
","331
"
"276
","91
"
"212
","266
"
"127
","268
"
"12
","193
"
"28
","173
"
"43
","233
"
"54
","619
"
"41
","500
"
"43
","50
"
"19
","585
"
"5
","1023
"
"18
","1014
"
"94
","123
"
"97
","41
"
"61
","57
"
"27
","240
"
"7
","455
"
"2
","666
"
"37
","375
"
"36
","154
"
"24
","457
"
"35
","96
"
"77
","121
"
"6
","168
"
"18
","70
"
"13
","66
"
"11
","271
"
"15
","353
"
"86
","198
"
"71
","198
"
"91
","48
"
"13
","198
"
"44
","90
"
"45
","155
"
"4
","657
"
"23
","1014
"
"31
","397
"
"64
","122
"
"19
","66
"
"2
","260
"
"22
","166
"
"31
","285
"
"39
","460
"
"15
","230
"
"8
","261
"
"4
","545
"
"18
","625
"
"56
","725
"
"66
","460
"
"40
","257
"
"100
","954
"
"74
","1023
"
"64
","464
"
"69
","247
"
"15
","445
"
"61
","363
"
"21
","117
"
"11
","105
"
"15
","22
"
"74
","213
"
"142
","570
"
"51
","476
"
"61
","339
"
"90
","800
"
"114
","298
"
"7
","105
"
"0
","256
"
"76
","83
"
"55
","18
"
"90
","405
"
"142
","468
"
"48
","453
"
"53
","502
"
"19
","533
"
"2
","277
"
"14
","193
"
"9
","627
"
"74
","815
"
"51
","274
"
"40
","226
"
"26
","199
"
"5
","250
"
"24
","57
"
"24
","155
"
"48
","252
"
"89
","261
"
"131
","304
"
"170
","234
"
"93
","128
"
"46
","236
"
"85
","327
"
"3
","329
"
"111
","139
"
"82
","143
"
"85
","392
"
"126
","648
"
"15
","149
"
"8
","45
"
"27
","293
"
