CH1,CH2
"29
","0
"
"39
","71
"
"31
","40
"
"57
","38
"
"52
","93
"
"25
","6
"
"55
","37
"
"87
","81
"
"70
","131
"
"43
","101
"
"33
","10
"
"31
","98
"
"37
","194
"
"31
","80
"
"29
","44
"
"35
","106
"
"46
","131
"
"36
","0
"
"27
","41
"
"33
","5
"
"32
","57
"
"38
","35
"
"29
","107
"
"36
","60
"
"39
","63
"
"37
","5
"
"44
","86
"
"24
","38
"
"32
","58
"
"30
","22
"
"42
","14
"
"52
","9
"
"30
","37
"
"63
","76
"
"53
","72
"
"49
","49
"
"37
","82
"
"41
","144
"
"35
","222
"
"40
","110
"
"26
","50
"
"26
","246
"
"27
","288
"
"28
","138
"
"30
","104
"
"31
","132
"
"40
","99
"
"37
","36
"
"27
","97
"
"29
","117
"
"42
","64
"
"40
","16
"
"29
","50
"
"27
","58
"
"44
","150
"
"39
","53
"
"27
","7
"
"32
","2
"
"31
","80
"
"34
","73
"
"38
","67
"
"31
","127
"
"24
","6
"
"47
","98
"
"35
","20
"
"40
","129
"
"42
","120
"
"22
","48
"
"37
","20
"
"31
","16
"
"29
","63
"
"31
","19
"
"32
","37
"
"27
","0
"
"25
","91
"
"6
","19
"
"25
","3
"
"29
","40
"
"27
","76
"
"10
","12
"
"31
","0
"
"31
","84
"
"31
","10
"
"15
","69
"
"31
","87
"
"26
","11
"
"24
","275
"
"22
","213
"
"27
","31
"
"27
","206
"
"33
","255
"
"11
","70
"
"26
","0
"
"30
","10
"
"28
","73
"
"17
","24
"
"34
","20
"
"48
","4
"
"44
","45
"
"37
","0
"
"36
","0
"
"71
","54
"
"53
","51
"
"27
","80
"
"28
","0
"
"37
","0
"
"39
","65
"
"15
","206
"
"29
","8
"
"42
","153
"
"32
","129
"
"32
","78
"
"26
","11
"
"31
","13
"
"33
","61
"
"12
","0
"
"37
","17
"
"33
","47
"
"46
","18
"
"7
","53
"
"29
","82
"
"35
","32
"
"66
","145
"
"30
","37
"
"27
","27
"
"27
","0
"
"45
","65
"
"30
","61
"
"33
","40
"
"40
","101
"
"42
","32
"
"33
","4
"
"32
","7
"
"25
","12
"
"26
","89
"
"18
","67
"
"20
","3
"
"23
","0
"
"34
","66
"
"30
","9
"
"29
","1
"
"29
","72
"
"36
","30
"
"19
","164
"
