CH1,CH2
"110
","23
"
"83
","40
"
"172
","9
"
"76
","14
"
"78
","0
"
"60
","96
"
"122
","57
"
"162
","49
"
"192
","43
"
"212
","24
"
"66
","71
"
"170
","128
"
"164
","125
"
"142
","49
"
"96
","0
"
"214
","20
"
"101
","0
"
"67
","50
"
"52
","45
"
"107
","3
"
"66
","3
"
"124
","58
"
"72
","63
"
"83
","34
"
"48
","38
"
"66
","22
"
"83
","16
"
"103
","0
"
"119
","53
"
"262
","72
"
"72
","33
"
"90
","97
"
"67
","11
"
"73
","57
"
"61
","3
"
"136
","0
"
"54
","3
"
"268
","0
"
"77
","70
"
"170
","3
"
"67
","0
"
"93
","0
"
"146
","36
"
"207
","66
"
"171
","0
"
"142
","0
"
"49
","31
"
"78
","103
"
"242
","0
"
"56
","0
"
"116
","43
"
"167
","19
"
"64
","0
"
"81
","0
"
"46
","0
"
"41
","0
"
"68
","3
"
"51
","0
"
"73
","0
"
"62
","29
"
"243
","51
"
"89
","13
"
"49
","90
"
"57
","84
"
"188
","96
"
"182
","0
"
"42
","39
"
"41
","27
"
"151
","48
"
"83
","46
"
"44
","24
"
"54
","6
"
"142
","16
"
"179
","0
"
"49
","6
"
"69
","35
"
"189
","85
"
"46
","0
"
"96
","49
"
"103
","79
"
"200
","127
"
"157
","0
"
"77
","90
"
"183
","103
"
"105
","71
"
"80
","0
"
"51
","75
"
"71
","56
"
"109
","0
"
"73
","23
"
"75
","59
"
"115
","29
"
"93
","19
"
"100
","40
"
"207
","27
"
"148
","0
"
"177
","0
"
"146
","69
"
"210
","83
"
"316
","95
"
"76
","29
"
"43
","42
"
"61
","54
"
"36
","36
"
"128
","9
"
"268
","66
"
"78
","30
"
"88
","4
"
"130
","77
"
"159
","116
"
"305
","34
"
"109
","13
"
"286
","38
"
"152
","0
"
"260
","0
"
"50
","8
"
"437
","192
"
"522
","64
"
"88
","22
"
"120
","88
"
"241
","0
"
"172
","0
"
"52
","0
"
"50
","27
"
"94
","0
"
"176
","12
"
"129
","16
"
"56
","30
"
"108
","81
"
"56
","32
"
"48
","94
"
"49
","12
"
"47
","116
"
"48
","56
"
"79
","19
"
"67
","42
"
"253
","0
"
"133
","20
"
"202
","28
"
"261
","0
"
"83
","0
"
"45
","2
"
"80
","0
"
"64
","0
"
"67
","68
"
"63
","1
"
"65
","0
"
"73
","15
"
"63
","52
"
"82
","21
"
"227
","34
"
"214
","89
"
"113
","89
"
"67
","80
"
"91
","7
"
"102
","17
"
"50
","4
"
"74
","0
"
"171
","64
"
"85
","0
"
"134
","113
"
"42
","15
"
"86
","3
"
"45
","0
"
"65
","51
"
"61
","77
"
"134
","62
"
"53
","20
"
"66
","48
"
"76
","0
"
"107
","102
"
"62
","154
"
"218
","30
"
"260
","63
"
"153
","0
"
"87
","77
"
"89
","5
"
"127
","0
"
"374
","41
"
"171
","0
"
"82
","15
"
"83
","105
"
"234
","81
"
"112
","0
"
"42
","0
"
"55
","2
"
"54
","30
"
"58
","32
"
"118
","17
"
"35
","39
"
"100
","73
"
"124
","27
"
"210
","0
"
"52
","0
"
"48
","31
"
"48
","1
"
"48
","1
"
"92
","53
"
"55
","36
"
"202
","8
"
"265
","1
"
"87
","85
"
"283
","57
"
"200
","13
"
"96
","14
"
"228
","59
"
"139
","143
"
"121
","73
"
"52
","19
"
"77
","3
"
"129
","36
"
"49
","104
"
"125
","0
"
"54
","76
"
"274
","9
"
"346
","78
"
"154
","54
"
"120
","22
"
"41
","6
"
"68
","0
"
"93
","21
"
"134
","29
"
"70
","0
"
"77
","30
"
"101
","35
"
"104
","0
"
"103
","35
"
"83
","0
"
"83
","13
"
"73
","30
"
"84
","166
"
"87
","2
"
"50
","129
"
"47
","167
"
"26
","179
"
"242
","201
"
"201
","44
"
"61
","272
"
"63
","180
"
"84
","45
"
"111
","21
"
"59
","0
"
"405
","145
"
"508
","124
"
"86
","104
"
"227
","145
"
"214
","75
"
"57
","20
"
"76
","44
"
"61
","27
"
"61
","20
"
"125
","59
"
"42
","44
"
"122
","3
"
"55
","0
"
"76
","0
"
"47
","86
"
"118
","61
"
"69
","47
"
"45
","64
"
"183
","96
"
"81
","63
"
"68
","41
"
"117
","13
"
"175
","22
"
"84
","22
"
"52
","0
"
"125
","0
"
"136
","39
"
"72
","79
"
"190
","66
"
"150
","0
"
"49
","0
"
"203
","13
"
"177
","37
"
"82
","0
"
"142
","24
"
"96
","32
"
"37
","38
"
"195
","18
"
"151
","6
"
"160
","0
"
"151
","27
"
"115
","34
"
"155
","87
"
"241
","115
"
"378
","24
"
"97
","58
"
"37
","82
"
"102
","122
"
"104
","0
"
"88
","0
"
"32
","0
"
"51
","32
"
"48
","46
"
"46
","37
"
"144
","1
"
"288
","27
"
"129
","33
"
"165
","31
"
"91
","40
"
"342
","106
"
"306
","45
"
"145
","2
"
"185
","68
"
"304
","40
"
"504
","50
"
"122
","85
"
"257
","77
"
"163
","97
"
