CH1,CH2
"50
","0
"
"56
","0
"
"53
","0
"
"55
","0
"
"58
","0
"
"49
","0
"
"49
","0
"
"47
","0
"
"67
","0
"
"48
","0
"
"46
","0
"
"55
","0
"
"50
","3
"
"46
","4
"
"55
","0
"
"51
","0
"
"54
","0
"
"50
","2
"
"55
","0
"
"57
","0
"
"58
","0
"
"51
","0
"
"55
","0
"
"50
","0
"
"53
","0
"
"51
","0
"
"52
","0
"
"69
","0
"
"54
","0
"
"54
","0
"
"51
","0
"
"53
","0
"
"51
","0
"
"52
","0
"
"52
","0
"
"91
","0
"
"51
","0
"
"58
","0
"
"53
","0
"
"54
","0
"
"52
","0
"
"58
","1
"
"107
","2
"
"48
","0
"
"46
","0
"
"48
","0
"
"48
","0
"
"58
","0
"
"50
","0
"
"63
","0
"
"60
","0
"
"62
","0
"
"64
","0
"
"53
","0
"
"51
","0
"
"51
","0
"
"48
","0
"
"51
","0
"
"54
","0
"
"52
","0
"
"45
","0
"
"46
","0
"
"47
","1
"
"54
","0
"
"59
","0
"
"60
","0
"
"54
","0
"
"54
","0
"
"53
","0
"
"58
","0
"
"47
","0
"
"48
","0
"
"51
","0
"
"51
","0
"
"48
","0
"
"48
","0
"
"48
","0
"
"40
","0
"
"46
","0
"
"45
","0
"
"49
","0
"
"48
","0
"
"55
","0
"
"46
","0
"
"50
","0
"
"55
","0
"
"55
","0
"
"59
","0
"
"51
","0
"
"50
","0
"
"78
","0
"
"54
","0
"
"47
","0
"
"50
","0
"
"51
","0
"
"55
","0
"
"52
","0
"
"104
","0
"
"52
","0
"
"48
","0
"
"51
","0
"
"53
","0
"
"59
","0
"
"51
","0
"
"67
","0
"
"50
","0
"
"55
","0
"
"49
","0
"
"51
","0
"
"50
","0
"
"55
","0
"
"50
","0
"
"44
","0
"
"49
","0
"
"50
","0
"
"56
","0
"
"49
","0
"
"49
","0
"
"46
","0
"
"51
","0
"
"50
","0
"
"48
","0
"
"49
","0
"
"55
","0
"
"50
","0
"
"53
","0
"
"51
","0
"
"55
","0
"
"57
","0
"
"51
","0
"
"52
","0
"
"53
","0
"
"51
","0
"
"59
","0
"
"51
","0
"
"51
","0
"
"54
","0
"
"58
","0
"
"53
","0
"
"56
","0
"
"49
","0
"
"53
","0
"
"48
","0
"
"46
","0
"
"45
","0
"
