CH1,CH2
487,559
484,556
480,553
474,552
468,554
461,560
455,567
450,573
447,577
444,579
442,579
442,578
442,578
442,579
443,582
445,588
447,596
451,604
456,610
462,616
471,624
484,628
497,627
508,622
514,620
515,616
512,607
509,596
504,593
497,596
488,602
480,605
474,604
470,604
469,605
467,607
464,603
462,589
463,564
466,538
468,526
471,534
474,550
476,561
478,564
482,569
488,574
498,578
510,581
522,581
535,581
545,584
553,593
557,605
558,615
558,619
556,616
552,608
548,602
543,600
541,598
540,589
538,570
536,544
531,515
524,489
516,477
505,487
494,519
481,557
467,589
449,606
430,612
412,612
400,610
397,611
401,617
413,625
433,625
459,616
486,605
510,595
530,585
546,577
559,571
567,566
570,559
569,547
565,520
561,482
559,455
560,454
560,468
556,489
549,518
541,548
535,571
528,579
519,573
505,564
489,565
473,579
460,597
452,611
450,616
455,612
465,602
476,594
488,590
500,592
513,597
527,600
539,598
550,587
561,568
571,544
577,523
580,510
579,509
576,517
571,525
566,526
561,517
556,498
552,478
546,465
539,464
529,468
519,477
508,486
501,494
497,499
495,503
492,503
490,495
490,481
492,466
496,451
501,445
505,453
511,466
518,478
526,489
534,496
542,502
550,508
557,514
563,519
566,518
568,512
566,500
560,484
553,466
545,446
537,427
528,408
522,390
517,376
516,366
516,360
518,363
518,382
517,415
515,447
508,472
500,489
490,491
484,482
481,471
483,467
489,469
501,475
516,478
531,476
543,472
553,467
560,461
564,456
566,455
564,453
562,447
558,439
551,428
541,420
527,422
514,432
504,441
497,448
496,457
500,467
508,477
518,483
530,482
542,470
554,449
563,428
566,415
565,413
562,420
558,429
554,440
551,456
549,476
550,493
552,508
556,519
560,526
562,526
560,520
553,510
544,496
533,482
522,469
513,459
509,453
508,450
513,449
523,447
535,443
546,442
554,444
559,447
561,450
559,452
556,459
551,470
546,482
542,492
536,497
528,501
520,502
515,500
512,495
512,487
514,478
518,470
522,464
527,461
531,458
533,455
534,452
534,451
533,450
533,450
533,450
535,449
537,447
539,446
541,449
542,458
543,467
543,476
543,482
543,484
541,483
539,478
536,468
534,451
532,435
531,425
530,422
530,430
530,445
529,461
527,473
524,477
520,475
516,470
512,465
509,463
506,465
507,471
509,479
511,485
515,490
520,492
528,494
535,496
542,499
548,502
553,507
558,514
562,521
566,524
568,519
570,510
570,500
570,492
569,486
568,482
567,478
564,473
562,469
559,468
556,474
553,484
550,495
548,503
546,505
545,498
543,488
540,479
537,476
535,477
532,478
529,479
526,481
523,483
522,485
522,484
523,482
525,478
526,476
527,473
527,472
526,473
524,479
523,487
524,497
525,507
528,518
530,530
532,539
533,545
535,548
536,550
537,549
538,547
540,543
540,539
540,535
540,531
540,527
539,523
539,520
537,516
533,513
528,510
522,508
516,508
511,508
508,509
507,512
508,515
511,515
515,513
519,514
522,518
524,524
525,528
524,531
523,533
522,532
521,529
519,524
516,517
514,511
512,507
511,502
510,500
508,499
507,500
506,504
504,508
503,514
501,520
500,527
499,533
499,537
499,540
499,539
499,533
498,526
497,521
496,518
495,518
494,522
494,530
493,536
493,540
493,539
492,535
491,527
490,520
490,515
490,514
489,517
489,522
489,530
488,540
487,548
485,554
484,556
482,558
481,558
480,557
479,556
478,557
478,561
477,564
476,565
476,563
476,560
476,556
476,553
476,550
476,548
475,546
474,545
472,546
468,548
462,549
456,549
450,547
447,542
447,534
448,525
451,519
454,517
458,514
462,512
464,507
466,503
468,503
470,511
470,526
471,545
470,566
469,582
468,589
468,588
466,581
465,572
464,565
464,559
464,555
464,556
465,565
464,576
464,587
463,593
464,596
465,594
465,591
465,587
465,583
464,580
465,581
466,582
467,581
468,576
470,570
471,562
470,555
469,549
466,546
464,546
461,546
456,543
448,538
440,530
434,521
430,510
428,508
427,518
428,535
431,552
435,566
443,576
451,583
459,587
467,589
473,585
477,576
479,566
480,557
477,548
474,539
471,532
468,527
466,528
465,533
464,541
466,546
470,548
477,547
484,547
490,552
495,561
499,566
502,564
501,562
497,563
493,567
489,568
