CH1,CH2
98,106
96,102
110,102
109,104
130,81
86,104
95,91
105,96
113,102
111,118
105,106
98,109
122,75
100,99
79,99
97,103
91,104
99,100
96,113
111,105
101,87
104,100
100,91
111,104
111,111
111,88
98,106
120,110
112,106
93,95
105,90
93,91
86,95
98,97
111,117
118,111
122,121
119,121
120,122
102,98
101,102
98,87
93,95
105,93
93,86
87,98
84,99
120,107
103,91
96,109
101,111
98,99
130,103
109,113
116,112
109,110
100,115
121,125
118,117
114,108
112,123
124,173
101,91
92,106
92,83
106,103
106,105
116,99
116,109
111,114
114,111
105,107
93,110
97,98
100,108
119,121
113,109
107,109
109,118
112,96
96,87
93,105
116,107
99,102
110,108
118,105
103,108
168,92
98,99
102,100
109,105
114,110
106,115
91,84
86,98
90,100
102,108
101,123
114,109
107,114
115,106
112,119
113,96
96,107
105,118
116,109
99,88
92,88
74,102
109,90
99,117
113,110
99,99
160,72
91,95
91,92
109,110
99,91
94,89
95,108
114,97
100,91
114,110
108,115
99,107
102,97
103,82
90,109
122,112
102,88
96,89
104,92
96,111
102,107
110,113
97,101
107,108
99,107
83,99
103,99
79,92
101,104
94,96
109,102
108,108
135,119
125,126
119,120
112,113
118,111
82,106
79,92
74,92
94,85
101,105
107,112
100,104
115,116
116,100
99,102
107,107
116,98
98,98
111,110
112,93
97,188
79,98
111,104
109,131
104,107
112,130
92,106
113,99
99,100
115,109
106,107
102,108
98,99
104,107
111,114
109,109
127,110
114,113
105,99
103,104
106,112
92,103
114,110
92,95
107,112
103,98
101,116
100,99
107,109
111,109
100,90
98,106
106,108
111,123
122,115
112,87
100,85
102,99
93,95
95,94
111,111
102,124
105,113
107,96
106,90
111,117
119,112
80,102
102,90
95,85
89,86
85,106
106,110
113,113
109,107
98,94
91,94
109,86
105,105
102,99
98,98
97,103
108,108
104,97
88,95
96,94
104,105
106,115
128,114
106,102
102,103
112,107
95,99
83,92
88,98
107,114
131,132
122,114
174,73
104,98
104,99
102,109
121,106
91,78
94,95
94,90
93,91
101,103
109,105
86,111
109,102
99,106
107,108
108,103
107,95
108,108
101,105
104,121
119,102
87,96
94,98
103,109
92,92
106,110
111,83
93,95
93,91
103,104
110,111
103,129
93,99
102,99
93,97
93,103
98,103
120,87
92,101
106,112
113,119
120,118
154,112
108,119
121,113
100,114
112,110
98,128
102,99
110,105
94,97
111,103
188,108
103,120
123,114
104,109
115,115
108,109
96,110
115,109
99,103
113,111
110,97
89,103
107,108
111,105
112,107
124,103
101,90
87,103
106,102
113,113
127,100
109,102
100,115
113,117
113,104
104,106
107,104
90,98
103,105
82,93
148,64
88,98
97,87
96,92
100,105
112,179
78,97
105,111
115,120
113,100
105,178
72,92
95,105
107,94
102,104
99,104
87,83
100,99
92,110
126,121
117,113
103,112
115,123
114,104
100,101
102,111
106,107
99,110
115,115
112,109
101,102
92,69
87,105
102,97
89,92
89,96
118,140
108,99
103,94
99,95
95,98
108,107
118,103
100,104
100,104
117,108
108,107
102,103
106,103
105,113
119,115
108,176
58,92
87,85
101,105
98,105
94,95
179,107
107,113
107,111
106,102
80,90
104,86
107,112
115,111
108,107
100,102
155,70
90,75
100,105
108,105
100,100
98,67
86,100
110,103
99,105
107,108
110,107
102,94
98,99
101,105
104,105
102,153
108,119
125,118
114,111
107,107
115,93
113,91
107,102
112,107
103,109
119,107
96,96
105,106
106,97
101,106
107,138
115,111
108,98
113,103
105,110
114,104
102,102
88,95
107,100
99,104
108,150
101,94
104,107
109,101
88,91
102,100
79,102
103,101
104,99
112,119
121,116
85,94
91,86
92,110
