CH1,CH2
94,20
93,22
101,21
93,22
100,20
102,21
72,25
84,20
88,19
93,20
100,20
91,22
95,20
95,21
74,26
96,23
101,19
102,19
72,21
84,19
87,19
93,20
77,23
91,21
93,22
96,23
92,20
100,21
105,20
100,19
74,23
86,20
89,20
91,19
70,21
87,22
100,24
98,25
74,26
97,24
102,19
91,20
76,27
85,20
87,20
88,21
67,24
90,21
95,22
97,23
73,19
100,20
101,19
89,18
76,23
88,20
90,20
92,19
75,25
91,22
95,21
99,22
74,27
97,20
89,18
92,20
76,23
91,24
95,20
95,21
88,24
94,21
98,23
101,22
76,21
98,19
86,20
86,20
73,24
86,24
88,26
91,24
78,24
94,24
98,24
104,21
81,25
88,20
90,18
87,19
73,21
88,20
90,20
94,21
74,22
93,22
97,22
102,19
77,26
85,18
90,20
91,19
94,19
94,19
94,21
96,21
81,25
97,23
102,21
105,19
80,26
86,20
88,19
92,20
77,23
88,21
90,20
94,21
77,24
95,22
100,19
105,23
79,24
86,19
90,23
90,23
78,26
86,22
94,22
97,24
86,25
89,25
88,23
100,19
69,22
84,20
87,19
90,19
76,29
88,20
91,20
97,22
79,20
97,22
102,21
92,21
85,20
87,20
92,23
94,21
80,24
90,22
94,22
97,22
76,27
99,21
98,20
87,19
76,27
84,21
87,19
95,21
106,19
95,22
100,20
105,27
85,25
89,26
93,22
94,21
86,30
94,21
90,21
92,22
79,26
85,22
85,23
100,21
71,27
99,19
88,20
90,19
79,34
88,20
94,21
95,21
83,20
93,23
97,23
102,21
80,28
88,20
89,19
90,20
80,25
86,20
90,21
95,21
81,28
93,22
101,22
105,20
86,19
87,20
87,20
90,20
84,25
90,21
94,22
95,19
79,14
84,24
96,25
101,20
76,22
86,22
91,20
93,20
86,25
86,20
86,22
95,22
78,22
111,19
102,20
103,20
85,22
88,20
91,20
92,20
89,21
89,22
91,22
95,21
81,23
96,24
99,20
99,19
89,21
91,20
93,20
94,20
86,23
90,21
94,22
98,22
86,20
100,20
103,20
92,20
84,25
87,20
89,21
91,20
103,30
100,25
96,26
98,24
107,23
107,21
106,20
95,20
93,22
86,20
86,19
93,22
81,20
90,23
94,22
99,24
85,26
97,20
