CH1,CH2
81,28
85,29
86,26
84,30
88,27
93,28
85,35
82,29
76,29
76,32
84,29
89,34
79,27
83,29
79,51
77,32
80,28
75,29
76,26
78,27
83,26
91,26
84,26
112,32
78,30
90,25
82,26
84,25
81,26
82,28
83,30
77,27
83,23
80,23
79,24
78,27
85,23
74,23
78,23
75,23
75,25
74,27
82,27
72,24
80,22
73,23
77,30
74,25
80,29
73,25
77,22
74,22
74,26
75,24
91,24
79,24
81,23
73,22
74,26
75,25
98,24
83,22
76,22
75,22
75,25
74,25
111,28
67,26
68,26
80,24
78,22
75,24
80,26
66,26
67,25
78,23
77,22
73,23
86,23
71,26
72,24
83,23
82,22
76,21
93,22
73,25
73,25
74,24
79,23
73,22
99,21
74,22
72,24
81,26
77,22
75,21
123,24
71,21
70,23
71,22
70,22
71,24
82,25
67,22
69,22
70,22
70,21
76,25
96,25
71,23
71,22
70,22
72,24
80,25
114,24
73,22
70,25
69,25
80,23
77,21
80,22
68,21
67,24
67,23
79,23
77,21
85,25
66,21
66,22
67,24
69,23
79,21
95,21
69,23
69,27
68,24
81,22
78,23
93,23
70,23
69,25
68,24
81,22
77,22
122,25
70,24
67,21
69,22
69,24
68,23
84,24
66,25
73,21
70,24
70,24
68,25
89,23
69,21
73,22
71,22
71,25
69,24
97,25
78,22
71,22
71,21
71,25
71,25
108,26
69,22
69,22
67,25
69,28
80,23
78,26
78,24
71,22
71,25
69,25
80,22
96,25
72,23
67,22
69,25
67,23
79,23
93,25
65,22
69,23
67,25
68,24
77,22
104,31
70,24
79,23
75,21
86,21
75,26
87,25
77,23
80,23
76,21
75,22
75,25
92,23
78,23
79,23
75,21
71,21
72,24
89,24
66,22
67,22
73,22
71,21
69,25
96,25
70,22
75,22
71,26
70,21
71,25
113,26
68,22
69,21
68,24
81,25
77,24
88,25
69,22
70,22
70,24
82,24
77,23
94,25
70,21
70,22
74,24
80,28
75,23
127,23
76,25
74,23
71,23
78,22
72,21
85,23
68,25
76,24
79,22
76,21
73,22
84,23
66,25
77,22
79,23
68,21
74,25
91,24
67,25
78,25
77,22
73,21
72,23
100,22
74,21
75,22
73,26
74,24
84,22
86,23
71,25
70,24
71,21
70,24
72,22
89,28
70,22
68,24
70,29
68,24
81,22
88,23
70,25
69,23
71,26
70,23
82,23
107,36
80,25
71,23
73,24
76,22
75,23
84,20
80,21
80,25
77,24
74,24
73,22
80,21
71,27
77,25
74,23
73,23
72,22
91,28
77,26
76,25
73,23
72,24
72,22
100,31
69,22
73,22
73,23
69,25
72,28
85,26
75,22
72,24
73,23
71,26
73,25
85,22
77,23
74,22
73,25
72,25
73,25
90,27
75,23
72,22
71,25
70,25
73,25
97,26
84,24
74,23
75,23
76,26
77,24
110,28
81,26
92,26
89,26
86,25
85,24
99,23
81,22
87,28
88,26
