CH1,CH2
28,68
32,175
21,243
25,267
24,219
19,185
22,80
21,22
24,19
33,21
32,69
33,252
29,371
24,222
23,28
19,252
41,382
0,383
40,411
51,301
62,139
41,26
31,51
32,62
40,136
54,40
78,215
42,263
37,34
50,189
76,219
34,72
23,24
22,72
28,16
26,74
56,13
27,53
21,18
21,14
28,13
45,45
7,123
33,54
30,124
34,101
22,213
34,130
0,127
80,240
40,106
33,516
41,233
58,7
40,52
40,91
47,63
49,376
52,498
67,305
33,71
37,393
48,331
55,148
95,392
4,171
22,256
39,366
25,164
19,47
9,139
23,339
21,82
31,271
25,233
22,157
23,259
59,326
44,282
24,110
38,32
47,125
24,90
25,13
41,47
38,111
27,19
7,104
25,119
30,209
41,61
55,18
44,64
53,14
29,58
22,211
25,253
32,130
49,151
34,198
58,466
35,158
66,84
31,123
15,132
41,57
54,52
31,65
25,54
24,221
3,335
69,89
94,225
70,126
26,100
51,173
19,44
25,131
23,349
27,27
22,42
24,78
21,268
24,416
21,250
34,51
67,15
78,105
31,22
30,11
43,25
32,45
26,123
35,365
40,403
23,105
33,121
36,59
59,164
22,189
39,420
21,406
39,366
25,75
55,51
59,246
29,81
56,106
100,239
0,44
26,253
22,285
25,174
36,186
23,256
27,460
31,345
26,107
29,241
23,65
41,64
31,32
23,130
23,131
27,241
39,16
33,30
32,43
40,86
29,15
26,15
29,12
44,18
32,55
36,134
30,205
24,239
47,121
26,91
27,226
62,27
65,31
15,99
29,94
25,130
50,146
18,18
25,43
30,100
39,158
20,34
25,309
37,239
38,242
27,136
58,127
68,214
75,222
31,19
23,122
21,193
26,49
32,394
42,80
70,303
124,242
86,174
20,34
92,47
118,256
76,281
30,31
36,19
81,340
84,110
128,129
51,203
42,93
22,169
53,155
63,176
37,142
39,155
31,68
43,310
33,330
22,76
41,35
44,39
34,28
22,44
22,18
21,25
20,167
28,238
18,332
20,121
21,391
17,319
37,87
39,65
73,29
45,272
46,368
21,206
43,37
167,114
153,152
69,43
74,179
35,27
18,81
55,217
93,14
76,66
67,272
29,198
53,44
109,384
34,25
34,55
28,202
33,306
24,248
24,107
19,72
36,12
32,181
29,272
43,328
32,263
25,281
27,451
23,179
26,164
25,122
35,16
51,128
38,32
33,103
36,23
30,23
25,59
36,145
22,126
28,116
35,35
20,19
74,38
4,17
33,20
58,81
47,107
34,86
24,167
21,23
33,228
36,293
44,399
39,320
45,45
35,107
30,142
46,22
30,271
79,373
87,133
24,46
22,17
26,112
25,194
40,34
31,176
37,252
26,151
24,47
36,157
67,350
43,263
38,114
34,290
22,132
52,66
19,97
27,158
44,156
26,26
22,121
61,77
45,420
53,137
31,150
33,166
17,286
56,123
59,230
94,438
25,424
29,117
28,119
44,91
25,49
29,29
27,198
17,29
11,300
23,271
31,186
17,331
26,334
21,59
48,75
28,128
34,222
28,26
23,33
25,24
25,312
30,69
47,133
58,72
43,147
37,52
27,239
25,509
25,139
19,83
0,217
44,239
22,271
39,230
48,392
35,131
33,880
51,487
56,198
21,92
35,282
66,444
34,26
26,70
29,37
25,81
33,21
33,123
24,41
20,52
24,529
23,402
56,86
106,17
38,26
32,20
28,46
59,67
26,107
60,135
43,157
27,133
35,94
34,120
17,31
22,102
22,128
26,210
33,231
37,128
17,209
32,389
37,322
30,209
40,41
64,59
31,214
29,247
32,120
24,83
21,147
27,96
26,289
41,393
24,33
38,223
31,150
25,44
18,53
25,159
36,26
50,101
12,69
29,174
27,22
37,113
14,14
26,59
46,50
31,16
31,125
31,229
27,44
37,131
52,288
63,179
59,40
54,18
32,69
13,91
28,93
28,96
20,50
19,128
30,391
0,244
29,57
26,237
25,195
28,121
39,351
20,834
31,489
23,92
28,22
50,207
38,35
51,151
17,161
25,21
28,255
19,50
52,352
27,353
32,50
31,22
27,116
46,302
29,254
26,308
22,47
20,164
24,233
32,199
24,239
24,26
25,119
18,61
13,38
37,50
46,197
50,86
23,100
37,128
74,29
43,52
46,164
39,51
79,339
153,236
88,187
46,129
30,70
32,141
34,116
89,21
136,34
104,45
97,34
45,20
41,35
22,13
50,25
100,71
44,108
20,172
47,234
20,200
31,155
55,216
72,19
27,26
43,229
29,159
33,78
28,40
41,178
42,363
46,157
27,68
20,87
23,145
42,25
7,93
24,90
26,128
25,98
25,53
21,66
24,153
23,50
19,240
26,468
32,280
37,155
43,355
28,107
36,520
33,822
27,350
0,158
23,112
24,14
23,124
46,256
58,446
45,368
42,122
31,39
33,26
42,200
59,107
41,256
34,272
25,109
23,15
19,322
1,472
80,321
82,277
52,50
97,361
76,658
21,342
25,24
27,22
22,87
24,296
36,311
37,30
56,46
67,166
27,228
21,107
29,96
38,34
91,14
72,61
38,99
61,62
107,107
28,68
83,80
98,235
126,120
156,32
150,105
133,54
30,236
29,236
40,52
31,136
24,331
27,221
30,97
49,63
94,27
29,50
31,314
36,194
37,22
39,23
65,88
31,102
23,155
28,42
33,37
37,73
47,34
21,129
63,34
40,45
43,61
66,41
52,79
49,64
23,23
23,62
25,18
34,53
23,67
31,216
37,357
28,396
32,206
58,243
38,592
35,224
30,151
41,241
53,128
10,70
43,118
19,415
22,222
17,73
0,94
48,121
16,34
25,235
43,320
83,303
9,219
32,198
37,49
32,200
32,167
22,233
20,187
27,58
22,145
24,36
30,79
70,104
31,49
23,81
32,107
27,23
28,75
26,13
23,37
19,94
21,37
32,166
34,214
27,194
21,121
30,27
22,164
25,79
65,29
69,60
61,129
60,79
92,23
64,263
40,288
24,87
49,77
132,22
94,192
49,414
23,234
29,166
33,135
31,70
21,97
15,261
51,326
38,168
32,173
30,85
48,111
92,383
112,18
97,87
30,194
19,93
54,17
68,139
56,311
29,166
20,168
34,420
22,363
23,75
29,26
36,89
45,42
75,34
114,135
55,355
28,52
36,476
34,366
4,27
24,113
22,13
22,33
22,12
28,74
2,18
59,18
96,206
52,143
25,129
23,46
50,145
62,20
41,18
25,36
36,132
34,193
41,133
34,224
39,104
54,101
49,134
89,150
31,39
23,152
21,212
26,372
2,195
20,38
19,108
27,199
34,214
23,265
39,181
58,210
73,355
68,31
57,138
28,101
31,40
33,287
33,332
43,387
32,111
39,788
38,554
33,194
36,19
35,50
32,136
27,24
29,24
24,53
