CH1,CH2
44,102
180,154
252,224
296,159
192,35
15,19
31,49
109,50
124,26
233,100
492,101
273,44
236,27
533,17
279,71
26,35
51,37
141,84
60,76
428,15
552,37
409,40
266,26
196,132
115,164
255,123
215,51
66,17
184,14
1,32
60,96
172,142
235,111
100,27
155,79
112,53
57,24
430,13
314,40
135,50
97,20
443,27
266,43
178,89
472,77
507,26
234,96
110,223
99,125
31,19
83,73
175,83
267,40
157,39
48,60
29,94
86,30
140,149
191,124
114,116
60,58
42,93
26,30
120,28
187,38
86,17
30,56
46,9
44,40
67,88
84,58
63,49
49,43
67,14
164,106
35,114
158,14
156,48
160,58
154,49
253,15
73,21
45,13
501,24
424,7
362,12
565,10
57,12
396,11
314,49
490,23
810,20
253,29
232,18
189,23
32,9
98,17
109,20
27,24
39,16
169,11
217,6
244,34
200,46
34,39
44,23
98,13
31,59
60,92
58,100
35,61
28,72
35,74
27,53
45,14
23,135
29,188
39,158
27,113
143,109
54,46
52,35
25,64
48,56
29,94
58,49
154,57
63,10
52,91
247,30
89,67
39,53
38,44
36,40
26,38
34,29
52,72
139,84
173,33
117,26
42,17
139,102
272,135
64,75
82,37
59,19
75,54
504,107
479,18
223,12
33,58
357,84
561,90
157,86
55,116
106,48
59,12
288,17
305,37
178,34
47,23
31,28
30,71
39,101
142,106
434,65
725,13
567,77
172,54
135,8
286,65
791,131
144,117
217,213
330,207
33,53
31,12
74,54
34,95
28,47
65,90
43,113
94,87
86,72
74,23
27,74
61,96
132,18
270,48
145,29
103,11
105,39
81,41
130,62
26,42
103,33
294,34
274,40
305,43
31,21
131,76
135,12
374,37
712,15
285,26
242,37
196,19
50,21
52,37
55,15
31,47
30,50
80,19
94,16
188,33
46,44
163,26
115,39
37,87
310,22
543,67
917,79
523,114
55,40
547,11
649,48
767,80
494,44
170,63
53,78
37,23
100,35
36,12
86,49
45,77
50,67
80,68
68,41
33,13
32,14
85,22
35,15
31,15
30,71
108,62
71,24
37,15
43,13
72,25
165,11
254,57
206,98
333,131
338,189
146,22
114,160
218,229
62,152
49,75
140,26
688,45
358,57
220,50
731,19
882,53
875,70
491,101
37,34
62,11
73,55
83,98
95,99
107,59
86,46
71,42
57,21
0,11
51,12
26,91
115,93
372,14
306,15
298,13
103,14
25,41
61,59
161,74
201,56
342,128
50,97
259,17
76,82
25,101
151,70
231,14
241,41
129,21
110,76
101,19
25,27
39,13
62,11
87,33
333,22
426,62
130,61
165,89
55,79
161,83
315,28
216,12
132,39
143,34
146,26
57,47
239,72
392,20
233,15
265,69
152,48
68,13
110,35
67,13
47,20
25,31
44,36
91,28
47,11
60,20
49,60
49,12
26,13
52,26
139,40
238,28
304,45
121,50
70,71
61,32
56,20
48,23
455,13
933,67
529,135
102,150
351,104
696,23
923,101
604,77
311,13
165,15
218,12
118,11
43,14
56,16
30,26
81,42
149,42
315,35
85,16
70,10
135,19
245,10
54,16
196,12
358,15
329,14
95,20
66,52
98,25
211,46
227,66
76,19
180,29
111,19
63,15
125,5
75,17
100,12
51,16
29,12
59,13
36,25
91,14
34,10
28,11
25,25
56,22
33,5
148,24
132,53
136,104
61,135
49,103
172,34
114,137
33,80
47,76
155,34
283,93
61,88
73,19
107,40
73,26
122,81
193,100
36,36
37,45
51,64
52,46
140,13
145,19
58,91
63,175
49,134
43,131
3,102
99,50
118,43
127,90
62,117
179,121
46,93
40,15
39,44
39,37
32,33
110,91
96,57
33,27
105,60
116,150
24,103
10,81
110,24
226,10
37,12
72,24
86,11
79,27
34,30
26,22
30,59
31,58
25,56
32,91
93,120
354,85
279,126
78,126
133,102
40,35
36,19
142,12
413,12
427,56
191,85
26,83
116,58
38,60
33,39
27,9
37,20
50,33
54,21
120,19
34,69
103,71
58,88
37,107
34,45
150,16
349,24
629,25
269,26
75,145
262,171
582,92
349,16
163,34
31,69
159,59
136,28
36,13
67,19
127,10
71,46
41,17
121,98
243,136
30,66
25,45
237,22
506,33
197,31
118,14
69,35
100,14
333,36
195,105
187,107
53,60
258,13
54,42
30,60
139,31
78,29
80,27
33,45
276,65
399,45
97,37
32,16
197,15
201,33
172,47
100,50
59,19
44,14
66,35
196,68
40,82
98,125
135,115
48,98
38,244
26,105
110,105
9,42
163,16
277,58
145,58
37,16
46,29
94,14
30,15
88,19
111,48
44,38
39,29
61,63
31,49
34,26
35,87
31,11
30,25
74,25
47,62
56,22
103,30
121,79
63,78
58,135
36,49
37,38
31,83
31,104
115,60
81,19
41,16
49,13
61,11
39,11
73,27
40,22
28,32
36,23
32,69
34,41
70,36
36,18
113,28
121,22
32,17
295,11
382,23
41,22
248,35
237,24
160,65
118,26
313,12
557,32
405,108
314,219
242,171
128,88
650,18
687,14
631,62
182,73
20,69
29,31
42,67
54,62
42,32
33,85
22,15
27,30
22,28
25,28
33,21
27,70
121,22
52,15
208,33
459,50
105,21
41,18
108,30
94,35
372,49
165,12
130,35
38,15
40,12
128,27
25,13
55,13
90,30
87,49
106,47
102,41
66,44
237,26
104,34
79,12
78,11
47,11
51,66
205,93
254,165
310,234
128,148
45,28
151,109
190,101
258,70
197,55
181,30
505,85
325,8
321,11
272,17
156,27
227,55
307,30
271,89
294,75
313,122
307,29
175,71
259,22
352,19
142,29
42,70
29,63
35,16
89,45
84,17
256,27
198,23
135,133
35,92
28,25
185,58
134,73
37,27
50,136
150,72
302,47
281,124
108,102
76,65
145,61
241,135
109,104
25,33
32,68
37,67
52,25
35,137
66,50
50,22
74,14
36,69
135,65
204,63
228,137
302,163
37,34
270,74
130,164
273,120
313,174
185,92
37,72
458,125
1023,19
471,88
84,106
59,139
243,14
111,19
26,47
61,80
47,29
110,27
130,10
174,35
47,89
78,75
116,59
71,29
31,17
71,32
76,36
66,50
86,71
86,36
86,26
48,17
43,47
30,61
30,96
29,21
35,11
29,19
79,50
92,15
317,31
41,37
56,81
40,36
30,15
36,52
92,82
41,28
107,10
34,19
94,14
119,14
52,54
226,66
94,130
66,170
35,108
59,48
30,201
87,249
61,52
130,51
326,54
345,112
40,155
81,233
36,114
127,76
283,18
35,31
77,102
36,120
107,142
53,125
88,59
200,30
84,36
144,60
74,86
49,97
87,56
227,14
61,10
58,56
98,100
36,73
60,38
243,16
62,87
68,160
29,105
116,42
51,14
43,26
69,26
31,12
26,15
19,12
58,19
36,15
56,21
20,15
26,24
66,15
73,37
63,18
80,43
88,72
26,36
66,24
32,11
125,14
36,50
32,43
33,10
95,32
98,24
27,16
78,14
41,21
29,24
64,50
34,69
57,27
34,52
31,103
24,117
23,66
27,21
82,12
27,20
65,127
46,80
32,40
70,21
162,128
656,12
513,25
