CH1,CH2
273,80
296,38
160,43
42,105
40,53
71,12
29,30
37,122
53,82
114,13
350,21
328,88
198,104
342,106
281,36
164,14
62,38
140,90
205,72
185,10
144,86
39,86
187,30
247,149
51,75
38,166
13,227
60,114
97,75
81,20
46,12
34,24
18,64
47,54
137,43
82,13
31,24
55,21
78,119
124,218
65,318
56,355
39,177
0,23
99,327
162,425
147,200
26,71
40,112
86,88
196,233
49,254
47,69
36,171
33,216
156,61
129,318
27,743
63,604
38,39
117,60
199,49
143,56
90,25
256,55
98,65
52,61
70,31
88,63
58,129
39,168
64,218
29,260
31,264
55,104
92,128
35,266
25,351
27,169
41,54
42,17
41,108
41,214
67,111
117,22
90,184
31,334
0,248
26,101
47,96
31,26
65,57
165,115
35,91
47,83
109,78
78,21
82,115
26,97
32,69
44,14
65,22
50,82
76,102
52,89
60,105
46,111
121,68
214,49
179,54
160,27
106,18
215,78
78,27
27,59
40,59
45,41
67,95
284,86
89,14
63,45
84,131
71,94
55,22
31,25
37,14
38,44
55,78
142,23
39,15
29,29
35,70
56,66
0,62
36,84
91,95
31,128
37,15
34,23
23,67
28,55
32,67
77,96
40,101
36,78
79,138
64,212
40,416
60,332
32,109
37,57
85,49
43,203
34,262
34,241
35,353
37,228
29,124
150,54
142,18
193,12
201,19
90,19
96,12
181,35
181,90
115,84
101,83
64,142
73,113
115,53
149,27
85,6
40,47
42,204
37,203
93,53
42,74
34,178
227,175
74,165
32,115
58,17
58,244
31,274
40,117
31,167
32,108
82,95
23,38
84,29
101,113
60,198
29,158
53,95
106,16
85,94
100,148
65,94
83,12
71,76
93,69
36,14
41,56
227,105
61,44
110,146
32,162
47,23
28,156
173,215
198,82
123,14
48,19
32,39
26,21
29,43
71,36
55,12
91,32
70,15
100,27
169,93
79,55
67,105
194,27
111,53
112,58
64,161
106,172
44,92
39,12
33,96
27,43
0,21
65,15
71,31
33,38
25,99
37,190
95,143
29,16
24,72
39,114
46,152
27,123
32,19
30,50
38,85
69,43
48,21
44,100
53,129
125,180
70,139
162,57
126,202
88,175
84,233
291,88
256,22
101,45
41,43
116,23
302,116
208,91
64,15
120,8
97,29
61,101
25,75
24,19
28,51
47,79
43,138
125,153
197,61
75,115
68,109
28,48
28,186
67,114
27,165
32,266
180,167
122,96
116,68
42,118
58,20
38,138
52,223
29,359
36,374
77,147
79,223
18,307
87,324
33,185
26,119
51,18
55,45
80,54
74,50
98,27
41,77
80,51
49,24
151,35
111,49
110,15
48,13
236,68
155,61
157,87
119,126
87,99
35,31
24,9
9,15
24,33
29,14
35,73
41,106
41,60
40,18
47,35
147,161
122,274
31,172
18,336
190,220
115,192
44,196
187,90
72,18
50,18
33,20
48,63
37,50
28,18
22,54
28,14
36,13
54,22
70,25
131,19
56,15
31,43
27,87
95,148
78,125
33,84
55,17
49,109
39,280
34,351
44,356
50,281
88,145
57,25
46,211
30,396
56,372
34,251
37,88
24,21
46,13
65,11
82,15
141,12
208,44
115,69
40,214
15,310
189,256
408,167
254,97
180,353
52,377
19,143
31,16
35,19
