CH1,CH2
16,9
21,11
22,20
20,14
15,11
18,8
20,10
21,11
22,11
24,11
25,11
26,12
25,11
25,17
25,15
24,14
20,11
16,11
15,14
26,16
18,10
18,9
20,10
26,11
20,12
23,14
23,12
32,11
21,10
20,10
23,8
34,9
22,18
19,29
19,21
26,17
21,16
20,11
24,10
21,9
23,10
18,12
18,8
26,11
17,11
27,11
18,14
31,19
22,18
25,14
22,12
34,11
24,12
21,13
18,10
9,10
19,10
17,10
20,8
14,11
21,11
22,12
23,8
16,13
18,10
20,14
19,10
20,16
19,17
22,31
22,23
29,9
23,11
20,17
20,14
16,10
17,9
16,9
18,15
0,12
20,11
22,17
20,10
38,13
25,10
22,9
18,10
18,10
22,10
23,11
22,10
30,15
17,16
20,15
15,15
8,15
21,11
24,10
16,10
16,8
16,14
18,11
21,11
21,13
24,10
21,10
25,13
32,9
25,9
24,9
16,11
6,18
16,16
17,15
19,13
21,12
22,12
21,13
20,11
11,12
21,11
18,10
17,10
20,11
19,11
18,12
21,13
28,10
21,10
24,10
25,13
18,14
21,10
17,10
17,10
13,12
21,11
17,12
15,12
6,14
19,10
21,10
21,12
18,23
24,18
20,10
20,9
34,11
19,13
22,11
25,11
17,14
19,12
25,13
22,14
0,16
19,14
16,9
16,9
1,10
19,10
19,18
21,13
21,13
21,12
23,10
25,9
29,12
20,11
22,15
19,16
14,11
17,10
18,10
18,11
7,6
17,12
20,11
21,11
11,10
19,8
23,16
26,19
31,14
21,17
19,15
20,10
22,12
23,10
24,12
23,14
29,13
18,10
18,12
16,11
12,11
19,10
19,9
21,9
12,15
21,11
24,16
25,14
23,12
18,10
20,10
21,13
21,12
23,12
22,15
21,13
14,14
23,11
22,10
19,10
7,12
16,9
16,9
18,15
14,11
19,10
19,13
23,22
24,14
21,11
23,11
26,11
38,12
26,11
19,11
17,10
26,11
19,11
19,10
20,10
3,15
21,17
22,14
17,12
20,14
17,9
19,13
21,11
25,10
20,14
22,14
22,16
33,8
24,16
20,16
20,12
25,10
18,13
18,9
21,9
4,6
22,13
20,12
21,11
22,12
24,14
20,11
20,13
26,5
21,10
19,11
22,11
30,6
19,17
21,12
20,11
15,10
21,13
16,12
14,9
9,5
18,16
19,9
17,11
18,8
21,19
22,12
25,12
26,15
25,9
22,10
22,10
22,11
18,16
18,15
19,12
14,9
20,10
21,12
22,8
6,10
18,16
18,12
14,10
36,12
20,9
18,10
22,22
33,10
16,9
21,13
24,12
31,10
17,11
16,17
19,9
15,12
15,18
15,16
21,9
22,9
31,12
29,12
21,15
0,5
18,12
18,12
22,10
30,7
22,15
24,10
25,11
22,12
21,12
21,10
21,19
14,7
16,13
16,10
17,9
7,8
18,11
19,15
22,11
21,11
21,12
23,13
25,10
31,5
20,11
22,8
19,13
13,7
18,8
20,11
19,12
11,7
19,12
22,10
19,13
7,10
22,9
22,10
21,14
20,8
22,15
22,13
26,15
31,5
25,11
26,12
19,13
21,6
16,12
17,10
16,9
13,6
19,9
19,12
22,10
13,6
20,21
21,10
20,8
28,10
20,16
22,19
23,14
22,3
20,11
21,11
20,12
16,10
24,22
23,13
16,10
18,6
19,8
18,10
18,12
22,9
28,11
22,12
21,11
26,18
21,9
24,9
24,14
24,12
22,12
20,15
19,16
17,6
19,11
21,13
22,9
15,5
21,10
17,12
16,10
23,6
20,16
21,14
20,16
30,8
23,11
23,12
23,15
32,5
25,11
16,12
16,12
23,8
16,11
18,9
19,17
12,8
19,10
21,11
24,11
23,6
22,10
20,10
22,10
30,6
22,10
19,12
21,9
30,7
18,17
15,14
23,12
24,14
18,10
18,9
16,10
18,7
18,19
18,11
19,10
25,18
22,10
25,28
25,26
31,5
28,10
25,9
22,9
31,15
17,17
18,13
19,10
18,12
19,14
21,12
22,9
19,10
19,9
20,10
20,10
29,9
19,11
19,13
19,10
31,6
22,16
24,12
27,12
31,7
19,11
19,14
18,11
22,13
15,12
12,14
20,11
18,6
20,11
22,10
21,10
31,6
20,14
21,13
22,9
33,10
21,12
24,12
24,14
29,15
17,14
22,10
19,12
24,13
16,9
17,9
18,10
24,11
18,11
18,11
23,15
35,6
21,16
24,11
26,10
34,8
22,10
25,10
22,11
27,11
23,13
20,12
23,11
33,18
22,12
21,15
15,14
36,11
18,11
21,11
32,9
47,11
27,12
24,12
25,11
36,8
22,8
21,14
18,18
29,6
18,13
21,12
20,11
38,6
23,15
21,18
21,15
41,13
21,9
18,10
16,9
32,13
20,17
22,13
23,16
35,6
29,9
21,12
21,12
32,9
16,16
17,13
16,10
31,12
22,10
16,11
19,17
40,13
18,12
22,11
23,12
41,6
20,12
24,9
24,15
39,8
25,17
22,19
19,17
26,10
21,13
21,11
21,9
20,8
16,17
16,13
17,8
34,13
18,9
18,11
19,12
26,15
22,10
25,11
20,8
23,10
19,13
16,14
17,10
17,14
20,11
17,9
19,27
