CH1,CH2
"295
","60
"
"375
","158
"
"258
","235
"
"138
","38
"
"96
","2
"
"151
","20
"
"133
","15
"
"279
","160
"
"435
","195
"
"243
","90
"
"134
","62
"
"124
","95
"
"164
","98
"
"182
","1
"
"97
","19
"
"109
","46
"
"152
","94
"
"67
","77
"
"56
","2
"
"124
","30
"
"143
","0
"
"54
","20
"
"183
","21
"
"274
","38
"
"66
","48
"
"250
","66
"
"311
","70
"
"76
","58
"
"53
","97
"
"75
","83
"
"155
","78
"
"78
","100
"
"194
","0
"
"59
","23
"
"99
","112
"
"47
","70
"
"112
","81
"
"53
","98
"
"138
","15
"
"133
","39
"
"50
","47
"
"156
","10
"
"195
","179
"
"189
","236
"
"62
","121
"
"246
","15
"
"222
","53
"
"195
","81
"
"108
","8
"
"331
","0
"
"446
","107
"
"568
","79
"
"321
","63
"
"446
","2
"
"168
","162
"
"337
","109
"
"47
","24
"
"54
","61
"
"170
","48
"
"78
","4
"
"252
","21
"
"392
","70
"
"92
","18
"
"287
","76
"
"383
","23
"
"84
","217
"
"229
","137
"
"316
","97
"
"415
","27
"
"108
","0
"
"44
","0
"
"53
","12
"
"300
","131
"
"338
","51
"
"57
","41
"
"86
","28
"
"61
","0
"
"77
","0
"
"67
","30
"
"69
","0
"
"73
","27
"
"132
","8
"
"240
","37
"
"231
","84
"
"65
","98
"
"48
","119
"
"60
","17
"
"93
","75
"
"87
","87
"
"53
","26
"
"77
","3
"
"54
","12
"
"79
","10
"
"46
","0
"
"66
","0
"
"61
","12
"
"86
","4
"
"230
","84
"
"240
","8
"
"40
","33
"
"156
","109
"
"131
","76
"
"112
","0
"
"62
","41
"
"125
","34
"
"39
","0
"
"95
","19
"
"56
","52
"
"189
","150
"
"479
","28
"
"194
","54
"
"448
","68
"
"94
","29
"
"70
","30
"
"140
","39
"
"148
","15
"
"56
","6
"
"118
","135
"
"80
","50
"
"80
","16
"
"128
","0
"
"59
","101
"
"86
","162
"
"164
","73
"
"78
","22
"
"220
","86
"
"108
","0
"
"209
","72
"
"143
","33
"
"61
","35
"
"170
","0
"
"119
","77
"
"101
","31
"
"41
","25
"
"459
","156
"
"425
","79
"
"191
","0
"
"384
","26
"
"83
","10
"
"529
","0
"
"81
","49
"
"299
","30
"
"90
","138
"
"223
","51
"
"299
","48
"
"147
","50
"
"101
","103
"
"199
","17
"
"154
","79
"
"122
","96
"
"252
","26
"
"73
","0
"
"80
","5
"
"122
","0
"
"127
","0
"
"134
","42
"
"46
","0
"
"151
","117
"
"86
","23
"
"523
","64
"
"64
","64
"
"83
","29
"
"285
","34
"
"400
","125
"
"538
","45
"
"87
","53
"
"95
","15
"
"202
","0
"
"182
","16
"
"163
","43
"
"57
","48
"
"247
","0
"
"380
","54
"
"362
","45
"
"261
","74
"
"175
","0
"
"101
","7
"
"55
","7
"
"39
","3
"
"197
","86
"
"183
","1
"
"62
","69
"
"260
","87
"
"421
","72
"
"149
","11
"
"61
","0
"
"153
","5
"
"140
","28
"
"51
","50
"
"153
","62
"
"87
","92
"
"120
","99
"
"70
","33
"
"132
","126
"
"142
","90
"
"54
","10
"
"104
","15
"
"150
","0
"
"212
","39
"
"367
","143
"
"109
","21
"
"103
","0
"
"99
","1
"
"76
","58
"
"237
","120
"
"340
","89
"
"355
","99
"
"345
","104
"
"81
","137
"
"69
","72
"
"207
","129
"
"320
","186
"
"117
","104
"
"69
","133
"
"123
","81
"
"377
","117
"
"201
","0
"
"26
","7
"
"140
","21
"
"217
","18
"
"309
","99
"
"495
","97
"
"355
","61
"
"202
","3
"
"87
","28
"
"53
","46
"
"67
","0
"
"76
","0
"
"118
","41
"
"190
","75
"
"177
","11
"
"52
","11
"
"53
","54
"
"75
","46
"
"100
","72
"
"78
","5
"
"45
","53
"
"57
","40
"
"74
","6
"
"72
","5
"
"123
","63
"
"177
","73
"
"67
","7
"
"124
","0
"
"86
","16
"
"59
","82
"
"122
","17
"
"145
","18
"
"227
","42
"
"133
","98
"
"216
","14
"
"106
","23
"
"81
","56
"
"150
","17
"
"77
","46
"
"44
","0
"
"65
","0
"
"108
","0
"
"210
","8
"
"55
","31
"
"74
","6
"
"50
","45
"
"53
","0
"
"41
","0
"
"111
","0
"
"55
","11
"
"91
","0
"
"105
","11
"
"55
","6
"
"48
","0
"
"100
","0
"
"42
","13
"
"145
","43
"
"65
","28
"
"47
","4
"
"194
","14
"
"129
","50
"
"181
","0
"
"69
","42
"
"193
","56
"
"173
","46
"
"76
","19
"
"30
","8
"
"46
","26
"
"88
","14
"
"59
","24
"
"139
","0
"
"157
","1
"
"51
","9
"
"55
","0
"
"145
","13
"
"237
","35
"
"241
","66
"
"204
","2
"
"94
","18
"
"248
","9
"
"243
","33
"
"160
","0
"
"55
","36
"
"85
","78
"
"146
","33
"
"167
","15
"
"109
","46
"
"169
","18
"
"51
","83
"
"246
","99
"
"300
","51
"
"193
","0
"
"111
","12
"
"107
","0
"
"90
","11
"
"135
","62
"
"236
","121
"
"265
","125
"
"114
","65
"
"149
","37
"
"250
","33
"
"147
","5
"
"155
","4
"
"448
","61
"
"310
","86
"
"68
","0
"
"84
","0
"
"144
","22
"
"260
","34
"
"240
","84
"
"210
","69
"
"159
","7
"
"141
","62
"
"168
","33
"
"134
","11
"
"275
","105
"
"243
","105
"
"259
","3
"
"190
","14
"
"207
","72
"
"206
","119
"
"241
","65
"
"112
","31
"
"137
","0
"
"178
","12
"
"66
","56
"
"68
","25
"
"102
","133
"
"100
","78
"
"67
","20
"
"106
","60
"
"194
","46
"
"285
","40
"
"309
","57
"
"127
","38
"
"100
","7
"
"120
","50
"
"81
","131
"
"104
","135
"
"145
","74
"
"203
","19
"
"65
","67
"
"179
","32
"
"192
","0
"
"183
","38
"
"111
","44
"
"238
","44
"
"264
","85
"
"50
","44
"
"237
","62
"
"411
","68
"
"255
","27
"
"214
","0
"
"73
","16
"
"125
","0
"
"168
","22
"
"74
","13
"
"51
","0
"
"62
","57
"
"149
","1
"
"58
","5
"
"60
","0
"
"104
","4
"
"188
","0
"
"92
","7
"
"67
","42
"
"88
","34
"
"141
","49
"
"73
","5
"
"52
","12
"
"207
","16
"
"199
","31
"
"76
","114
"
"142
","16
"
"243
","8
"
"244
","27
"
"97
","0
"
"73
","2
"
"101
","20
"
"56
","0
"
"67
","10
"
"84
","55
"
"102
","39
"
"80
","0
"
"50
","0
"
"68
","15
"
"193
","84
"
"260
","66
"
"88
","0
"
"81
","118
"
"42
","250
"
"49
","143
"
"123
","0
"
"82
","21
"
"64
","74
"
"117
","2
"
"200
","0
"
"131
","42
"
"165
","100
"
"382
","109
"
"257
","44
"
"92
","64
"
"144
","68
"
"229
","0
"
"224
","38
"
"89
","43
"
"113
","0
"
"203
","7
"
"269
","53
"
"151
","62
"
"137
","62
"
"70
","47
"
"163
","5
"
"475
","0
"
"433
","1
"
"236
","10
"
"182
","0
"
"144
","54
"
"67
","100
"
"74
","33
"
"5
","24
"
"49
","12
"
"49
","0
"
"52
","21
"
"66
","7
"
"51
","36
"
"43
","79
"
"107
","13
"
"47
","9
"
"98
","24
"
"54
","2
"
"50
","0
"
"76
","29
"
"78
","67
"
"186
","83
"
"69
","59
"
"199
","0
"
"52
","5
"
"159
","27
"
"51
","0
"
"117
","19
"
"104
","0
"
"281
","63
"
"279
","89
"
"184
","82
"
"330
","51
"
"210
","0
"
"54
","28
"
"435
","179
"
"230
","60
"
"188
","24
"
"207
","99
"
"81
","15
"
"112
","73
"
"144
","71
"
"158
","2
"
"257
","68
"
"431
","61
"
"225
","41
"
"48
","76
"
"64
","15
"
"121
","0
"
"92
","59
"
"68
","31
"
"48
","0
"
"54
","1
"
"64
","7
"
"109
","66
"
"176
","45
"
"128
","0
"
"52
","19
"
"93
","3
"
"73
","0
"
"32
","0
"
"149
","2
"
"213
","45
"
"49
","56
"
"63
","0
"
"52
","15
"
"79
","3
"
"26
","5
"
"56
","85
"
"72
","122
"
"83
","1
"
"94
","43
"
"59
","3
"
"55
","0
"
"69
","0
"
"57
","64
"
"61
","74
"
"68
","36
"
"102
","6
"
"106
","32
"
"94
","27
"
"60
","15
"
"49
","0
"
"48
","0
"
"95
","18
"
"69
","4
"
"132
","0
"
"72
","0
"
"62
","0
"
"196
","1
"
"134
","44
"
"178
","52
"
"132
","91
"
"85
","85
"
"146
","99
"
"66
","66
"
"375
","69
"
"40
","0
"
"150
","0
"
"93
","29
"
"166
","52
"
"224
","77
"
"224
","33
"
"198
","3
"
"28
","3
"
"145
","0
"
"227
","10
"
"191
","0
"
"211
","0
"
"51
","18
"
"87
","26
"
"69
","0
"
"125
","28
"
"72
","38
"
"53
","8
"
"33
","0
"
"57
","11
"
"137
","35
"
"110
","0
"
"46
","4
"
"66
","3
"
"53
","0
"
"38
","14
"
"112
","23
"
"54
","3
"
"62
","93
"
"65
","68
"
"119
","15
"
"154
","19
"
"92
","43
"
"47
","6
"
"94
","106
"
"140
","134
"
"59
","64
"
"52
","22
"
"128
","111
"
"62
","77
"
"60
","38
"
"56
","95
"
"66
","65
"
"56
","43
"
"72
","23
"
"77
","17
"
"74
","20
"
"51
","41
"
"46
","67
"
"204
","58
"
"110
","27
"
"67
","37
"
"220
","32
"
"106
","38
"
"111
","73
"
"192
","92
"
"153
","83
"
"135
","74
"
"155
","5
"
"203
","55
"
"63
","94
"
"91
","92
"
"125
","35
"
"72
","16
"
"42
","11
"
"31
","0
"
"22
","0
"
"95
","18
"
"158
","59
"
"315
","91
"
"151
","50
"
"472
","78
"
"61
","57
"
"457
","140
"
"394
","24
"
"76
","16
"
"227
","54
"
"205
","15
"
"98
","60
"
"62
","44
"
"53
","31
"
"158
","141
"
"268
","76
"
"42
","5
"
"44
","19
"
"98
","27
"
"114
","11
"
"132
","76
"
"41
","76
"
"101
","0
"
"64
","24
"
"36
","13
"
"50
","93
"
"94
","96
"
"61
","30
"
"46
","15
"
"60
","40
"
"89
","47
"
"51
","16
"
"193
","4
"
"136
","5
"
"128
","0
"
"86
","17
"
"78
","10
"
"82
","0
"
"111
","0
"
"190
","39
"
"112
","7
"
"49
","7
"
"215
","24
"
"211
","12
"
"149
","45
"
"106
","59
"
"54
","27
"
"59
","0
"
"134
","30
"
"130
","0
"
"287
","30
"
"288
","43
"
"56
","2
"
"60
","40
"
"161
","8
"
"52
","24
"
"181
","1
"
"154
","11
"
"55
","49
"
"49
","22
"
"75
","56
"
"86
","108
"
"16
","18
"
"244
","36
"
"182
","0
"
"61
","29
"
"162
","81
"
"183
","58
"
"248
","21
"
"66
","51
"
"398
","53
"
"150
","0
"
"89
","11
"
"93
","17
"
"74
","0
"
"98
","18
"
"68
","0
"
"57
","0
"
"62
","54
"
"69
","30
"
"175
","0
"
"56
","2
"
"69
","34
"
"93
","75
"
"107
","16
"
"185
","92
"
"135
","10
"
"54
","103
"
"144
","107
"
"48
","54
"
"86
","2
"
"133
","3
"
"179
","0
"
"297
","4
"
"65
","39
"
"67
","51
"
"50
","26
"
"56
","0
"
"62
","3
"
"50
","50
"
"50
","11
"
"55
","0
"
"80
","2
"
"51
","9
"
"99
","0
"
"83
","0
"
"52
","10
"
"62
","0
"
"59
","8
"
"72
","0
"
"84
","1
"
"82
","0
"
"49
","0
"
"54
","2
"
"53
","0
"
"146
","11
"
"200
","146
"
"161
","8
"
"97
","58
"
"55
","29
"
"62
","1
"
"52
","9
"
"99
","12
"
"100
","0
"
"50
","3
"
"57
","4
"
"85
","16
"
"142
","0
"
"106
","0
"
"84
","57
"
"58
","75
"
"58
","39
"
"57
","2
"
"73
","39
"
"48
","3
"
"53
","29
"
"63
","61
"
"48
","46
"
"87
","12
"
"52
","8
"
"148
","60
"
"57
","102
"
"61
","72
"
"52
","0
"
"30
","0
"
"121
","43
"
"239
","66
"
"263
","28
"
"252
","0
"
"74
","64
"
"127
","39
"
"48
","0
"
"104
","21
"
"103
","0
"
"102
","14
"
"216
","35
"
"571
","174
"
"254
","41
"
"129
","41
"
"102
","1
"
"68
","20
"
"51
","0
"
"80
","14
"
"83
","47
"
"94
","6
"
"22
","0
"
"62
","0
"
"43
","0
"
"86
","18
"
"85
","46
"
"118
","44
"
"49
","29
"
"125
","14
"
"361
","96
"
"223
","24
"
"65
","117
"
"82
","75
"
"225
","12
"
"243
","6
"
"51
","22
"
"255
","7
"
"434
","0
"
"368
","12
"
"110
","32
"
"112
","12
"
"139
","31
"
"98
","38
"
"74
","0
"
"95
","17
"
"54
","81
"
"47
","118
"
"67
","40
"
"95
","0
"
"188
","8
"
"237
","13
"
"94
","37
"
"71
","43
"
"113
","13
"
"49
","0
"
"55
","21
"
"85
","17
"
"45
","65
"
"156
","0
"
"272
","58
"
"50
","4
"
"86
","109
"
"20
","73
"
"71
","15
"
"201
","48
"
"301
","23
"
"100
","0
"
"78
","12
"
"158
","0
"
"67
","63
"
"37
","54
"
"89
","26
"
"61
","24
"
"121
","5
"
"150
","0
"
"100
","31
"
"87
","109
"
"146
","32
"
"52
","14
"
"52
","20
"
"32
","62
"
"61
","15
"
"49
","7
"
"70
","18
"
"128
","83
"
"84
","64
"
"94
","5
"
"77
","7
"
"96
","0
"
"52
","24
"
"114
","27
"
"113
","6
"
"160
","51
"
"52
","31
"
"123
","7
"
"72
","26
"
"57
","0
"
"224
","30
"
"82
","29
"
"49
","27
"
"54
","50
"
"97
","70
"
"95
","82
"
"179
","118
"
"284
","128
"
"147
","12
"
"196
","216
"
"538
","256
"
"206
","29
"
"228
","0
"
"241
","52
"
"77
","28
"
"46
","0
"
"65
","0
"
"115
","48
"
"127
","27
"
"157
","0
"
"166
","13
"
"150
","45
"
"48
","30
"
"166
","24
"
"141
","19
"
"84
","7
"
"103
","28
"
"106
","0
"
"135
","69
"
"330
","53
"
"329
","39
"
"63
","49
"
"266
","28
"
"147
","0
"
"55
","41
"
"26
","27
"
"75
","11
"
"75
","4
"
"73
","35
"
"60
","108
"
"63
","32
"
"30
","3
"
"61
","2
"
"87
","4
"
"51
","7
"
"118
","0
"
"82
","78
"
"85
","38
"
