CH1,CH2
"69
","824
"
"24
","391
"
"30
","308
"
"103
","668
"
"48
","320
"
"110
","17
"
"125
","12
"
"149
","15
"
"60
","47
"
"92
","67
"
"32
","8
"
"135
","324
"
"86
","251
"
"33
","60
"
"134
","610
"
"195
","380
"
"152
","203
"
"55
","20
"
"34
","91
"
"31
","356
"
"40
","206
"
"30
","217
"
"31
","24
"
"26
","154
"
"40
","104
"
"26
","0
"
"33
","0
"
"26
","7
"
"49
","157
"
"38
","169
"
"39
","88
"
"30
","174
"
"29
","8
"
"30
","184
"
"56
","3
"
"32
","66
"
"54
","13
"
"115
","61
"
"85
","44
"
"28
","205
"
"51
","338
"
"86
","211
"
"85
","400
"
"83
","62
"
"67
","188
"
"38
","295
"
"96
","306
"
"30
","32
"
"73
","100
"
"43
","120
"
"133
","508
"
"70
","160
"
"33
","200
"
"33
","435
"
"44
","78
"
"144
","134
"
"107
","32
"
"34
","258
"
"55
","22
"
"53
","338
"
"110
","176
"
"224
","157
"
"138
","90
"
"83
","19
"
"32
","317
"
"107
","26
"
"104
","65
"
"19
","3
"
"62
","359
"
"98
","408
"
"47
","240
"
"40
","837
"
"58
","384
"
"36
","92
"
"35
","188
"
"40
","274
"
"49
","314
"
"141
","45
"
"34
","515
"
"69
","295
"
"53
","75
"
"34
","6
"
"77
","190
"
"80
","302
"
"26
","26
"
"52
","103
"
"51
","17
"
"42
","1
"
"61
","28
"
"64
","11
"
"30
","0
"
"58
","143
"
"106
","170
"
"87
","23
"
"81
","423
"
"38
","327
"
"34
","162
"
"68
","139
"
"91
","274
"
"29
","52
"
"74
","192
"
"47
","433
"
"41
","447
"
"33
","352
"
"86
","119
"
"78
","213
"
"61
","166
"
"35
","91
"
"48
","29
"
"26
","68
"
"29
","109
"
"19
","11
"
"64
","217
"
"55
","212
"
"79
","71
"
"63
","200
"
"32
","174
"
"32
","14
"
"92
","278
"
"52
","22
"
"41
","151
"
"28
","46
"
"30
","201
"
"31
","24
"
