CH1,CH2
"25
","215
"
"90
","253
"
"293
","218
"
"405
","168
"
"72
","126
"
"130
","99
"
"101
","117
"
"208
","112
"
"173
","44
"
"72
","41
"
"156
","40
"
"385
","51
"
"426
","80
"
"151
","48
"
"42
","84
"
"62
","60
"
"111
","13
"
"114
","39
"
"53
","29
"
"205
","59
"
"192
","72
"
"82
","137
"
"34
","242
"
"88
","353
"
"64
","131
"
"124
","147
"
"36
","116
"
"545
","62
"
"416
","25
"
"280
","64
"
"110
","110
"
"206
","129
"
"254
","179
"
"19
","187
"
"362
","203
"
"53
","69
"
"57
","295
"
"192
","255
"
"292
","106
"
"268
","433
"
"52
","245
"
"140
","86
"
"16
","384
"
"137
","499
"
"213
","359
"
"6
","240
"
"50
","156
"
"74
","144
"
"18
","153
"
"150
","82
"
"192
","65
"
"197
","21
"
"289
","60
"
"46
","124
"
"171
","183
"
"47
","285
"
"41
","359
"
"62
","317
"
"17
","172
"
"3
","39
"
"169
","89
"
"68
","58
"
"9
","172
"
"27
","72
"
"32
","62
"
"125
","34
"
"230
","128
"
"127
","175
"
"138
","260
"
"31
","290
"
"313
","243
"
"50
","271
"
"7
","255
"
"87
","48
"
"273
","107
"
"64
","51
"
"280
","112
"
"76
","188
"
"109
","89
"
"150
","202
"
"101
","222
"
"262
","109
"
"239
","11
"
"4
","54
"
"165
","201
"
"162
","279
"
"41
","306
"
"393
","314
"
"881
","141
"
"557
","93
"
"81
","77
"
"154
","9
"
"480
","46
"
"722
","89
"
"238
","138
"
"65
","104
"
"145
","118
"
"191
","237
"
"96
","185
"
"172
","165
"
"281
","150
"
"323
","233
"
"15
","275
"
"122
","93
"
"412
","21
"
"304
","143
"
"286
","366
"
"21
","356
"
"359
","305
"
"578
","135
"
"233
","45
"
"103
","38
"
"23
","71
"
"42
","120
"
"24
","85
"
"39
","24
"
"28
","9
"
"30
","29
"
"98
","17
"
"10
","36
"
"166
","172
"
"82
","302
"
"2
","331
"
"15
","179
"
"65
","110
"
"55
","71
"
"173
","10
"
"138
","49
"
"0
","39
"
"23
","19
"
"246
","38
"
"122
","76
"
"44
","179
"
"177
","210
"
"149
","66
"
"35
","22
"
"115
","55
"
"38
","51
"
"61
","30
"
"102
","14
"
"113
","14
"
"59
","178
"
"220
","310
"
"212
","304
"
"171
","403
"
"126
","510
"
"16
","295
"
"3
","76
"
"41
","165
"
"86
","434
"
"0
","453
"
"1
","344
"
"127
","340
"
"225
","234
"
"311
","56
"
"104
","10
"
"49
","36
"
"100
","44
"
"115
","28
"
"14
","16
"
"33
","59
"
"62
","52
"
"172
","25
"
"61
","153
"
"44
","288
"
"2
","220
"
"1
","130
"
"73
","37
"
"1
","120
"
"186
","178
"
"2
","97
"
"150
","80
"
"177
","10
"
"193
","25
"
"465
","10
"
"226
","15
"
"96
","68
"
"210
","108
"
"61
","188
"
"20
","138
"
"63
","77
"
"12
","88
"
"51
","74
"
"73
","134
"
"0
","42
"
"5
","71
"
"29
","203
"
"47
","119
"
"10
","118
"
"4
","66
"
"13
","38
"
"18
","40
"
"8
","12
"
"55
","51
"
"105
","151
"
"40
","223
"
"79
","307
"
"52
","310
"
"18
","198
"
"197
","98
"
"249
","23
"
"149
","12
"
"87
","46
"
"275
","53
"
"146
","106
"
"307
","206
"
"292
","198
"
"82
","188
"
"37
","213
"
"382
","215
"
"201
","201
"
"97
","209
"
"62
","194
"
"135
","49
"
"117
","12
"
"120
","62
"
"244
","129
"
"5
","175
"
"40
","197
"
"0
","197
"
"156
","198
"
"45
","161
"
"27
","135
"
"0
","130
"
"88
","118
"
"50
","75
"
"22
","8
"
"33
","58
"
"73
","96
"
"24
","59
"
"21
","201
"
"47
","306
"
"26
","255
"
"51
","139
"
"40
","78
"
"35
","44
"
"68
","15
"
"86
","65
"
"41
","77
"
"0
","30
"
"0
","23
"
"129
","88
"
"216
","42
"
"106
","46
"
"108
","15
"
"220
","71
"
"92
","99
"
"325
","66
"
"402
","101
"
"230
","97
"
"91
","161
"
"147
","288
"
"290
","409
"
"215
","527
"
"119
","147
"
"20
","165
"
"141
","307
"
"457
","455
"
"259
","534
"
"115
","354
"
"157
","96
"
"30
","38
"
"100
","12
"
"175
","136
"
"83
","231
"
"0
","283
"
"232
","308
"
"279
","14
"
"71
","35
"
"216
","53
"
"249
","219
"
"375
","433
"
"32
","563
"
"27
","486
"
"174
","317
"
"115
","130
"
"82
","115
"
"2
","85
"
"103
","127
"
"331
","258
"
"45
","208
"
"49
","171
"
"6
","183
"
"49
","259
"
"290
","211
"
"15
","38
"
"143
","13
"
"84
","95
"
"42
","246
"
"36
","262
"
"55
","180
"
"44
","33
"
"248
","8
"
"260
","81
"
"109
","225
"
"163
","263
"
"209
","504
"
"166
","402
"
"101
","263
"
"69
","99
"
"26
","85
"
"144
","195
"
"369
","31
"
"216
","49
"
"45
","111
"
"77
","42
"
"184
","31
"
"88
","11
"
"229
","39
"
"200
","72
"
"163
","149
"
"250
","209
"
"427
","116
"
"248
","131
"
"174
","107
"
"392
","42
"
"349
","54
"
"259
","40
"
"222
","101
"
"3
","125
"
"37
","43
"
"64
","115
"
"71
","146
"
"142
","131
"
"1
","139
"
"94
","89
"
"313
","123
"
"233
","25
"
"73
","165
"
"233
","181
"
"33
","59
"
"202
","42
"
"74
","9
"
"71
","103
"
"210
","208
"
"2
","127
"
"1
","11
"
"12
","39
"
"127
","55
"
"79
","39
"
"44
","257
"
"11
","200
"
"142
","107
"
"54
","303
"
"123
","322
"
"8
","222
"
"17
","146
"
"138
","77
"
"85
","267
"
"100
","328
"
"118
","231
"
"99
","103
"
"71
","33
"
"26
","59
"
"18
","8
"
"255
","231
"
"179
","230
"
"126
","33
"
"5
","80
"
"61
","160
"
"127
","344
"
"133
","423
"
"271
","328
"
"92
","299
"
"366
","192
"
"25
","235
"
"189
","447
"
"466
","252
"
"212
","45
"
"215
","142
"
"117
","146
"
"293
","155
"
"66
","110
"
"18
","107
"
"8
","416
"
"0
","485
"
"16
","380
"
"86
","263
"
"185
","119
"
"96
","24
"
"250
","11
"
"58
","30
"
"223
","76
"
"329
","127
"
"117
","185
"
"75
","166
"
"0
","268
"
"23
","343
"
"90
","534
"
"151
","339
"
"67
","34
"
"130
","25
"
"73
","19
"
"18
","17
"
"0
","11
"
"0
","71
"
"156
","39
"
"152
","79
"
"103
","44
"
"23
","120
"
"124
","281
"
"72
","297
"
"64
","195
"
"16
","119
"
"8
","23
"
"95
","13
"
"34
","107
"
"30
","81
"
"145
","27
"
"158
","21
"
"241
","59
"
"135
","78
"
"97
","26
"
"98
","165
"
"164
","350
"
"242
","140
"
"125
","20
"
"4
","91
"
"101
","78
"
"219
","83
"
"147
","86
"
"85
","16
"
"95
","16
"
"61
","110
"
"177
","30
"
"19
","180
"
"31
","357
"
"21
","319
"
"28
","210
"
"61
","69
"
"101
","31
"
"27
","20
"
"77
","104
"
"79
","142
"
"93
","23
"
"71
","24
"
"119
","31
"
"154
","26
"
"192
","93
"
"486
","69
"
"254
","57
"
"88
","146
"
"196
","124
"
"485
","47
"
"362
","61
"
