CH1,CH2
39,341
56,479
298,543
306,409
475,560
402,568
203,154
104,16
78,42
36,132
60,221
51,160
189,466
204,517
361,771
401,562
273,278
188,154
92,109
42,108
50,9
136,373
255,495
250,469
359,536
289,321
107,228
93,42
76,140
61,92
50,20
257,298
304,143
290,308
420,309
258,209
161,135
80,89
77,43
41,81
74,106
307,144
305,123
441,495
378,457
223,283
82,268
111,241
47,94
44,55
84,77
295,276
337,340
495,689
352,540
189,222
165,251
130,188
47,19
89,49
101,321
213,429
219,338
357,547
298,350
120,122
127,250
74,57
34,129
131,159
275,482
328,477
284,187
399,91
235,171
86,70
43,112
45,252
36,175
40,76
174,281
161,378
245,812
365,896
163,729
147,483
177,241
122,308
88,496
69,434
257,605
257,593
477,694
397,399
229,165
110,61
80,54
140,298
69,416
47,253
251,129
269,174
449,426
364,283
152,94
96,80
80,147
90,29
107,132
59,389
185,304
188,192
365,357
289,388
174,316
168,174
93,55
70,58
40,73
211,409
156,321
159,469
375,438
289,339
212,192
152,24
74,89
41,75
94,19
335,404
251,411
476,598
395,363
220,248
132,147
99,124
27,28
55,26
42,52
183,235
172,208
322,436
290,522
242,649
184,655
50,212
40,75
38,403
55,608
217,462
222,279
403,349
350,31
226,40
147,161
40,424
55,388
84,11
219,475
235,367
244,584
362,618
230,357
119,236
111,187
43,125
38,57
73,163
252,357
237,209
334,345
383,565
245,502
142,500
79,305
42,34
39,128
48,18
169,208
157,335
397,741
396,570
265,388
145,267
148,53
50,213
43,272
65,78
200,134
220,195
381,535
377,536
252,272
177,194
78,98
60,74
41,105
73,242
211,275
250,397
439,522
298,380
113,271
64,52
40,27
48,55
60,12
220,211
208,254
229,616
403,569
333,451
170,255
67,60
47,40
57,93
51,64
235,351
234,327
427,623
377,511
187,152
100,91
43,144
35,52
87,108
100,167
259,82
213,98
386,644
360,749
174,439
133,51
137,83
41,79
67,46
186,113
272,189
250,380
401,733
305,491
105,254
66,272
37,52
50,219
99,257
244,460
281,397
205,582
445,487
308,39
146,163
155,85
41,30
43,111
102,199
259,173
224,278
268,551
376,569
286,438
159,292
49,185
46,19
36,162
36,212
271,503
196,361
433,586
426,500
287,143
175,45
95,35
61,62
91,104
121,68
235,161
246,238
374,484
319,458
171,223
124,170
63,98
50,49
86,122
131,231
249,170
214,401
422,710
348,541
232,331
147,114
73,81
48,33
45,160
211,488
225,267
266,525
402,469
259,277
85,168
47,126
34,116
46,64
37,351
217,319
205,40
378,457
353,590
203,439
148,297
94,77
32,68
33,25
51,136
185,416
160,356
428,624
386,438
187,40
101,57
107,116
107,192
38,40
179,185
318,284
241,358
436,685
343,495
120,373
121,274
100,207
41,186
71,32
182,320
212,359
223,501
316,445
315,357
143,298
111,118
65,35
44,38
101,61
268,275
232,266
307,510
393,423
283,184
181,153
135,155
93,57
49,33
33,56
209,361
235,377
496,512
475,413
268,105
150,22
88,84
48,151
105,131
130,27
195,51
246,152
431,542
327,407
203,272
192,252
177,147
51,62
134,57
146,440
240,593
255,585
422,511
321,290
169,121
93,89
55,60
56,134
138,213
270,464
248,355
262,623
524,456
361,284
177,191
107,160
77,144
42,41
52,58
268,328
271,319
426,594
449,494
414,219
147,141
67,151
58,56
38,97
57,24
235,309
250,355
487,685
397,533
202,230
139,139
159,135
101,117
42,31
96,291
235,389
222,433
394,603
346,398
142,94
105,39
68,15
41,41
124,17
204,434
183,425
210,529
396,542
349,528
197,330
123,114
86,73
46,205
48,56
250,313
231,304
311,652
332,535
233,260
119,193
93,116
59,207
39,183
30,64
240,536
281,542
532,802
467,705
261,363
118,252
41,138
46,273
98,605
90,344
250,260
255,324
419,527
367,377
168,217
119,119
50,47
45,35
60,180
136,136
282,368
208,399
404,741
321,633
174,403
177,126
98,85
64,153
95,66
265,133
270,138
337,505
412,507
238,362
107,225
66,149
54,65
44,31
105,17
308,366
239,320
403,585
338,389
222,262
130,285
66,179
39,66
51,29
34,68
160,264
180,290
408,608
418,595
200,423
93,215
103,20
38,154
36,333
83,498
244,337
195,306
357,452
315,296
208,185
123,59
133,119
55,51
72,142
214,165
236,302
293,417
426,397
139,301
69,376
111,385
67,230
47,24
136,235
230,129
164,364
192,826
315,650
269,462
222,226
108,150
42,46
41,34
42,24
268,196
255,258
432,650
357,729
163,346
139,138
61,35
27,65
147,46
83,89
123,417
277,297
524,374
437,811
169,799
49,698
51,558
58,356
56,93
134,162
243,332
236,605
414,846
304,618
95,269
132,55
57,70
27,100
152,126
319,315
243,130
177,406
346,413
230,357
191,289
106,245
84,179
65,113
57,65
279,273
214,359
393,648
388,618
325,403
188,264
66,99
41,64
27,162
111,258
284,352
205,221
427,507
468,355
218,140
139,200
110,379
55,256
52,30
104,152
282,314
172,455
373,887
402,767
207,279
156,83
65,178
41,137
35,229
138,71
165,350
224,624
371,720
368,600
216,393
194,233
66,54
63,66
70,144
245,665
263,674
340,686
419,417
284,109
237,31
93,88
39,34
56,124
38,90
266,269
223,299
455,608
389,515
315,113
205,102
87,28
89,130
112,140
140,37
236,100
256,343
464,567
400,499
201,314
119,263
47,149
49,38
125,173
132,408
181,264
222,399
436,703
284,493
149,262
105,86
65,25
22,28
44,55
189,396
204,378
302,620
424,529
306,299
146,175
82,265
48,88
93,36
109,57
192,260
285,384
437,604
359,416
217,224
104,151
57,210
41,195
63,153
57,77
217,383
203,305
464,527
357,479
137,260
118,190
180,125
43,218
48,26
68,336
155,544
273,547
406,542
355,446
142,390
144,178
126,69
38,113
92,43
130,329
184,436
279,596
550,575
363,285
157,78
147,112
91,77
49,108
64,35
212,197
220,225
398,668
445,375
260,47
81,150
61,209
35,157
51,66
41,13
218,251
204,285
415,539
378,560
247,308
205,158
115,152
49,45
83,89
145,240
271,405
234,356
461,704
391,449
257,339
118,283
68,116
42,129
43,361
168,620
281,391
302,144
395,365
381,240
137,136
143,53
57,140
26,91
145,76
242,395
269,281
224,448
393,421
308,337
192,37
74,78
38,321
49,184
49,114
308,263
261,597
418,780
400,522
304,209
186,60
53,29
52,101
28,35
56,133
288,450
302,307
472,332
395,295
150,54
103,26
60,52
42,239
56,144
79,58
223,291
175,300
360,545
384,406
226,269
85,189
49,164
46,197
68,73
200,205
258,192
267,272
366,526
261,698
103,587
54,304
20,151
54,41
41,15
198,403
270,358
303,725
388,666
222,409
176,264
98,180
52,25
41,42
61,165
307,455
282,422
434,571
271,520
199,256
158,151
105,110
39,95
51,38
61,130
204,292
212,316
384,493
347,264
180,26
130,246
63,443
72,369
49,18
108,304
278,428
294,474
441,694
280,483
149,192
122,54
113,21
40,43
58,17
235,139
210,122
273,487
391,648
269,631
159,381
130,346
