CH1,CH2
26,70
39,45
92,32
94,27
103,40
115,18
48,14
40,87
151,117
159,47
101,45
70,56
270,391
341,539
328,515
267,461
218,427
161,256
73,232
32,214
204,116
206,134
82,152
42,133
56,70
114,277
138,307
199,580
304,591
237,481
136,404
125,237
72,165
68,149
44,109
46,41
106,47
259,341
274,374
126,320
283,429
280,376
133,157
92,176
81,171
62,183
58,96
75,37
52,45
60,37
61,208
113,278
117,301
305,498
274,494
231,270
104,220
140,102
80,19
65,33
83,47
113,39
114,157
96,222
146,232
237,617
397,623
319,338
194,291
153,192
102,225
25,190
36,100
89,130
206,49
241,195
188,109
191,520
366,824
314,826
199,543
102,429
48,394
37,255
33,103
63,82
72,207
146,469
132,466
207,528
314,623
300,585
129,331
120,229
63,66
150,25
154,45
65,90
43,35
18,127
77,259
113,156
118,228
333,455
330,358
126,190
99,190
136,149
172,37
138,56
75,58
33,30
140,185
220,216
179,269
232,564
339,528
269,358
85,266
70,129
58,84
57,42
32,73
45,74
44,42
108,304
182,305
161,226
188,538
248,385
245,212
98,100
43,145
133,119
29,23
65,37
40,54
79,42
92,82
95,23
33,79
49,253
187,593
224,499
208,361
160,126
150,150
125,185
87,242
50,69
35,56
90,284
173,226
87,273
203,546
257,560
235,421
127,239
162,174
156,125
92,64
48,55
58,33
34,112
101,346
186,247
169,474
377,540
406,486
302,198
232,336
115,210
58,191
84,117
67,27
90,170
237,392
258,264
143,306
270,543
180,480
167,265
155,163
226,53
282,97
117,112
69,123
60,74
169,109
234,201
178,240
257,515
338,523
262,405
172,404
112,384
67,333
12,197
49,46
50,37
42,158
93,360
90,375
47,369
158,683
185,629
241,420
215,273
344,200
296,116
156,17
58,60
72,109
65,296
132,375
98,349
208,563
367,555
341,523
232,371
191,211
111,102
73,18
72,87
48,30
37,35
41,229
60,184
63,211
115,569
256,450
250,289
70,279
83,334
141,304
151,194
197,85
99,61
34,45
81,123
176,222
161,374
332,764
355,678
239,340
114,226
118,123
121,107
97,78
45,62
49,24
44,210
131,278
99,256
140,481
254,442
252,418
149,271
54,239
31,171
42,112
46,112
90,79
166,162
77,256
106,142
114,148
237,486
183,449
128,319
89,358
33,256
90,125
79,52
95,75
41,21
59,80
103,296
98,317
189,197
419,452
253,457
194,413
142,284
79,194
130,123
74,36
74,37
34,107
55,310
201,362
242,423
159,703
280,596
231,444
163,156
143,225
147,177
50,32
38,84
39,231
39,246
57,305
65,258
83,460
326,845
346,625
259,361
175,225
48,91
38,32
14,77
71,123
93,201
72,166
175,224
163,298
176,489
325,645
199,548
63,284
93,73
125,52
47,46
44,26
60,77
72,43
53,38
107,148
98,252
86,278
217,553
232,547
171,310
162,109
34,126
148,75
118,33
89,115
39,22
80,47
155,183
207,216
106,291
340,473
297,447
181,390
130,386
123,292
144,154
125,67
95,55
45,178
119,458
143,372
232,288
408,431
272,397
226,263
115,246
135,188
56,93
39,83
71,106
41,111
116,136
283,361
321,429
250,661
372,622
189,426
65,253
88,258
47,170
65,123
55,85
87,120
62,124
112,307
118,249
60,293
222,577
193,415
132,259
120,228
129,116
30,36
84,29
116,44
37,156
44,267
40,393
33,366
34,248
207,354
231,123
155,70
112,152
171,205
52,265
30,136
52,45
73,26
60,218
32,364
37,431
50,681
166,634
237,461
196,250
259,215
288,166
217,51
138,212
