CH1,CH2
514,109
346,55
162,69
131,45
51,52
147,83
140,26
249,168
203,282
441,559
479,293
333,58
166,153
55,253
68,191
81,169
99,32
370,137
318,88
309,299
206,357
196,261
69,489
61,785
76,876
71,213
110,519
250,739
171,749
420,898
393,637
238,366
183,68
117,152
62,224
76,290
187,401
267,335
321,507
411,458
238,247
97,81
117,36
88,56
35,66
124,53
258,314
219,327
359,595
400,453
282,306
161,217
121,222
81,117
49,58
64,161
188,543
258,486
422,772
336,517
172,209
146,36
133,131
55,210
105,283
196,292
311,320
273,405
474,531
276,164
125,246
63,251
206,143
75,233
97,65
191,235
251,247
195,578
351,734
320,416
195,82
76,208
135,197
106,266
125,260
290,380
195,107
344,20
424,34
185,270
123,412
127,335
48,181
55,138
167,92
336,478
253,383
395,721
318,426
117,157
99,52
57,62
63,57
52,63
99,33
227,192
133,113
440,527
387,484
204,325
135,298
117,208
52,96
78,44
84,203
326,356
200,418
240,411
175,344
234,279
203,85
70,65
43,56
73,146
172,418
182,317
226,470
428,475
287,375
162,309
54,131
125,140
143,78
133,328
202,538
190,352
248,595
400,384
317,179
199,105
147,173
89,255
38,70
81,280
323,528
323,501
470,705
406,571
245,209
184,159
131,406
51,405
76,173
107,76
207,205
274,257
333,404
298,239
219,134
72,169
110,52
116,43
42,39
134,51
181,235
189,639
405,825
312,582
183,373
159,225
77,62
73,254
39,366
148,443
257,246
229,462
276,404
229,257
154,154
66,98
87,73
134,43
66,209
140,428
220,387
368,600
416,507
189,178
166,107
68,58
103,71
134,45
132,131
279,252
257,236
649,560
486,323
185,122
134,187
70,173
61,46
96,62
91,249
235,153
293,231
396,538
340,444
140,449
143,283
177,106
65,100
50,46
199,399
210,649
249,740
400,374
290,127
141,47
153,80
56,122
65,61
113,117
237,262
226,62
348,199
337,206
309,249
182,215
125,251
52,113
87,116
62,37
215,235
196,292
407,541
338,567
205,251
154,143
71,67
51,52
49,143
79,210
201,303
256,327
409,637
297,354
149,110
124,129
120,60
80,82
41,226
159,245
266,99
264,230
395,424
198,323
40,174
137,256
45,101
109,166
63,92
61,449
38,488
183,700
458,591
339,325
209,249
110,61
48,207
39,98
95,34
259,176
256,249
367,540
364,540
239,447
71,319
63,229
43,39
73,118
89,278
250,461
247,496
426,618
346,383
208,141
121,39
108,33
50,77
62,34
162,249
262,513
315,578
408,600
320,196
135,50
180,61
78,71
52,142
68,182
286,408
433,435
336,523
352,262
266,37
142,237
124,256
87,109
42,48
48,51
187,235
199,372
291,806
362,594
284,136
168,39
118,60
75,28
43,47
83,30
281,300
264,387
371,677
338,504
242,280
233,176
162,45
162,32
102,93
61,192
411,287
353,268
397,464
375,316
208,145
202,117
139,26
42,127
123,197
254,443
274,437
298,472
443,144
322,294
81,359
51,63
52,406
56,191
89,27
190,156
194,144
260,459
319,476
187,254
