CH1,CH2
182,279
144,219
74,220
76,153
69,123
109,44
89,96
84,110
215,197
400,282
373,340
219,377
230,362
361,495
424,382
372,372
235,280
116,175
61,245
68,230
108,281
181,176
62,127
64,24
126,138
222,354
219,486
316,554
330,563
317,571
417,400
351,60
194,208
156,411
44,199
92,247
148,286
176,406
70,249
165,261
461,237
430,63
453,137
253,81
192,52
87,59
141,37
136,21
43,24
130,52
250,146
230,407
236,749
390,802
392,636
311,340
263,319
197,84
165,506
50,662
42,684
131,293
263,116
258,60
313,38
514,270
405,288
199,201
63,172
50,135
44,221
61,176
43,228
17,33
63,179
206,262
272,335
231,616
336,636
249,420
188,307
70,333
40,228
32,159
76,164
47,55
83,30
44,483
149,643
207,720
304,752
362,494
327,207
158,133
109,44
69,36
56,38
36,40
71,44
40,60
106,402
246,249
366,211
589,543
619,524
443,274
100,128
37,193
48,81
38,29
51,166
81,115
150,76
348,44
351,40
394,154
507,530
264,469
206,363
139,315
110,235
37,86
46,122
51,35
65,142
40,337
250,457
236,423
330,770
429,676
286,419
229,228
213,25
133,40
105,44
50,91
46,63
61,75
185,233
332,361
193,402
300,555
287,549
282,493
130,210
84,134
84,122
56,155
46,127
74,38
33,316
94,597
134,566
191,825
401,593
347,157
229,118
241,162
131,170
59,241
70,200
73,56
62,16
168,115
261,162
212,181
376,529
376,536
343,375
124,369
147,276
136,447
40,179
117,198
215,361
284,501
210,336
176,122
407,337
444,380
330,235
101,169
46,93
68,161
108,172
51,155
145,62
159,250
280,192
176,193
356,570
475,479
336,335
117,228
143,253
78,77
38,32
40,63
68,111
113,309
332,296
283,133
271,317
328,581
144,633
123,447
71,354
164,181
142,131
75,88
65,32
56,129
234,240
266,252
163,265
339,547
316,698
173,390
72,281
56,259
78,310
45,199
74,51
64,102
40,193
163,365
182,535
244,866
388,847
328,699
212,436
197,212
196,55
150,199
41,166
98,151
126,287
261,634
181,498
149,728
343,806
292,527
221,58
170,34
229,116
123,140
47,96
51,134
86,32
143,70
232,203
226,375
261,717
427,620
350,463
259,262
218,67
20,49
57,64
39,59
36,72
33,62
127,205
201,105
250,170
258,585
348,672
512,498
275,197
68,47
37,42
38,24
41,60
34,106
105,48
216,117
244,291
220,398
335,694
378,478
362,221
233,222
160,88
100,59
76,171
63,120
140,32
171,221
206,314
261,259
323,497
339,489
289,305
185,279
180,261
70,173
45,61
50,75
103,77
116,236
204,340
118,167
242,423
487,412
407,240
301,135
179,213
84,223
75,58
65,37
46,173
46,146
116,248
145,110
157,26
284,291
527,272
313,143
172,390
247,575
232,390
68,193
35,163
100,94
78,505
341,596
297,508
218,753
361,645
299,446
253,249
181,204
72,89
93,89
18,127
83,137
117,415
204,478
169,434
210,518
384,529
369,433
230,153
111,77
147,39
129,36
75,63
60,86
72,55
45,56
219,233
210,342
310,646
523,519
434,337
319,297
208,242
146,60
112,69
39,62
45,61
60,49
163,212
290,397
398,671
444,880
364,479
274,150
150,66
130,49
75,56
38,99
56,111
58,222
36,208
203,355
214,317
182,196
433,369
450,329
342,204
214,344
73,205
74,70
49,36
81,47
54,62
58,160
225,217
209,184
173,439
400,454
331,357
178,296
163,418
50,274
13,59
72,63
103,42
174,26
265,224
256,118
95,106
158,610
389,514
379,321
200,328
41,335
60,429
35,273
42,140
73,29
87,196
244,301
299,403
232,576
310,687
253,367
180,154
166,344
182,347
67,266
46,111
63,100
98,163
148,360
254,241
237,419
570,818
523,623
292,203
128,125
83,109
128,145
68,113
41,26
76,42
187,300
433,267
267,314
299,732
267,679
224,647
102,535
94,259
41,45
48,38
79,72
50,164
67,196
174,649
197,605
295,531
420,701
365,487
246,192
188,134
136,75
102,43
62,26
93,71
102,13
49,169
188,422
126,572
149,746
314,478
168,325
178,95
272,237
316,146
206,54
70,116
132,212
209,259
300,359
281,389
290,508
480,334
306,160
201,52
110,59
37,41
31,54
83,32
49,62
59,114
41,219
226,446
268,317
319,406
434,208
320,101
181,78
80,36
64,38
61,113
51,74
41,37
24,45
86,169
257,191
255,34
257,357
404,646
335,576
266,520
237,372
51,89
95,28
39,38
41,92
93,62
35,43
190,213
337,208
220,397
411,513
334,398
227,323
196,396
66,288
77,170
48,67
143,59
108,216
173,479
204,417
244,450
395,688
350,537
292,456
243,351
194,64
123,69
55,64
112,52
108,16
52,270
191,489
222,567
212,855
484,645
318,321
80,35
44,19
52,86
48,32
39,31
42,108
41,21
54,215
130,391
168,379
172,480
421,460
416,286
307,101
178,183
56,250
108,219
54,112
45,44
79,36
240,485
269,369
169,388
332,749
383,880
319,465
148,176
90,48
64,33
75,38
47,85
39,88
80,111
277,251
245,252
166,321
358,676
304,579
214,356
233,309
191,152
127,56
38,36
42,23
54,54
51,127
213,223
177,289
241,543
352,409
281,304
180,203
72,277
49,370
42,293
56,439
94,288
65,148
106,335
102,475
116,494
345,780
340,727
190,574
188,415
295,219
360,106
137,30
197,152
410,132
329,277
135,201
59,334
257,682
295,653
222,572
137,433
187,272
141,39
45,205
45,209
37,121
122,236
197,265
220,427
411,644
399,526
318,282
237,107
153,44
153,69
101,49
81,43
95,41
105,56
215,151
203,106
257,531
481,678
401,599
174,274
78,216
63,111
68,48
35,42
63,91
127,124
188,376
302,284
273,273
419,652
