CH1,CH2
"0
","132
"
"0
","133
"
"0
","120
"
"0
","110
"
"0
","98
"
"0
","112
"
"0
","84
"
"0
","76
"
"0
","73
"
"0
","63
"
"0
","57
"
"0
","48
"
"0
","28
"
"0
","13
"
"0
","11
"
"0
","22
"
"0
","38
"
"0
","51
"
"5
","79
"
"0
","92
"
"0
","116
"
"0
","125
"
"1
","121
"
"4
","116
"
"7
","86
"
"5
","98
"
"0
","89
"
"0
","88
"
"0
","74
"
"0
","71
"
"0
","60
"
"0
","55
"
"0
","33
"
"2
","25
"
"5
","11
"
"0
","31
"
"0
","43
"
"0
","64
"
"3
","97
"
"0
","142
"
"0
","137
"
"4
","125
"
"4
","118
"
"1
","106
"
"0
","94
"
"0
","75
"
"0
","76
"
"0
","64
"
"0
","59
"
"0
","37
"
"0
","12
"
"0
","16
"
"0
","20
"
"0
","50
"
"3
","93
"
"0
","119
"
"0
","117
"
"3
","119
"
"4
","108
"
"9
","84
"
"0
","89
"
"0
","79
"
"0
","73
"
"0
","58
"
"0
","41
"
"0
","49
"
"13
","11
"
"0
","19
"
"0
","39
"
"0
","58
"
"5
","95
"
"1
","120
"
"5
","138
"
"2
","134
"
"0
","122
"
"0
","111
"
"0
","98
"
"0
","85
"
"0
","82
"
"0
","72
"
"0
","69
"
"0
","45
"
"0
","18
"
"0
","11
"
"0
","30
"
"0
","34
"
"1
","84
"
"0
","109
"
"0
","128
"
"1
","120
"
"2
","112
"
"1
","94
"
"8
","72
"
"0
","73
"
"0
","73
"
"2
","61
"
"0
","56
"
"0
","36
"
"2
","31
"
"4
","18
"
"0
","32
"
"0
","48
"
"0
","81
"
"0
","122
"
"0
","134
"
"10
","149
"
"2
","121
"
"0
","105
"
"0
","94
"
"0
","88
"
"0
","75
"
"0
","74
"
"0
","60
"
"0
","48
"
"0
","27
"
"0
","11
"
"0
","23
"
"0
","44
"
"0
","63
"
"0
","105
"
"0
","126
"
"0
","124
"
"1
","112
"
"0
","100
"
"0
","98
"
"1
","70
"
"0
","73
"
"0
","62
"
"0
","55
"
"0
","40
"
"0
","12
"
"0
","29
"
"4
","30
"
"0
","51
"
"0
","79
"
"0
","115
"
"0
","131
"
"0
","133
"
"0
","139
"
"3
","106
"
"0
","98
"
"0
","95
"
"0
","83
"
"0
","73
"
"0
","55
"
"0
","50
"
"0
","27
"
"0
","12
"
"0
","18
"
"0
","38
"
"0
","68
"
"0
","89
"
"0
","116
"
"0
","128
"
"3
","116
"
"3
","101
"
"0
","88
"
"0
","79
"
"2
","71
"
"0
","57
"
"0
","55
"
"0
","49
"
"0
","25
"
"3
","11
"
"0
","30
"
"3
","54
"
"0
","64
"
"4
","97
"
"0
","126
"
"0
","143
"
"0
","128
"
"4
","137
"
"0
","106
"
"0
","90
"
"0
","83
"
"0
","76
"
"0
","64
"
"0
","60
"
"0
","40
"
"0
","14
"
"0
","13
"
"0
","34
"
"0
","48
"
"5
","85
"
"0
","129
"
"1
","127
"
"4
","118
"
"5
","105
"
"2
","83
"
"0
","86
"
"0
","74
"
"0
","66
"
"0
","61
"
"0
","46
"
"0
","35
"
"0
","11
"
"0
","15
"
"0
","35
"
"1
","56
"
"6
","91
"
"0
","120
"
"0
","137
"
"0
","135
"
"0
","127
"
"6
","127
"
"0
","94
"
"0
","81
"
"0
","77
"
"0
","67
"
"0
","56
"
"0
","46
"
"0
","32
"
"0
","13
"
"0
","29
"
"0
","45
"
"0
","79
"
"0
","108
"
"0
","145
"
"12
","119
"
"5
","106
"
"2
","94
"
"0
","85
"
"0
","81
"
"0
","69
"
"2
","61
"
"2
","51
"
"0
","42
"
"0
","14
"
"0
","16
"
"0
","36
"
"0
","52
"
"16
","96
"
"3
","119
"
"0
","135
"
"0
","134
"
"0
","126
"
"0
","109
"
"0
","112
"
"0
","83
"
"0
","72
"
"0
","66
"
"0
","58
"
"0
","47
"
"4
","30
"
"0
","14
"
"0
","28
"
"0
","44
"
"3
","80
"
"0
","109
"
"0
","127
"
"2
","105
"
"6
","109
"
"1
","98
"
"0
","86
"
"0
","68
"
"0
","75
"
"0
","64
"
"4
","54
"
"0
","41
"
"0
","13
"
"2
","14
"
"0
","31
"
"0
","49
"
"0
","79
"
"4
","121
"
"0
","133
"
"0
","131
"
"1
","133
"
"0
","111
"
"0
","97
"
"0
","108
"
"0
","75
"
"0
","71
"
"0
","60
"
"0
","46
"
"1
","31
"
"0
","26
"
"0
","19
"
"0
","43
"
"0
","72
"
"0
","96
"
"0
","121
"
"3
","125
"
"4
","98
"
"7
","104
"
"0
","92
"
"0
","81
"
"0
","73
"
"0
","58
"
"0
","58
"
"1
","44
"
"0
","23
"
"5
","11
"
"0
","21
"
"0
","42
"
"0
","66
"
"3
","99
"
"5
","144
"
"0
","146
"
"2
","126
"
"1
","118
"
"0
","107
"
"0
","91
"
"8
","97
"
"0
","73
"
"0
","64
"
"0
","55
"
"0
","35
"
"0
","13
"
"0
","16
"
"0
","18
"
"0
","55
"
"5
","90
"
"0
","114
"
"0
","126
"
"4
","122
"
"3
","95
"
"10
","89
"
"0
","88
"
"0
","78
"
"0
","66
"
"0
","61
"
"1
","47
"
"2
","19
"
"6
","11
"
"0
","18
"
"0
","33
"
"0
","53
"
"6
","95
"
"0
","125
"
"2
","157
"
"0
","130
"
"1
","118
"
"3
","106
"
"0
","97
"
"0
","90
"
"0
","75
"
"0
","68
"
"0
","57
"
"0
","43
"
"6
","24
"
"0
","11
"
"0
","26
"
"5
","26
"
"0
","77
"
"0
","100
"
"0
","124
"
"4
","122
"
"3
","108
"
"2
","95
"
"5
","89
"
"0
","83
"
"0
","72
"
"0
","60
"
"0
","54
"
"0
","43
"
"0
","13
"
"5
","12
"
"0
","32
"
"0
","47
"
"0
","80
"
"0
","111
"
"0
","134
"
"0
","151
"
"1
","122
"
"0
","112
"
"0
","99
"
"0
","89
"
"0
","80
"
"0
","76
"
"0
","62
"
"0
","55
"
"0
","29
"
"0
","11
"
"0
","16
"
"0
","35
"
"0
","49
"
"0
","100
"
"0
","124
"
"0
","124
"
"2
","111
"
"2
","101
"
"3
","88
"
"0
","83
"
"0
","74
"
"1
","55
"
"0
","56
"
"0
","43
"
"0
","22
"
"0
","25
"
"0
","30
"
"0
","42
"
"0
","66
"
"1
","104
"
"0
","130
"
"0
","134
"
"0
","134
"
"1
","113
"
"0
","98
"
"0
","89
"
"0
","79
"
"0
","78
"
"0
","68
"
"0
","56
"
"0
","36
"
"0
","12
"
"0
","20
"
"0
","39
"
"0
","59
"
"2
","95
"
"1
","118
"
"0
","122
"
"0
","117
"
"0
","105
"
"0
","81
"
"0
","103
"
"1
","70
"
"0
","69
"
"0
","58
"
"0
","48
"
"0
","31
"
"6
","11
"
"0
","40
"
"0
","42
"
"0
","67
"
"8
","95
"
"5
","123
"
"0
","136
"
"0
","132
"
"0
","139
"
"1
","105
"
"0
","89
"
"0
","82
"
"0
","71
"
"0
","65
"
"0
","65
"
"0
","39
"
"2
","16
"
"0
","14
"
"0
","34
"
"0
","45
"
"6
","87
"
"0
","105
"
"0
","128
"
"3
","121
"
"1
","106
"
"0
","94
"
"0
","83
"
"0
","70
"
"0
","69
"
"1
","63
"
"0
","54
"
"0
","34
"
"3
","12
"
"0
","16
"
"0
","31
"
"2
","62
"
"4
","85
"
"0
","127
"
"0
","132
"
"0
","134
"
"0
","123
"
"1
","108
"
"0
","96
"
"0
","96
"
"0
","79
"
"0
","71
"
"0
","61
"
"0
","39
"
"0
","28
"
"0
","10
"
"0
","23
"
"0
","44
"
"0
","74
"
"0
","102
"
"0
","112
"
"3
","128
"
"1
","105
"
"0
","102
"
"0
","88
"
"0
","78
"
"0
","65
"
"4
","42
"
"0
","51
"
"0
","40
"
"0
","17
"
"1
","14
"
"0
","33
"
"0
","32
"
"5
","80
"
"0
","107
"
"0
","130
"
"0
","135
"
"0
","126
"
"0
","113
"
"0
","108
"
"0
","91
"
"0
","78
"
"0
","70
"
"0
","60
"
"0
","49
"
"4
","32
"
"0
","12
"
"0
","20
"
"0
","37
"
"0
","69
"
"0
","103
"
"0
","124
"
"4
","106
"
"3
","115
"
"1
","101
"
"1
","86
"
"0
","79
"
"0
","74
"
"0
","81
"
"2
","56
"
"0
","40
"
"0
","21
"
"0
","13
"
"0
","34
"
"0
","47
"
"0
","78
"
"1
","108
"
"0
","131
"
"0
","137
"
"0
","128
"
"0
","116
"
"0
","101
"
"0
","91
"
"0
","76
"
"0
","72
"
"0
","62
"
"0
","50
"
