CH1,CH2
110,26
270,21
183,21
246,132
130,80
109,120
227,63
136,64
174,103
229,23
321,23
126,24
81,21
153,72
106,22
151,23
159,23
103,59
17,128
53,53
182,55
129,143
325,99
164,35
176,132
180,55
58,69
105,27
116,78
156,40
35,53
275,95
128,51
252,38
122,25
224,22
79,70
99,42
107,29
132,24
110,23
205,23
191,46
327,25
634,56
218,68
713,135
350,72
175,30
79,132
36,106
90,111
317,83
252,24
57,37
297,75
115,27
159,99
356,28
179,34
184,25
241,92
40,84
105,22
158,28
161,80
318,30
92,39
158,22
108,39
233,33
248,136
340,56
121,37
270,64
145,76
205,53
137,92
215,83
193,82
202,30
103,48
434,76
369,23
266,27
216,22
249,30
163,35
164,21
132,28
257,46
116,39
78,20
94,88
424,50
274,24
259,25
203,40
17,23
145,28
78,30
148,22
20,36
274,56
91,21
322,46
28,36
209,105
211,53
314,134
298,136
92,72
162,115
181,94
142,7
138,47
106,74
79,22
43,76
84,72
114,48
85,75
188,62
265,25
209,40
175,154
53,10
74,38
108,24
155,23
58,35
351,52
101,25
87,29
93,9
136,50
171,20
88,21
90,24
88,22
128,66
111,24
218,9
99,51
153,28
92,26
172,12
168,28
158,19
94,19
207,7
50,20
71,44
98,32
45,72
125,65
91,24
184,26
152,23
139,22
209,25
182,69
301,32
129,21
133,21
104,23
187,35
113,23
258,45
171,27
252,10
91,52
197,19
173,22
172,19
201,41
264,92
98,31
87,98
107,21
184,29
153,29
97,55
147,65
114,46
199,21
120,23
164,21
227,37
91,29
274,12
192,29
152,61
194,43
80,8
132,20
170,23
114,52
151,24
99,36
274,40
89,30
160,28
312,27
349,55
153,62
63,40
150,24
88,36
82,27
87,22
81,30
144,21
149,66
218,26
133,37
187,34
159,48
134,61
153,26
96,48
87,42
297,39
199,35
92,38
422,85
232,97
190,35
112,63
181,28
150,30
154,32
157,24
117,34
101,18
172,35
97,47
231,21
129,13
105,68
144,22
181,59
138,23
264,24
78,96
107,25
200,59
118,80
172,25
310,30
162,45
111,49
113,25
158,21
143,8
102,34
198,29
107,31
210,40
102,24
156,23
152,40
138,27
136,52
108,29
96,33
133,33
323,35
275,20
239,20
128,41
219,78
167,42
178,81
142,32
89,64
143,54
183,83
154,21
109,29
108,25
89,20
89,10
158,51
269,31
226,26
149,54
80,22
122,19
316,22
170,60
77,20
83,26
80,39
149,39
84,23
118,29
177,65
146,19
127,21
82,116
71,77
87,52
205,35
98,50
122,41
105,14
124,84
113,22
181,53
383,12
95,35
454,53
545,82
123,18
122,76
104,71
149,65
119,36
93,46
91,106
94,78
137,15
118,42
76,29
70,21
49,22
67,30
105,53
94,27
83,12
89,70
111,57
141,52
177,64
162,21
416,69
324,49
112,75
388,21
137,37
238,22
117,121
174,20
90,97
171,51
91,14
85,31
136,36
95,23
151,16
83,30
150,37
117,61
103,35
159,35
165,20
91,21
139,25
83,46
91,27
77,24
78,38
77,22
107,24
102,37
89,58
162,25
142,19
142,22
182,11
78,19
98,40
97,48
110,9
83,21
99,22
165,22
160,14
124,22
88,22
78,19
178,13
191,31
84,22
134,64
253,21
98,31
323,25
311,30
193,18
86,32
174,22
237,33
142,48
74,19
127,66
80,30
125,30
111,25
145,34
116,21
127,15
89,44
112,42
653,99
292,16
234,21
90,51
195,35
81,81
83,24
69,28
109,25
123,17
103,46
78,25
71,30
100,38
73,25
150,30
139,28
85,26
131,53
117,32
93,47
155,45
102,79
74,19
87,44
105,18
159,54
83,59
152,27
126,55
180,31
132,31
96,23
92,26
94,24
90,22
109,48
77,31
153,48
162,30
149,32
285,51
278,25
133,25
127,29
105,61
125,20
204,65
316,31
121,48
243,42
83,55
222,64
94,33
153,60
157,22
90,103
110,59
188,29
77,20
133,20
167,19
211,21
145,22
93,25
218,40
88,77
92,26
116,24
188,47
217,20
299,40
87,29
167,107
175,32
189,49
100,24
164,35
134,81
139,36
138,98
160,149
198,67
101,31
222,19
94,19
92,53
121,78
157,26
89,32
89,40
89,21
188,25
282,28
172,20
273,21
552,46
85,35
159,51
94,41
193,72
124,50
89,44
91,26
112,42
96,37
87,35
110,21
137,23
81,27
134,24
161,59
117,37
117,39
143,22
85,34
82,47
232,51
79,28
184,135
168,25
83,21
80,22
132,23
182,46
156,36
140,42
132,22
212,27
144,31
101,59
99,49
88,34
95,24
94,27
195,26
131,27
140,32
119,46
74,67
60,36
98,21
204,25
128,53
195,41
84,146
355,39
364,90
408,120
696,32
300,55
84,65
212,40
190,30
107,33
79,23
117,33
131,68
150,61
136,29
94,37
100,20
192,24
127,40
79,28
154,48
81,24
131,37
104,47
103,21
115,51
104,19
185,72
147,29
111,22
87,21
116,25
95,53
60,31
99,70
137,28
171,42
255,27
127,24
100,29
74,27
68,34
71,20
127,89
167,57
121,23
214,70
87,56
131,25
111,34
142,51
158,22
74,30
130,31
191,21
92,27
86,74
182,24
208,22
92,41
117,74
77,32
140,32
83,22
124,34
84,33
199,49
111,24
86,22
109,31
201,17
125,28
140,40
80,46
87,42
110,49
274,39
85,25
91,22
182,56
143,21
67,26
87,22
85,57
165,28
177,27
144,22
92,39
146,34
262,69
154,35
187,22
113,27
113,65
88,47
172,24
121,29
159,21
150,64
89,24
106,53
88,20
79,72
78,21
123,23
91,44
103,28
167,36
125,21
103,25
180,24
84,31
293,25
124,91
133,40
91,35
156,35
144,32
114,27
99,36
135,23
173,26
156,20
160,20
180,20
63,24
137,100
161,25
82,22
127,37
169,24
194,22
193,29
165,35
506,20
141,25
76,29
98,37
89,24
234,39
133,50
130,50
155,21
174,20
76,20
94,36
164,25
141,48
146,21
79,39
87,20
87,26
119,55
251,95
143,82
133,19
338,21
116,74
128,25
275,35
103,25
268,28
83,63
110,105
87,34
50,79
123,36
134,20
90,23
78,44
43,41
91,19
165,23
86,21
102,41
111,21
145,31
112,20
134,40
94,29
135,57
251,43
79,23
88,27
91,25
172,19
239,22
131,24
183,29
65,22
102,27
92,20
74,41
136,57
169,30
108,31
122,22
135,22
163,54
138,45
201,22
196,37
132,44
92,49
210,52
59,23
166,28
125,25
82,77
66,23
90,28
176,25
121,22
217,23
103,45
131,23
193,22
128,30
128,135
90,22
81,96
120,22
103,21
123,41
90,23
120,49
165,84
140,41
96,20
16,29
165,23
109,61
126,98
98,41
165,106
100,24
102,21
56,29
134,21
84,23
191,46
216,24
104,23
93,29
124,31
87,32
89,32
90,23
171,32
453,44
468,22
399,31
170,21
71,49
175,37
82,22
147,40
15,55
223,81
156,22
140,100
201,39
71,40
96,20
76,35
174,28
83,21
94,25
176,27
43,28
90,60
242,44
100,49
165,47
166,38
159,30
97,36
169,46
169,71
83,33
86,23
95,28
177,81
141,20
96,30
106,29
76,26
171,23
131,31
160,28
108,81
142,49
88,61
115,43
91,54
93,28
131,23
134,25
198,20
182,29
66,29
39,31
161,21
197,26
93,24
38,26
128,43
84,36
148,19
65,23
75,33
109,19
118,21
238,24
88,21
96,28
113,49
111,27
160,20
140,20
85,27
256,23
80,34
80,27
106,34
126,25
186,34
110,28
105,24
245,26
269,29
146,23
102,31
0,105
93,40
89,36
166,28
204,48
81,94
379,33
136,23
55,29
118,19
72,20
78,26
91,63
125,25
79,23
134,22
197,32
86,40
119,25
109,23
62,30
329,23
311,22
183,48
293,25
160,53
277,25
239,60
70,32
182,29
164,22
91,48
241,44
76,30
78,65
187,20
58,49
83,38
118,50
86,57
73,23
91,25
132,28
108,36
16,76
94,23
137,52
186,27
294,32
80,26
82,34
141,113
118,115
124,79
87,64
136,23
246,35
148,51
122,48
190,21
145,24
186,46
195,24
145,24
49,32
96,25
88,25
82,19
133,13
76,22
125,79
79,21
50,53
91,33
188,36
115,23
14,42
166,44
90,38
162,20
74,62
142,21
79,20
78,23
43,5
83,41
84,41
111,29
424,75
332,22
165,30
181,42
270,25
79,60
96,23
80,25
197,47
77,24
129,24
229,37
42,23
123,21
96,21
110,23
71,68
77,21
82,25
93,26
41,6
119,25
87,39
153,59
206,26
96,27
90,23
170,19
133,24
