CH1,CH2
99,23
108,21
108,21
75,22
87,20
90,21
93,21
73,18
87,22
91,24
86,23
71,22
95,23
100,20
99,20
92,21
87,19
90,21
91,20
83,23
91,22
94,22
97,22
83,20
98,23
102,19
91,19
75,23
87,20
89,19
91,20
81,20
90,22
94,22
99,23
89,24
100,19
101,19
90,20
95,21
93,21
95,24
93,21
73,22
91,21
96,21
100,24
76,27
101,21
92,20
95,20
80,18
95,21
91,20
91,21
75,23
89,22
95,22
101,21
74,25
100,19
87,19
88,20
73,22
87,20
89,20
90,20
75,21
94,22
99,24
100,20
78,26
88,20
88,18
92,19
82,23
93,19
95,20
95,21
80,21
96,22
100,21
105,19
76,27
84,19
88,19
89,20
74,23
86,19
91,21
94,25
79,26
96,23
100,22
105,19
79,27
102,20
92,19
91,19
82,28
88,21
91,21
95,21
82,23
95,23
100,19
103,19
76,27
85,19
88,19
91,20
80,33
89,20
93,20
95,21
79,26
99,25
103,21
104,19
85,24
91,23
92,23
94,20
81,26
88,21
90,20
95,21
74,26
96,22
100,19
92,20
78,22
89,19
94,21
95,32
82,23
91,22
95,23
99,22
78,28
88,21
88,20
88,18
78,31
88,20
90,20
91,19
76,24
92,22
96,21
102,21
82,30
101,19
94,19
94,21
85,14
87,19
91,20
95,20
80,24
92,21
96,21
100,21
77,19
97,19
86,19
91,19
79,25
90,20
91,21
93,20
82,27
93,23
97,22
101,19
82,20
95,22
91,20
92,22
80,20
87,21
91,22
94,22
81,28
91,22
89,23
86,23
76,19
85,19
90,19
91,19
81,20
90,19
93,21
94,21
83,24
97,22
94,19
104,19
80,26
83,19
86,19
90,19
82,22
86,20
90,20
95,21
106,24
101,23
105,20
107,20
88,22
87,18
90,19
91,20
83,20
93,21
93,21
96,21
82,19
84,19
100,21
100,20
80,21
96,21
87,20
90,21
86,23
87,25
88,22
91,24
80,17
100,20
102,19
93,20
86,18
90,20
90,20
93,21
87,17
88,22
92,22
96,22
83,24
98,21
100,19
88,19
88,20
87,20
91,20
93,20
87,19
90,23
95,21
99,22
86,16
98,20
94,19
92,19
86,21
87,21
87,20
91,20
85,26
86,20
96,25
100,23
86,21
93,20
91,20
93,20
93,19
91,21
91,21
91,21
81,21
91,22
95,22
99,22
85,20
92,20
86,19
92,20
91,27
90,19
93,21
95,22
93,14
94,23
100,23
105,20
95,19
88,19
88,19
91,19
93,22
86,20
89,20
91,21
87,19
95,23
100,21
104,19
91,23
92,23
87,19
92,20
93,22
100,23
93,25
96,25
96,19
91,23
106,21
106,21
97,21
87,20
88,21
86,20
86,24
85,21
89,22
107,21
99,21
95,25
100,20
103,19
104,24
86,20
90,19
92,20
98,24
87,21
93,22
95,22
97,21
95,23
100,20
92,20
101,21
85,21
87,21
90,21
102,20
97,20
91,23
96,22
100,27
89,21
103,22
90,20
103,19
99,18
93,31
97,23
104,14
91,24
94,23
98,24
105,22
82,20
84,20
86,20
123,22
94,20
94,21
95,20
106,25
94,24
97,27
99,24
106,26
99,20
87,20
88,20
106,24
92,22
94,21
95,22
114,15
91,23
97,22
101,21
115,32
98,21
88,20
88,19
121,24
97,19
90,20
91,22
127,17
100,20
98,22
102,23
135,23
88,20
89,22
90,21
116,23
91,22
90,21
93,21
129,20
84,23
88,21
106,19
136,23
83,18
88,19
90,20
113,20
86,20
90,20
94,21
127,22
99,19
99,22
100,19
91,22
84,19
86,19
90,19
114,24
88,21
91,20
95,21
106,23
85,20
100,19
102,19
92,25
89,18
90,19
91,19
92,26
98,19
92,21
96,21
103,25
96,22
104,20
97,20
93,20
89,19
91,20
92,19
96,28
83,21
87,22
98,21
100,23
104,20
104,19
90,18
92,24
85,19
89,20
93,20
93,24
88,20
93,21
99,22
102,25
99,20
97,19
89,18
93,32
94,19
95,20
96,19
97,22
86,20
95,23
100,20
105,23
95,20
86,19
90,19
93,26
88,20
90,19
94,19
94,24
97,25
97,24
103,22
107,23
99,19
91,19
93,19
93,24
81,20
83,21
91,20
94,30
90,22
97,23
101,19
102,23
86,19
88,18
91,19
95,24
88,21
91,21
95,22
97,22
95,23
100,21
92,19
104,20
97,19
87,19
90,20
90,23
85,19
90,21
93,21
96,24
89,20
100,20
105,19
98,26
88,20
91,19
93,20
94,28
88,25
94,23
97,23
100,25
86,23
101,19
104,19
91,22
82,19
82,19
89,20
91,24
87,21
105,21
96,21
101,22
100,19
104,19
98,18
92,24
87,20
88,19
91,20
93,24
88,21
91,21
96,22
101,25
98,19
101,18
89,18
90,26
91,19
94,19
95,20
97,26
90,21
97,21
100,22
104,24
99,22
98,20
90,20
92,27
88,31
91,22
91,22
95,28
97,22
94,22
99,23
92,26
82,20
94,18
91,18
94,28
85,19
89,20
92,21
96,27
92,22
97,22
100,22
103,23
96,19
86,19
87,19
90,28
86,21
86,19
91,21
96,28
101,21
99,23
104,19
107,29
89,19
88,18
92,19
94,31
90,20
91,20
95,21
97,32
91,20
99,19
103,22
104,31
88,20
88,20
90,21
94,32
95,21
97,21
99,21
95,36
83,22
100,21
102,19
97,31
86,20
86,18
88,20
91,27
85,20
89,20
94,22
104,27
94,18
100,19
103,19
90,18
87,19
91,19
93,19
95,25
94,21
92,20
96,21
101,28
99,19
101,19
97,18
90,18
83,18
87,19
92,20
95,20
99,19
93,19
98,20
101,36
95,23
102,20
91,20
93,19
88,20
90,20
92,23
89,20
80,22
93,22
96,22
101,34
97,21
97,19
90,18
91,18
84,20
90,19
91,19
93,21
86,19
95,21
101,21
103,19
86,18
88,18
90,20
91,18
98,19
90,19
91,20
94,19
86,19
96,22
99,21
104,18
93,19
92,19
96,19
96,19
100,19
91,19
95,20
97,24
91,24
99,23
103,20
105,20
84,19
86,20
88,20
87,20
78,20
87,20
90,21
95,21
94,21
99,22
104,19
105,18
88,19
87,19
90,18
93,20
89,19
91,20
94,20
98,22
98,19
89,18
103,19
97,19
98,19
87,19
91,19
93,19
89,19
92,21
96,21
99,21
95,21
103,19
105,19
94,18
95,19
88,19
91,20
92,24
95,23
89,22
94,22
99,22
98,22
101,19
89,18
89,18
79,20
88,19
91,19
95,20
107,21
98,21
100,22
101,21
102,20
101,19
90,18
90,18
89,19
88,20
91,19
93,20
90,19
94,21
101,21
104,21
91,20
100,18
91,18
94,19
91,21
90,19
93,19
94,21
88,19
95,22
100,19
104,18
90,19
88,18
87,19
91,29
101,20
90,21
92,21
95,21
90,22
95,23
89,22
90,21
98,20
87,18
90,19
93,20
79,24
89,22
91,21
93,21
92,20
95,21
100,20
101,19
88,18
86,19
91,19
93,19
93,19
91,20
94,21
97,21
96,21
103,22
106,19
94,19
94,19
86,19
88,18
91,19
90,19
88,20
92,21
95,21
104,25
99,18
104,21
98,22
92,20
88,20
92,20
94,21
104,22
93,21
91,21
88,21
99,22
96,23
99,19
90,18
74,22
87,19
91,19
92,19
103,22
92,20
104,20
100,21
97,20
102,19
101,19
92,19
113,21
91,19
92,19
93,19
93,19
95,21
98,21
101,21
98,21
101,20
91,18
91,19
91,19
90,20
94,19
95,20
110,25
94,20
99,24
103,22
97,22
100,19
90,19
91,20
94,20
87,22
84,21
85,20
113,21
92,21
97,22
103,19
84,20
93,20
90,18
93,19
93,22
90,19
91,20
95,21
94,19
96,21
100,21
105,19
87,22
86,18
88,18
91,19
74,22
87,19
91,20
94,21
97,20
101,21
105,20
106,19
79,22
90,20
90,20
93,20
77,18
91,17
94,24
97,27
84,25
96,23
101,19
104,19
91,20
88,19
87,19
89,20
74,20
90,21
94,22
97,22
74,21
99,21
103,20
100,18
93,19
90,19
91,19
93,19
77,25
90,22
92,21
96,21
78,22
100,19
105,18
94,19
80,20
91,19
93,19
94,19
97,24
91,21
96,21
99,22
73,24
99,20
99,19
89,18
74,19
88,18
90,21
93,22
78,24
92,23
97,22
102,21
80,25
86,20
87,19
88,19
67,24
87,19
92,20
105,22
76,24
92,21
96,21
100,21
75,21
100,18
88,18
90,19
75,24
88,19
93,19
95,20
77,23
94,21
97,23
104,19
79,23
90,20
90,18
93,19
