CH1,CH2
18,11
23,11
19,10
22,11
19,10
23,11
18,11
23,10
24,11
23,11
24,12
26,9
25,11
37,10
30,13
21,11
19,15
21,11
20,19
17,16
18,18
17,26
19,5
26,14
20,15
16,16
17,16
19,18
19,14
11,6
0,12
25,13
24,10
19,10
16,10
16,16
17,12
21,12
17,11
21,11
16,14
18,17
29,9
21,9
22,10
21,9
25,9
28,11
36,5
29,20
19,12
19,13
17,11
17,11
16,7
9,15
16,11
15,12
16,15
16,12
19,16
0,13
21,10
21,9
21,11
20,10
21,8
24,11
16,13
19,10
18,10
20,12
20,11
35,7
25,13
23,13
22,10
23,11
26,12
36,6
22,18
18,14
18,12
19,12
19,10
15,10
23,10
16,10
14,10
24,10
20,14
19,7
0,11
21,12
16,9
14,9
16,11
16,11
22,14
18,12
21,9
21,11
21,10
21,10
39,6
28,12
19,13
24,12
24,14
24,13
37,6
18,17
17,15
17,12
16,13
17,11
19,8
9,13
19,14
14,10
17,10
15,10
21,19
0,10
23,11
20,8
16,11
23,10
20,11
21,6
18,14
21,12
18,10
18,10
24,11
36,7
22,12
29,9
25,10
25,15
24,14
19,7
17,13
16,13
15,11
16,12
14,12
22,12
19,14
17,11
17,10
15,11
15,14
23,15
17,10
17,11
17,10
16,10
19,14
20,16
22,11
20,9
23,12
23,9
30,10
26,10
38,13
26,9
23,9
27,14
23,14
17,12
30,5
27,14
17,13
15,14
21,15
14,13
17,6
2,14
19,12
16,11
20,12
20,9
21,23
20,10
15,9
21,9
20,9
18,14
19,10
22,9
19,11
18,10
23,10
22,10
21,12
33,6
41,13
27,14
22,17
22,19
19,19
17,8
21,15
19,13
18,11
16,13
16,12
18,12
0,12
15,10
16,10
22,10
24,10
17,25
8,12
16,10
14,9
19,11
18,10
18,12
31,5
21,14
19,11
24,13
24,14
21,13
39,6
32,11
22,12
20,16
18,19
19,19
19,6
17,17
20,14
19,13
16,11
17,15
15,10
0,9
20,10
8,12
25,9
20,10
18,10
17,12
16,10
16,10
21,11
20,13
19,12
28,6
22,12
21,10
22,13
22,12
22,9
25,6
37,16
20,14
17,16
21,15
21,13
18,8
12,14
19,11
19,11
17,10
16,13
15,17
0,11
19,12
27,11
26,11
17,9
20,9
20,9
18,11
19,12
19,10
22,9
20,9
19,13
34,10
22,19
22,19
22,18
23,12
24,8
35,15
19,19
16,17
19,13
20,13
16,14
11,15
15,10
17,10
20,11
19,10
13,17
1,12
23,11
23,11
19,11
15,9
16,10
19,15
19,12
19,10
19,10
17,10
18,9
31,9
29,10
21,15
21,12
24,13
26,16
37,18
24,19
19,15
18,12
16,10
16,12
37,8
26,14
15,17
19,18
19,13
16,11
16,8
8,12
23,12
21,10
17,9
19,9
19,9
26,9
20,12
18,12
23,11
21,11
21,10
43,7
27,12
22,11
24,10
26,13
21,16
20,7
13,14
19,12
17,13
16,11
18,10
16,14
12,11
19,13
18,12
17,10
17,10
11,11
0,11
20,11
16,11
20,12
21,10
16,31
17,9
20,13
20,11
18,11
20,13
21,10
37,5
25,13
21,11
24,13
22,19
19,20
25,5
23,15
18,14
16,14
21,11
19,11
35,9
20,11
17,11
16,9
19,9
19,11
25,15
0,13
16,10
18,9
16,9
19,9
17,12
28,14
17,13
19,12
20,12
19,11
23,12
37,5
27,13
23,12
26,14
24,13
21,16
17,6
15,14
16,14
16,11
16,14
16,11
19,9
7,11
17,11
17,12
14,10
22,12
22,23
0,13
17,10
17,10
15,10
16,11
22,12
22,12
18,13
17,12
20,10
22,14
26,14
34,4
24,12
23,14
21,14
19,14
17,12
23,10
16,11
15,11
20,13
18,15
16,15
22,5
13,13
23,9
21,9
17,13
25,10
18,12
4,12
17,11
17,13
18,13
18,12
25,26
26,13
19,12
16,14
23,15
21,15
21,29
36,14
25,14
21,19
19,21
19,19
17,38
18,14
15,12
18,11
15,13
13,12
17,9
5,9
22,10
16,10
16,14
24,12
20,10
31,11
17,11
16,8
21,10
17,10
18,12
15,10
20,12
20,10
19,10
22,14
21,15
23,7
39,16
21,14
21,20
19,15
19,11
18,10
18,14
16,15
17,11
20,11
19,12
18,12
1,12
22,11
18,11
20,9
17,10
15,9
18,7
20,13
17,11
17,12
18,11
22,11
33,6
29,10
28,10
22,12
22,12
24,10
32,7
31,17
23,18
22,16
19,13
19,11
15,8
10,14
17,13
17,11
14,17
14,13
20,13
1,10
11,15
25,11
23,8
12,9
17,10
20,10
20,11
17,11
17,14
20,19
20,11
32,9
21,13
24,13
23,11
25,10
24,9
29,6
32,14
21,13
18,11
18,10
17,10
17,13
10,10
15,10
19,9
18,10
17,9
22,28
1,10
25,10
22,10
21,9
17,8
15,11
27,8
15,12
19,12
19,12
19,13
18,10
33,7
41,14
26,14
23,15
25,14
24,15
22,7
26,17
17,16
16,13
16,12
17,12
16,15
11,14
12,11
16,9
20,11
17,10
16,25
0,10
27,11
17,12
15,9
17,10
16,11
29,6
19,12
22,13
23,11
20,11
19,10
40,5
29,11
18,12
19,11
22,14
25,16
22,7
19,15
20,14
18,11
18,11
17,11
21,11
11,12
21,13
16,10
20,9
26,9
22,21
0,6
28,12
22,11
18,9
17,12
16,11
33,7
19,12
18,13
19,10
21,10
21,10
22,6
24,11
21,12
27,15
27,17
23,15
21,8
18,14
17,12
15,11
17,10
15,13
18,20
9,12
22,12
21,9
14,11
18,10
24,9
6,11
22,10
16,10
15,9
15,11
17,11
20,8
27,16
19,14
19,12
19,11
22,14
21,9
32,16
22,12
23,14
25,15
21,15
20,20
21,13
16,12
15,12
21,10
19,11
13,17
6,11
21,11
17,9
21,10
19,10
19,8
15,12
17,11
17,10
17,8
15,11
21,11
36,12
20,12
18,11
20,8
23,9
25,11
22,12
32,9
25,8
26,15
20,15
19,13
19,12
19,14
17,10
18,13
21,11
20,10
16,11
2,5
18,11
20,9
19,13
26,12
23,11
51,10
15,11
16,10
19,10
21,10
20,9
19,13
21,11
17,11
20,10
23,15
24,13
24,8
41,15
25,18
24,17
18,15
15,15
16,13
15,12
19,11
15,9
17,11
20,9
20,7
7,11
12,9
18,8
23,10
22,11
19,9
17,13
12,11
17,10
16,12
20,11
22,12
20,10
25,10
19,11
22,11
23,13
23,9
26,19
42,14
23,15
19,17
16,13
17,10
15,25
15,13
18,8
15,12
18,11
19,12
17,11
12,16
21,9
