CH1,CH2
26,32
26,15
27,39
29,44
76,16
24,64
31,166
29,79
56,96
30,122
36,35
35,14
41,16
29,58
26,53
27,44
48,36
32,92
29,21
30,58
45,122
30,110
25,31
24,88
43,14
23,26
25,22
26,25
61,51
12,112
25,42
26,44
45,11
40,14
42,94
41,136
39,212
32,50
28,41
28,64
33,79
29,131
29,73
22,52
26,131
29,40
28,101
21,24
25,109
27,90
29,91
31,59
33,39
46,114
30,147
22,73
35,311
31,226
32,30
26,95
23,28
31,90
30,27
27,36
40,20
55,67
25,17
20,34
23,33
24,46
24,32
31,27
41,14
39,34
46,18
41,31
43,28
34,13
24,77
34,47
30,42
26,98
26,105
24,41
23,28
31,16
52,52
56,30
36,87
27,63
27,34
34,20
38,78
35,14
37,123
35,95
30,46
20,53
29,71
37,16
32,30
29,86
24,44
53,14
65,113
35,64
28,89
31,20
28,37
22,25
31,201
33,160
33,210
25,338
43,66
48,26
16,25
16,79
22,15
27,24
40,70
31,21
29,28
29,18
26,12
22,12
19,55
23,122
21,162
24,64
24,34
35,164
28,20
30,152
49,211
40,67
28,14
28,12
23,12
25,62
24,61
23,111
23,51
28,77
34,44
20,64
28,33
31,63
23,29
23,16
28,26
39,58
33,28
32,59
25,57
28,14
32,65
32,88
29,13
23,58
26,24
14,44
34,19
23,37
21,102
23,11
26,79
27,160
28,71
34,50
47,31
30,121
27,81
37,33
40,214
27,69
24,23
24,53
26,31
28,123
27,32
27,20
30,14
22,63
20,45
28,81
23,88
30,29
37,60
37,11
37,47
46,41
32,73
32,33
22,49
26,116
23,26
23,16
26,78
25,89
25,91
33,161
28,136
36,71
28,24
24,90
22,93
21,98
22,76
23,47
23,120
24,53
51,17
45,41
38,17
36,59
38,22
29,38
28,46
20,18
21,68
20,40
22,18
26,15
26,29
27,119
29,116
27,80
30,29
33,36
28,44
26,71
39,77
40,130
37,33
32,99
25,23
31,129
28,51
28,23
28,24
40,49
32,38
22,25
21,32
29,61
27,83
27,112
27,21
35,212
40,202
41,17
43,60
31,72
32,17
28,69
31,65
27,82
24,182
25,67
26,56
35,43
35,16
29,40
27,283
27,166
26,14
23,12
23,18
35,16
40,24
41,24
37,15
31,35
29,29
28,73
26,24
27,98
23,34
40,35
48,65
28,143
23,98
27,18
30,138
29,59
29,59
27,51
25,22
44,99
48,87
49,76
44,69
29,98
23,13
23,21
29,22
27,46
28,36
28,25
24,19
26,50
23,83
47,18
22,48
29,21
31,50
42,16
38,13
53,56
47,16
29,70
22,13
56,66
32,45
32,15
30,13
29,45
27,36
28,13
31,46
37,27
29,12
25,142
30,38
34,36
22,42
26,16
26,15
37,58
37,17
34,105
32,17
34,36
27,32
24,25
18,88
26,140
27,26
24,63
29,20
36,284
26,108
28,17
28,25
22,58
31,28
39,106
39,63
53,18
33,54
31,36
33,16
35,94
30,20
28,14
28,15
25,40
32,91
43,66
36,22
23,163
22,128
24,59
28,120
35,229
33,20
36,98
41,24
45,228
38,62
30,44
21,74
27,15
23,80
23,33
26,13
27,34
30,64
37,17
25,60
33,96
24,52
34,84
25,102
32,83
30,85
32,18
30,14
66,141
52,90
33,18
37,24
33,79
22,75
32,14
25,22
31,51
26,94
31,103
29,79
31,76
28,15
29,12
27,64
46,188
32,133
29,20
42,48
41,97
29,110
28,45
31,18
39,88
28,18
43,16
