CH1,CH2
88,80
69,139
77,123
179,22
255,20
60,23
29,171
107,459
134,394
121,39
122,153
125,46
210,142
50,166
67,93
286,308
349,398
259,300
100,64
84,179
159,200
94,190
29,54
27,147
69,208
74,173
72,195
26,302
147,231
61,19
33,132
58,77
61,38
84,37
215,128
322,86
191,34
78,108
298,128
141,52
334,61
467,135
318,93
80,167
476,355
342,291
94,297
362,143
332,30
34,172
217,209
164,182
98,334
350,329
478,398
45,131
619,55
896,59
788,31
144,104
29,146
30,254
0,299
26,218
54,37
156,511
307,335
148,67
102,18
29,40
30,85
35,61
86,181
126,176
51,46
27,14
121,70
34,116
39,186
153,117
59,15
53,71
136,28
207,15
305,109
72,217
184,330
200,376
183,314
222,213
194,175
47,438
55,522
41,604
26,364
83,198
98,80
89,12
62,34
28,88
273,91
104,115
259,190
335,165
223,45
94,65
255,194
395,122
258,64
387,36
26,14
142,13
250,16
276,32
271,117
33,194
52,260
36,403
49,347
43,168
32,102
126,274
146,536
154,461
58,135
39,79
30,35
100,15
75,22
172,96
47,200
63,89
105,19
51,91
72,26
54,18
41,13
88,8
117,72
326,15
347,41
253,22
158,221
22,308
407,208
444,53
60,66
147,149
39,445
210,820
277,342
268,31
35,104
101,179
51,151
109,165
57,140
33,27
47,107
92,23
115,313
336,338
399,387
512,125
557,44
292,227
207,712
622,554
514,497
620,164
423,22
395,46
183,107
38,256
114,351
87,251
95,133
88,33
26,35
2,103
39,193
31,35
90,84
271,109
153,16
46,14
53,51
47,62
48,27
174,52
325,34
56,34
473,41
543,76
399,20
277,144
61,154
238,116
286,16
444,168
101,136
217,92
548,27
807,284
295,463
124,177
134,19
271,47
116,18
64,40
44,13
115,45
262,21
48,24
53,84
41,143
35,158
440,25
682,30
873,101
610,121
36,49
433,62
460,21
249,230
40,282
52,318
58,272
227,59
692,59
467,58
285,337
67,421
61,420
10,600
111,693
113,422
255,724
129,937
134,741
112,338
144,85
56,28
120,21
39,14
31,67
44,123
38,133
91,18
295,134
174,34
39,36
158,182
64,174
2,23
186,305
135,446
248,530
45,550
5,341
42,87
91,208
51,228
29,30
22,22
31,239
28,398
41,537
16,610
112,389
11,136
44,42
21,71
33,201
57,266
176,296
77,45
30,102
110,15
118,13
41,17
91,49
246,17
260,100
27,190
156,325
279,213
276,25
52,276
83,403
63,265
41,141
367,52
294,22
154,18
105,59
48,12
138,32
325,66
306,13
37,12
42,22
75,130
476,92
274,48
107,56
52,117
81,141
383,66
230,58
38,32
107,119
29,182
61,87
72,58
201,49
199,68
188,73
97,20
11,14
129,15
26,13
36,13
31,18
32,33
188,67
325,45
251,29
204,29
356,15
153,55
104,246
95,406
32,408
215,156
279,319
63,60
100,404
178,518
36,104
55,18
26,133
264,150
103,160
112,140
61,392
11,388
37,195
39,112
39,15
40,15
56,216
71,233
25,18
35,38
53,18
35,35
120,13
56,107
46,208
64,96
47,44
39,151
53,127
107,81
59,230
60,535
176,569
214,453
37,178
57,113
62,242
104,424
0,588
78,362
38,234
145,27
199,91
273,90
114,104
198,456
37,374
197,276
70,312
166,111
74,561
132,961
81,537
79,293
151,65
65,45
84,73
35,58
86,16
100,9
27,95
212,309
465,583
259,542
141,286
212,118
203,411
61,762
52,532
31,250
171,19
469,78
238,19
31,14
49,42
159,71
131,21
107,44
113,42
154,57
36,28
125,15
269,23
79,18
81,88
31,31
26,46
47,85
96,34
31,24
71,51
31,51
372,11
161,16
299,48
376,114
135,116
88,318
10,197
220,156
675,79
34,15
152,113
168,49
189,321
380,173
364,33
329,26
269,17
63,128
23,166
47,144
28,25
70,73
187,31
90,19
154,52
115,223
132,126
271,388
191,540
77,361
40,132
43,540
72,523
26,688
61,536
195,294
53,24
87,24
174,87
104,126
25,115
29,244
40,232
146,96
63,171
27,247
74,135
50,29
36,45
51,69
153,34
93,66
120,37
105,80
125,141
29,205
51,205
179,194
73,43
7,8
38,28
42,188
139,42
200,24
32,72
14,9
48,44
89,245
122,90
196,137
183,343
251,204
168,112
137,24
157,215
52,414
114,514
53,175
84,55
49,82
20,67
49,79
30,148
191,60
310,47
40,88
492,112
457,12
208,55
73,58
195,33
579,48
262,32
43,17
336,19
304,74
48,53
90,27
250,21
240,13
39,12
102,27
58,39
60,66
204,34
308,20
308,51
102,87
73,78
183,93
46,74
160,36
65,39
132,113
188,74
162,55
133,67
25,211
40,314
52,496
41,598
28,334
107,223
65,497
44,578
9,314
36,32
41,163
68,157
29,70
28,100
0,23
29,75
40,147
27,145
37,49
42,56
57,69
37,31
51,78
63,17
32,61
48,74
203,143
139,290
40,130
202,118
40,162
218,16
70,101
164,177
181,113
109,53
306,57
164,12
42,27
69,38
262,34
129,59
29,19
25,53
32,140
34,192
39,57
89,6
64,13
103,15
83,15
51,17
39,67
66,140
198,95
50,33
31,144
114,96
46,304
271,175
80,231
34,219
28,125
101,175
371,386
63,290
43,129
66,73
59,71
90,91
45,124
89,74
60,15
68,52
98,68
98,54
33,77
48,162
39,203
84,171
178,159
36,19
32,169
30,300
120,183
122,32
31,14
33,40
62,26
93,33
157,17
246,161
85,187
29,105
44,82
107,62
207,180
139,186
102,162
182,347
90,180
31,21
134,36
137,48
36,38
131,49
43,298
33,367
135,138
186,23
190,64
35,181
203,186
193,114
101,16
48,137
53,335
39,494
55,550
28,502
34,313
93,139
358,650
262,898
240,388
161,98
172,25
201,180
324,295
349,248
148,220
54,74
79,14
84,157
92,501
35,310
41,161
44,85
92,47
298,50
183,49
69,130
33,168
112,61
195,136
66,223
25,175
170,54
83,68
36,33
108,137
143,184
86,95
43,57
59,17
73,9
97,60
60,34
78,13
30,46
37,111
147,203
296,230
326,161
51,127
162,35
66,167
86,225
86,247
31,212
29,145
92,60
123,40
65,16
106,46
75,23
57,48
57,28
78,25
142,126
27,149
80,143
110,145
129,214
57,78
44,124
48,237
39,188
91,100
79,24
69,113
25,22
77,107
67,27
296,144
185,348
39,357
83,247
92,28
161,262
246,635
64,592
127,241
45,66
27,12
15,17
20,20
40,40
57,49
30,77
26,140
71,117
239,22
132,13
52,37
32,25
90,101
106,17
117,14
99,98
125,145
117,136
29,95
221,98
264,102
84,117
46,271
12,310
86,98
49,53
38,248
32,529
61,455
73,236
172,79
105,20
94,37
235,55
160,125
54,72
27,13
62,52
78,14
140,42
255,25
35,34
106,102
266,169
72,239
12,67
360,134
477,25
101,106
40,124
60,72
108,20
153,18
86,30
171,14
226,36
71,25
45,15
116,25
158,24
157,15
90,24
149,18
83,15
101,57
98,62
47,57
16,21
104,113
37,104
35,57
35,67
70,56
90,17
221,20
116,20
49,32
75,28
77,95
214,69
119,17
34,118
27,174
34,133
48,78
35,61
48,47
43,18
30,32
53,35
139,13
77,37
71,88
27,217
82,263
109,164
113,200
26,191
32,24
59,51
30,41
62,44
32,60
44,96
61,20
216,129
146,237
53,39
74,103
157,216
37,163
27,60
35,61
30,214
29,247
32,21
90,18
91,22
2,13
35,62
27,119
37,133
61,131
61,140
95,72
83,19
56,59
136,164
36,171
25,31
63,184
149,163
84,83
42,65
43,44
176,164
189,16
71,61
76,94
125,82
167,24
114,107
144,277
385,235
235,235
217,23
308,159
175,221
82,207
37,207
84,173
60,160
142,167
46,66
37,213
69,314
88,314
31,149
60,48
115,22
190,14
114,26
294,60
91,28
159,35
29,48
33,60
115,43
238,32
166,15
67,13
247,29
169,31
118,45
41,17
27,15
29,51
150,46
81,41
45,38
106,26
37,14
59,18
34,21
15,14
24,17
33,15
41,39
186,124
93,149
93,100
110,16
39,41
83,47
228,111
50,182
25,74
54,21
74,43
27,198
104,220
266,235
172,244
201,49
129,42
44,399
289,461
222,309
607,38
452,230
86,192
316,107
233,93
36,56
158,14
27,174
63,293
29,315
31,36
25,267
31,270
60,112
122,94
97,113
29,236
36,196
42,83
103,18
42,44
31,42
32,47
29,99
84,103
0,61
36,54
46,18
50,17
46,183
56,144
63,28
31,107
35,94
65,61
152,112
196,126
103,16
125,216
204,336
264,166
81,38
65,162
64,164
