CH1,CH2
"222
","35
"
"50
","72
"
"7
","32
"
"47
","162
"
"2
","169
"
"736
","332
"
"131
","214
"
"617
","103
"
"57
","128
"
"148
","13
"
"144
","22
"
"384
","53
"
"228
","87
"
"261
","11
"
"325
","83
"
"142
","120
"
"528
","207
"
"153
","88
"
"0
","165
"
"131
","118
"
"25
","136
"
"161
","95
"
"24
","110
"
"50
","48
"
"9
","14
"
"83
","205
"
"333
","138
"
"29
","45
"
"289
","37
"
"290
","141
"
"61
","103
"
"37
","95
"
"329
","84
"
"24
","92
"
"294
","115
"
"665
","349
"
"22
","266
"
"35
","152
"
"390
","366
"
"504
","385
"
"214
","61
"
"235
","11
"
"156
","148
"
"300
","204
"
"112
","322
"
"111
","378
"
"247
","322
"
"11
","177
"
"150
","23
"
"51
","50
"
"0
","133
"
"59
","106
"
"45
","54
"
"133
","88
"
"60
","352
"
"48
","472
"
"72
","336
"
"116
","76
"
"273
","16
"
"35
","15
"
"251
","137
"
"188
","178
"
"24
","175
"
"6
","35
"
"149
","184
"
"143
","166
"
"102
","142
"
"7
","34
"
"128
","14
"
"34
","26
"
"48
","50
"
"104
","31
"
"112
","32
"
"379
","35
"
"10
","75
"
"280
","147
"
"95
","75
"
"83
","179
"
"7
","138
"
"72
","79
"
"20
","108
"
"6
","90
"
"74
","162
"
"41
","15
"
"162
","224
"
"479
","343
"
"43
","369
"
"320
","173
"
"73
","243
"
"191
","24
"
"370
","57
"
"76
","59
"
"127
","289
"
"265
","436
"
"76
","367
"
"17
","149
"
"185
","30
"
"141
","24
"
"131
","255
"
"0
","131
"
"142
","215
"
"8
","282
"
"148
","228
"
"10
","195
"
"189
","277
"
"128
","197
"
"307
","101
"
"69
","52
"
"159
","65
"
"123
","87
"
"310
","287
"
"206
","287
"
"201
","223
"
"220
","137
"
"26
","123
"
"196
","77
"
"69
","61
"
"146
","317
"
"103
","106
"
"61
","174
"
"1
","151
"
"29
","25
"
"114
","93
"
"234
","241
"
"28
","133
"
"7
","100
"
"69
","151
"
"92
","153
"
"66
","164
"
"34
","130
"
"202
","8
"
"284
","39
"
"133
","229
"
"105
","285
"
"256
","212
"
"43
","222
"
"363
","251
"
"245
","239
"
"329
","224
"
"88
","51
"
"148
","161
"
"375
","106
"
"257
","317
"
"529
","526
"
"232
","397
"
"180
","165
"
"77
","43
"
"146
","80
"
"45
","92
"
"296
","95
"
"32
","110
"
"216
","211
"
"94
","295
"
"170
","324
"
"270
","285
"
"56
","159
"
"81
","13
"
"0
","58
"
"0
","112
"
"182
","79
"
"134
","86
"
"216
","192
"
"277
","185
"
"48
","232
"
"56
","299
"
"184
","304
"
"482
","243
"
"263
","257
"
"191
","76
"
"163
","254
"
"73
","148
"
"296
","219
"
"184
","259
"
"78
","228
"
"114
","205
"
"106
","235
"
"30
","323
"
"92
","219
"
"184
","132
"
"18
","162
"
"281
","485
"
"21
","568
"
"185
","439
"
"81
","142
"
"250
","37
"
"6
","67
"
"100
","122
"
"238
","120
"
"58
","88
"
"115
","158
"
"32
","285
"
"14
","316
"
"266
","134
"
"724
","40
"
"183
","75
"
"73
","120
"
"387
","193
"
"293
","225
"
"584
","98
"
"289
","126
"
"242
","291
"
"510
","192
"
"105
","290
"
"370
","117
"
"16
","57
"
"282
","183
"
"64
","88
"
"32
","188
"
"255
","108
"
"217
","37
"
"54
","92
"
"18
","267
"
"82
","266
"
"139
","191
"
"127
","143
"
"43
","142
"
"109
","30
"
"86
","78
"
"47
","96
"
"58
","73
"
"115
","170
"
"127
","166
"
"249
","51
"
"103
","27
"
"41
","47
"
"176
","71
"
"93
","33
"
"2
","84
"
"17
","116
"
"156
","48
"
"6
","77
"
"84
","17
"
"176
","206
"
"71
","228
"
"27
","128
"
"13
","93
"
"33
","124
"
"215
","95
"
"224
","11
"
"3
","64
"
