CH1,CH2
20,8
18,10
20,10
22,16
21,14
19,12
23,14
23,27
25,12
24,15
24,17
23,30
18,12
17,12
16,11
16,24
18,9
19,11
19,12
17,25
23,12
21,14
22,12
25,29
24,11
26,9
20,11
26,22
28,16
25,17
24,14
26,19
24,12
23,11
21,12
44,29
38,13
16,13
18,10
19,20
22,14
19,13
21,13
21,16
20,12
24,12
27,10
27,8
25,12
20,14
18,14
18,20
22,16
19,14
18,14
20,12
17,12
17,11
23,9
18,9
18,10
16,12
19,10
19,10
24,10
25,13
25,15
25,14
23,18
18,15
24,11
19,14
14,13
16,11
17,11
18,11
18,14
21,9
21,11
24,11
24,11
24,11
27,12
22,7
23,10
22,9
23,9
23,17
24,22
19,15
21,11
21,14
20,16
21,14
19,12
16,9
24,11
18,11
19,11
18,11
19,12
23,16
24,10
25,10
28,12
26,10
24,11
22,12
23,14
16,16
18,11
19,11
15,11
13,10
19,10
20,12
21,18
20,9
20,10
22,10
22,17
21,16
21,11
21,10
30,13
23,10
25,16
25,16
28,14
19,11
18,11
18,9
20,13
20,11
19,10
20,12
23,12
21,11
21,11
21,12
22,13
19,18
19,13
23,11
30,11
23,11
20,18
21,13
24,12
20,12
21,12
17,13
20,12
17,9
18,9
16,16
12,14
19,10
16,14
23,14
28,13
25,11
30,9
29,10
32,10
24,14
20,16
19,15
26,14
19,14
19,13
19,9
22,10
21,11
21,18
22,11
19,9
18,10
20,10
21,14
33,15
19,10
25,15
24,11
36,10
25,13
25,15
19,13
14,10
18,10
16,10
18,9
6,7
19,10
20,10
21,12
31,13
22,13
22,12
20,12
22,12
24,9
26,11
25,11
28,20
23,18
22,14
23,14
29,12
23,11
21,10
16,14
25,9
17,10
17,9
17,10
31,12
18,12
22,10
22,12
24,9
25,10
24,11
23,10
30,15
20,14
18,13
20,14
26,15
19,15
20,15
23,12
1,11
25,10
19,10
18,10
20,10
17,11
19,10
19,11
38,12
26,15
30,15
36,16
26,16
20,14
15,14
19,12
24,13
17,13
17,14
18,11
5,13
22,12
22,10
23,11
24,12
22,12
20,11
20,10
29,12
22,11
22,9
23,16
24,18
21,18
21,18
22,11
11,14
18,11
16,10
17,11
0,16
18,13
19,12
19,13
17,13
21,12
23,10
23,12
30,12
23,12
26,12
22,14
17,17
17,11
18,13
17,12
11,12
19,14
21,12
21,10
0,13
16,9
18,10
20,11
20,13
21,15
21,15
24,14
22,17
23,14
24,17
24,17
11,13
17,11
18,10
19,11
13,12
19,9
19,9
22,10
6,12
23,12
22,11
24,13
24,14
24,9
23,9
23,10
17,13
22,10
21,10
21,13
10,12
21,12
25,11
20,11
20,12
20,10
18,10
15,12
0,12
19,10
20,12
24,15
20,14
25,10
23,8
25,9
29,11
22,12
22,15
18,11
15,11
20,10
19,18
21,13
9,14
23,14
22,15
17,10
11,13
16,11
18,10
18,18
24,20
21,16
24,11
23,11
36,15
25,10
22,14
17,19
23,12
18,11
18,9
18,11
23,11
20,14
22,11
23,12
17,12
23,10
19,12
21,12
22,12
25,14
26,14
24,11
25,13
22,16
21,15
21,15
20,10
25,11
20,9
16,17
7,15
17,18
19,9
19,10
17,14
20,11
21,13
24,14
25,14
27,11
20,10
22,9
30,14
19,16
18,13
19,11
9,9
20,15
21,16
23,12
2,10
21,10
16,10
19,10
26,16
19,14
19,13
22,11
28,18
19,18
19,16
27,16
24,15
18,13
16,10
25,10
24,10
17,9
18,11
22,9
0,9
28,11
23,13
22,11
18,12
19,10
18,10
20,9
30,12
22,13
22,10
23,17
25,17
21,13
21,12
23,11
15,12
16,11
18,11
16,11
0,9
20,12
19,11
19,10
25,9
25,9
24,14
25,11
33,10
22,16
23,14
21,17
22,16
18,11
19,12
15,11
9,11
21,13
23,12
20,15
19,12
16,11
18,10
19,9
25,16
19,14
22,12
24,11
30,6
23,10
27,16
24,14
18,9
16,11
16,11
17,10
10,10
22,12
19,11
21,18
1,8
23,12
23,12
17,16
28,13
28,13
23,11
22,10
30,7
24,8
23,13
21,14
20,8
24,10
22,10
16,11
8,7
18,9
13,11
10,13
20,13
21,11
22,12
23,11
24,11
24,12
24,10
23,10
30,8
24,14
21,24
19,16
18,10
19,13
21,14
21,12
17,13
23,10
17,14
17,10
24,9
19,15
22,13
20,12
0,6
22,17
23,17
25,12
39,11
22,12
18,12
16,11
24,11
18,9
18,11
19,10
5,10
23,10
23,14
21,12
18,12
17,12
20,12
22,13
21,4
23,12
24,13
24,13
34,8
27,16
20,17
21,14
17,5
16,11
16,9
17,11
6,7
19,16
20,14
19,11
17,8
21,14
23,14
24,12
26,5
22,12
20,12
23,10
38,6
19,17
19,16
19,16
6,7
19,9
21,9
24,9
9,11
25,9
18,11
16,11
21,10
21,12
20,13
21,13
27,9
23,13
23,12
33,13
24,6
23,10
19,10
18,13
19,6
19,11
19,13
21,10
8,9
42,14
21,11
23,10
20,7
18,10
18,10
20,12
33,5
20,14
22,10
25,16
26,6
21,14
22,11
19,12
15,8
18,11
19,9
17,10
6,5
23,10
19,10
20,9
23,10
22,12
23,12
22,16
32,6
21,10
25,9
23,11
25,11
17,13
20,15
23,12
17,10
22,11
22,8
16,10
15,8
17,12
17,11
18,13
24,7
18,13
21,12
25,11
31,6
24,10
26,12
22,15
26,6
17,12
21,11
17,9
18,11
22,10
21,12
23,15
16,12
19,10
18,10
18,10
29,6
23,13
20,12
23,10
32,7
25,11
25,13
23,14
28,6
24,10
18,12
16,10
20,8
13,10
11,13
16,15
41,9
20,13
24,13
23,12
28,13
21,8
21,10
22,9
32,8
25,12
24,16
23,15
31,8
21,12
44,12
37,12
26,6
18,11
16,15
16,11
24,8
20,12
20,13
21,12
33,12
21,11
25,12
21,14
34,11
26,12
19,12
18,9
30,10
16,11
18,11
19,14
30,7
22,14
26,14
23,9
32,14
18,10
18,9
21,12
36,6
22,13
22,16
24,14
37,8
24,17
21,13
23,10
34,7
16,13
16,8
17,10
35,10
19,14
22,10
22,12
25,16
