CH1,CH2
70,165
74,32
81,47
80,55
93,80
79,84
75,62
68,341
81,162
67,168
65,101
78,36
89,86
73,138
75,107
65,72
85,113
68,33
64,192
84,30
90,70
45,57
50,32
69,171
100,133
73,112
99,45
89,36
100,10
67,70
66,45
70,25
92,26
69,32
67,167
75,122
94,19
82,169
69,112
75,30
99,56
67,41
55,34
62,118
88,89
78,37
81,25
80,29
93,37
67,29
76,33
83,55
100,46
83,248
80,228
76,25
87,77
69,375
77,106
75,45
80,37
84,153
84,115
78,73
96,193
56,100
68,50
63,77
90,73
77,98
73,69
74,128
82,82
82,145
87,122
88,70
75,109
72,29
67,139
72,61
71,29
74,62
72,90
71,29
80,82
76,35
79,97
80,118
80,50
66,107
69,38
61,94
65,89
72,124
80,137
87,33
79,396
65,90
74,32
70,66
68,85
62,176
73,392
81,197
95,84
64,195
74,315
66,81
62,162
71,92
89,71
78,36
75,89
59,184
59,158
66,78
75,43
64,68
73,50
84,30
75,52
81,46
74,42
81,30
73,24
59,68
74,273
67,146
72,23
67,127
68,109
72,32
68,160
58,28
66,194
79,47
80,103
84,30
69,26
67,47
64,45
63,63
75,50
79,22
88,44
69,26
60,45
76,87
73,110
63,45
68,27
75,105
74,69
52,169
75,156
79,141
82,24
70,86
69,44
71,43
80,36
78,172
75,207
74,49
71,243
67,287
67,131
70,101
87,96
66,114
76,28
71,53
58,99
64,52
70,113
73,65
76,63
70,101
77,63
72,105
86,94
60,52
91,90
75,26
64,63
72,99
75,154
71,132
76,38
58,176
75,146
74,104
68,117
75,32
56,154
59,112
66,38
75,185
90,102
81,143
80,109
71,33
77,35
73,44
68,118
62,80
75,31
71,165
74,63
67,43
65,41
71,42
73,50
71,83
58,26
73,30
64,43
54,97
63,25
69,30
69,48
57,40
82,87
93,115
92,66
69,127
67,40
60,71
66,178
79,52
69,31
72,113
62,128
59,43
71,36
84,81
81,275
77,108
77,178
76,264
68,129
44,40
63,56
83,147
95,121
83,98
72,204
83,165
75,31
71,185
60,42
72,28
63,37
65,56
57,37
75,157
71,121
70,96
78,96
85,86
76,97
74,25
63,26
64,76
58,54
67,102
71,208
63,286
68,33
71,27
87,152
92,66
73,259
81,250
74,392
55,170
62,40
69,96
67,47
72,134
69,75
67,127
67,37
91,73
73,47
76,138
67,95
61,99
81,51
66,216
65,94
64,147
78,211
88,140
87,43
72,206
74,245
58,202
63,104
73,158
69,175
68,28
67,25
72,29
75,38
72,88
72,52
76,28
82,39
80,62
82,41
69,58
64,119
70,123
77,130
76,117
73,36
65,39
69,73
79,140
66,27
68,51
82,41
70,26
65,50
71,73
79,104
70,32
76,34
77,36
78,41
73,34
54,73
54,38
84,55
70,28
72,66
79,88
70,132
81,101
69,80
62,256
69,39
71,49
76,156
66,207
66,126
62,109
81,39
75,30
67,32
81,106
81,61
67,26
68,151
67,34
74,128
61,49
69,54
72,57
66,46
77,24
77,90
77,56
81,36
74,65
72,28
67,133
79,81
70,32
75,171
61,89
62,28
73,60
76,35
74,57
84,68
80,77
57,55
66,92
63,33
70,46
76,64
80,27
68,27
67,131
78,30
71,156
69,149
63,46
76,29
70,85
65,113
71,31
71,190
77,41
70,29
70,81
85,39
73,35
74,29
69,78
69,45
80,30
69,67
62,111
66,27
67,88
77,37
78,32
68,71
79,65
77,31
82,30
82,117
71,130
71,140
65,29
67,184
63,261
73,152
62,117
71,117
70,70
79,100
71,172
68,112
74,41
75,31
77,51
72,39
78,38
79,30
67,135
77,122
80,26
57,29
67,56
66,28
75,33
76,91
91,72
79,90
70,75
75,60
72,132
67,86
72,84
74,34
74,27
71,171
80,159
75,81
73,44
64,83
63,56
87,36
81,49
63,144
57,138
66,87
68,27
67,31
67,70
80,45
75,32
73,84
79,88
81,54
87,190
83,198
57,107
71,30
85,31
68,26
74,83
71,55
72,29
68,130
75,63
86,42
74,43
75,100
64,45
76,65
90,94
85,57
72,205
69,38
80,31
66,30
69,37
77,24
79,41
76,121
67,100
78,32
77,131
60,263
72,235
69,65
80,70
67,140
61,31
87,44
82,121
58,139
67,29
63,46
90,63
65,104
71,89
78,50
70,28
68,33
77,38
80,32
72,188
64,53
66,47
60,54
70,104
72,171
67,129
69,88
89,255
84,277
76,196
85,34
66,178
54,214
69,58
87,95
86,35
63,44
63,29
67,101
71,71
72,55
73,43
70,103
65,94
72,69
73,37
78,89
83,108
56,105
46,79
66,61
96,139
96,185
90,95
60,164
43,41
78,75
71,29
68,71
73,72
73,94
73,79
81,28
97,34
80,61
79,135
65,94
44,30
74,190
77,96
71,102
69,70
75,192
66,44
67,170
47,35
80,74
77,60
78,30
68,32
72,125
69,163
61,37
54,70
66,37
81,152
77,41
55,53
56,37
68,26
74,40
67,69
68,57
74,100
70,31
69,33
72,91
69,63
82,35
80,33
75,119
62,120
73,29
60,91
59,38
69,73
83,73
81,53
66,114
69,131
75,149
59,195
65,76
74,31
67,50
37,85
76,83
92,247
77,195
54,138
67,214
67,70
80,56
84,32
60,57
62,119
72,118
54,139
75,148
75,57
85,145
61,125
56,36
67,43
79,30
46,50
66,24
70,78
78,78
54,44
69,105
78,157
78,119
58,29
72,64
79,54
75,31
60,31
63,29
70,70
86,154
92,93
67,218
66,147
77,70
46,294
72,216
79,134
84,42
74,124
72,417
63,254
73,28
61,31
75,35
65,31
73,28
71,42
73,236
79,106
75,62
71,106
68,47
63,39
78,29
67,41
80,40
68,46
76,28
71,41
67,28
76,44
64,61
47,76
60,79
75,102
82,26
80,107
73,140
76,38
80,33
61,55
78,190
75,56
63,154
55,107
72,124
63,71
67,35
75,67
70,61
72,128
72,106
59,295
81,196
74,120
66,148
63,160
60,54
67,30
69,59
68,30
85,38
84,60
90,279
80,213
64,77
62,79
64,272
43,199
65,100
68,33
74,34
77,53
67,62
77,91
79,40
65,19
70,55
56,36
78,51
83,30
63,50
80,32
70,43
75,6
74,34
76,62
67,51
64,47
65,29
76,110
80,26
66,19
61,30
72,39
64,31
41,135
73,30
71,62
85,30
51,42
55,128
78,115
71,28
97,32
74,168
82,131
74,38
76,40
68,37
73,84
70,33
71,137
71,112
70,147
73,107
84,194
54,130
79,28
65,29
49,165
81,105
85,84
85,75
54,51
62,38
80,42
72,30
76,117
65,63
64,103
69,49
61,128
70,75
72,37
74,79
92,52
77,26
80,35
78,29
88,77
69,50
71,131
69,44
51,11
73,85
81,175
74,172
73,32
59,130
63,165
66,183
58,57
74,40
68,97
74,98
60,78
83,69
86,63
80,45
51,170
53,58
72,30
77,29
69,34
75,129
75,28
76,32
82,22
71,110
77,34
68,32
56,6
68,27
76,41
61,91
76,17
80,172
73,104
73,30
71,71
77,27
71,42
62,90
64,7
67,26
71,29
77,38
74,46
69,26
74,31
81,33
70,62
68,73
68,134
72,43
77,14
85,67
66,31
62,114
62,50
70,105
81,126
57,36
55,111
73,215
71,56
76,26
86,81
77,123
78,57
70,87
87,22
84,43
68,89
71,79
71,51
66,56
71,28
77,25
82,81
67,129
73,30
66,33
72,35
73,181
69,120
69,364
88,150
67,26
69,81
76,80
67,75
79,39
71,36
78,29
77,23
69,47
73,42
71,28
79,69
81,56
76,110
62,27
71,167
69,47
73,33
69,49
92,20
81,29
79,81
77,70
81,51
64,27
64,28
61,37
107,46
84,32
63,39
72,133
74,10
77,29
82,27
70,37
74,57
54,34
65,46
80,70
84,59
64,29
68,98
77,34
85,97
62,78
76,66
68,60
78,32
71,61
67,97
62,189
82,43
75,29
73,119
81,69
74,145
63,31
69,87
62,36
85,67
66,77
70,46
59,29
88,8
90,92
84,126
89,96
88,24
81,78
78,50
82,129
81,213
55,272
57,59
63,126
95,214
66,132
67,138
75,80
102,52
76,94
75,106
82,109
89,84
62,24
70,71
82,175
101,36
71,97
68,106
73,30
100,46
67,28
70,25
71,32
85,158
56,32
62,120
85,68
85,41
62,69
68,127
82,50
